study_id,authors_from_file,year,best_title_or_title_hint,doi_verified_or_candidate,doi_url,retrieval_status,source_basis,fulltext_pdf_status
S73,Cantele et al.,2016,Internationalisation and performance of SMEs: exploring the moderating effects of intangible assets and capital intensity,10.1504/IJBG.2016.078407,https://doi.org/10.1504/IJBG.2016.078407,Verified DOI / publisher page located,Inderscience/RePEc search result verified,Open PDF not downloaded; check publisher/OA links manually
S78,Buckley & Tian,2017,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S88,Thi Ngoc Huynh et al.,2018,,10.3390/jrfm12030144,https://doi.org/10.3390/jrfm12030144,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S93,Juniati et al.,2019,Internationalization and performance: Evidence from Indonesian firms,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S97,Woo et al.,2019,,10.3390/joitmc5030052,https://doi.org/10.3390/joitmc5030052,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S98,Kim et al.,2020,,10.3390/joitmc5030052,https://doi.org/10.3390/joitmc5030052,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S100,Tu et al.,2020,,10.5267/j.dsl.2020.7.001,https://doi.org/10.5267/j.dsl.2020.7.001,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S103,Nath et al.,2021,,10.17762/ijnpme.v10i03.127,https://doi.org/10.17762/ijnpme.v10i03.127,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S104,Tu et al.,2021,,10.5267/j.dsl.2020.7.001,https://doi.org/10.5267/j.dsl.2020.7.001,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S105,Tu,2021,,10.5267/j.dsl.2020.7.001,https://doi.org/10.5267/j.dsl.2020.7.001,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S106,Tu & Anh,2021,,10.5267/j.dsl.2020.7.001,https://doi.org/10.5267/j.dsl.2020.7.001,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S107,Song & Lee,2021,,10.7275/x78z-g422,https://doi.org/10.7275/x78z-g422,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S111,Daniels & Bracker,1989,Performance effects of internationalization: Contingency theory analysis of Russian internationalized firms,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S112,"Geringer, Beamish & daCosta",1989,Interdependence relationship of internationalization-performance in manufacturing firms listed in Indonesia Stock Exchange and Chinese Stock Exchanges. In,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S114,Sullivan,1994,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S115,Ramaswamy,1995,Relationship between internationalization and financial performance: Evidence from ENR-listed Chinese firms,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S119,"Bloodgood, Sapienza & Almeida",1996,The relationship between extent of internationalization and firm performance (Taiwan 1992–2017),,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S120,Pangarkar & Yuan,2009,The dual mechanism of social networks on the relationship between internationalization and firm performance: Empirical evidence from China,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S124,"Klier, Schwens, Zapkau & Dikova",2017,Managerial ties and firm performance in a transition economy: The nature of a micro-macro link,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S130,"Shin, Kim & Seol",2022,Capabilities and performance of early internationalizing firms,10.35611/jkt.2021.25.7.1,https://doi.org/10.35611/jkt.2021.25.7.1,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S131,Dobbs & Hamilton,2007,Internationalization and firm performance,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S134,Pinheiro-Alves,2011,The effects of the degree of internationalization on export performance,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S137,Gomes & Ramaswamy,1999,An empirical examination of the form of the relationship between multinationality and performance,10.1057/palgrave.jibs.8490065,https://doi.org/10.1057/palgrave.jibs.8490065,Verified DOI / publisher page located,Springer/ASU/SCIRP search result verified,Open PDF not downloaded; check publisher/OA links manually
S139,"Aulakh, Kotabe & Teegen",2000,"Export strategies and performance of firms from emerging economies: Evidence from Brazil, Chile, and Mexico",,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S141,"Denis, Denis & Yost",2002,"Global diversification, industrial diversification, and firm value",10.1111/0022-1082.00485,https://doi.org/10.1111/0022-1082.00485,Verified DOI / publisher page located,Wiley search result verified,Open PDF not downloaded; check publisher/OA links manually
S142,Gomez-Mejia & Palich,1997,Cultural diversity and the performance of multinational firms,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S150,"Geringer, Tallman & Olsen",2000,Product and international diversification among Japanese multinational firms,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S151,Michel & Shaked,1986,Multinational corporations vs. domestic corporations: Financial performance and characteristics,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S152,Morck & Yeung,1991,Why investors value multinationality,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S153,Wan & Hoskisson,2003,"Home country environments, corporate diversification strategies, and firm performance",,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S155,"Luo, Zhao & Du",2005,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S156,"Bobillo, López-Iturriaga & Tejerina-Gaite",2010,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S157,Boehe & Cruz,2010,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S158,Singh & Gaur,2009,,10.1002/tie.20217,https://doi.org/10.1002/tie.20217,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S160,Lu & Beamish,2006,Internationalization and the performance of born-global SMEs: the mediating role of social networks,10.1057/palgrave.jibs.8400282,https://doi.org/10.1057/palgrave.jibs.8400282,Verified DOI / publisher page located,Springer search result verified,Open PDF not downloaded; check publisher/OA links manually
S162,Oh & Sohl,2017,Internationalization Speed and Firm Performance: A Study of the Market-Seeking Expansion of Retail MNEs,10.1007/s11575-016-0284-9,https://doi.org/10.1007/s11575-016-0284-9,Verified DOI / publisher page located,RePEc/Semantic Scholar search result verified,Open PDF not downloaded; check publisher/OA links manually
S163,Ogasavara & Hoshino,2007,The effect of entry strategy and inter-firm trust on the survival of Japanese FDI in Brazil,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S164,"Gao, Murray, Kotabe & Lu",2010,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S165,Doukas & Kan,2006,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S166,Castellacci,2015,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S167,Reuber & Fischer,1997,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S169,"Isobe, Makino & Montgomery",2000,"Resource commitment, entry timing, and market performance of foreign direct investments in emerging economies",,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S170,Shan & Song,1997,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S171,"Buckley, Dunning & Pearce",1978,"The influence of firm size, industry, nationality, and degree of multinationality on the growth and profitability of the world’s largest firms",,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S173,"Nguyen, Almodóvar & Martínez-Noya",2018,,10.3390/jrfm12030144,https://doi.org/10.3390/jrfm12030144,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S174,"Ogasavara, Hoshino & Alberton",2016,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S175,Jo & Roth,2015,,10.1111/jsbm.12241,https://doi.org/10.1111/jsbm.12241,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S176,Khattak & Shah,2022,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S177,Lee & Yoon,2022,Entry mode diversity and closing commercial deals with international customers: The moderating role of advanced servitization,10.1016/j.ibusrev.2022.102053,https://doi.org/10.1016/j.ibusrev.2022.102053,Verified DOI / publisher page located,ScienceDirect/RePEc search result verified,Open PDF not downloaded; check publisher/OA links manually
S179,"Chen, Zhang & Li",2022,,10.5539/jms.v12n2p67,https://doi.org/10.5539/jms.v12n2p67,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S180,Wang & Xiang,2022,Outward FDI and Innovation Performance of Chinese Firms: Why Can Home-Grown Political Ties Be A Liability?,10.1016/j.jwb.2021.101306,https://doi.org/10.1016/j.jwb.2021.101306,Verified DOI / publisher page located,ScienceDirect/RePEc search result verified,Open PDF not downloaded; check publisher/OA links manually
S181,Nguyen & Dinh,2022,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S182,Vo & Nguyen,2021,,10.57110/jeb.v1i2.4497,https://doi.org/10.57110/jeb.v1i2.4497,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S183,Kim & Kim,2023,,10.5539/jms.v12n2p67,https://doi.org/10.5539/jms.v12n2p67,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S184,Borkakoti & Dua,2023,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S188,Do & Phan,2025,,10.5772/intechopen.1011012,https://doi.org/10.5772/intechopen.1011012,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S189,Do & Phan,2026,,10.5772/intechopen.1011012,https://doi.org/10.5772/intechopen.1011012,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S192,Tu & Huynh,2021,,10.5267/j.dsl.2020.7.001,https://doi.org/10.5267/j.dsl.2020.7.001,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S193,García-Sánchez & Rama,2024,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S195,Barłożewski & Trąpczyński (2021a),,Internationalization and firm performance in Polish firms,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S196,Barłożewski & Trąpczyński (2021b),,Internationalization and firm performance in Polish firms,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S202,Da Cunha et al.,2023,,10.1016/j.ibusrev.2023.102135,https://doi.org/10.1016/j.ibusrev.2023.102135,DOI candidate from prior auto-match; verify before extraction,Original file candidate DOI,Open PDF not downloaded; check publisher/OA links manually
S216,Schmuck et al. (2022a),,,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S224,Xiao et al.,2013,Internationalization and Performance of Firms in China: Moderating Effects of Governance Structure and the Degree of Centralized Control,10.1016/j.intman.2012.12.003,https://doi.org/10.1016/j.intman.2012.12.003,Verified DOI / publisher page located,ResearchGate/RePEc/Korea University search result verified,Open PDF not downloaded; check publisher/OA links manually
S236,Barłożewski & Trąpczyński (2021a),,Internationalization and firm performance in Polish firms,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
S237,Barłożewski & Trąpczyński (2021b),,Internationalization and firm performance in Polish firms,,,No verified DOI yet; use search links,Search links generated,Open PDF not downloaded; check publisher/OA links manually
