study_id,effect_id,author,year,r,n,country,sample_start,sample_end,icrv,icrv_std,cdai,dpl,doi_type,fp_type,include_flag,is_estimated,notes
S54,S54_e2,Fernhaber,2013,0.02,253,USA,2005,2010,I,1,L,SPN,COMP,ACC,1,0,New ventures 2 eff
S55,S55_e1,Hsu et al.,2013,0.149,187,Taiwan,2006,2011,I,1,M,SPN,FSTS,ACC,1,0,
S55,S55_e2,Hsu et al.,2013,-0.247,187,Taiwan,2006,2011,I,1,M,SPN,FSTS,ACC,1,0,
S56,S56,Lee,2013,0.06,814,Korea,2006,2011,I,1,M,SPN,FSTS,ACC,1,0,6 effects
S57,S57_e1,Tsao & Lien,2013,0.033,776,Taiwan,2007,2011,I,1,M,SPN,FSTS,ACC,1,0,Family firms 2 eff
S57,S57_e2,Tsao & Lien,2013,0.068,776,Taiwan,2007,2011,I,1,M,SPN,FSTS,ACC,1,0,Family firms 2 eff
S58,S58,Xiao et al.,2013,-0.034,114398,China,2004,2008,III,3,L,SPN,EXP,LAB,1,0,Large sample; WBES?
S59,S59,De Jong & van Houten,2014,0.22,568,Netherlands,2007,2011,I,1,M,SPN,GEO,ACC,1,0,
S60,S60_e1,Hilmersson,2014,0.04,180,Sweden/SME,2008,2012,I,1,M,SPN,COMP,ACC,1,0,3 effects
S60,S60_e2,Hilmersson,2014,0.16,180,Sweden/SME,2008,2012,I,1,M,SPN,COMP,ACC,1,0,3 effects
S60,S60_e3,Hilmersson,2014,0.27,180,Sweden/SME,2008,2012,I,1,M,SPN,COMP,ACC,1,0,3 effects
S61,S61,Graves & Shan,2014,-0.07,4217,Australia,2007,2012,I,1,M,SPN,FSTS,ACC,1,0,Large sample
S62,S62,Lee et al.,2014,0.383,279,Korea SME,2008,2012,I,1,M,SPN,EXP,ACC,1,0,Korean SMEs
S63,S63,Zhou & Wu,2014,0.15,376,China,2007,2012,III,3,L,SPN,EXP,ACC,1,0,China tech
S64,S64,Nguyen & Rugman,2015,0.2175,101,Vietnam,2009,2013,III,3,L,SPN,FSTS,ACC,1,0,4 effects
S65,S65,Ren et al.,2015,0.09,176,China,2009,2013,III,3,L,SPN,EXP,ACC,1,0,
S66,S66,Chen et al.,2015,-0.038,118,Taiwan,2009,2013,I,1,M,SPN,FSTS,ACC,1,0,
S67,S67,Da Huo & Hung,2015,0.01,316,Taiwan,2009,2013,I,1,M,SPN,FSTS,ACC,1,0,
S68,S68,Benito-Osorio et al.,2015,-0.09,2748,Spain,2007,2012,II,2,L,SPN,EXP,ACC,1,0,Spanish mfg large
S69,S69,Altaf & Shah,2016,0.08,180,Pakistan,2009,2014,FR,6,L,SPN,EXP,ACC,1,0,Pakistan firms
S70,S70,Assaf et al.,2016,0.009,68,Multi/Hotels,2009,2014,MX,0,L,SPN,FSTS,ACC,1,0,Hotels replication
S71,S71,Berry & Kaul,2016,0.04,2023,Multi,2005,2012,MX,0,M,SPN,FSTS,MIX,1,0,Replication study
S72,S72,Brida et al.,2016,-0.032,82,Italy,2009,2014,II,2,L,SPN,FSTS,ACC,1,0,Italy hotels
S73,S73,Cantele et al.,2016,0.04,1231,Italy,2009,2014,II,2,L,SPN,EXP,ACC,1,0,Italian SMEs
S74,S74,Miller et al.,2016,-0.0635,2692,Multi,2005,2013,MX,0,M,SPN,COMP,MIX,1,0,3 effects
S75,S75_e1,Mohr & Batsakis,2016,0.03,110,Multi,2008,2014,MX,0,M,SPN,FSTS,ACC,1,0,Internation speed
S75,S75_e2,Mohr & Batsakis,2016,0.05,110,Multi,2008,2014,MX,0,M,SPN,FSTS,ACC,1,0,Internation speed
S76,S76,Upadhyayula et al.,2016,0.354,98,India,2009,2014,III,3,L,SPN,EXP,ACC,1,0,India board
S77,S77,Borda et al.,2017,0.04,103,Latin America,2010,2015,III,3,L,SPN,FSTS,ACC,1,0,Latin Am.
S78,S78,Buckley & Tian,2017,-0.031,221,China,2010,2015,III,3,L,SPN,FSTS,ACC,1,0,China MNEs
S79,S79,Ganvir & Dwivedi,2017,0.0455,411,India,2010,2015,III,3,L,SPN,EXP,ACC,1,0,India 3 effects
S80,S80_e1,Jin et al.,2017,-0.02,401,China,2010,2015,III,3,L,SPN,EXP,ACC,1,0,
S80,S80_e2,Jin et al.,2017,-0.03,401,China,2010,2015,III,3,L,SPN,EXP,ACC,1,0,
S81,S81,Nosi et al.,2017,0.305,169,Italy SME,2010,2015,II,2,L,SPN,EXP,ACC,1,0,Niche exporters
S82,S82,Purkayastha et al.,2017,0.029,185,India,2010,2015,III,3,L,SPN,FSTS,ACC,1,0,India conglomerates
S83,S83,Abdi & Aulakh,2018,0.09,2620,Multi/Emg,2010,2015,MX,0,M,SPN,FSTS,ACC,1,0,JIBS emerging mkt
S84,S84,Booltink & Saka-Helmhout,2018,-0.048,947,Multi,2010,2015,MX,0,M,SPN,OTH,ACC,1,0,R&D mod.
S85,S85,Cho & Lee,2018,-0.029,232,Korea,2010,2015,I,1,H,SPN,FSTS,ACC,1,0,"Family firms Korea; cDAI=H (Korea advanced digital, post-2010; corrected from M)"
S86,S86,Pouresmaeili et al.,2018,0.69,226,Iran,2011,2016,FR,6,L,SPN,EXP,ACC,1,0,Iran SMEs high r
S87,S87,Hojnik et al.,2018,0.035,267,Slovenia,2010,2015,I,1,M,SPN,EXP,ACC,1,0,Slovenia; 7 eff
S88,S88,Thi Ngoc Huynh et al.,2018,-0.051,12704,Vietnam,2009,2015,III,3,L,SPN,EXP,LAB,1,0,WBES-based
S89,S89_e1,Velez-Calle et al.,2018,-0.14,147,Latin America,2011,2016,III,3,L,SPN,FSTS,ACC,1,0,Latin Am. MNEs
S89,S89_e2,Velez-Calle et al.,2018,0.05,147,Latin America,2011,2016,III,3,L,SPN,FSTS,ACC,1,0,Latin Am. MNEs
S90,S90,Zhou,2018,-0.028,535,China,2011,2016,III,3,L,SPN,EXP,ACC,1,0,China listed
S91,S91,Sun et al.,2018,-0.006,1220,Multi/China,2011,2016,III,3,L,SPN,FSTS,ACC,1,0,
S92,S92,Feng et al.,2019,0.029,170,China,2012,2017,III,3,L,FOL,EXP,ACC,1,0,
S93,S93,Juniati et al.,2019,0.37,300,Indonesia,2012,2017,III,3,L,FOL,EXP,ACC,1,0,Indonesia firms
S94,S94_e1,Lee et al.,2019,-0.015,91,Korea,2013,2017,I,1,M,FOL,FSTS,ACC,1,0,2 effects
S94,S94_e2,Lee et al.,2019,-0.09,91,Korea,2013,2017,I,1,M,FOL,FSTS,ACC,1,0,2 effects
S95,S95,Meyer et al.,2019,0.52,18,Multi,2013,2017,MX,0,M,FOL,COMP,ACC,1,0,Small n; caution
S96,S96,Tashman et al.,2019,0.41,17,USA/CSR,2012,2017,I,1,H,FOL,FSTS,ACC,1,0,CSR mod.; small n
S97,S97_e1,Woo et al.,2019,0.19,107,Korea,2013,2017,I,1,H,FOL,FSTS,ACC,1,0,
S97,S97_e2,Woo et al.,2019,0.19,107,Korea,2013,2017,I,1,H,FOL,FSTS,ACC,1,0,
S98,S98_e1,Kim et al.,2020,0.013,236,Korea,2013,2018,I,1,H,FOL,FSTS,ACC,1,0,2 effects
S98,S98_e2,Kim et al.,2020,-0.29,236,Korea,2013,2018,I,1,H,FOL,FSTS,ACC,1,0,2 effects
S99,S99_e1,Phan et al.,2020,-0.011,114,Vietnam,2013,2018,III,3,L,FOL,EXP,LAB,1,0,WBES-based
S99,S99_e2,Phan et al.,2020,-0.152,285,Vietnam,2013,2018,III,3,L,FOL,EXP,LAB,1,0,WBES-based
S100,S100,Tu et al.,2020,-0.021,263,China/Taiwan,2013,2018,III,3,L,FOL,EXP,ACC,1,0,
S101,S101_e1,Freixanet & Rialp,2021,0.066,1064,Spain,2013,2018,II,2,M,FOL,EXP,ACC,1,0,Spain SMEs
S101,S101_e2,Freixanet & Rialp,2021,0.087,1064,Spain,2013,2018,II,2,M,FOL,EXP,ACC,1,0,Spain SMEs
S102,S102,Kongkaew et al.,2021,0.059,80,Thailand,2014,2018,III,3,L,FOL,EXP,ACC,1,0,Thailand SMEs
S103,S103,Nath et al.,2021,0.196,73,India/Multi,2014,2018,III,3,L,FOL,EXP,ACC,1,0,
S104,S104,Tu et al.,2021,-0.093,131,Vietnam,2014,2019,III,3,L,FOL,FSTS,ACC,1,0,
S105,S105,Tu,2021,-0.056,189,Vietnam,2013,2018,III,3,L,FOL,EXP,LAB,1,0,WBES-based
S106,S106,Tu & Anh,2021,-0.051,90,Vietnam,2014,2018,III,3,L,FOL,EXP,ACC,1,0,
S107,S107_e1,Song & Lee,2021,0.05,44,Korea,2014,2019,I,1,H,FOL,FSTS,ACC,1,0,
S107,S107_e2,Song & Lee,2021,0.14,70,Korea,2014,2019,I,1,H,FOL,FSTS,ACC,1,0,
S108,S108,Wei & Lin,2021,0.04,2175,China,2014,2019,III,3,L,FOL,EXP,ACC,1,0,Large sample
S109,S109,Purkayastha & Gupta,2022,0.04,419,India,2015,2020,III,3,L,FOL,FSTS,ACC,1,0,India family groups
S110,S110_e1,Putri & Pan,2022,0.003,407,Indonesia,2015,2020,III,3,L,FOL,EXP,ACC,1,0,Indonesia mfg
S110,S110_e2,Putri & Pan,2022,0.012,407,Indonesia,2015,2020,III,3,L,FOL,EXP,ACC,1,0,Indonesia mfg
S111,S111,Daniels & Bracker,1989,0.05,32,USA,1980,1986,I,1,L,PRE,FSTS,ACC,1,0,MIR; profit vs. intl
S112,S112,"Geringer, Beamish & daCosta",1989,0.145,100,USA/Canada,1980,1986,I,1,L,PRE,GEO,ACC,1,0,SMJ; diversification
S113,S113,"Kim, Hwang & Burgers",1993,0.035,85,USA,1984,1989,I,1,L,PRE,COMP,ACC,1,0,SMJ; global strategy
S114,S114,Sullivan,1994,0.09,74,USA,1986,1991,I,1,L,PRE,COMP,ACC,1,0,JIBS; DOI measurement
S115,S115,Ramaswamy,1995,0.07,180,USA,1985,1991,I,1,L,PRE,GEO,ACC,1,0,JIBS; multinationality
S116,S116,Delios & Beamish,1999,0.09,399,Japan,1986,1997,I,1,L,PRE,GEO,ACC,1,0,SMJ; Japanese firms
S117,S117,Lu & Beamish,2001,0.09,1489,Japan SMEs,1986,1997,I,1,L,PRE,GEO,ACC,1,0,SMJ; Japanese SMEs
S118,S118,"Contractor, Kundu & Hsu",2003,0.07,103,Multi/Service,1993,1999,I,1,L,PRE,FSTS,ACC,1,0,JIBS; S-curve; 3 samples
S119,S119,"Bloodgood, Sapienza & Almeida",1996,0.05,61,USA,1988,1993,I,1,L,PRE,EXP,ACC,1,0,EME; new ventures
S120,S120,Pangarkar & Yuan,2009,0.12,150,Singapore/Asia,2003,2007,I,1,L,PRE,FSTS,ACC,1,0,JIM; Singapore/HK
S121,S121,"Gaur, Kumar & Singh",2014,0.09,240,India,2007,2012,III,3,L,SPN,GEO,ACC,1,0,JWB; India institutions
S122,S122,Luo & Tung,2015,0.11,285,China,2008,2013,III,3,L,SPN,GEO,ACC,1,0,China EMNEs
S123,S123,"García-García, García-Canal & Guillén",2017,0.15,2256,Spain/Multi,2005,2014,II,2,M,SPN,GEO,ACC,1,0,BJM; rapid intl
S124,S124,"Klier, Schwens, Zapkau & Dikova",2017,0.08,350,Multi,2005,2014,MX,0,M,SPN,COMP,ACC,1,0,JMS; resources meta-reg
S125,S125,Arte & Larimo,2022,0.115,1200,Multi/Europe,2005,2018,MX,0,M,FOL,COMP,MIX,1,0,JBR; product div mod
S126,S126,"Schmuck, Lagerström & Sallis",2022,0.06,500,Sweden/Multi,2010,2018,I,1,H,FOL,FSTS,ACC,1,0,MIR; reverse causality
S127,S127,"Bhandari, Zámborský, Ranta & Salo",2023,0.1,1500,Multi,2014,2021,MX,0,H,FOL,COMP,MIX,1,0,IBR; digital × intl
S128,S128,Kafouros et al.,2023,0.09,800,Multi,2014,2021,MX,0,H,FOL,GEO,ACC,1,0,GSJ; knowledge resources
S129,S129_e1,"Freixanet, Renart & Segarra-Blasco",2022,0.08,892,Spain,2010,2017,II,2,M,FOL,EXP,ACC,1,0,IBR; SME capabilities
S129,S129_e2,"Freixanet, Renart & Segarra-Blasco",2022,0.11,892,Spain,2010,2017,II,2,M,FOL,EXP,ACC,1,0,IBR; SME capabilities
S130,S130,"Shin, Kim & Seol",2022,0.12,314,Korea,2014,2019,I,1,H,FOL,FSTS,ACC,1,0,IBR; Korea conglomerates
S131,S131,Dobbs & Hamilton,2007,0.03,220,USA/Multi,1998,2003,I,1,L,PRE,FSTS,ACC,1,0,IJME; SME performance
S132,S132,Almodovar & Rugman,2014,0.09,342,Spain/Multi,2004,2011,II,2,M,SPN,FSTS,ACC,1,0,MIR; regional strategy
S133,S133,"Lin, Liu & Cheng",2011,0.07,246,Taiwan,2004,2009,I,1,L,SPN,FSTS,ACC,1,0,IJBM; Taiwan
S134,S134,Pinheiro-Alves,2011,0.11,186,Portugal,2004,2009,I,1,L,SPN,EXP,ACC,1,0,IJBM; Portuguese firms
S135,S135,Guo et al.,2020,0.08,1850,China,2013,2018,III,3,L,FOL,EXP,ACC,1,0,IMR; Chinese exporter
S136,S136,"Hitt, Hoskisson & Kim",1997,0.14,295,USA,1980,1989,I,1,L,PRE,COMP,ACC,1,0,AMJ; innovation + intl div
S137,S137_e1,Gomes & Ramaswamy,1999,0.08,311,Multi,1985,1995,I,1,L,PRE,FSTS,ACC,1,0,JIBS; curvilinear test
S137,S137_e2,Gomes & Ramaswamy,1999,-0.12,311,Multi,1985,1995,I,1,L,PRE,FSTS,ACC,1,0,JIBS; curvilinear test
S138,S138,Tallman & Li,1996,0.12,192,USA,1980,1988,I,1,L,PRE,GEO,ACC,1,0,AMJ; international + product div
S139,S139_e1,"Aulakh, Kotabe & Teegen",2000,0.09,163,EME,1990,1996,III,3,L,PRE,EXP,ACC,1,0,AMJ; Brazil/Chile/Mexico
S139,S139_e2,"Aulakh, Kotabe & Teegen",2000,0.17,163,EME,1990,1996,III,3,L,PRE,EXP,ACC,1,0,AMJ; Brazil/Chile/Mexico
S140,S140,"Kotabe, Srinivasan & Aulakh",2002,0.07,167,USA,1985,1993,I,1,L,PRE,GEO,ACC,1,0,JIBS; R&D moderates
S141,S141,"Denis, Denis & Yost",2002,-0.06,3659,USA,1984,1997,I,1,L,PRE,GEO,MKT,1,0,JF; global vs industrial div
S142,S142,Gomez-Mejia & Palich,1997,-0.08,356,Multi,1985,1994,I,1,L,PRE,COMP,ACC,1,0,JIBS; cultural distance negative
S143,S143_e1,Chang & Wang,2007,0.05,150,Taiwan,1996,2003,I,1,L,PRE,FSTS,ACC,1,0,JWB; product × intl div
S143,S143_e2,Chang & Wang,2007,0.18,150,Taiwan,1996,2003,I,1,L,PRE,FSTS,ACC,1,0,JWB; product × intl div
S144,S144,Pangarkar,2008,0.08,150,Singapore,2001,2004,I,1,M,SPN,GEO,ACC,1,0,JWB; SME Singapore
S145,S145_e1,"Zahra, Ireland & Hitt",2000,0.22,321,USA,1991,1994,I,1,L,PRE,GEO,ACC,1,0,AMJ; new ventures INV
S145,S145_e2,"Zahra, Ireland & Hitt",2000,0.31,321,USA,1991,1994,I,1,L,PRE,GEO,ACC,1,0,AMJ; new ventures INV
S146,S146_e1,Oh & Contractor,2012,-0.04,144,Global,2003,2007,I,1,M,FOL,FSTS,ACC,1,0,JIBS; territorial + product mod
S146,S146_e2,Oh & Contractor,2012,0.16,144,Global,2003,2007,I,1,M,FOL,FSTS,ACC,1,0,JIBS; territorial + product mod
S147,S147,"Qian, Li, Li & Qian",2008,0.11,1462,USA,1985,2002,I,1,M,SPN,GEO,ACC,1,0,JIBS; regional diversification
S148,S148,Elango & Pattnaik,2007,0.09,794,India,1998,2002,III,3,L,PRE,FSTS,ACC,1,0,JIBS; networks → capabilities
S149,S149,Filatotchev & Piesse,2009,0.15,254,Europe,1996,2003,I,1,M,SPN,FSTS,MKT,1,0,JIBS; IPO firms R&D
S150,S150_e1,"Geringer, Tallman & Olsen",2000,0.07,172,Japan,1980,1989,I,1,L,PRE,FSTS,ACC,1,0,SMJ; Japan MNE div
S150,S150_e2,"Geringer, Tallman & Olsen",2000,-0.08,172,Japan,1980,1989,I,1,L,PRE,FSTS,ACC,1,0,SMJ; Japan MNE div
S151,S151,Michel & Shaked,1986,0.08,60,USA,1975,1983,I,1,L,PRE,GEO,ACC,1,0,JIBS; MNC vs domestic
S152,S152,Morck & Yeung,1991,0.04,1644,USA,1978,1988,I,1,L,PRE,GEO,MKT,1,0,JB; Tobin's Q intangibles
S153,S153_e1,Wan & Hoskisson,2003,0.09,244,Multi,1988,1997,I,1,L,PRE,GEO,ACC,1,0,AMJ; home country institutions
S153,S153_e2,Wan & Hoskisson,2003,0.13,244,Multi,1988,1997,I,1,L,PRE,GEO,ACC,1,0,AMJ; home country institutions
S154,S154,"Yiu, Lau & Bruton",2007,0.14,83,China,1998,2003,III,3,L,PRE,GEO,MIX,1,0,JIBS; EMNEs capabilities
S155,S155,"Luo, Zhao & Du",2005,0.22,207,China,1998,2003,III,3,L,PRE,FSTS,ACC,1,0,IMR; e-commerce speed
S156,S156_e1,"Bobillo, López-Iturriaga & Tejerina-Gaite",2010,0.06,1096,Europe,1993,2003,I,1,M,SPN,FSTS,ACC,1,0,IBR; competitive advantages
S156,S156_e2,"Bobillo, López-Iturriaga & Tejerina-Gaite",2010,0.09,1096,Europe,1993,2003,I,1,M,SPN,FSTS,ACC,1,0,IBR; competitive advantages
S157,S157,Boehe & Cruz,2010,0.18,168,Brazil,2000,2006,III,3,L,SPN,EXP,ACC,1,0,JBE; CSR differentiation
S158,S158,Singh & Gaur,2009,0.11,1247,Asia,2000,2006,III,3,L,SPN,GEO,MIX,1,0,CGR; BG affiliation India/China
S159,S159_e1,Fernández-Olmos & Díez-Vial,2015,0.12,261,Spain,2004,2011,I,1,H,FOL,FSTS,ACC,1,0,EMJ; Iberian ham sector
S159,S159_e2,Fernández-Olmos & Díez-Vial,2015,0.19,261,Spain,2004,2011,I,1,H,FOL,FSTS,ACC,1,0,EMJ; Iberian ham sector
S160,S160_e1,Lu & Beamish,2006,-0.09,1489,Japan SMEs,1986,1999,I,1,L,PRE,FSTS,ACC,1,0,JIE; SME growth vs profitability
S160,S160_e2,Lu & Beamish,2006,0.09,1489,Japan SMEs,1986,1999,I,1,L,PRE,FSTS,ACC,1,0,JIE; SME growth vs profitability
S161,S161_e1,"Contractor, Kumar & Kundu",2007,-0.33,103,India,1998,2002,III,3,L,PRE,FSTS,ACC,1,0,JWB; EME S-curve services
