seq,priority,doi_available,source,year,authors,title,journal,doi,icrv,cdai,dpl,doi_type,fp_type,n,r,notes,extracted
796,High,Y,,2025,"Malca, Oscar; Pena-Vinces, Jesus; Marcilla-Vigo, Miguel; Rubio Donet, Jorge","International relations, organisational resources and capabilities and export experience as determinants of the export p",EUROPEAN BUSINESS REVIEW,10.1108/ebr-03-2025-0085,2,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:developing_countries; doi_type_auto:EXP; fp_type_auto:EXP,
797,High,Y,,2025,"Mansouri, Samy; Kaswengi, Joseph","Linking Dynamic Capabilities to Export Performance in Africa: The Moderating Roles of Institutional Support, Sociopoliti",THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.70001,2,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Africa; doi_type_auto:EXP; fp_type_auto:EXP,
798,High,Y,,2025,"Pan, Lipeng; Liu, Shuchun; Li, Yongqing; Teo, Kelvin; Fu, Xiao",Climbing the Global Value Chain: The Role of Cross-Border E-Commerce in SME Internationalization,MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.70005,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
799,High,Y,,2025,"Matuszczak, Lukasz; Michalek, Jakub; Wozniak, Rafal",Determinants of Exports of Services Firm-Level Analysis Combined With the Gravity Model Framework,WORLD ECONOMY,10.1111/twec.13724,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
800,High,Y,,2025,"Han, Mary; Celly, Nikhil",SME Internationalization: Can SMEs Overcome Liabilities of Foreignness and Smallness Through International and Product D,JOURNAL OF ENTERPRISING CULTURE,10.1142/s0218495825500037,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
104,High,Y,,2024,"Amutabi, Cyprian",Total factor productivity in Kenyan manufacturing firms: The role of ISO certification and direct vs indirect export int,SOUTH AFRICAN JOURNAL OF ECONOMICS,10.1111/saje.12372,2,,3,export_ratio,TFP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:south africa,
801,High,Y,,2024,"Anwar, Muhammad; Scheffler, Marc Andre; Clauss, Thomas","Digital Capabilities, Their Role in Business Model Innovativeness, and the Internationalization of SMEs",IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,10.1109/tem.2022.3229049,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
802,High,Y,,2024,"Gomez-Sanchez, Andres Mauricio; Castillejo, Juan Manez A.; Sanchis-Llopis, Juan ",On the Direct and Indirect Effects of ICT on SMEs Export Performance: Evidence from Colombian Manufacturing,JOURNAL OF THE KNOWLEDGE ECONOMY,10.1007/s13132-023-01378-7,,M,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:M,
803,High,Y,,2024,"Elbanna, Said; Hsieh, Linda; Child, John; Narooz, Rose; Marinova, Svetla; Puthus","Foreign market involvement, entry-mode learning potential and SME internationalization outcomes",MANAGEMENT DECISION,10.1108/md-01-2023-0045,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
804,High,Y,,2024,"Hassen, Nesredin Temam; Lema, Mesfin; Nemera, Gemechu",Financial and marketing approach to export performance: the mediation role of promotion and research and development,COGENT BUSINESS & MANAGEMENT,10.1080/23311975.2024.2315658,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
805,High,Y,,2024,"Stocker, Miklos; Erdelyi, Adam",The Influence of Perceived Macro Environment on the Competitiveness of Internationalized Medium-Sized and Large Enterpri,ADMINISTRATIVE SCIENCES,10.3390/admsci14060116,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
806,High,Y,,2024,"Navaia, Eurico; Moreira, Antonio; Ribau, Claudia",The mediating roles of cost leadership and cost focus strategies on innovation capabilities and export performance. Resu,COGENT BUSINESS & MANAGEMENT,10.1080/23311975.2024.2375410,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
807,High,Y,,2024,"Chung, Henry F. L.; Ho, Mia Hsiao-Wen","The effect of standardized advertising, managerial ties and born global orientation on export performance",JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-12-2023-0761,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
808,High,Y,,2024,"Bigos, Krystian; Michalik, Adam",Intellectual capital and new ventures early internationalization: Firm-level analysis of Austrian SMEs,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2024.120410,,H,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; cdai_auto:H,
161,High,Y,,2023,"Baum, Matthias; Sui, Sui; Malhotra, Shavin",A vicarious learning perspective on the relationship between home-peer performance and export intensity among SMEs,INTERNATIONAL MARKETING REVIEW,10.1108/imr-01-2022-0026,,,3,export_ratio,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
809,High,Y,,2023,"Mostafiz, Md Imtiaz; Sambasivan, Murali; Goh, See-Kwong; Ahmad, Paiman",Configuring foreign market knowledge and opportunity recognition capabilities to predict the performance of export-manuf,KNOWLEDGE MANAGEMENT RESEARCH & PRACTICE,10.1080/14778238.2021.1919573,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
810,High,Y,,2023,"Miocevic, Dario; Gnizy, Itzhak; Cadogan, John W.",When does export customer responsiveness strategy contribute to export market competitive advantage?,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2022-0043,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
811,High,Y,,2023,"Forgione, Antonio Fabio; Migliardo, Carlo",The inefficiency of exporting SMEs: Evidence from manufacturing industry,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,10.1080/09638199.2022.2098527,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
812,High,Y,,2023,"Masso, Jaan; Vahter, Priit",Joining and exiting the value chain of foreign multinationals and performance of their local suppliers: evidence from in,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtad004,,,3,COMP,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:COMP,
813,High,Y,,2023,"Goldar, Bishwanath","ICT Investment, Adoption of ISO 14000 Certification, and Export Performance in Indian Manufacturing Plants",JOURNAL OF QUANTITATIVE ECONOMICS,10.1007/s40953-023-00350-1,2,L,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:India; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:L,
814,High,Y,,2023,"Pacheco, Luis","Firm certification and export performance: the case of the ""SME Leader"" label",ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,10.1108/arla-05-2023-0073,2,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:journal:Brazil/Latin; doi_type_auto:EXP; fp_type_auto:EXP,
214,High,Y,,2022,"Benfratello, L.; Bottasso, A.; Piccardo, C.",'R&D and export performance: exploring heterogeneity along the export intensity distribution',JOURNAL OF INDUSTRIAL AND BUSINESS ECONOMICS,10.1007/s40812-022-00209-1,,,3,export_ratio,Export/operational,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
244,High,Y,,2022,"Eckert, Stefan; Koppe, Max; Burkatzki, Eckhard; Eichentopf, Simon; Scharf, Const",Economies of Scale: The Rationale Behind the Multinationality-Performance Enigma,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-022-00473-2,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
257,High,Y,,2022,"Wu, Qinglan; Chen, Guifu; Han, Jing; Wu, Liyan",Does Corporate ESG Performance Improve Export Intensity? Evidence from Chinese Listed Firms,SUSTAINABILITY,10.3390/su142012981,2,L,3,export_ratio,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
816,High,Y,,2022,"Buckley, Peter J.; Munjal, Surender; Requejo, Ignacio",How does offshore outsourcing of knowledge-intensive activities affect the exports and financial performance of emerging,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-022-00511-z,2,,3,,ACC,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:emerging_markets; fp_type_auto:ACC,
818,High,Y,,2022,"Xie, Dongchun; Li, Xiaofeng; Zhou, Di",Does environmental information disclosure increase firm exports?,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2021.12.012,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
819,High,Y,,2022,"Escobar, Octavio; Lamotte, Olivier; Colovic, Ana; Meschi, Pierre-Xavier",Impact of sourcing from the informal economy on the export likelihood and performance of emerging economy firms,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtab068,2,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:emerging_economies,
820,High,Y,,2022,"Hashmi, Hammad Bin Azam; Voinea, Cosmina L.; Ooms, Ward; Caniels, Marjolein C. J",The Impact of Breakthrough Innovations on the Export Performance of SMEs in Developing Countries: The Moderating Role of,FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.888697,2,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:developing_countries; doi_type_auto:EXP; fp_type_auto:EXP,
821,High,Y,,2022,"Rakshit, Sandip; Islam, Nazrul; Mondal, Sandeep; Paul, Tripti",Influence of blockchain technology in SME internationalization: Evidence from high-tech SMEs in India,TECHNOVATION,10.1016/j.technovation.2022.102518,2,L,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:India; cdai_auto:L,
822,High,Y,,2022,"Audretsch, David B.; Belitski, Maksim; Chowdhury, Farzana; Desai, Sameeksha","CEO gender, institutional context and firm exports",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2022.102008,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
268,High,Y,,2021,"Yen, I-Fan; Lin, Hsin-Mei",Multinationality and performance effects: an integrated theory of new patterns of multinationality and home political in,CHINESE MANAGEMENT STUDIES,10.1108/cms-12-2019-0441,2,L,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
273,High,Y,,2021,"Mullen, Cormac",'Letters to the editor': the relationship between multinationality and firm performance in emerging markets,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2020.1857122,2,,3,COMP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
278,High,Y,,2021,"Ref, Ohad; Gnizy, Itzhak","Resource indivisibility, lumpy costs and the multinationality-performance relationship",INTERNATIONAL MARKETING REVIEW,10.1108/imr-05-2020-0094,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
293,High,Y,,2021,"Crick, James M.; Crick, Dave",Internationalizing the Coopetition Construct: Quadratic Effects on Financial Performance Under Different Degrees of Expo,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x20988260,,,3,export_ratio,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
825,High,Y,,2021,"Adomako, Samuel; Amankwah-Amoah, Joseph; Tarba, Shlomo Y.; Khan, Zaheer","Perceived corruption, business process digitization, and SMEs' degree of internationalization in sub-Saharan Africa",JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2020.09.065,2,,3,COMP,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Africa; doi_type_auto:COMP,
827,High,Y,,2021,"Vendrell-Herrero, Ferran; Bustinza, Oscar F.; Vaillant, Yancy",Adoption and optimal configuration of smart products: The role of firm internationalization and offer hybridization,INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2021.04.001,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
828,High,Y,,2021,"Chung, Henry F. L.; Ho, Mia Hsiao-Wen","International competitive strategies, organizational learning and export performance: a match and mis-match conceptualiz",EUROPEAN JOURNAL OF MARKETING,10.1108/ejm-04-2019-0309,1,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe; doi_type_auto:EXP; fp_type_auto:EXP,
829,High,Y,,2021,"Haddoud, Mohamed Yacine; Onjewu, Adah-Kole Emmanuel; Nowinski, Witold",Environmental commitment and innovation as catalysts for export performance in family firms,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/j.techfore.2021.121085,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
830,High,Y,,2021,"Rashid, Abdul; Khan, Afaq; Fraz, Ahmad","Effects of Export Orientation, Exchange Rates and Leverage on Firm Productivity: Evidence from Pakistan",GLOBAL BUSINESS REVIEW,10.1177/09721509211056480,,L,3,EXP,LAB,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:LAB; cdai_auto:L,
317,High,Y,,2020,"Pisani, Niccolo; Garcia-Bernardo, Javier; Heemskerk, Eelke","Does it pay to be a multinational? A large-sample, cross-national replication assessing the multinationality-performance",STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.3087,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
329,High,Y,,2020,"Bandick, Roger","Global sourcing, productivity and export intensity",WORLD ECONOMY,10.1111/twec.12887,,,3,export_ratio,Productivity,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,
355,High,Y,,2020,"Mendoza, Xavier; Espinosa-Mendez, Christian; Araya-Castillo, Luis",When geography matters: International diversification and firm performance of Spanish multinationals,BRQ-BUSINESS RESEARCH QUARTERLY,10.1177/2340944420898981,1,L,3,geographic_diversification,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:prescreen-Y+fp=firm_performance; icrv_auto:country:spain,
832,High,Y,,2020,"Okafor, Luke Emeka; Bhattacharya, Mita; Apergis, Nicholas","Bank credit, public financial incentives, tax financial incentives and export performance during the global financial cr",WORLD ECONOMY,10.1111/twec.12848,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
836,High,Y,,2020,"Mubarik, Muhammad Shujaat; Devadason, Evelyn S.; Govindaraju, Chandran",Human capital and export performance of small and medium enterprises in Pakistan,INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS,10.1108/ijse-03-2019-0198,,L,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:L,
837,High,Y,,2020,"Handrito, Radityo Putro; Slabbinck, Hendrik; Vanderstraeten, Johanna",Enjoying or refraining from risk? The impact of implicit need for achievement and risk perception on SME internationaliz,CROSS CULTURAL & STRATEGIC MANAGEMENT,10.1108/ccsm-03-2019-0068,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
839,High,Y,,2020,"Haapanen, Lauri; Hurmelinna-Laukkanen, Pia; Puumalainen, Kaisu",When strategic consensus matters: dynamic managerial capabilities and firm internationalization as seen by TMT,CROSS CULTURAL & STRATEGIC MANAGEMENT,10.1108/ccsm-09-2018-0134,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
841,High,Y,,2020,"Petrou, Andreas P.; Hadjielias, Elias; Thanos, Ioannis C.; Dimitratos, Pavlos","Strategic decision-making processes, international environmental munificence and the accelerated internationalization of",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2020.101735,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
842,High,Y,,2020,"Sun, Wenbin; Ding, Zhihua; Xu, Xiaobo; Cui, Kacie",Internationalization and firm default risk: The roles of environmental dynamism and marketing capability,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2020.08.027,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
844,High,Y,,2019,"Cos, Pilar; Colonn, Antonio; Cabases, Angels",Geographic export diversification: Determinants and their link with export performance,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.21991,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
845,High,Y,,2019,"Chittoor, Raveendra; Aulakh, Preet S.; Ray, Sougata",Microfoundations of firm internationalization: The owner CEO effect,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1193,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
847,High,Y,,2019,"Genc, Ebru; Dayan, Mumin; Genc, Omer Faruk",The impact of SME internationalization on innovation: The mediating role of market and entrepreneurial orientation,INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2019.01.008,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
848,High,Y,,2019,Quy Thi Vo,Export Performance and Stock Return: A Case of Fishery Firms Listing in Vietnam Stock Markets,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,10.13106/jafeb.2019.vol6.no4.37,2,L,3,EXP,MKT,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Vietnam; doi_type_auto:EXP; fp_type_auto:MKT; cdai_auto:L,
849,High,Y,,2019,"Pedro Carreon-Gutierrez, Jose; Manuel Saiz-Alvarez, Jose","Product Newness, Low Competition, Recent Technology, and Export Orientation as Predictors for Entrepreneurial Growth Asp",SUSTAINABILITY,10.3390/su11205818,,,3,EXP,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP,
850,High,Y,,2019,"Yoo, Sung-Joon; Kim, Hag-Min; Lee, Yea-Rim",The Effects of International Entrepreneurial Orientation and Entrepreneurial Activities on SMEs' Export Performance,JOURNAL OF KOREA TRADE,10.35611/jkt.2019.23.7.156,1,H,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Korea; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:H,
457,High,Y,,2018,"Mullen, Cormac; Luff, Martha O'Hagan",Alphabet soup: the relationship between multinationality and firm performance,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2018.1556519,,,3,COMP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
851,High,Y,,2018,"Eppinger, Peter S.; Meythaler, Nicole; Sindlinger, Marc-Manuel; Smolka, Marcel",The great trade collapse and the Spanish export miracle: Firm-level evidence from the crisis,WORLD ECONOMY,10.1111/twec.12530,1,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Spain,
855,High,Y,,2018,"Rajnoha, Rastislav; Merkova, Martina; Dobrovic, Jan; Rozsa, Zoltan",BUSINESS PERFORMANCE MANAGEMENT AND FDI: KEY DIFFERENCES BETWEEN FOREIGN AND DOMESTIC-OWNED FIRMS - A CASE OF SLOVAKIA,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/jbem.2018.1538,,,3,FDI,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:FDI,
856,High,Y,,2018,"Luo, Xueming; Zheng, Qinqin",How firm internationalization is recognized by outsiders: The response of financial analysts,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2018.04.030,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
857,High,Y,,2018,"Rua, Orlando; Franca, Alexandra; Fernandez Ortiz, Ruben",Key drivers of SMEs export performance: the mediating effect of competitive advantage,JOURNAL OF KNOWLEDGE MANAGEMENT,10.1108/jkm-07-2017-0267,,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,
859,High,Y,,2018,"Ermolaeva, Liubov; Freixanet, Joan; Panibratov, Andrei",The role of absorptive capacity in the relationship between firm internationalization and innovation: evidence from Russ,JOURNAL OF EAST EUROPEAN MANAGEMENT STUDIES,10.5771/0949-6181-2018-4-621,1,M,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe; cdai_auto:M,
479,High,Y,,2017,"Shin, Joonho; Mendoza, Xavier; Hawkins, Matthew A.; Choi, Changbum",The relationship between multinationality and performance: Knowledge-intensive vs. capital-intensive service micro-multi,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2017.02.005,,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,
497,High,Y,,2017,"Ral-Trebacz, Arkadiusz",Performance effects of multinationality: evidence from European companies,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2016.079528,1,M,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; icrv_auto:country:europe; doi_type_auto:Multinationality / DOI,
860,High,Y,,2017,"Qiu, Bin; Yan, Zhijun","Market Efficiency, Heterogeneous Trade Costs and Export-Only Firms",PACIFIC ECONOMIC REVIEW,10.1111/1468-0106.12206,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
861,High,Y,,2017,"Bronzini, Raffaello; D'Ignazio, Alessio",Bank Internationalization and Firm Exports: Evidence from Matched Firm-Bank Data,REVIEW OF INTERNATIONAL ECONOMICS,10.2139/ssrn.2777973,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
862,High,Y,,2017,"Burlina, Chiara",Local Externalities and Firm Internationalisation,TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,10.1111/tesg.12224,,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,
