seq,title,year,journal,doi,extraction_priority,decision,reason
531,Internationalisation of upper echelons in different institutional contexts: top managers in Germany and the UK,2015,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2015.070232,1_DOI_FIRST,UNSURE,title_insufficient
533,Internationalization at Inception: Insights from the Indian Textile Industry's Born Globals,2024,JOURNAL OF ECONOMIC INTEGRATION,10.11130/jei.2024033,1_DOI_FIRST,UNSURE,title_insufficient
461,"The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and contextual dete",2026,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2025-0104,1_DOI_FIRST,UNSURE,title_insufficient
462,"Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and productivity of the",2025,NATURAL RESOURCES FORUM,10.1111/1477-8947.12525,1_DOI_FIRST,Y,STRONG:SI:exp_prod
464,"Bribery, local network, and local performance among multinational corporations: a moderated mediation model of informal ",2025,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-04-2024-0284,1_DOI_FIRST,UNSURE,title_insufficient
465,"Firm-Level Carbon Productivity, Home Country Environmental Performance, and Firm Performance in the Exporting Meat Indus",2025,SUSTAINABILITY,10.3390/su17125381,1_DOI_FIRST,Y,STRONG:SI:prod_exp
466,Exporting is a team sport: the link between management training and performance in SMEs,2024,INTERNATIONAL JOURNAL OF MANPOWER,10.1108/ijm-03-2023-0150,1_DOI_FIRST,Y,STRONG:SI:exp_perf
467,"External environment and internal dynamics of ""born global"": strategic and operational firm performance",2024,MANAGEMENT DECISION,10.1108/md-02-2023-0168,1_DOI_FIRST,UNSURE,title_insufficient
472,Export status and SME productivity: Learning-to-export versus learning-by-exporting,2021,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2021.02.026,1_DOI_FIRST,Y,STRONG:SI:exp_prod
474,Exploring the exporting-downsizing link: Does the type of export strategy and firm efficiency in foreign markets matter?,2020,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2019.10.074,1_DOI_FIRST,UNSURE,title_insufficient
478,Take your time: Examining when green innovation affects financial performance in multinationals,2019,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2019.06.135,1_DOI_FIRST,UNSURE,title_insufficient
479,Detecting learning-by-exporting effects on firms' productivity distribution by accounting for heterogeneous macrofactors,2019,WORLD ECONOMY,10.1111/twec.12807,1_DOI_FIRST,Y,STRONG:SI:exp_prod
482,A Multimediation Model of Learning by Exporting: Analysis of Export-Induced Productivity Gains,2017,JOURNAL OF MANAGEMENT,10.1177/0149206315573998,1_DOI_FIRST,Y,STRONG:SI:exp_prod
483,"Distances, multinational organisational learning, and firm performance: a new perspective",2017,INTERNATIONAL JOURNAL OF BUSINESS ENVIRONMENT,10.1504/ijbe.2017.10006208,1_DOI_FIRST,Y,DUAL:intl+perf
485,International Cultural Diversification and Corporate Social Performance in Multinational Enterprises: The Role of Slack ,2015,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-014-0225-4,1_DOI_FIRST,N,HARD:DV:csp_mnc
488,"Learning across geographic space: Pro-market reforms, multinationalization strategy, and profitability",2013,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/jibs.2013.5,1_DOI_FIRST,UNSURE,title_insufficient
489,Multinational risk and performance outcomes: Effects of knowledge intensity and industry context,2012,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.02.005,1_DOI_FIRST,Y,STRONG:SI:intl_perf_outcomes
490,WHY DO MULTINATIONAL FIRMS EXIST? A THEORY NOTE ABOUT THE EFFECT OF MULTINATIONAL EXPANSION ON PERFORMANCE AND RECENT ME,2012,GLOBAL STRATEGY JOURNAL,10.1111/j.2042-5805.2012.01045.x,1_DOI_FIRST,UNSURE,title_insufficient
497,Geographic scope and multinational enterprise performance,2003,STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.357,1_DOI_FIRST,UNSURE,title_insufficient
526,"Disaggregating Multinationality: An Empirical Examination of Aggregation, Adaptation, and Arbitrage Activities by U.S. M",2022,STRATEGY SCIENCE,10.1287/stsc.2022.0158,1_DOI_FIRST,UNSURE,title_insufficient
528,The role of international institutional complexity on emerging market multinational companies' innovation,2019,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1166,1_DOI_FIRST,UNSURE,title_insufficient
532,"Political strategies, entrepreneurial overconfidence and foreign direct investment in developing countries",2015,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2015.03.002,1_DOI_FIRST,UNSURE,title_insufficient
534,Organizational learning in SMEs? internationalization: A moderated mediating effect of absorptive capacity,2022,LONG RANGE PLANNING,10.1016/j.lrp.2022.102220,1_DOI_FIRST,UNSURE,title_insufficient
436,"Innovation, Exports and Technical Efficiency in Spain",2014,"DESIGN A PATTERN OF SUSTAINABLE GROWTH: INNOVATION, EDUCATION, ENERGY AND ENVIRONMENT",,2_NO_DOI_MANUAL,UNSURE,title_insufficient
446,"Internationalization, internalization and the performance of US biopharmaceutical SMEs",2011,MULTINATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,N,HARD:oob:health
451,Productivity and Internationalization: A Micro-Data Approach,2011,ECONOMIST-NETHERLANDS,,2_NO_DOI_MANUAL,Y,DUAL:intl+perf
459,"Internationalization and size, age and profitability in the United Kingdom",2004,HANDBOOK OF RESEARCH ON INTERNATIONAL ENTREPRENEURSHIP,,2_NO_DOI_MANUAL,Y,DUAL:intl+perf
499,Born Global Strategies and the Corporate Performance of Korean Firms,2023,JOURNAL OF KOREA TRADE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
514,Proactive management of political risk and corporate performance: The case of Spanish multinational enterprises,2012,INTERNATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,Y,DUAL:intl+perf
518,Are more exports better for a firm's performance? The moderating effect of FDI,2009,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,,2_NO_DOI_MANUAL,Y,STRONG:SI:exp_perf
522,Exchange rate movements and the profitability of US multinationals,2000,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
449,A Contingency Theory of Internationalization Performance for Emerging Market Multinational Enterprises,2011,MANAGEMENT INTERNATIONAL REVIEW,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
453,Internationalization and firm performance: Exploring the moderating effects of regional diversification,2010,AFRICAN JOURNAL OF BUSINESS MANAGEMENT,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
454,Relationships between business factors and performance in internationalization An empirical study in China,2009,MANAGEMENT DECISION,,2_NO_DOI_MANUAL,Y,STRONG:SI:perf_intl
511,Rethinking the Literature on the Performance of Chinese Multinational Enterprises,2016,MANAGEMENT AND ORGANIZATION REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
439,In at the Deep End of Firm Internationalization,2013,MANAGEMENT INTERNATIONAL REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
450,Rapid FDI expansion and firm performance,2011,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,2_NO_DOI_MANUAL,Y,STRONG:SI:fdi_firmperf
455,How Firm Performance Affects Internationalization,2009,MANAGEMENT INTERNATIONAL REVIEW,,2_NO_DOI_MANUAL,Y,STRONG:SI:perf_intl
502,Internationalisation path heterogeneity and growth for international new ventures,2021,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
504,Internationalization and failure risk patterns Evidence from young Estonian manufacturing exporters,2019,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
505,MODELLING INTERNATIONALIZATION OF HIGH GROWTH FIRMS: MICRO LEVEL APPROACH,2019,E & M EKONOMIE A MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
509,"Manufacturing exports, profitability and working capital",2018,HUMAN SYSTEMS MANAGEMENT,,2_NO_DOI_MANUAL,Y,STRONG:SI:exp_profit
515,Innovation and internationalization as growth strategies: The role of technological capabilities and appropriability,2011,INTERNATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
516,"MNC STRATEGIES, EXOGENOUS SHOCKS, AND PERFORMANCE OUTCOMES",2011,STRATEGIC MANAGEMENT JOURNAL,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
517,Value Creation and Home Region Internationalization of U.S. MNEs,2010,MULTINATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,Y,DUAL:intl+perf
520,A Study on the Born Global Venture Corporation's Characteristics and Performance,2007,JOURNAL OF GLOBAL SCHOLARS OF MARKETING SCIENCE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
535,The impact of business group diversification on emerging market multinationals: Evidence from Latin America,2012,INNOVAR-REVISTA DE CIENCIAS ADMINISTRATIVAS Y SOCIALES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
437,Multinational Performance and the Geography of FDI,2013,MANAGEMENT INTERNATIONAL REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
440,Internationalization and Performance of Retail Firms: A Bayesian Dynamic Model,2012,JOURNAL OF RETAILING,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
441,INFORMATION COSTS AND INTERNATIONALIZATION PERFORMANCE,2012,GLOBAL STRATEGY JOURNAL,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
442,Firms' internationalization and productivity growth,2012,RESEARCH IN ECONOMICS,,2_NO_DOI_MANUAL,Y,DUAL:intl+perf
443,The Role of Internationalization in Explaining Innovation Performance,2012,INNOVATIONS IN INTERNATIONAL BUSINESS,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
444,"Export, FDI and firm productivity",2012,APPLIED ECONOMICS,,2_NO_DOI_MANUAL,Y,STRONG:SI:exp_prod
445,The effect of government-designed export promotion service use on small and medium-sized enterprise goal achievement: A ,2012,INDUSTRIAL MARKETING MANAGEMENT,,2_NO_DOI_MANUAL,Y,STRONG:SI:exp_perf
447,"Examining SME performance: the role of innovation, R&D and internationalisation",2011,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL VENTURING,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
448,REEXAMINATION OF THE RELATIONSHIP BETWEEN INTERNATIONALIZATION AND FIRM PERFORMANCE,2011,ACTUAL PROBLEMS OF ECONOMICS,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
452,The risk implications of multinational enterprise,2011,INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
456,The role of internationalization in explaining innovation performance,2008,TECHNOVATION,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
457,"How firms differ in innovation, productivity and internationalisation",2006,"MULTINATIONAL FIRMS, INNOVATION AND PRODUCTIVITY",,2_NO_DOI_MANUAL,Y,DUAL:intl+perf
458,Venture adolescence Internationalization and performance implications of maturation,2006,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
498,ESG and firm performance: The effects of foreigners on board and export orientation,2024,BUSINESS STRATEGY AND DEVELOPMENT,,2_NO_DOI_MANUAL,Y,STRONG:SI:perf_exp
503,R&D offshoring and home industry productivity,2019,INDUSTRIAL AND CORPORATE CHANGE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
507,Firm Size and Performance with special reference to Multinational Pharmaceutical Firms,2018,PACIFIC BUSINESS REVIEW INTERNATIONAL,,2_NO_DOI_MANUAL,N,HARD:oob:health
508,"Location choice, ownership structure and multinational performance",2018,MULTINATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,N,HARD:ant:location_choice
510,"R&D investments, financing constraints, exporting and productivity",2016,ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,,2_NO_DOI_MANUAL,Y,STRONG:SI:exp_prod
512,"Added Psychic Distance Stimuli and MNE Performance Performance Effects of Added Cultural, Governance, Geographic, and Ec",2014,JOURNAL OF INTERNATIONAL MANAGEMENT,,2_NO_DOI_MANUAL,Y,STRONG:SI:mne_perf
519,TESTING THE GLOBAL AND REGIONAL STRATEGIES OF MULTINATIONAL ENTERPRISES,2007,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
523,Analysis of the interaction between regional R&D productivity and the investment strategies of multinational enterprises,1998,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,,2_NO_DOI_MANUAL,Y,DUAL:intl+perf
524,MULTINATIONALS DIVERSIFICATION AND THE RISK-RETURN TRADE-OFF,1993,STRATEGIC MANAGEMENT JOURNAL,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
525,Internationalization of Large Companies from Central and Eastern Europe or the Birth of New Stars,2022,SUSTAINABILITY,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
506,How internationalization affects firms' growth in the MENA region? A quantile regression approach,2019,ECONOMICS BULLETIN,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
536,GOING GLOBAL - THE USE OF ICT NETWORKS IN RESEARCH-AND-DEVELOPMENT,1995,RESEARCH POLICY,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
537,"New venture internationalization, strategic change, and performance: A follow-up study",1996,JOURNAL OF BUSINESS VENTURING,10.1016/0883-9026(95)00081-x,1_DOI_FIRST,N,HARD:proc:strategic_change
538,Effects of international diversity and product diversity on the performance of multinational firms,1996,ACADEMY OF MANAGEMENT JOURNAL,10.2307/256635,1_DOI_FIRST,Y,STRONG:SI:intl_and_perf
539,Problems and remedies of the North Korean Economy: A strategic approach,1996,KOREAN JOURNAL OF DEFENSE ANALYSIS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
540,The internationalization of Latin American enterprises and market liberalization in the Americas: A vital linkage,1997,JOURNAL OF BUSINESS RESEARCH,10.1016/s0148-2963(96)00113-0,1_DOI_FIRST,UNSURE,title_insufficient
541,Development of international competitiveness in industries and individual firms in developing countries: The case of the,1997,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,10.1016/s0925-5273(97)00029-7,1_DOI_FIRST,UNSURE,title_insufficient
542,The end of Japanese-style human resource management?,1998,SLOAN MANAGEMENT REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
543,Management and ownership effects: Evidence from five countries,1998,STRATEGIC MANAGEMENT JOURNAL,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
544,Internationalization and embeddedness in east-central European transition: The contrasting geographies of inward investm,1998,REGIONAL STUDIES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
545,Innovation and profitability of global food firms. Testing for differences in the influence of the home base,1999,ENVIRONMENT AND PLANNING A,10.1068/a310735,1_DOI_FIRST,UNSURE,title_insufficient
546,Foreign direct investment strategies and firms' capabilities,1999,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,10.1111/j.1430-9134.1999.00251.x,1_DOI_FIRST,UNSURE,title_insufficient
547,"Geographic scope, product diversification, and the corporate performance of Japanese firms",1999,STRATEGIC MANAGEMENT JOURNAL,10.1002/(sici)1097-0266(199908)20:8<711::aid-smj41>3.0.co;2-8,1_DOI_FIRST,UNSURE,title_insufficient
548,Information acquisition activities: A study of global start-up exporting companies,2000,JOURNAL OF INTERNATIONAL MARKETING,10.1509/jimk.8.3.36.19636,1_DOI_FIRST,N,HARD:ant:info_acquisition
549,International experience in the executive suite: The path to prosperity?,2000,STRATEGIC MANAGEMENT JOURNAL,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
550,"Technological convergence, globalisation and ownership in the UK computer industry",2000,TECHNOVATION,10.1016/s0166-4972(99)00135-2,1_DOI_FIRST,UNSURE,title_insufficient
551,International corporate entrepreneurship and firm performance: The moderating effect of international environmental host,2000,JOURNAL OF BUSINESS VENTURING,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_and_perf
552,Performance of the selected clusters of small and medium industries in India in the post-reform period - An overview,2001,JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
553,Four decades of Groningen production and pricing policies,2001,GEOLOGIE EN MIJNBOUW-NETHERLANDS JOURNAL OF GEOSCIENCES,10.1017/s0016774600022241,1_DOI_FIRST,UNSURE,title_insufficient
554,The internationalization and performance of SMEs,2001,STRATEGIC MANAGEMENT JOURNAL,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
555,The internationalisation of UK R&D,2001,FISCAL STUDIES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
556,Multinationality and firm performance: The moderating role of R&D and marketing capabilities,2002,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/palgrave.jibs.8491006,1_DOI_FIRST,Y,STRONG:SI:multi_perf
557,Corporate international activity and debt financing,2002,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
558,How do large depreciations affect firm performance?,2002,IMF STAFF PAPERS,10.2307/3872477,1_DOI_FIRST,UNSURE,title_insufficient
559,The implications of strategy and social context for the relationship between top management team heterogeneity and firm ,2002,STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.226,1_DOI_FIRST,UNSURE,title_insufficient
560,"Multinationality, global market diversification and profitability among the largest US firms",2002,JOURNAL OF BUSINESS RESEARCH,10.1016/s0148-2963(00)00153-3,1_DOI_FIRST,Y,DUAL:intl+perf
561,A three-stage theory of international expansion: the link between multinationality and performance in the service sector,2003,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/palgrave.jibs.8400003,1_DOI_FIRST,Y,STRONG:SI:multi_perf
562,Toward a contingency framework of export entrepreneurship: Conceptualisations and empirical evidence,2003,SMALL BUSINESS ECONOMICS,10.1023/a:1020244404241,1_DOI_FIRST,UNSURE,title_insufficient
563,Institutional ownership differences and international diversification: The effects of boards of directors and technologi,2003,ACADEMY OF MANAGEMENT JOURNAL,10.2307/30040614,1_DOI_FIRST,UNSURE,title_insufficient
564,"Policy uncertainty and the sequence of entry by Japanese firms, 1980-1998",2003,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/palgrave.jibs.8400031,1_DOI_FIRST,UNSURE,title_insufficient
565,"The changing Japanese multinational: Application, adaptation and learning in car manufacturing and financial services",2003,JOURNAL OF MANAGEMENT STUDIES,10.1111/1467-6486.00355,1_DOI_FIRST,UNSURE,title_insufficient
566,International expansion of US manufacturing family businesses: the effect of ownership and involvement,2003,JOURNAL OF BUSINESS VENTURING,10.1016/s0883-9026(03)00057-0,1_DOI_FIRST,UNSURE,title_insufficient
567,The relationship between international diversification and performance in service firms,2003,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/palgrave.jibs.8400036,1_DOI_FIRST,Y,STRONG:SI:intl_and_perf
568,A resource-based approach to the study of export performance,2003,JOURNAL OF SMALL BUSINESS MANAGEMENT,,2_NO_DOI_MANUAL,Y,STRONG:SI:exp_perf
569,Internationalization and performance - Findings from a set of Italian SMEs,2003,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
570,"Explaining firms' export behaviour:: R&D, spillovers and the destination market",2003,OXFORD BULLETIN OF ECONOMICS AND STATISTICS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
571,"Testing a model of reasoned risk-taking: Governance, the experience of principals and agents, and global strategy in hig",2003,STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.338,1_DOI_FIRST,UNSURE,title_insufficient
572,Profitability of small- and medium-sized enterprises in high-tech industries: The case of the biotechnology industry,2003,STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.344,1_DOI_FIRST,UNSURE,title_insufficient
573,The effects of top management team pay and firm internationalization on MNC performance,2004,JOURNAL OF MANAGEMENT,10.1016/j.jm.2004.02.001,1_DOI_FIRST,Y,STRONG:SI:intl_perf
574,"Globalisation, international configurations and strategic implications: The case of retailing",2004,LONG RANGE PLANNING,10.1016/j.lrp.2003.11.005,1_DOI_FIRST,UNSURE,title_insufficient
575,Industrial structure and international competitiveness of post-communist Slovenia,2004,POST-COMMUNIST ECONOMIES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
576,Internationalization and the dynamics of product adaptation an empirical investigation,2004,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
577,Export propensity of Estonian and Slovenian manufacturing firms - Does foreign ownership matter?,2004,EASTERN EUROPEAN ECONOMICS,10.1080/00128775.2004.11041084,1_DOI_FIRST,UNSURE,title_insufficient
578,International diversification and firm performance: The S-CURVE hypothesis,2004,ACADEMY OF MANAGEMENT JOURNAL,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_and_perf
579,Internationalization of private firms: environmental turbulence and organizational strategies and resources,2004,ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,10.1080/0898562042000231929,1_DOI_FIRST,UNSURE,title_insufficient
580,Firm-Specific Determinants of Corporate Lobbying Participation and Intensity,2005,INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION,10.1081/pad-200044552,1_DOI_FIRST,UNSURE,title_insufficient
581,Factors associated with the performance of UK SMEs: are they country specific?,2005,ENTREPRENEURSHIP RESEARCH IN EUROPE: OUTCOME AND PERSPECTIVES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
582,"Entrepreneurial Strategic Posture, International Diversifi cation, and Firm Performance",2005,MULTINATIONAL BUSINESS REVIEW,10.1108/1525383x200500003,1_DOI_FIRST,Y,STRONG:SI:intl_and_perf
583,ASPEM as the New Topographic Analysis Tool for Small and Medium-Sized Enterprises (SMEs) Performance Models Utilization,2005,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-005-0305-4,1_DOI_FIRST,UNSURE,title_insufficient
584,Eastern Germany in the process of catching up - The role of foreign and West German investors in technological renewal,2005,EASTERN EUROPEAN ECONOMICS,10.1080/00128775.2005.11041104,1_DOI_FIRST,UNSURE,title_insufficient
585,Determinants of efficiency in least developed countries: Further evidence from Nepalese manufacturing firms,2005,JOURNAL OF DEVELOPMENT STUDIES,10.1080/00220380500092721,1_DOI_FIRST,UNSURE,title_insufficient
586,What matters about internationalization: a market-based assessment,2005,JOURNAL OF BUSINESS RESEARCH,,2_NO_DOI_MANUAL,UNSURE,title_insufficient
587,Antecedents and performance consequences of international outsourcing,2005,INTERNATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,Y,STRONG:SI:perf_consequences
588,"Convergence in the UK service sector: Firm level evidence, 1988-1998",2005,SCOTTISH JOURNAL OF POLITICAL ECONOMY,10.1111/j.1467-9485.2005.00364.x,1_DOI_FIRST,UNSURE,title_insufficient
589,"Ownership, technological intensities, and economic performance in South Africa",2006,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,10.1504/ijtm.2006.009967,1_DOI_FIRST,UNSURE,title_insufficient
590,Can high performance work systems really lead to better performance?,2006,INTERNATIONAL JOURNAL OF MANPOWER,10.1108/01437720610713530,1_DOI_FIRST,UNSURE,title_insufficient
591,Internationalization and Performance: The S-curve Hypothesis and Product Diversity Effect,2006,MULTINATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
592,SME internationalization and performance: Growth vs. profitability,2006,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,2_NO_DOI_MANUAL,Y,STRONG:SI:intl_perf
