seq,priority,doi_available,year,authors,title,journal,doi,access_link,icrv,dpl,doi_type,fp_type,country,cdai,n,r,coding_warning,notes,extracted
293,High,Y,2021,"Crick, James M.; Crick, Dave",Internationalizing the Coopetition Construct: Quadratic Effects on Financial Performance Under Different Degrees of Export Intensity and an Export Geographical Scope,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x20988260,https://doi.org/10.1177/1069031x20988260,,3,export_ratio,financial_perf,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
317,High,Y,2020,"Pisani, Niccolo; Garcia-Bernardo, Javier; Heemskerk, Eelke","Does it pay to be a multinational? A large-sample, cross-national replication assessing the multinationality-performance relationship",STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.3087,https://doi.org/10.1002/smj.3087,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
329,High,Y,2020,"Bandick, Roger","Global sourcing, productivity and export intensity",WORLD ECONOMY,10.1111/twec.12887,https://doi.org/10.1111/twec.12887,,3,export_ratio,Productivity,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
355,High,Y,2020,"Mendoza, Xavier; Espinosa-Mendez, Christian; Araya-Castillo, Luis",When geography matters: International diversification and firm performance of Spanish multinationals,BRQ-BUSINESS RESEARCH QUARTERLY,10.1177/2340944420898981,https://doi.org/10.1177/2340944420898981,1,3,geographic_diversification,firm_performance,Spain,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:prescreen-Y+fp=firm_performance; icrv_auto:country:spain,N
457,High,Y,2018,"Mullen, Cormac; Luff, Martha O'Hagan",Alphabet soup: the relationship between multinationality and firm performance,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2018.1556519,https://doi.org/10.1080/19186444.2018.1556519,,3,other,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
479,High,Y,2017,"Shin, Joonho; Mendoza, Xavier; Hawkins, Matthew A.; Choi, Changbum",The relationship between multinationality and performance: Knowledge-intensive vs. capital-intensive service micro-multinational enterprises,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2017.02.005,https://doi.org/10.1016/j.ibusrev.2017.02.005,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
497,High,Y,2017,"Ral-Trebacz, Arkadiusz",Performance effects of multinationality: evidence from European companies,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2016.079528,https://doi.org/10.1504/ejim.2016.079528,1,3,other,TBD,Europe,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:europe,N
510,High,Y,2016,"Bhaumik, Sumon Kumar; Driffield, Nigel; Zhou, Ying","Country specific advantage, firm specific advantage and multinationality - Sources of competitive advantage in emerging markets: Evidence from the electronics industry in China",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2014.12.006,https://doi.org/10.1016/j.ibusrev.2014.12.006,2,3,other,TBD,China; Emerging economies,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
521,High,Y,2016,"Kirca, Ahmet H.; Fernandez, Whitney Dougla; Kundu, Sumit K.",An empirical analysis and extension of internalization theory in emerging markets: The role of firm-specific assets and asset dispersion in the multinationality-performance relationship,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2016.03.003,https://doi.org/10.1016/j.jwb.2016.03.003,2,3,other,TBD,Emerging economies,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
527,High,Y,2016,"Clegg, Jeremy; Lin, Hsin Mei; Voss, Hinrich; Yen, I-Fan; Shih, Yi Tien",The OFDI patterns and firm performance of Chinese firms: The moderating effects of multinationality strategy and external factors,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2016.01.010,https://doi.org/10.1016/j.ibusrev.2016.01.010,2,3,other,firm_performance,China,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
535,High,Y,2016,"Boehe, Dirk Michael; Jimenez, Alfredo",How does the geographic export diversification-performance relationship vary at different levels of export intensity?,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2016.03.011,https://doi.org/10.1016/j.ibusrev.2016.03.011,,3,export_ratio,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
542,High,Y,2016,"Geleilate, Jose-Mauricio G.; Magnusson, Peter; Parente, Ronaldo C.; Alvarado-Vargas, Marcelo J.",Home Country Institutional Effects on the Multinationality-Performance Relationship: A Comparison Between Emerging and Developed Market Multinationals,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2016.06.001,https://doi.org/10.1016/j.intman.2016.06.001,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
609,High,Y,2014,"Kuzey, Cemil; Uyar, Ali; Delen, Dursun",The impact of multinationality on firm value: A comparative analysis of machine learning techniques,DECISION SUPPORT SYSTEMS,10.1016/j.dss.2013.11.001,https://doi.org/10.1016/j.dss.2013.11.001,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
627,High,Y,2013,"Yildiz, Harun Emre",Performance implications of multinationality: moderating role of foreign market entry mode,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2013-0021,https://doi.org/10.1108/mbr-04-2013-0021,,3,entry_mode,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
645,High,Y,2013,"Amadieu, Paul; Maurel, Carole; Viviani, Jean-Laurent","Intangibles, Export Intensity, and Company Performance in the French Wine Industry",JOURNAL OF WINE ECONOMICS,10.1017/jwe.2013.27,https://doi.org/10.1017/jwe.2013.27,1,3,export_ratio,TBD,France,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:france,N
655,High,Y,2012,"Alegre, Joaquin; Pla-Barber, Jose; Chiva, Ricardo; Villar, Cristina","Organisational learning capability, product innovation performance and export intensity",TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,10.1080/09537325.2012.674672,https://doi.org/10.1080/09537325.2012.674672,,3,export_ratio,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
674,High,Y,2012,"Ganotakis, Panagiotis; Love, James H.","Export propensity, export intensity and firm performance: The role of the entrepreneurial founding team",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/jibs.2012.16,https://doi.org/10.1057/jibs.2012.16,,3,export_ratio,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
695,High,Y,2011,"Abor, Joshua",Do Export Status and Export Intensity Increase Firm Performance?,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.20386,https://doi.org/10.1002/tie.20386,,3,export_ratio,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
717,High,Y,2010,"Rugman, Alan M.; Oh, Chang Hoon",Does the regional nature of multinationals affect the multinationality and performance relationship?,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.02.012,https://doi.org/10.1016/j.ibusrev.2009.02.012,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
727,High,Y,2009,"Verbeke, Alain; Brugman, Paul",Triple-testing the quality of multinationality-performance research: An internalization theory perspective,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.01.005,https://doi.org/10.1016/j.ibusrev.2009.01.005,,2,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
734,High,Y,2008,"Venzin, Markus; Kumar, Vikas; Kleine, Jens",Internationalization of retail banks: A micro-level study of the multinationality-performance relationship,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-008-0027-7,https://doi.org/10.1007/s11575-008-0027-7,,2,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
170,High,N,2023,"Pedersen, Torben; Tallman, Stephen",Global strategy collections: Multinationality and performance,GLOBAL STRATEGY JOURNAL,,https://scholar.google.com/scholar?q=Global+strategy+collections:+Multinationality+and+performance,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing; possible non-primary study,L2:title-I+P-confirmed,N
276,High,N,2021,"Andre, Nuno Miguel Queimado",Sector productivity and geographical diversification as export enhancing factors: the case of Portugal,INTERNATIONAL JOURNAL OF BUSINESS ENVIRONMENT,,https://scholar.google.com/scholar?q=Sector+productivity+and+geographical+diversification+as+export+enhancing+factors:+the+case+of+Portugal,,3,,Productivity,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
328,High,N,2020,"Nguyen, Quyen T. K.; Kim, Sylvia",The multinationality and performance relationship: Revisiting the literature and exploring the implications,INTERNATIONAL BUSINESS REVIEW,,https://scholar.google.com/scholar?q=The+multinationality+and+performance+relationship:+Revisiting+the+literature+and+exploring+the+implications,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
466,High,N,2017,"Castellani, Davide; Montresor, Sandro; Schubert, Torben; Vezzani, Antonio","Multinationality, R&D and productivity: Evidence from the top R&D investors worldwide",INTERNATIONAL BUSINESS REVIEW,,"https://scholar.google.com/scholar?q=Multinationality,+R&D+and+productivity:+Evidence+from+the+top+R&D+investors+worldwide",,3,other,Productivity,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
467,High,N,2017,"Richter, Nicole Franziska; Schmidt, Robert; Ladwig, Tina Jessica; Wulhorst, Fabian",A critical perspective on the measurement of performance in the empirical multinationality and performance literature,CRITICAL PERSPECTIVES ON INTERNATIONAL BUSINESS,,https://scholar.google.com/scholar?q=A+critical+perspective+on+the+measurement+of+performance+in+the+empirical+multinationality+and+performance+literature,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
469,High,N,2017,"Chang, Sea-Jin; Chung, Jaiho",A Quasi-experimental Approach to the Multinationality-performance Relationship: An Application to Learning-by-exporting,GLOBAL STRATEGY JOURNAL,,https://scholar.google.com/scholar?q=A+Quasi-experimental+Approach+to+the+Multinationality-performance+Relationship:+An+Application+to+Learning-by-exporting,,3,other,ACC,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed; fp_auto:pm:Accounting,N
491,High,N,2017,"Grant, Kevin; Matousek, Roman; Meyer, Martin; Tzeremes, Nickolaos G.",A research note on multinationality and firm performance Nonparametric frontier analysis,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,,https://scholar.google.com/scholar?q=A+research+note+on+multinationality+and+firm+performance+Nonparametric+frontier+analysis,,3,other,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
547,High,N,2016,"Kelley, Keith J.",Spatial relativism in multinationality and performance research,AMERICAN JOURNAL OF BUSINESS,,https://scholar.google.com/scholar?q=Spatial+relativism+in+multinationality+and+performance+research,1,3,other,TBD,Usa,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:usa,N
606,High,N,2014,"Powell, K. Skylar",From M-P to MA-P: Multinationality alignment and performance,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,https://scholar.google.com/scholar?q=From+M-P+to+MA-P:+Multinationality+alignment+and+performance,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
633,High,N,2013,"Manjon Antolin, Miguel; Manez, Juan A.; Rochina Barrachina, Maria E.; Sanchis Llopis, Juan A.",Export intensity and the productivity gains of exporting,APPLIED ECONOMICS LETTERS,,https://scholar.google.com/scholar?q=Export+intensity+and+the+productivity+gains+of+exporting,,3,export_ratio,Productivity,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
657,High,N,2012,"Cieslik, Jerzy; Kaciak, Eugene; Welsh, Dianne H. B.",The impact of geographic diversification on export performance of small and medium-sized enterprises (SMEs),JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,,https://scholar.google.com/scholar?q=The+impact+of+geographic+diversification+on+export+performance+of+small+and+medium-sized+enterprises+(SMEs),,3,geographic_diversification,Export/operational,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
659,High,N,2012,"Rodriguez-Rodriguez, Manuel; Galdeano-Gomez, Emilio; Carmona-Moreno, Eva; Godoy-Duran, Angeles","Environmental Impact, Export Intensity, and Productivity Interactions: An Empirical Index Analysis of the Agri-Food Industry in Spain",CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,,"https://scholar.google.com/scholar?q=Environmental+Impact,+Export+Intensity,+and+Productivity+Interactions:+An+Empirical+Index+Analysis+of+the+Agri-Food+Industry+in+Spain",1,3,export_ratio,Productivity,Spain; Canada,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:canada,N
663,High,N,2012,"Anon Higon, Dolores; Manjon Antolin, Miguel","Multinationality, foreignness and institutional distance in the relation between R&D and productivity",RESEARCH POLICY,,"https://scholar.google.com/scholar?q=Multinationality,+foreignness+and+institutional+distance+in+the+relation+between+R&D+and+productivity",,3,other,Productivity,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
675,High,N,2012,"Verbeke, Alain; Forootan, M. Zaman",HOW GOOD ARE MULTINATIONALITY-PERFORMANCE (M-P) EMPIRICAL STUDIES?,GLOBAL STRATEGY JOURNAL,,https://scholar.google.com/scholar?q=HOW+GOOD+ARE+MULTINATIONALITY-PERFORMANCE+(M-P)+EMPIRICAL+STUDIES?,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
686,High,N,2012,"Verbeke, Alain; Brugman, Paul",Triple testing the quality of multinationality-performance research,HANDBOOK OF RESEARCH ON INTERNATIONAL STRATEGIC MANAGEMENT,,https://scholar.google.com/scholar?q=Triple+testing+the+quality+of+multinationality-performance+research,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
701,High,N,2011,"Hennart, Jean-Francois",A THEORETICAL ASSESSMENT OF THE EMPIRICAL LITERATURE ON THE IMPACT OF MULTINATIONALITY ON PERFORMANCE,GLOBAL STRATEGY JOURNAL,,https://scholar.google.com/scholar?q=A+THEORETICAL+ASSESSMENT+OF+THE+EMPIRICAL+LITERATURE+ON+THE+IMPACT+OF+MULTINATIONALITY+ON+PERFORMANCE,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
713,High,N,2010,"Kim, Seog-Soo",A Study on the Relationship between Multinationality and Performance among Korean Firms,JOURNAL OF KOREA TRADE,,https://scholar.google.com/scholar?q=A+Study+on+the+Relationship+between+Multinationality+and+Performance+among+Korean+Firms,1,3,other,TBD,Korea,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
735,High,N,2008,"Li, Lei",Multinationality and technical efficiency: A neglected perspective,MANAGEMENT INTERNATIONAL REVIEW,,https://scholar.google.com/scholar?q=Multinationality+and+technical+efficiency:+A+neglected+perspective,,2,other,Efficiency,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
737,High,N,2008,"Bae, Sung C.; Park, Bell J. C.; Wang, Xiaohong","Multinationality, R&D Intensity, and Firm Performance: Evidence from U.S. Manufacturing Firms",MULTINATIONAL BUSINESS REVIEW,,"https://scholar.google.com/scholar?q=Multinationality,+R&D+Intensity,+and+Firm+Performance:+Evidence+from+U.S.+Manufacturing+Firms",1,2,other,firm_performance,Usa,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
742,High,N,2008,"Bouquet, Cyril; Deutsch, Yuval",The impact of corporate social performance on a firm's multinationality,JOURNAL OF BUSINESS ETHICS,,https://scholar.google.com/scholar?q=The+impact+of+corporate+social+performance+on+a+firm's+multinationality,,2,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
752,High,N,2007,"Bowen, Harry P.",THE EMPIRICS OF MULTINATIONALITY AND PERFORMANCE,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,https://scholar.google.com/scholar?q=THE+EMPIRICS+OF+MULTINATIONALITY+AND+PERFORMANCE,,2,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
782,High,N,1991,"JUNG, YJ",MULTINATIONALITY AND PROFITABILITY,JOURNAL OF BUSINESS RESEARCH,,https://scholar.google.com/scholar?q=MULTINATIONALITY+AND+PROFITABILITY,,1,other,financial_perf,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
8,Medium,Y,2026,"Lima, Pedro G.; Cerdeira, Jorge; Cruz, Sofia Alexandra; Couto, Ana Isabel; Parente, Cristina","Female CEOs, SMEs performance and internationalization: empirical evidence from European peripheral and Nordic countries",MANAGEMENT RESEARCH REVIEW,10.1108/mrr-12-2024-0924,https://doi.org/10.1108/mrr-12-2024-0924,1,3,other,TBD,Europe,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed; icrv_auto:country:europe,N
9,Medium,Y,2026,"Song, Hyoung Ju; Nguyen, Ngoc Tran; Kim, Bora; Yeon, Jihwan",Non-Home-Base Internationalization and Firm Performance in the Hospitality Industry: The Moderating Role of Board Capital,CORNELL HOSPITALITY QUARTERLY,10.1177/19389655251405170,https://doi.org/10.1177/19389655251405170,,3,other,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
13,Medium,Y,2026,"Ma, Peng; Tan, Ya; Xu, Feng",Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2026.01.002,https://doi.org/10.1016/j.eap.2026.01.002,2,3,FDI,Productivity,China,,NR - extract from sample section/table,NR - full-text/statistical table needed,sample size missing; effect size missing,L2:title-I+P-confirmed,N
16,Medium,Y,2026,"Hussain, Waleed; Ong, Tze San; Teh, Boon Heng; Javeed, Sohail Ahmad",Internationalization channels and firm financial performance among Asia-Pacific Corporations. Does ESG integration in business matter?,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,10.1007/s10668-026-07324-2,https://doi.org/10.1007/s10668-026-07324-2,,3,other,financial_perf,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
17,Medium,Y,2026,"Zhang, Wei; He, Xinming; Qiu, Xin; Guo, Rui; Zhang, Ting",The impact of the internationalization strategy of MNEs on innovation performance: the moderating role of digital transformation,INTERNATIONAL MARKETING REVIEW,10.1108/imr-06-2023-0108,https://doi.org/10.1108/imr-06-2023-0108,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
18,Medium,Y,2026,"Lu, Wen-Min; Kweh, Qian Long; Ku, Hsin-Ling","ESG as a Context-Contingent Capability: Competitive Intensity, Internationalization, and Efficiency in the Global Clothing Industry",CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.70460,https://doi.org/10.1002/csr.70460,,3,other,Efficiency,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
21,Medium,Y,2026,"Chen, Haitao; Huang, Xinfei; Xu, Yuheng; Zhao, Chenglin","Supply chain finance participation and outward FDI: The roles of productivity, financial frictions, and information asymmetry",ECONOMIC MODELLING,10.1016/j.econmod.2026.107559,https://doi.org/10.1016/j.econmod.2026.107559,,3,FDI,Productivity,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
22,Medium,Y,2026,"Cambrea, Domenico Rocco; Quarato, Fabio; Pirazzi Maffiola, Kevin",Navigating global waters: performance outcomes of internationalization in family businesses,JOURNAL OF FAMILY BUSINESS MANAGEMENT,10.1108/jfbm-08-2025-0226,https://doi.org/10.1108/jfbm-08-2025-0226,,3,other,TBD,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
25,Medium,Y,2026,"Kagere, Bashir Rajab; Mwebaze, Tom; Kilimani, Nicholas; Egbetokun, Abiodun",Product innovation strategy and firm performance: Novelty and internationalization as mediators,JOURNAL OF SMALL BUSINESS MANAGEMENT,10.1080/00472778.2026.2640356,https://doi.org/10.1080/00472778.2026.2640356,,3,other,firm_performance,NR - full-text needed,,NR - extract from sample section/table,NR - full-text/statistical table needed,country not inferable; sample size missing; effect size missing,L2:title-I+P-confirmed,N
