seq,title,authors,year,doi,icrv,dpl,is_oa,pdf_url
646,OVERSEAS R&D ACTIVITIES AND HOME PRODUCTIVITY GROWTH: EVIDENCE FROM JAPANESE FIRM-LEVEL DATA,"Todo, Yasuyuki; Shimizutani, Satoshi",2008,10.1111/j.1467-6451.2008.00363.x,1,2,False,
649,GEOGRAPHIC MARKET DIVERSIFICATION: A PREMIUM OR DISCOUNT IN FIRM'S VALUE,"Deligonul, Z. Seyda",2009,10.1108/s1474-7979(2009)0000020013,0,2,False,
650,Technological intensities and economic performance: a study of foreign and local electronics firms in Malaysia,"Rasiah, Rajah; Malakolunthu, Asokkumar",2009,10.1080/13602380701668700,2,2,False,
663,"International Diversification, Business Group Affiliation and Firm Performance: Empirical Evidence from India","Gaur, Ajai S.; Kumar, Vikas",2009,10.1111/j.1467-8551.2007.00558.x,3,2,False,
670,The moderating effects of home region orientation on R&D investment and international SME performance: Lessons from Korea,"Lee, In Hyeock; Marvel, Matthew R.",2009,10.1016/j.emj.2009.04.011,1,2,False,
678,Internationalisation and global competitive advantage: implications for Asian emerging market multinational enterprises,"Chang, Juichuan; Pillania, Rajesh K.",2010,10.1504/ijbe.2010.037597,0,3,False,
690,What drives cross-segment diversity in returns and risks? Evidence from Japanese and U.S. firms,"Troberg, Pontus; Kinnunen, Juha; Seppanen, Harri J.",2010,10.1016/j.intacc.2010.01.003,1,2,False,
694,The returns to exporting: evidence from UK firms,"Kneller, Richard; Pisu, Mauro",2010,10.2139/ssrn.959408,1,3,False,
707,"Knowledge Management and Balanced Scorecard Outcomes: Exploring the Importance of Interpretation, Learning and Internationality","Gonzalez-Padron, Tracy L.; Chabowski, Brian R.; Hult, G. Tomas M.; Ketchen, David J., Jr.",2010,10.1111/j.1467-8551.2009.00634.x,1,3,False,
712,Does market context impact payoffs to internationalization?,"Elango, B.",2011,10.1108/09555341111158100,0,3,False,
727,Credit constraints and firm export: Microeconomic evidence from Italy,"Minetti, Raoul; Zhu, Susan Chun",2011,10.1016/j.jinteco.2010.12.004,1,2,False,
728,The effect of multinationality on firm performance: An examination of Japanese service firms,"Endo, Nobuaki; Ozaki, Toshiya",2011,10.1057/abm.2010.32,1,3,False,
730,The impact of international influence on microbanks' performance: A global survey,"Mersland, Roy; Randoy, Trond; Strom, Reidar Oystein",2011,10.1016/j.ibusrev.2010.07.006,0,3,False,
739,THE RELATIONSHIP BETWEEN INTERNATIONAL DIVERSIFICATION AND FIRM PERFORMANCE: WHY IT REMAINS A PUZZLE,"Wiersema, Margarethe F.; Bowen, Harry P.",2011,10.1002/gsj.5,0,3,False,
741,Do firms benefit from multinationality through production shifting?,"Fisch, Jan Hendrik; Zschoche, Miriam",2011,10.1016/j.intman.2011.01.004,0,3,False,
750,Linking market orientation to international market selection and international performance,"He, Xinming; Wei, Yingqi",2011,10.1016/j.ibusrev.2010.10.003,0,3,False,
757,"Antecedents to the export market orientation of Hungarian higher education institutions, and their export performance consequences","Nagy, Gabor; Beracs, Jozsef",2012,10.1080/08841241.2012.738716,2,3,False,
764,"Organisational learning capability, product innovation performance and export intensity","Alegre, Joaquin; Pla-Barber, Jose; Chiva, Ricardo; Villar, Cristina",2012,10.1080/09537325.2012.674672,0,3,False,
776,"Successor characteristics, change in the degree of firm internationalization, and firm performance: The moderating role of environmental uncertainty","Lin, Wen-Ting; Liu, Yunshi",2012,10.5172/jmo.2012.18.1.16,0,3,False,
780,THE ROLE OF TERRITORIAL COVERAGE AND PRODUCT DIVERSIFICATION IN THE MULTINATIONALITY-PERFORMANCE RELATIONSHIP,"Oh, Chang Hoon; Contractor, Farok J.",2012,10.1002/gsj.1031,0,3,False,
794,The performance of small and medium-sized technology-based enterprises: Do product diversity and international diversity matter?,"Li, Lee; Qian, Gongming; Qian, Zhengming",2012,10.1016/j.ibusrev.2011.11.003,0,3,False,
802,"The internationalization of small and medium-sized enterprises: the effect of family management, human capital and foreign ownership","Cerrato, Daniele; Piva, Mariacristina",2012,10.1007/s10997-010-9166-x,0,3,False,
804,THE BORN GLOBAL ILLUSION AND THE REGIONAL NATURE OF INTERNATIONAL BUSINESS,"Rugman, Alan M.; Almodovar, Paloma",2011,10.1108/s1064-4857(2011)0000015015,1,3,False,
811,Graduating to globalisation: a study of Southern multinationals,"Demirbas, Dilek; Patnaik, Ila; Shah, Ajay",2013,10.1108/igdr-12-2012-0050,0,3,False,
818,Learning by exporting: Lessons from high-technology SMEs,"Love, James H.; Ganotakis, Panagiotis",2013,10.1108/dlo.2013.08127caa.012,0,3,False,
821,Performance effects of international expansion processes: The moderating role of top management team experiences,"Hutzschenreuter, Thomas; Horstkotte, Julian",2013,10.1016/j.ibusrev.2012.04.006,0,3,False,
839,Internationalisation and firm performance: state of empirical research efforts and need for improved approaches,"Oesterle, Michael-Joerg; Richta, Hannah Noriko",2013,10.1504/ejim.2013.052834,1,3,False,
