seq,doi,year,title,journal,icrv,dpl,fulltext_screening_reason,notes_for_extractor,abstract
371,,2023,Exports and firm growth: the moderating effect of innovation,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,1,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
401,,2018,Internationalization and performance: the role of depth and breadth,ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,1,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
366,,2024,THE MODERATING EFFECT OF WOMEN MANAGERS IN THE INTERNATIONALISATION AND INTELLECTUAL CAPITAL-PERFORMANCE RELATIONSHIP,TRANSFORMATIONS IN BUSINESS & ECONOMICS,I,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
383,,2021,"Is internationalisation beneficial for novice internationalisers? The performance effects of firm-specific advantages, internationalisation degree and firm size revisited",OECONOMIA COPERNICANA,I,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
388,,2020,"Innovation, internationalisation and the performance of microbusinesses",INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,I,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
416,,2016,Speed of SME Internationalization and Performance,MANAGEMENT INTERNATIONAL REVIEW,I,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
502,,2021,Internationalisation path heterogeneity and growth for international new ventures,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,I,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
516,,2011,"MNC STRATEGIES, EXOGENOUS SHOCKS, AND PERFORMANCE OUTCOMES",STRATEGIC MANAGEMENT JOURNAL,I,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
520,,2007,A Study on the Born Global Venture Corporation's Characteristics and Performance,JOURNAL OF GLOBAL SCHOLARS OF MARKETING SCIENCE,I,2,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
147,,2013,Export intensity and the productivity gains of exporting,APPLIED ECONOMICS LETTERS,II,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
141,,2017,"Multinationality, R&D and productivity: Evidence from the top R&D investors worldwide",INTERNATIONAL BUSINESS REVIEW,0,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
143,,2017,A Quasi-experimental Approach to the Multinationality-performance Relationship: An Application to Learning-by-exporting,GLOBAL STRATEGY JOURNAL,0,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
146,,2014,From M-P to MA-P: Multinationality alignment and performance,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,0,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
150,,2012,"Multinationality, foreignness and institutional distance in the relation between R&D and productivity",RESEARCH POLICY,0,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
155,,2008,Multinationality and technical efficiency: A neglected perspective,MANAGEMENT INTERNATIONAL REVIEW,0,2,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
402,,2018,SMEs Performance and Internationalization: A Traditional Industry Approach,ANNALS OF ECONOMICS AND FINANCE,0,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
415,,2016,THE IMPACT OF INTERNATIONALIZATION AND DIVERSIFICATION ON CONSTRUCTION INDUSTRY PERFORMANCE,INTERNATIONAL JOURNAL OF STRATEGIC PROPERTY MANAGEMENT,0,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
417,,2016,Measuring productivity premia with many modes of internationalization,ECONOMICS LETTERS,0,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
420,,2016,Internationalization and hotel performance: The missing pieces,TOURISM ECONOMICS,0,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
425,,2015,Internationalisation of firms and their innovation and productivity,ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,0,3,,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,
586,,2005,What matters about internationalization: a market-based assessment,JOURNAL OF BUSINESS RESEARCH,,,,source:wos,
596,10.1016/j.jbusvent.2005.02.002,2006,Partnering strategies and performance of SMEs' international joint ventures,JOURNAL OF BUSINESS VENTURING,,,,source:multi,
626,,2008,Regional diversification and firm performance,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,source:multi,
685,10.1057/jibs.2009.69,2010,How much does home country matter to corporate profitability?,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,,,,source:multi,
741,10.1016/j.intman.2011.01.004,2011,Do firms benefit from multinationality through production shifting?,JOURNAL OF INTERNATIONAL MANAGEMENT,,,,source:multi,
768,,2011,"Size, productivity, and international banking",JOURNAL OF INTERNATIONAL ECONOMICS,,,,source:multi,
794,10.1016/j.ibusrev.2011.11.003,2012,The performance of small and medium-sized technology-based enterprises: Do product diversity and international diversity matter?,INTERNATIONAL BUSINESS REVIEW,,,,source:wos,
802,10.1007/s10997-010-9166-x,2012,"The internationalization of small and medium-sized enterprises: the effect of family management, human capital and foreign ownership",JOURNAL OF MANAGEMENT AND GOVERNANCE,,,,source:wos,
809,,2013,Regionalization strategy and performance The moderating role of industry dynamism and top management team diversity,MULTINATIONAL BUSINESS REVIEW,,,,source:wos,
821,10.1016/j.ibusrev.2012.04.006,2013,Performance effects of international expansion processes: The moderating role of top management team experiences,INTERNATIONAL BUSINESS REVIEW,,,,source:multi,
897,,2014,Profitability and Speed of Foreign Market Entry,MANAGEMENT INTERNATIONAL REVIEW,,,,source:wos,
1022,10.1080/14783363.2015.1075873,2016,Offshore R&D and Taiwan-based firm's productivity - does subsidiary mandate matter?,TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE,,,,source:wos,
1164,,2017,Transnationality and Financial Performance in the Era of the Global Factory,MANAGEMENT INTERNATIONAL REVIEW,,,,source:wos,
1427,,2019,International Dispersion and Profitability: An Institution-Based Approach,MANAGEMENT INTERNATIONAL REVIEW,,,,source:multi,
1429,10.1016/j.heliyon.2019.e02664,2019,"Geographical diversification, firm size and profitability in Malaysia: A quantile regression approach",HELIYON,,,,source:wos,
1435,10.1016/j.gfj.2018.02.001,2019,Foreign acquisitions and firm performance: The moderating role of prior foreign experience,GLOBAL FINANCE JOURNAL,,,,source:multi,
1442,,2020,Improving the financial performance of SMEs The presence in foreign markets and the moderating role of corporate group and alliance portfolio size,BUSINESS PROCESS MANAGEMENT JOURNAL,,,,source:multi,
1762,,2022,"Learning, foreign operations and operating performance",GLOBAL FINANCE JOURNAL,,,,source:wos,
1770,10.1016/j.jbusres.2022.03.027,2022,Examining the evolution of emerging market multinational enterprises? competitive advantages: Evidence from India,JOURNAL OF BUSINESS RESEARCH,,,,source:wos,
1883,10.1016/j.intman.2022.100991,2023,Internationalization of Emerging Economy SMEs: A Tripod Approach,JOURNAL OF INTERNATIONAL MANAGEMENT,,,,source:wos,
2134,10.1080/08961530.2025.2475439,2025,Foreign Market Expansion Commitment and SMEs Financial Performance,JOURNAL OF INTERNATIONAL CONSUMER MARKETING,,,,source:multi,
2186,10.1016/j.jbusres.2025.115519,2025,Rethinking the performance implication of regional diversification: The interplay between intra-and inter-regional diversification,JOURNAL OF BUSINESS RESEARCH,,,,source:multi,
2267,10.1016/j.jwb.2026.101726,2026,"The path to SME global performance: Entrepreneurial self-efficacy, perceived institutional support, and international entrepreneurial orientation",JOURNAL OF WORLD BUSINESS,,,,source:wos,
2409,10.1007/s10368-014-0310-y,2016,"Small firm internationalization, innovation, and growth",International Economics and Economic Policy,,,,source:scopus,
2493,10.1300/j042v20n04_02,2007,"Product diversification, multinationality, and country involvement: What is the optimal combination?",Journal of Global Marketing,,,,source:scopus,
2496,10.1016/j.intman.2007.01.001,2007,"Intra-regional sales, product diversity, and the performance of merchandising multinationals",Journal of International Management,,,,source:scopus,
