id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason,round3_decision,round3_reason
S0315,Can proactive environmental strategy improve Multilatinas' level of internationalization? The moderating role of board independence,"Duque-Grisales, Eduardo; Aguilera-Caracuel, Javier; Guerrero-Villegas, Jaime; Garcia-Sanchez, Encarnacion",2020,BUSINESS STRATEGY AND THE ENVIRONMENT,10.1002/bse.2377,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:strategy_intl
S0326,Downstream offshoring and firm-level employment,"Merlevede, Bruno; Michel, Bernhard",2020,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,10.1111/caje.12425,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:DV:offshoring_emp
S0380,Antecedents of strategic ambidexterity in the context of internationalisation: a panel study of Taiwan Small and median-sized enterprises,"Tsai, Huei-Ting; Ren, Shengce",2019,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,10.1080/09537325.2019.1582764,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:strategy_intl
S0440,Business group reputation and affiliates' internationalization strategies,"Mukherjee, Debmalya; Makarius, Erin E.; Stevens, Charles E.",2018,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2017.12.003,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:intl_strategy
S0447,Multinationals and sustainable development: Does internationalization develop corporate sustainability of emerging market multinationals?,"Park, Sang-Bum",2018,BUSINESS STRATEGY AND THE ENVIRONMENT,10.1002/bse.2209,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:DV:corp_sustain
S0448,Exploring the Strategic Motivation of Internationalisation: Indonesian Contractors' Perspectives,"Utama, Wahyudi; Chan, Albert; Zahoor, Hafiz; Gao, Ran; Peli, Martalius",2018,CONSTRUCTION ECONOMICS AND BUILDING,10.5130/ajceb.v18i4.5899,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:strategy_intl
S0454,Transition in-and-out of exporting and its impact on employment growth,"Lafuente, Esteban; Vaillant, Yancy; Moreno-Gomez, Jorge",2018,INTERNATIONAL JOURNAL OF EMERGING MARKETS,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:DV:emp_impact
S0456,Traces of foreign retailers - local knowledge-spillovers and strategy adaption within retail internationalization,"Gersch, Inka",2018,INTERNATIONAL REVIEW OF RETAIL DISTRIBUTION AND CONSUMER RESEARCH,10.1080/09593969.2018.1525756,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:strategy_intl
S0465,Commercialization strategy and internationalization outcomes in technology-based new ventures,"Symeonidou, Noni; Bruneel, Johan; Autio, Erkko",2017,JOURNAL OF BUSINESS VENTURING,10.1016/j.jbusvent.2017.02.004,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:strategy_intl
S0493,"Internationalization, dynamic environments and new product development An empirical investigation of Korean companies","Lee, Keon Bong; Choi, Suk Bong",2017,JOURNAL OF KOREA TRADE,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:DV:intl_NPD
S0494,Family entrepreneurship and internationalization strategies,"Ratten, Vanessa; Ramadani, Veland; Dana, Leo-Paul; Hoy, Frank; Ferreira, Joao",2017,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:intl_strategy
S0505,"Better at home, abroad, or both? How Chinese firms use ambidextrous internationalization strategies to drive innovation","Prange, Christiane; Bruyaka, Olga",2016,CROSS CULTURAL & STRATEGIC MANAGEMENT,10.1108/ccsm-07-2014-0079,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:intl_strategy
S0524,Perspectives on strategic internationalization: Developing capabilities for renewal,"Riviere, Monica; Suder, Gabriele",2016,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2015.10.004,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:strategy_intl
S0530,Does policy reform promote FDI in developing economies? a firm-level simulation approach,"Tanaka, Kiyoyasu; Arita, Shawn",2016,JOURNAL OF ECONOMIC POLICY REFORM,10.1080/17487870.2015.1100083,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:ant:policy_FDI
S0549,INTERNATIONALIZATION STRATEGIES IN OLIGOPOLY WITH HETEROGENEOUS FIRMS,"Barac, Maja; Moner-Colonques, Rafael",2016,BULLETIN OF ECONOMIC RESEARCH,10.1111/boer.12076,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:intl_strategy
S0556,Entrepreneurial Orientation and Business Internationalisation Process: The Theoretical Foundations of International Entrepreneurship,"Wach, Krzysztof",2015,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2015.030202,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:theory:EO_process
S0596,"Policy effectiveness and ""misalignment"" with firms' strategies A study of pro-internationalization incentives","Torres, Miguel M.; Clegg, L. Jeremy",2014,MULTINATIONAL BUSINESS REVIEW,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:strategy_intl
S0629,Business group attributes and internationalization strategy in China,"Yiu, Daphne W.; Ng, Frank W.; Ma, Xufei",2013,ASIAN BUSINESS & MANAGEMENT,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:intl_strategy
S0646,Born local: toward a theory of new venture's choice of internationalization,"Acs, Zoltan J.; Terjesen, Siri",2013,SMALL BUSINESS ECONOMICS,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:theory:born_local
S0707,Does Board Independence Influence the Top Management Team? Evidence from Strategic Decisions toward Internationalization,"Chen, Hsiang-Lan",2011,CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,10.1111/j.1467-8683.2011.00850.x,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:strategy_intl
S0710,Firms' Internationalisation Strategies: The Evidence,"Greenaway, David; Kneller, Richard; McGowan, Danny",2011,PALGRAVE HANDBOOK OF INTERNATIONAL TRADE,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:strat:intl_strategy
S0711,THE BORN GLOBAL ILLUSION AND THE REGIONAL NATURE OF INTERNATIONAL BUSINESS,"Rugman, Alan M.; Almodovar, Paloma",2011,FUTURE OF FOREIGN DIRECT INVESTMENT AND THE MULTINATIONAL ENTERPRISE,10.1108/s1064-4857(2011)0000015015,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,N,HARD:theory:born_illusion2
