seq,year,authors,title,link,icrv_hint,icrv,notes
471,2021,"Morgan, Horatio M.; Sui, Sui; Malhotra, Shavin",No place like home: The effect of exporting to the country of origin on the financial performance of immigrant-owned SMEs,https://doi.org/10.1057/s41267-020-00360-8,,,
472,2021,"Gkypali, Areti; Love, James H.; Roper, Stephen",Export status and SME productivity: Learning-to-export versus learning-by-exporting,https://doi.org/10.1016/j.jbusres.2021.02.026,,,
474,2020,"Campos-Garcia, Irene; Munoz-Bullon, Fernando; Sanchez-Bueno, Maria J.; Angel Zuniga-Vicente, Jose",Exploring the exporting-downsizing link: Does the type of export strategy and firm efficiency in foreign markets matter?,https://doi.org/10.1016/j.jbusres.2019.10.074,,,
479,2019,"Ferrante, Maria R.; Freo, Marzia",Detecting learning-by-exporting effects on firms' productivity distribution by accounting for heterogeneous macrofactors and panel attrition,https://doi.org/10.1111/twec.12807,,,
482,2017,"Tse, Caleb H.; Yu, Linhui; Zhu, Jianjun",A Multimediation Model of Learning by Exporting: Analysis of Export-Induced Productivity Gains,https://doi.org/10.1177/0149206315573998,,,
483,2017,"Metz, Philipp","Distances, multinational organisational learning, and firm performance: a new perspective",https://doi.org/10.1504/ijbe.2017.10006208,,,
489,2012,"Andersen, Torben Juul",Multinational risk and performance outcomes: Effects of knowledge intensity and industry context,https://doi.org/10.1016/j.ibusrev.2011.02.005,,,
490,2012,"Contractor, Farok J.",WHY DO MULTINATIONAL FIRMS EXIST? A THEORY NOTE ABOUT THE EFFECT OF MULTINATIONAL EXPANSION ON PERFORMANCE AND RECENT METHODOLOGICAL CRITIQUES,https://doi.org/10.1111/j.2042-5805.2012.01045.x,,,
497,2003,"Goerzen, A; Beamish, PW",Geographic scope and multinational enterprise performance,https://doi.org/10.1002/smj.357,,,
498,2024,"Wu, Chen-Hui; Nguyen, Thi-Kim-Tuyen",ESG and firm performance: The effects of foreigners on board and export orientation,,,,
506,2019,"Ben Slimane, Mehdi; Baghdadi, Leila",How internationalization affects firms' growth in the MENA region? A quantile regression approach,,,,
509,2018,"Habib, Ashfaq; Huang, Xiaoxia","Manufacturing exports, profitability and working capital",,,,
510,2016,"Altomonte, Carlo; Gamba, Simona; Mancusi, Maria Luisa; Vezzulli, Andrea","R&D investments, financing constraints, exporting and productivity",,,,
512,2014,"Hutzschenreuter, Thomas; Kleindienst, Ingo; Lange, Sandra","Added Psychic Distance Stimuli and MNE Performance Performance Effects of Added Cultural, Governance, Geographic, and Economic Distance in MNEs' International Expansion",,,,
523,1998,"Campi, C; La Bella, A",Analysis of the interaction between regional R&D productivity and the investment strategies of multinational enterprises,,,,
538,1996,"Tallman, S; Li, JT",Effects of international diversity and product diversity on the performance of multinational firms,https://doi.org/10.2307/256635,,,
551,2000,"Zahra, SA; Garvis, DM",International corporate entrepreneurship and firm performance: The moderating effect of international environmental hostility,,,,
554,2001,"Lu, JW; Beamish, PW",The internationalization and performance of SMEs,,,,
556,2002,"Kotabe, M; Srinivasan, SS; Aulakh, PS",Multinationality and firm performance: The moderating role of R&D and marketing capabilities,https://doi.org/10.1057/palgrave.jibs.8491006,,,
558,2002,"Forbes, KJ",How do large depreciations affect firm performance?,https://doi.org/10.2307/3872477,,,
561,2003,"Contractor, FJ; Kundu, SK; Hsu, CC",A three-stage theory of international expansion: the link between multinationality and performance in the service sector,https://doi.org/10.1057/palgrave.jibs.8400003,,,
567,2003,"Capar, N; Kotabe, M",The relationship between international diversification and performance in service firms,https://doi.org/10.1057/palgrave.jibs.8400036,,,
568,2003,"Dhanaraj, C; Beamish, PW",A resource-based approach to the study of export performance,,,,
573,2004,"Carpenter, MA; Sanders, WG",The effects of top management team pay and firm internationalization on MNC performance,https://doi.org/10.1016/j.jm.2004.02.001,,,
575,2004,"Sustar, B",Industrial structure and international competitiveness of post-communist Slovenia,,,,
578,2004,"Lu, JW; Beamish, PW",International diversification and firm performance: The S-CURVE hypothesis,,,,
579,2004,"Westhead, P; Wright, M; Ucbasaran, D",Internationalization of private firms: environmental turbulence and organizational strategies and resources,https://doi.org/10.1080/0898562042000231929,,,
582,2005,"Thoumrungroje, Amonrat; Tansuhaj, Patriya","Entrepreneurial Strategic Posture, International Diversifi cation, and Firm Performance",https://doi.org/10.1108/1525383x200500003,,,
587,2005,"Mol, MJ; van Tulder, RJM; Beije, PR",Antecedents and performance consequences of international outsourcing,,,,
591,2006,"Hsu, Chin-Chun",Internationalization and Performance: The S-curve Hypothesis and Product Diversity Effect,,,,
592,2006,"Lu, Jane W.; Beamish, Paul W.",SME internationalization and performance: Growth vs. profitability,,,,
593,2006,"Wagner, Joachim",Export intensity and plant characteristics: What can we learn from quantile regression?,https://doi.org/10.1142/9781786349699_0008,,,
603,2007,"Aspelund, Arild; Madsen, Tage Koed; Moen, Oystein","A review of the foundation, international marketing strategies, and performance of international new ventures",https://doi.org/10.1108/03090560710821242,,,
605,2007,"Bausch, Andreas; Fritz, Thomas; Boesecke, Kathrin",PERFORMANCE EFFECTS OF INTERNATIONALIZATION STRATEGIES: A META-ANALYSIS,,,,
609,2007,"Richter, Nicole",INTRA-REGIONAL SALES AND THE INTERNATIONALIZATION AND PERFORMANCE RELATIONSHIP,,,,
612,2007,"Chang, Shao-Chi; Wang, Chi-Feng",The effect of product diversification strategies on the relationship between international diversification and firm performance,https://doi.org/10.1016/j.jwb.2006.11.002,,,
614,2007,"Driffield, Nigel; Love, James H.",Linking FDI motivation and host economy productivity effects: conceptual and empirical analysis,https://doi.org/10.1057/palgrave.jibs.8400268,,,
616,2007,"Chari, Murali D. R.; Devaraj, Sarv; David, Parthiban",International diversification and firm performance: Role of information technology investments,https://doi.org/10.1016/j.jwb.2007.02.004,,,
617,2007,"Nes, Erik B.; Solberg, Carl Arthur; Silkoset, Ragnhild",The impact of national culture and communication on exporter-distributor relations and on export performance,https://doi.org/10.1016/j.ibusrev.2007.01.008,,,
629,2008,"Kneller, Richard; Pisu, Mauro; Yu, Zhihong",Overseas business costs and firm export performance,https://doi.org/10.1111/j.1540-5982.2008.00480.x,,,
630,2008,"Lockett, Andy; Wright, Mike; Burrows, Andrew; Scholes, Louise; Paton, Dave",The export intensity of venture capital backed companies,https://doi.org/10.1007/s11187-008-9109-y,,,
638,2008,"Pangarkar, Nitin",Internationalization and performance of small- and medium-sized enterprises,https://doi.org/10.1016/j.jwb.2007.11.009,,,
640,2008,"Brock, David M.; Yaffe, Tal",International diversification and performance: The mediating role of implementation,,,,
655,2009,"Andersson, Martin; Loof, Hans",Learning-by-Exporting Revisited: The Role of Intensity and Persistence*,,,,
684,2010,"Nielsen, Bo Bernhard; Nielsen, Sabina",A MULTILEVEL APPROACH TO UNDERSTANDING THE MULTINATIONALITY-PERFORMANCE RELATIONSHIP,,,,
686,2010,"Fernhaber, Stephanie A.; Li, Dan",The Impact of Interorganizational Imitation on New Venture International Entry and Performance,https://doi.org/10.1111/j.1540-6520.2009.00365.x,,,
692,2010,"Nielsen, Sabina",Top Management Team Internationalization and Firm Performance,,,,
699,2010,"Qian, Gongming; Khoury, Theodore A.; Peng, Mike W.; Qian, Zhengming",THE PERFORMANCE IMPLICATIONS OF INTRA- AND INTER-REGIONAL GEOGRAPHIC DIVERSIFICATION,,,,
701,2010,"Chen, Homin; Hsu, Chia-Wen","Internationalization, resource allocation and firm performance",,,,
712,2011,"Elango, B.",Does market context impact payoffs to internationalization?,https://doi.org/10.1108/09555341111158100,,,
714,2011,"Munoz-Bullon, Fernando; Sanchez-Bueno, Maria J.",Is there new evidence to show that product and international diversification influence SMEs' performance?,,,,
718,2011,"Portes, Richard; Baldursson, Fridrik Mar; Olafsson, Frosti",The Internationalization of Iceland's Financial Sector,,,,
721,2011,"Zhang, Y.; Toppinen, A.",Internationalization and financial performance in the global forest industry,,,,
739,2011,"Wiersema, Margarethe F.; Bowen, Harry P.",THE RELATIONSHIP BETWEEN INTERNATIONAL DIVERSIFICATION AND FIRM PERFORMANCE: WHY IT REMAINS A PUZZLE,https://doi.org/10.1002/gsj.5,,,
750,2011,"He, Xinming; Wei, Yingqi",Linking market orientation to international market selection and international performance,https://doi.org/10.1016/j.ibusrev.2010.10.003,,,
755,2011,"Chan, Polly; Finnegan, Carol; Sternquist, Brenda",Country and firm level factors in international retail expansion,,,,
764,2012,"Alegre, Joaquin; Pla-Barber, Jose; Chiva, Ricardo; Villar, Cristina","Organisational learning capability, product innovation performance and export intensity",https://doi.org/10.1080/09537325.2012.674672,,,
765,2012,"Yang, Yong; Driffield, Nigel",Multinationality-Performance Relationship A Meta-analysis,,,,
767,2011,"Mpinganjira, Mercy",Perceived benefits and barriers to export involvement: Insights from non-exporters,,,,
774,2012,"Cieslik, Jerzy; Kaciak, Eugene; Welsh, Dianne H. B.",The impact of geographic diversification on export performance of small and medium-sized enterprises (SMEs),,,,
776,2012,"Lin, Wen-Ting; Liu, Yunshi","Successor characteristics, change in the degree of firm internationalization, and firm performance: The moderating role of environmental uncertainty",https://doi.org/10.5172/jmo.2012.18.1.16,,,
780,2012,"Oh, Chang Hoon; Contractor, Farok J.",THE ROLE OF TERRITORIAL COVERAGE AND PRODUCT DIVERSIFICATION IN THE MULTINATIONALITY-PERFORMANCE RELATIONSHIP,https://doi.org/10.1002/gsj.1031,,,
781,2012,"Kirca, Ahmet H.; Roth, Kendall; Hult, G. Tomas M.; Cavusgil, S. Tamer",THE ROLE OF CONTEXT IN THE MULTINATIONALITY-PERFORMANCE RELATIONSHIP: A META-ANALYTIC REVIEW,,,,
805,2013,"Polat, Inci; Mutlu, Hanifi Murat",DEGREE OF INTERNATIONALIZATION IN LOGISTICS SECTOR AND STRATEGIC ORIENTATIONS,,,,
813,2013,"Sinkovics, Noemi; Sinkovics, Rudolf R.; Jean, Ruey-Jer 'Bryan'",The internet as an alternative path to internationalization?,,,,
818,2013,"Love, James H.; Ganotakis, Panagiotis",Learning by exporting: Lessons from high-technology SMEs,https://doi.org/10.1108/dlo.2013.08127caa.012,,,
824,2013,"Kistruck, Geoffrey M.; Qureshi, Israr; Beamish, Paul W.",Geographic and Product Diversification in Charitable Organizations,https://doi.org/10.1177/0149206311398135,,,
835,2013,"Tsao, Shou-Min; Lien, Wei-Hao",Family Management and Internationalization: The Impact on Firm Performance and Innovation,,,,
839,2013,"Oesterle, Michael-Joerg; Richta, Hannah Noriko",Internationalisation and firm performance: state of empirical research efforts and need for improved approaches,https://doi.org/10.1504/ejim.2013.052834,,,
849,2013,"Qian, Gongming; Li, Lee; Rugman, Alan M.",Liability of country foreignness and liability of regional foreignness: Their effects on geographic diversification and firm performance,https://doi.org/10.1057/jibs.2013.21,,,
866,2013,"Song, Sangcheol","FDI Structure, Investment Specificity, and Multinationality Value under Host Market Uncertainty",https://doi.org/10.1007/s11575-013-0181-4,,,
874,2014,"Cieslik, Andrzej; Michalek, Jan; Michalek, Anna","The Influence of Firm Characteristics and Export Performance in Central and Eastern Europe: Comparisons of Visegrad, Baltic and Caucasus States",,,,
889,2014,"Zhou, Lianxi; Wu, Aiqi",Earliness of internationalization and performance outcomes: Exploring the moderating effects of venture age and international commitment,https://doi.org/10.1016/j.jwb.2013.10.001,,,
893,2014,"Diez-Vial, Isabel; Fernandez-Olmos, Marta",How Do Local Knowledge Spillovers and Experience Affect Export Performance?,https://doi.org/10.1080/09654313.2012.741570,,,
900,2014,"de Jong, Gjalt; van Houten, Jerry",The impact of MNE cultural diversity on the internationalization-performance relationship Theory and evidence from European multinational enterprises,,1,,
918,2014,"Hilmersson, Mikael",Small and medium-sized enterprise internationalisation strategy and performance in times of market turbulence,https://doi.org/10.1177/0266242613497744,,,
921,2014,"Boly, Amadou; Coniglio, Nicola Daniele; Prota, Francesco",Diaspora Investments and Firm Export Performance in Selected Sub-Saharan African Countries,https://doi.org/10.1016/j.worlddev.2014.02.006,,,
980,2015,"Fernandez Olmos, Marta; Diez-Vial, Isabel",Internationalization pathways and the performance of SMEs,,,,
994,2015,"Debrulle, Jonas; Maes, Johan","Start-ups' Internationalization: The Impact of Business Owners' Management Experience, Start-up Experience and Professional Network on Export Intensity",https://doi.org/10.1111/emre.12050,,,
1011,2014,"Verbeke, Alain; Van Tulder, Rob; Lundan, Sarianna",NEW ANALYSIS OF MULTINATIONAL ENTERPRISES AND THEIR LINKAGES WITH MARKETS AND INSTITUTIONAL DIVERSITY,https://doi.org/10.1108/s1745-886220140000009006,,,
1012,2015,"Masso, Jaan; Roigas, Kaert; Vahter, Priit","Foreign market experience, learning by hiring and firm export performance",https://doi.org/10.1007/s10290-015-0224-y,,,
1013,2015,"Gkypali, Areti; Rafailidis, Apostolos; Tsekouras, Kostas",Innovation and export performance: do young and mature innovative firms differ?,https://doi.org/10.1007/s40821-015-0030-4,,,
1058,2016,"Vithessonthi, Chaiporn; Racela, Olimpia C.",Short- and long-run effects of internationalization and R&D intensity on firm performance,https://doi.org/10.1016/j.mulfin.2015.12.001,,,
1064,2016,"Tan, Brian Roy; Chintakananda, Asda",THE EFFECTS OF HOME COUNTRY POLITICAL AND LEGAL INSTITUTIONS ON FIRMS' GEOGRAPHIC DIVERSIFICATION PERFORMANCE,https://doi.org/10.1002/gsj.1117,,,
1091,2016,"Vithessonthi, Chaiporn","Capital investment, internationalization, and firm performance: Evidence from Southeast Asian countries",https://doi.org/10.2139/ssrn.2703930,,,
1092,2016,"Reis, Joana; Forte, Rosa",The impact of industry characteristics on firms' export intensity,,,,
1102,2016,"Berry, Heather; Kaul, Aseem",REPLICATING THE MULTINATIONALITY-PERFORMANCE RELATIONSHIP: IS THERE AN S-CURVE?,,,,
1115,2016,"Acar, F. Pinar",The effects of top management team composition on SME export performance: an upper echelons perspective,https://doi.org/10.1007/s10100-015-0408-5,,,
1128,2016,"Ferraris, Alberto; Bresciani, Stefano",International diversification and firm performance: a four-stage model,,,,
1135,2017,"Qiu, Bin; Yan, Zhijun","Market Efficiency, Heterogeneous Trade Costs and Export-Only Firms",https://doi.org/10.1111/1468-0106.12206,,,
1148,2017,"Lana, Jeferson; Marcon, Rosilene; Bandeira-de-Mello, Rodrigo; Xavier, Wlamir",Financial dimension of internationalization: serving two masters,https://doi.org/10.1108/cg-05-2016-0110,,,
1189,2017,"Prange, Christiane; Pinho, Jose Carlos",How personal and organizational drivers impact on SME international performance: The mediating role of organizational innovation,https://doi.org/10.1016/j.ibusrev.2017.04.004,,,
1199,2017,"Abdolvand, Mohammad Ali; Keisami, Mina Khalili",Examining drivers of e-commerce marketing capabilities and their impact on export venture e-commerce performance and export market growth: mediating role of efficiencies,https://doi.org/10.29042/2017-2141-2149,,,
1202,2018,"Booltink, Lucas W. A.; Saka-Helmhout, Ayse",The effects of R&D intensity and internationalization on the performance of non-high-tech SMEs,,,,
1210,2018,"Coudounaris, Dafnis N.",Export promotion programmes for assisting SMEs,https://doi.org/10.1108/ribs-06-2017-0050,,,
1216,2018,"Valero Cordoba, Gladys Mireya; Rodenes, Manuel; Elena Rueda, Gladys",Effects of the use of competitiveness as a strategy on exporting companies: Status of the issue,,,,
1219,2018,"Li, Anran",Foreign subsidiaries' status: Distinctive determinants and implications for subsidiary performance,https://doi.org/10.1002/tie.21956,,,
1226,2018,"Ciszewska-Mlinaric, Mariola","Export Intensity, Geographic Diversification and the Role of Public Support: The Evidence from Old and New Europe SMEs",https://doi.org/10.15678/eber.2018.060203,,,
1229,2018,"Cieslik, Andrzej; Michalek, Jan Jakub","Process and product innovations, multi-product status and export performance: firm-level evidence from V-4 countries",,,,
1232,2018,"Schwens, Christian; Zapkau, Florian B.; Bierwerth, Michael; Isidor, Rodrigo; Knight, Gary; Kabst, Ruediger",International Entrepreneurship: A Meta-Analysis on the Internationalization and Performance Relationship,,,,
1250,2018,"Rua, Orlando Lima",From intangible resources to export performance: Exploring the mediating effect of absorptive capabilities and innovation,,,,
1252,2018,"Calabrese, Giuseppe Giulio; Manello, Alessandro",Firm internationalization and performance: Evidence for designing policies,,,,
1256,2018,"Abdi, Majid; Aulakh, Preet S.","Internationalization and performance: Degree, duration, and scale of operations",,,,
1258,2018,"Sadeghi, Arash; Rose, Elizabeth L.; Chetty, Sylvie",Disentangling the effects of post-entry speed of internationalisation on export performance of INVs,https://doi.org/10.1177/0266242618775169,,,
1260,2018,"Batsakis, Georgios; Wood, Geoffrey; Azar, Goudarz; Singh, Satwinder",International diversification and firm performance in the post-acquisition period: A resource dependence perspective,https://doi.org/10.1016/j.jbusres.2018.02.025,,,
1275,2018,"Freixanet, Joan; Renart, Gemma; Rialp-Criado, Alex",The Impact of Managers' Global Orientation on SME Export and Economic Performance,https://doi.org/10.1007/s11575-018-0358-y,,,
1287,2018,"Wiley, Carolyn; Monllor-Tormos, Mireia",Board Gender Diversity in the STEM&F Sectors: The Critical Mass Required to Drive Firm Performance,https://doi.org/10.1177/1548051817750535,,,
1288,2018,"Rua, Orlando; Franca, Alexandra; Fernandez Ortiz, Ruben",Key drivers of SMEs export performance: the mediating effect of competitive advantage,https://doi.org/10.1108/jkm-07-2017-0267,,,
1302,2017,"Macchion, Laura; Moretto, Antonella Maria; Caniato, Federico; Caridi, Maria; Danese, Pamela; Vinelli, Andrea",International e-commerce for fashion products: what is the relationship with performance?,,,,
1309,2017,"Bianchi, Constanza; Glavas, Charmaine; Mathews, Shane",SME international performance in Latin America The role of entrepreneurial and technological capabilities,,,,
1328,2019,"Cos, Pilar; Colonn, Antonio; Cabases, Angels",Geographic export diversification: Determinants and their link with export performance,https://doi.org/10.1002/tie.21991,,,
1350,2019,"Mulliqi, Arta; Adnett, Nick; Hisarciklilar, Mehtap",Human capital and exports: A micro-level analysis of transition countries,https://doi.org/10.1080/09638199.2019.1603319,,,
1391,2019,"Thakur-Wernz, Pooja; Samant, Shantala",Relationship between international experience and innovation performance: The importance of organizational learning for EMNEs,https://doi.org/10.1002/gsj.1183,,,
1403,2020,"Okafor, Luke Emeka; Bhattacharya, Mita; Apergis, Nicholas","Bank credit, public financial incentives, tax financial incentives and export performance during the global financial crisis",https://doi.org/10.1111/twec.12848,,,
1466,2020,"Debicki, Bart J.; Miao, Chao; Qian, Shanshan",Internationalization and family firm performance A cross-cultural meta-analysis of the main effect and moderating factors,,,,
1491,2020,"Mahmoud, Mahmoud Abdulai; Adams, Matilda; Abubakari, Aidatu; Commey, Nicholas Oblitei; Kastner, Adelaide Naa Amerley",Social media resources and export performance: the role of trust and commitment,,,,
1494,2020,"D'Angelo, Alfredo; Ganotakis, Panagiotis; Love, James H.","Learning by exporting under fast, short-term changes: The moderating role of absorptive capacity and foreign collaborative agreements",,,,
1496,2020,"Faria, Samuel; Rebelo, Joao; Gouveia, Sofia",FIRMS' EXPORT PERFORMANCE: A FRACTIONAL ECONOMETRIC APPROACH,,,,
1505,2020,"Song, Hyoung Ju; Yoon, Yu Na; Kang, Kyung Ho",The relationship between board diversity and firm performance in the lodging industry: The moderating role of internationalization,https://doi.org/10.1016/j.ijhm.2020.102461,,,
1539,2021,"Song, Sujin; Lee, Seoki",The Effect of Internationalization on Firm Performance: A Moderating Role of Heterogeneity in TMTs' Nationality,https://doi.org/10.1177/1938965520958703,,,
1540,2020,Anh Tu Phan; Thi Bach Yen Tran; Thanh Thuy Lu,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,https://doi.org/10.5267/j.dsl.2020.7.001,,,
1544,2021,"Forte, Rosa; Botelho, Andreia",Debt-performance relationship and firms' international trade activities,https://doi.org/10.1108/mf-04-2020-0162,,,
1551,2020,"Muller, Alan",When Does Corporate Social Performance Pay for International Firms?,https://doi.org/10.1177/0007650318816957,,,
1561,2020,"Azari, Mohammad Javadinia; Aspelund, Arild; Eide, Ann Elida",Knowledge integration in international SMEs - The effects on firm innovation and performance,,,,
1564,2022,"Belderbos, Rene; Lokshin, Boris; Boone, Christophe; Jacob, Jojo",Top management team international diversity and the performance of international R&D,,,,
1568,2021,"Sala-Rios, Merce; Farre-Perdiguer, Mariona",Export behaviour and innovation: a challenge to be met by cooperatives,,,,
1607,2021,"Davcik, Nebojsa S.; Cardinali, Silvio; Sharma, Piyush; Cedrola, Elena",Exploring the role of international R&D activities in the impact of technological and marketing capabilities on SMEs' performance,https://doi.org/10.1016/j.jbusres.2020.04.042,,,
1625,2021,"Chan, Christine M.; Du, Jialin","The dynamic process of pro-market reforms and foreign affiliate performance: When to seek local, subnational, or global help?",https://doi.org/10.1057/s41267-021-00429-y,,,
1626,2021,"Danish, Mohd Shadab; Haider, Salman; Dhanora, Madan; Sharma, Ruchi",Modelling two-way relationship between innovation and internationalisation: does learning by export matter?,https://doi.org/10.1080/19186444.2021.1908791,,,
1637,2022,"Freixanet, Joan; Rialp, Josep","Disentangling the relationship between internationalization, incremental and radical innovation, and firm performance",https://doi.org/10.1002/gsj.1412,,,
1647,2021,"Chung, Henry F. L.; Ho, Mia Hsiao-Wen","International competitive strategies, organizational learning and export performance: a match and mis-match conceptualization",https://doi.org/10.1108/ejm-04-2019-0309,,,
1653,2022,"Criaco, Giuseppe; Naldi, Lucia; Zahra, Shaker A.","Founders' Prior Shared International Experience, Time to First Foreign Market Entry, and New Venture Performance",https://doi.org/10.1177/01492063211029701,,,
1654,2021,"Freixanet, Joan; Churakova, Iya; Rialp, Josep; Lin, Hsin-Chen",Riding the storm out: the short- and long-term effects of export promotion on firm performance during an economic downturn,https://doi.org/10.1504/ejim.2021.116703,,,
1655,2022,"Fuentelsaz, Lucio; Garrido, Elisabet; Gonzalez, Minerva",Speed of institutional change and subsidiary performance: The moderating impact of home and host country learning,https://doi.org/10.1002/gsj.1416,,,
1669,2021,"Kazemi, Ali; Rousta, Alireza; Na'ami, Abdullah",Analyzing the Impact of Export Orientations on Export Performance Through Innovation and Internationalization: The Mediation-Moderation Model,,,,
1672,2021,"Kim, Incheol; Pantzalis, Christos; Zhang, Zhengyi",Multinationality and the value of green innovation,,,,
1679,2021,"Haddoud, Mohamed Yacine; Onjewu, Adah-Kole Emmanuel; Nowinski, Witold",Environmental commitment and innovation as catalysts for export performance in family firms,https://doi.org/10.1016/j.techfore.2021.121085,,,
1697,2020,"Esaku, Stephen","Investments, export entry and export intensity in small manufacturing firms",https://doi.org/10.1007/s40812-020-00156-9,,,
1710,2022,"Kim, YooJung; Seo, Yejung",The synergistic impact between internationalization and supply-and-demand interaction on firm performance: a study of environmental responsibility in social networking service,https://doi.org/10.1108/ijchm-05-2021-0679,,,
1719,2022,"Vendrell-Herrero, Ferran; Darko, Christian K.; Gomes, Emanuel; Lehman, David W.",Home-market economic development as a moderator of the self-selection and learning-by-exporting effects,https://doi.org/10.1057/s41267-021-00481-8,,,
1733,2022,"Benfratello, L.; Bottasso, A.; Piccardo, C.",'R&D and export performance: exploring heterogeneity along the export intensity distribution',https://doi.org/10.1007/s40812-022-00209-1,,,
1744,2022,"Freixanet, Joan; Federo, Ryan","The complex interplay of firm innovation, internationalization and learning capability in driving firm performance: a configurational analysis",https://doi.org/10.1108/jsma-11-2021-0220,,,
1747,2023,"Pastelakos, Evangelos; Theodoraki, Christina; Catanzaro, Alexis",The role of innovation and internationalization support in small- and medium-sized enterprises' export performance,https://doi.org/10.1111/emre.12513,,,
1748,2022,"Tandrayen-Ragoobur, Verena",The innovation and exports interplay across Africa: Does business environment matter?,https://doi.org/10.1080/09638199.2022.2051588,,,
1753,2022,"Schmuck, Alice; Lagerstrom, Katarina; Sallis, James",Turning the Tables: The Relationship Between Performance and Multinationality,https://doi.org/10.1007/s11575-022-00464-3,,,
1756,2022,"Anon Higon, Dolores; Bonvin, Daniel",Information and communication technologies and firms' export performance,,,,
1776,2023,"Miocevic, Dario; Gnizy, Itzhak; Cadogan, John W.",When does export customer responsiveness strategy contribute to export market competitive advantage?,https://doi.org/10.1108/imr-02-2022-0043,,,
1777,2023,"Mishra, Divya; Mital, Amita; Srivastava, Samir K.",Role of international strategic alliances in internationalization of business group affiliated firms-A system dynamics approach,https://doi.org/10.1002/sres.2856,,,
1790,2022,"Hilmersson, Mikael; Schweizer, Roger; Chetty, Sylvie","The Relationship Between Timing, Speed, and Performance in Foreign Market Network Entry",https://doi.org/10.1007/s11575-022-00470-5,,,
1791,2022,"da Cunha, Henrique Correa; Ruzgar, Nursel Selver; Singh, Vikkram",The Moderating Effects of Host Country Governance and Trade Openness on the Relationship between Cultural Distance and Financial Performance of Foreign Subsidiaries in Latin America,https://doi.org/10.32920/22647229.v1,,,
1805,2022,"Xiao, Peng; Zhang, Haiyan; Sun, Xiaoxia; Zhang, Feng; Du, Xiaoyan; Liu, Guoxin",International ambidexterity and innovation performance: The moderating role of the host country's institutional quality,,,,
1821,2023,"Wang, Ge; Du, Qi'ang; Li, Xiaodong; Deng, Xiaopeng; Niu, Yanliang",From ambiguity to transparency: influence of environmental information disclosure on financial performance in the context of internationalization,https://doi.org/10.1007/s11356-022-22664-y,,,
1829,2022,"Alegre, Joaquin; Luis Ferreras-Mendez, Jose; Fernandez-Mesa, Anabel; Strange, Roger",Innovation capabilities and export performance in manufacturing SMEs,,,,
1830,2023,"Baum, Matthias; Sui, Sui; Malhotra, Shavin",A vicarious learning perspective on the relationship between home-peer performance and export intensity among SMEs,https://doi.org/10.1108/imr-01-2022-0026,,,
