seq,extraction_priority,doi,title,year,journal,is_oa,oa_status,pdf_url,repo_url,version,license,host_type,error
172,1_DOI_FIRST,10.1057/s41291-024-00280-7,Moderating roles of spatial and temporal internationalization on the product diversification-performance relationship of emerging market multinational enterprises,2025,ASIAN BUSINESS & MANAGEMENT,False,closed,,,,,,
176,1_DOI_FIRST,10.3390/su17041576,"Does Maintaining Resources, Diversification, and Internationalization Matter for Achieving High Firm Performance? A Sustainable Competitiveness Strategy for China Taipei Firms",2025,SUSTAINABILITY,True,gold,https://www.mdpi.com/2071-1050/17/4/1576/pdf?version=1739523918,https://www.mdpi.com/2071-1050/17/4/1576/pdf?version=1739523918,publishedVersion,cc-by,publisher,
182,1_DOI_FIRST,10.1108/jgoss-10-2024-0102,Effects of internationalization on supply chain agility and business performance of manufacturing firms in Vietnam,2025,JOURNAL OF GLOBAL OPERATIONS AND STRATEGIC SOURCING,False,closed,,,,,,
197,1_DOI_FIRST,10.1016/j.heliyon.2024.e33492,"Environmental, social and governance performance: Can and how it improve internationalization of Chinese A-share listed enterprises",2024,HELIYON,True,gold,http://www.cell.com/article/S2405844024095239/pdf,http://www.cell.com/article/S2405844024095239/pdf,publishedVersion,,publisher,
201,1_DOI_FIRST,10.1108/ribs-01-2023-0002,Performance of cross-border acquirers from India and China: its sustainability in the long-run?,2024,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,False,closed,,,,,,
224,1_DOI_FIRST,10.1108/ijoem-07-2020-0795,Outward FDI and productivity promotion of exporting firms: firm-level evidence from China,2022,INTERNATIONAL JOURNAL OF EMERGING MARKETS,False,closed,,,,,,
226,1_DOI_FIRST,10.1177/1069031x211030686,Unbundling the Effects of Internationalization on Firm Performance in Emerging Economies: The Moderating Effects of Strategic Resource Decisions,2022,JOURNAL OF INTERNATIONAL MARKETING,True,green,,https://research.cbs.dk/en/publications/0c4ce523-5bf7-44a5-9bc2-399256914d27,acceptedVersion,other-oa,repository,
228,1_DOI_FIRST,10.1061/(asce)me.1943-5479.0000985,Internationalization and Productivity of Construction Firms in a Developing Country: The Effect of Institutional Environment and Ownership on Malaysian Construction Firms,2022,JOURNAL OF MANAGEMENT IN ENGINEERING,False,closed,,,,,,
247,1_DOI_FIRST,10.1108/cms-06-2020-0249,Speed of internationalization and firm performance: the moderating role of potential slack and knowledge assets,2021,CHINESE MANAGEMENT STUDIES,False,closed,,,,,,
252,1_DOI_FIRST,10.1057/s41267-019-00279-9,"Chinese multinationals' fast internationalization: Financial performance advantage in one region, disadvantage in another",2020,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,False,closed,,,,,,
263,1_DOI_FIRST,10.1016/j.jbusres.2018.09.019,"Internationalization speed, resources and performance: Evidence from Indian software industry",2019,JOURNAL OF BUSINESS RESEARCH,False,closed,,,,,,
266,1_DOI_FIRST,10.1016/j.jwb.2019.04.002,Outward FDI and profitability of emerging economy firms: Diversifying from home resource dependence in early stage internationalization,2019,JOURNAL OF WORLD BUSINESS,True,green,https://openresearch-repository.anu.edu.au/bitstreams/940bad1a-aff2-4546-9f21-007821d9458b/download,https://openresearch-repository.anu.edu.au/bitstreams/940bad1a-aff2-4546-9f21-007821d9458b/download,submittedVersion,,repository,
267,1_DOI_FIRST,10.1111/twec.12837,Foreign direct investment productivity premium and foreign affiliates' heterogeneity: A comparison between advanced and emerging market overseas investments in the EU,2019,WORLD ECONOMY,False,closed,,,,,,
268,1_DOI_FIRST,10.1016/j.emj.2018.11.003,"R&D internationalization, product diversification and international performance for emerging market enterprises: An empirical study on Chinese enterprises",2019,EUROPEAN MANAGEMENT JOURNAL,False,closed,,,,,,
286,1_DOI_FIRST,10.3390/admsci8040064,Internationalization and Performance of Vietnamese Manufacturing Firms: Does Organizational Slack Matter?,2018,ADMINISTRATIVE SCIENCES,True,gold,https://www.mdpi.com/2076-3387/8/4/64/pdf,https://www.mdpi.com/2076-3387/8/4/64/pdf,publishedVersion,cc-by,publisher,
295,1_DOI_FIRST,10.1016/j.cjar.2017.05.001,lInfluence of Chinese entrepreneurial companies' internationalization on independent innovation: Input incentive effect and efficiency improvement effect,2017,CHINA JOURNAL OF ACCOUNTING RESEARCH,True,gold,,https://doi.org/10.1016/j.cjar.2017.05.001,publishedVersion,cc-by-nc-nd,publisher,
301,1_DOI_FIRST,10.1371/journal.pone.0162175,EO-Performance relationships in Reverse Internationalization by Chinese Global Startup OEMs: Social Networks and Strategic Flexibility,2016,PLOS ONE,True,gold,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0162175&type=printable,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0162175&type=printable,publishedVersion,cc-by,publisher,
303,1_DOI_FIRST,10.1080/10669868.2016.1215667,"Founding Environment, Inward Internationalization, and Firm Performance: Evidence from Chinese Private Enterprises",2016,JOURNAL OF EAST-WEST BUSINESS,False,closed,,,,,,
308,1_DOI_FIRST,10.1108/apjml-03-2014-0045,Export marketing assistance and early internationalizing firm performance Does export commitment matter?,2015,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS,False,closed,,,,,,
313,1_DOI_FIRST,10.1017/mor.2015.32,Internationalization and Performance of Chinese Family Firms: The Moderating Role of Corporate Governance,2015,MANAGEMENT AND ORGANIZATION REVIEW,True,bronze,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5DD1E4AD124B373443DE425E80BB6FA6/S1740877615000327a.pdf/div-class-title-internationalization-and-performance-of-chinese-family-firms-the-moderating-role-of-corporate-governance-div.pdf,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5DD1E4AD124B373443DE425E80BB6FA6/S1740877615000327a.pdf/div-class-title-internationalization-and-performance-of-chinese-family-firms-the-moderating-role-of-corporate-governance-div.pdf,publishedVersion,,publisher,
320,1_DOI_FIRST,10.1017/s1740877600004381,Chinese Outward Foreign Direct Investment Performance: The Role of Learning,2014,MANAGEMENT AND ORGANIZATION REVIEW,False,closed,,,,,,
325,1_DOI_FIRST,10.1016/j.intman.2012.12.003,Internationalization and Performance of Firms in China: Moderating Effects of Governance Structure and the Degree of Centralized Control,2013,JOURNAL OF INTERNATIONAL MANAGEMENT,False,closed,,,,,,
344,1_DOI_FIRST,10.1108/02651330810915556,"Subsidiary size, internationalization, product diversification, and performance in an emerging market",2008,INTERNATIONAL MARKETING REVIEW,False,closed,,,,,,
475,1_DOI_FIRST,10.3390/su12145508,A Patulous Progress: International Entrepreneurship Effects on Chinese Born-Global Firm Performance,2020,SUSTAINABILITY,True,gold,https://www.mdpi.com/2071-1050/12/14/5508/pdf?version=1594386196,https://www.mdpi.com/2071-1050/12/14/5508/pdf?version=1594386196,publishedVersion,cc-by,publisher,
250,1_DOI_FIRST,10.1002/tie.22192,The post-acquisition performance of cross-border mergers and acquisitions conducted by Chinese firms in the high-tech industries: Profitable or innovative?,2021,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,True,green,http://bura.brunel.ac.uk/bitstream/2438/28453/1/FullText.pdf,http://bura.brunel.ac.uk/bitstream/2438/28453/1/FullText.pdf,submittedVersion,,repository,
53,1_DOI_FIRST,10.1177/09721509211056480,"Effects of Export Orientation, Exchange Rates and Leverage on Firm Productivity: Evidence from Pakistan",2021,GLOBAL BUSINESS REVIEW,False,closed,,,,,,
181,1_DOI_FIRST,10.5755/j01.ee.36.3.31403,The Impact of Internationalization on Firm Performance of High-Tech Companies in Poland in the Context of Covid-19,2025,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,True,gold,https://inzeko.ktu.lt/index.php/EE/article/view/31403/16984,https://inzeko.ktu.lt/index.php/EE/article/view/31403/16984,publishedVersion,,publisher,
71,1_DOI_FIRST,10.1080/19186444.2018.1556519,Alphabet soup: the relationship between multinationality and firm performance,2018,TRANSNATIONAL CORPORATIONS REVIEW,True,green,,http://hdl.handle.net/2262/99578,submittedVersion,cc-by-nc-sa,repository,
106,1_DOI_FIRST,10.1016/j.ibusrev.2014.11.005,FDI from emerging markets and the productivity gap An analysis on affiliates of BRICS EMNEs in Europe,2015,INTERNATIONAL BUSINESS REVIEW,True,green,,http://www.elsevier.com/locate/ibusrev,submittedVersion,cc-by-nc-nd,repository,
161,1_DOI_FIRST,10.1177/19389655251405170,Non-Home-Base Internationalization and Firm Performance in the Hospitality Industry: The Moderating Role of Board Capital,2026,CORNELL HOSPITALITY QUARTERLY,False,closed,,,,,,
168,1_DOI_FIRST,10.1080/00472778.2026.2640356,Product innovation strategy and firm performance: Novelty and internationalization as mediators,2026,JOURNAL OF SMALL BUSINESS MANAGEMENT,False,closed,,,,,,
193,1_DOI_FIRST,10.1108/cg-12-2022-0512,Effects of female CEO and female CFO on internationalization and firm performance,2024,CORPORATE GOVERNANCE-THE INTERNATIONAL JOURNAL OF BUSINESS IN SOCIETY,False,closed,,,,,,
196,1_DOI_FIRST,10.1002/csr.2894,Analysis the nexus between internationalization and financial performance in wine industry: The effect of proactive environmental strategy and eco-innovation,2024,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/csr.2894,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/csr.2894,publishedVersion,cc-by-nc-nd,publisher,
208,1_DOI_FIRST,10.1016/j.ibusrev.2023.102175,Home country adverse political shocks and cross-border mergers and acquisitions financial performance of politically connected emerging market firms,2024,INTERNATIONAL BUSINESS REVIEW,False,closed,,,,,,
216,1_DOI_FIRST,10.1108/ribs-03-2022-0030,Degree of internationalisation and firm performance: the flattening role of organisational slack resources,2023,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,False,closed,,,,,,
219,1_DOI_FIRST,10.1108/mbr-10-2022-0168,Internationalization and firm performance: moderating role of multi-stakeholder initiatives,2023,MULTINATIONAL BUSINESS REVIEW,False,closed,,,,,,
251,1_DOI_FIRST,10.1177/0306307020984566,Taking social responsibilities overseas? The learning paths and performance consequences of Chinese multinationals,2021,JOURNAL OF GENERAL MANAGEMENT,True,green,,,submittedVersion,,repository,
309,1_DOI_FIRST,10.1108/jstp-09-2013-0204,Firm factors that influence internationalisation and subsequent financial performance of fashion retailers,2015,JOURNAL OF SERVICE THEORY AND PRACTICE,False,closed,,,,,,
323,1_DOI_FIRST,10.1002/hrm.21619,"EMPLOYEE PRODUCTIVITY, EMPLOYMENT GROWTH, AND THE CROSS-BORDER ACQUISITIONS BY EMERGING MARKET FIRMS",2014,HUMAN RESOURCE MANAGEMENT,True,green,,https://dspace.lboro.ac.uk/2134/17097,submittedVersion,cc-by-nc-nd,repository,
547,1_DOI_FIRST,10.1002/(sici)1097-0266(199908)20:8<711::aid-smj41>3.0.co;2-8,"Geographic scope, product diversification, and the corporate performance of Japanese firms",1999,STRATEGIC MANAGEMENT JOURNAL,False,closed,,,,,,
602,1_DOI_FIRST,10.1108/03074350710748759,The long-run performance of UK IPOs: can it be predicted?,2007,MANAGERIAL FINANCE,False,closed,,,,,,
646,1_DOI_FIRST,10.1111/j.1467-6451.2008.00363.x,OVERSEAS R&D ACTIVITIES AND HOME PRODUCTIVITY GROWTH: EVIDENCE FROM JAPANESE FIRM-LEVEL DATA,2008,JOURNAL OF INDUSTRIAL ECONOMICS,False,closed,,,,,,
649,1_DOI_FIRST,10.1108/s1474-7979(2009)0000020013,GEOGRAPHIC MARKET DIVERSIFICATION: A PREMIUM OR DISCOUNT IN FIRM'S VALUE,2009,NEW CHALLENGES TO INTERNATIONAL MARKETING,False,closed,,,,,,
690,1_DOI_FIRST,10.1016/j.intacc.2010.01.003,What drives cross-segment diversity in returns and risks? Evidence from Japanese and U.S. firms,2010,INTERNATIONAL JOURNAL OF ACCOUNTING,False,closed,,,,,,
727,1_DOI_FIRST,10.1016/j.jinteco.2010.12.004,Credit constraints and firm export: Microeconomic evidence from Italy,2011,JOURNAL OF INTERNATIONAL ECONOMICS,False,closed,,,,,,
811,1_DOI_FIRST,10.1108/igdr-12-2012-0050,Graduating to globalisation: a study of Southern multinationals,2013,INDIAN GROWTH AND DEVELOPMENT REVIEW,False,closed,,,,,,
861,1_DOI_FIRST,10.1108/ijchm-10-2012-0185,Determinants of involuntary cross-listing: US restaurant companies' perspective,2013,INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,False,closed,,,,,,
879,1_DOI_FIRST,10.1108/jsbed-10-2013-0145,"Electronic commerce adoption, entrepreneurial orientation and small- and medium-sized enterprise (SME) performance",2014,JOURNAL OF SMALL BUSINESS AND ENTERPRISE DEVELOPMENT,False,closed,,,,,,
1032,1_DOI_FIRST,10.5018/economics-ejournal.ja.2015-38,Imported Inputs and Egyptian Exports: Exploring the Links,2015,ECONOMICS-THE OPEN ACCESS OPEN-ASSESSMENT E-JOURNAL,True,gold,https://www.degruyter.com/document/doi/10.5018/economics-ejournal.ja.2015-38/pdf,https://www.degruyter.com/document/doi/10.5018/economics-ejournal.ja.2015-38/pdf,publishedVersion,cc-by,publisher,
1036,1_DOI_FIRST,10.1002/tie.21722,Are Firms in Developing Countries in Spider Webs or Iron Cages? Geographic Traps and Firm Performance,2015,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,True,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.21722,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.21722,publishedVersion,,publisher,
1049,1_DOI_FIRST,10.7202/1036613ar,. Maximizing the Benefits of Internationalization: The Moderating Role of Labour Flexibility,2016,RELATIONS INDUSTRIELLES-INDUSTRIAL RELATIONS,True,bronze,http://www.erudit.org/fr/revues/ri/2016-v71-n2-ri02537/1036613ar.pdf,http://www.erudit.org/fr/revues/ri/2016-v71-n2-ri02537/1036613ar.pdf,publishedVersion,,publisher,
1052,1_DOI_FIRST,10.1016/j.jwb.2015.11.006,The interactive effect of time and host country location on Chinese MNCs' performance: An empirical investigation,2016,JOURNAL OF WORLD BUSINESS,False,closed,,,,,,
1073,1_DOI_FIRST,10.1108/cms-12-2015-0297,A reversal theory in internationalization: case of Korean jewelry inside China,2016,CHINESE MANAGEMENT STUDIES,False,closed,,,,,,
1093,1_DOI_FIRST,10.1080/17487870.2015.1100083,Does policy reform promote FDI in developing economies? a firm-level simulation approach,2016,JOURNAL OF ECONOMIC POLICY REFORM,False,closed,,,,,,
1110,1_DOI_FIRST,10.1108/jabs-10-2014-0082,Resource based view of internationalization: evidence from Indian commercial banks,2016,JOURNAL OF ASIA BUSINESS STUDIES,False,closed,,,,,,
1287,1_DOI_FIRST,10.1177/1548051817750535,Board Gender Diversity in the STEM&F Sectors: The Critical Mass Required to Drive Firm Performance,2018,JOURNAL OF LEADERSHIP & ORGANIZATIONAL STUDIES,False,closed,,,,,,
1333,1_DOI_FIRST,10.1108/ijchm-07-2017-0415,Role of resource slack in rapid international expansion of restaurant companies,2019,INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,False,closed,,,,,,
1379,1_DOI_FIRST,10.2139/ssrn.2795139,Some twins are not alike: FDI premia in the former Soviet states,2019,INTERNATIONAL JOURNAL OF EMERGING MARKETS,True,green,,https://doi.org/10.2139/ssrn.2795139,publishedVersion,,repository,
1408,1_DOI_FIRST,10.35611/jkt.2019.23.3.1,Overseas Subsidiaries and the Productivity of Two-way Trading Manufacturers in Global Value Chains,2019,JOURNAL OF KOREA TRADE,True,green,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3457730,submittedVersion,,repository,
1542,1_DOI_FIRST,10.1177/2340944420916332,The combined effects of product and geographical diversification on performance: Evidence in manufacturing SMEs,2020,BRQ-BUSINESS RESEARCH QUARTERLY,True,gold,https://journals.sagepub.com/doi/pdf/10.1177/2340944420916332,https://journals.sagepub.com/doi/pdf/10.1177/2340944420916332,publishedVersion,cc-by-nc-nd,publisher,
1585,1_DOI_FIRST,10.1108/cr-12-2019-0164,Measuring competitiveness through the global competitiveness project framework: the Brazilian experience,2021,COMPETITIVENESS REVIEW,False,closed,,,,,,
1586,1_DOI_FIRST,10.1108/jabs-03-2019-0095,Business founders and performance of family firms: evidence from developing countries in Asia,2021,JOURNAL OF ASIA BUSINESS STUDIES,False,closed,,,,,,
1619,1_DOI_FIRST,10.1016/j.iref.2021.04.011,The short- and long-run effects of foreign investments on firm performance: Evidence from Asia Pacific,2021,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,False,closed,,,,,,
1640,1_DOI_FIRST,10.1108/ebr-07-2020-0184,Validating multidimensional entrepreneurial orientation in emerging economies,2021,EUROPEAN BUSINESS REVIEW,False,closed,,,,,,
1646,1_DOI_FIRST,10.1108/jfbm-05-2021-0042,The contribution of the external director for Brazilian private family business: a generational approach,2022,JOURNAL OF FAMILY BUSINESS MANAGEMENT,False,closed,,,,,,
1650,1_DOI_FIRST,10.1108/ijoem-08-2020-0913,The relationship between cross-border acquisitions and R&D investments by Indian firms - substituting or complementing,2023,INTERNATIONAL JOURNAL OF EMERGING MARKETS,False,closed,,,,,,
1688,1_DOI_FIRST,10.1108/jfra-02-2021-0036,"Top management team heterogeneity, corporate social responsibility and firm risk: an emerging country perspective",2023,JOURNAL OF FINANCIAL REPORTING AND ACCOUNTING,False,closed,,,,,,
1705,1_DOI_FIRST,10.1108/ijmf-06-2021-0268,"Role of educational, regional and religious attributes of CEOs in performance of Indian family firms",2022,INTERNATIONAL JOURNAL OF MANAGERIAL FINANCE,False,closed,,,,,,
1725,1_DOI_FIRST,10.1108/cms-06-2021-0250,Does internationalization encourage state-owned enterprises to utilize subsidies to innovate? Evidence from high-tech and automobile manufacturing industries of Chinese listed companies,2022,CHINESE MANAGEMENT STUDIES,False,closed,,,,,,
1740,1_DOI_FIRST,10.1108/ijmf-09-2021-0416,Multinational enterprises' internationalization and adoption of sustainable development goals,2022,INTERNATIONAL JOURNAL OF MANAGERIAL FINANCE,False,closed,,,,,,
1816,1_DOI_FIRST,10.1504/ejim.2022.124908,The effects of home country political risk and uncertainty on the financial performance of firms,2022,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,False,closed,,,,,,
1876,1_DOI_FIRST,10.1108/jbim-03-2022-0145,"When in Rome, do as the Romans do: can international marketing adaptation improve the association between servitization and profitability?",2023,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,False,closed,,,,,,
1895,1_DOI_FIRST,10.1108/jrme-11-2021-0150,Strategic orientation and its role in linking human capital with the performance of small and medium enterprises in Indonesia,2023,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,False,closed,,,,,,
1918,1_DOI_FIRST,10.1080/07421222.2023.2172770,Blood and Water: Information Technology Investment and Control in Family-owned Businesses,2023,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,True,hybrid,https://www.tandfonline.com/doi/pdf/10.1080/07421222.2023.2172770?download=true,https://www.tandfonline.com/doi/pdf/10.1080/07421222.2023.2172770?download=true,publishedVersion,cc-by-nc-nd,publisher,
1930,1_DOI_FIRST,10.1002/mde.3936,"Internationalisation, employment generation and wage premia: evidence from Indian manufacturing firms",2023,MANAGERIAL AND DECISION ECONOMICS,True,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mde.3936,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mde.3936,publishedVersion,,publisher,
1962,1_DOI_FIRST,10.1108/jgm-04-2023-0029,Strategic divestment of emerging market firms: the influence of returnee managers and CEO characteristics,2024,JOURNAL OF GLOBAL MOBILITY-THE HOME OF EXPATRIATE MANAGEMENT RESEARCH,False,closed,,,,,,
2005,1_DOI_FIRST,10.1080/13603124.2023.2276352,ADL relational global leadership: a leadership approach to accelerate the internationalization of Islamic higher education in Indonesia,2024,INTERNATIONAL JOURNAL OF LEADERSHIP IN EDUCATION,False,closed,,,,,,
2008,1_DOI_FIRST,10.1108/cr-02-2023-0017,The comparison of RBV-based competitiveness of Hungarian family-owned and non-family-owned SMEs,2024,COMPETITIVENESS REVIEW,True,bronze,https://www.emerald.com/insight/content/doi/10.1108/CR-02-2023-0017/full/pdf?title=the-comparison-of-rbv-based-competitiveness-of-hungarian-family-owned-and-non-family-owned-smes,https://www.emerald.com/insight/content/doi/10.1108/CR-02-2023-0017/full/pdf?title=the-comparison-of-rbv-based-competitiveness-of-hungarian-family-owned-and-non-family-owned-smes,publishedVersion,,publisher,
2015,1_DOI_FIRST,10.1080/23311975.2024.2317448,The effect of R&D expenditures on firm value with firm size moderation in an Indonesia palm oil company,2024,COGENT BUSINESS & MANAGEMENT,True,gold,,https://doi.org/10.1080/23311975.2024.2317448,publishedVersion,cc-by,publisher,
2028,1_DOI_FIRST,10.1177/09722629211042437,"Effect of Demonetization on Advertising, Research & Development and Human Resource Intensities and its Impact on Firm's Performance",2024,VISION-THE JOURNAL OF BUSINESS PERSPECTIVE,False,closed,,,,,,
2032,1_DOI_FIRST,10.1002/agr.21947,Determining the influence of belonging to a wine protected designation of origin on profitability,2026,AGRIBUSINESS,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/agr.21947,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/agr.21947,publishedVersion,cc-by,publisher,
2039,1_DOI_FIRST,10.3390/ijfs12020047,International Diversification and Stock-Price Crash Risk,2024,INTERNATIONAL JOURNAL OF FINANCIAL STUDIES,True,gold,https://www.mdpi.com/2227-7072/12/2/47/pdf?version=1715785528,https://www.mdpi.com/2227-7072/12/2/47/pdf?version=1715785528,publishedVersion,cc-by,publisher,
2068,1_DOI_FIRST,10.1016/j.intman.2024.101175,Rethinking board structures in the age of multinational corporations: A global investigation,2024,JOURNAL OF INTERNATIONAL MANAGEMENT,True,hybrid,,https://doi.org/10.1016/j.intman.2024.101175,publishedVersion,cc-by-nc,publisher,
2101,1_DOI_FIRST,10.1007/s10290-024-00567-z,Internationalisation as a boost for many firms: evidence from Germany,2025,REVIEW OF WORLD ECONOMICS,True,hybrid,https://link.springer.com/content/pdf/10.1007/s10290-024-00567-z.pdf,https://link.springer.com/content/pdf/10.1007/s10290-024-00567-z.pdf,publishedVersion,other-oa,publisher,
2113,1_DOI_FIRST,10.1108/ribs-09-2023-0102,"Dynamic capabilities, ordinary capabilities and international intensity contributions to performance",2025,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,False,closed,,,,,,
2115,1_DOI_FIRST,10.1108/ijoem-06-2024-0944,Navigating international waters: the board's role in enhancing intellectual capital efficiency,2025,INTERNATIONAL JOURNAL OF EMERGING MARKETS,False,closed,,,,,,
2116,1_DOI_FIRST,10.3390/economies13010005,Can the Succession Plan for Family Business Achieve Social Employment Stability? An Analysis from the Perspective of Entrepreneurs,2025,ECONOMIES,True,gold,https://www.mdpi.com/2227-7099/13/1/5/pdf?version=1735641307,https://www.mdpi.com/2227-7099/13/1/5/pdf?version=1735641307,publishedVersion,cc-by,publisher,
