seq,extraction_priority,icrv,dpl,year,title,journal,doi,doi_link,source_url_or_pdf_path,pdf_found,pdf_filename,unpaywall_api,openalex_search,google_scholar,country_guess,region_guess,performance_measure_guess,internationalization_measure_guess,notes_for_extractor,converted_r,fisher_z,variance_z,sample_size_n,ready_for_r
494,1_DOI_FIRST,1,2,2009,Impact of brand recognition and brand reputation on firm performance: US-based multinational restaurant companies' perspective,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,10.1016/j.ijhm.2009.04.002,https://doi.org/10.1016/j.ijhm.2009.04.002,,,,https://api.unpaywall.org/v2/10.1016%2Fj.ijhm.2009.04.002,https://openalex.org/works?search=Impact%20of%20brand%20recognition%20and%20brand%20reputation%20on%20firm%20performance%3A%20US-based%20multinational%20restaurant%20companies%27%20perspective,https://scholar.google.com/scholar?q=Impact%20of%20brand%20recognition%20and%20brand%20reputation%20on%20firm%20performance%3A%20US-based%20multinational%20restaurant%20companies%27%20perspective,TO_EXTRACT,TO_EXTRACT,Firm performance,Degree of internationalization/multinationality,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
38,1_DOI_FIRST,2,3,2022,How does offshore outsourcing of knowledge-intensive activities affect the exports and financial performance of emerging market firms?,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-022-00511-z,https://doi.org/10.1057/s41267-022-00511-z,,,,https://api.unpaywall.org/v2/10.1057%2Fs41267-022-00511-z,https://openalex.org/works?search=How%20does%20offshore%20outsourcing%20of%20knowledge-intensive%20activities%20affect%20the%20exports%20and%20financial%20performance%20of%20emerging%20market%20firms%3F,https://scholar.google.com/scholar?q=How%20does%20offshore%20outsourcing%20of%20knowledge-intensive%20activities%20affect%20the%20exports%20and%20financial%20performance%20of%20emerging%20market%20firms%3F,Emerging markets,Multiple/Emerging,Market performance,Export intensity,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
46,1_DOI_FIRST,2,3,2021,'Letters to the editor': the relationship between multinationality and firm performance in emerging markets,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2020.1857122,https://doi.org/10.1080/19186444.2020.1857122,,,,https://api.unpaywall.org/v2/10.1080%2F19186444.2020.1857122,https://openalex.org/works?search=%27Letters%20to%20the%20editor%27%3A%20the%20relationship%20between%20multinationality%20and%20firm%20performance%20in%20emerging%20markets,https://scholar.google.com/scholar?q=%27Letters%20to%20the%20editor%27%3A%20the%20relationship%20between%20multinationality%20and%20firm%20performance%20in%20emerging%20markets,Emerging markets,Multiple/Emerging,Market performance,Degree of internationalization/multinationality,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
77,1_DOI_FIRST,2,3,2018,"Internationalization and the growth of Vietnamese micro, small, and medium sized enterprises: Evidence from panel quantile regressions",JOURNAL OF ASIAN ECONOMICS,10.1016/j.asieco.2018.01.002,https://doi.org/10.1016/j.asieco.2018.01.002,,,,https://api.unpaywall.org/v2/10.1016%2Fj.asieco.2018.01.002,https://openalex.org/works?search=Internationalization%20and%20the%20growth%20of%20Vietnamese%20micro%2C%20small%2C%20and%20medium%20sized%20enterprises%3A%20Evidence%20from%20panel%20quantile%20regressions,https://scholar.google.com/scholar?q=Internationalization%20and%20the%20growth%20of%20Vietnamese%20micro%2C%20small%2C%20and%20medium%20sized%20enterprises%3A%20Evidence%20from%20panel%20quantile%20regressions,Vietnam,Asia,Growth,Internationalization,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
88,1_DOI_FIRST,2,3,2016,An empirical analysis and extension of internalization theory in emerging markets: The role of firm-specific assets and asset dispersion in the multinationality-performance relationship,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2016.03.003,https://doi.org/10.1016/j.jwb.2016.03.003,,,,https://api.unpaywall.org/v2/10.1016%2Fj.jwb.2016.03.003,https://openalex.org/works?search=An%20empirical%20analysis%20and%20extension%20of%20internalization%20theory%20in%20emerging%20markets%3A%20The%20role%20of%20firm-specific%20assets%20and%20asset%20dispersion%20in%20the%20multinationality-performance%20relationship,https://scholar.google.com/scholar?q=An%20empirical%20analysis%20and%20extension%20of%20internalization%20theory%20in%20emerging%20markets%3A%20The%20role%20of%20firm-specific%20assets%20and%20asset%20dispersion%20in%20the%20multinationality-performance%20relationship,Emerging markets,Multiple/Emerging,Market performance,Degree of internationalization/multinationality,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
89,1_DOI_FIRST,2,3,2016,The OFDI patterns and firm performance of Chinese firms: The moderating effects of multinationality strategy and external factors,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2016.01.010,https://doi.org/10.1016/j.ibusrev.2016.01.010,,,,https://api.unpaywall.org/v2/10.1016%2Fj.ibusrev.2016.01.010,https://openalex.org/works?search=The%20OFDI%20patterns%20and%20firm%20performance%20of%20Chinese%20firms%3A%20The%20moderating%20effects%20of%20multinationality%20strategy%20and%20external%20factors,https://scholar.google.com/scholar?q=The%20OFDI%20patterns%20and%20firm%20performance%20of%20Chinese%20firms%3A%20The%20moderating%20effects%20of%20multinationality%20strategy%20and%20external%20factors,China,Asia,Firm performance,OFDI,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
107,1_DOI_FIRST,2,3,2015,Performance of unlisted Italian companies acquired by multinationals from emerging markets The case of Indian acquisitions,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,10.1108/jocm-12-2014-0233,https://doi.org/10.1108/jocm-12-2014-0233,,,,https://api.unpaywall.org/v2/10.1108%2Fjocm-12-2014-0233,https://openalex.org/works?search=Performance%20of%20unlisted%20Italian%20companies%20acquired%20by%20multinationals%20from%20emerging%20markets%20The%20case%20of%20Indian%20acquisitions,https://scholar.google.com/scholar?q=Performance%20of%20unlisted%20Italian%20companies%20acquired%20by%20multinationals%20from%20emerging%20markets%20The%20case%20of%20Indian%20acquisitions,India,Asia,Market performance,Degree of internationalization/multinationality,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
120,1_DOI_FIRST,2,3,2013,"FIRM SIZE, TECHNOLOGICAL CAPABILITY, EXPORTS AND ECONOMIC PERFORMANCE: THE CASE OF ELECTRONICS INDUSTRY IN MALAYSIA",JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2012.668860,https://doi.org/10.3846/16111699.2012.668860,,,,https://api.unpaywall.org/v2/10.3846%2F16111699.2012.668860,https://openalex.org/works?search=FIRM%20SIZE%2C%20TECHNOLOGICAL%20CAPABILITY%2C%20EXPORTS%20AND%20ECONOMIC%20PERFORMANCE%3A%20THE%20CASE%20OF%20ELECTRONICS%20INDUSTRY%20IN%20MALAYSIA,https://scholar.google.com/scholar?q=FIRM%20SIZE%2C%20TECHNOLOGICAL%20CAPABILITY%2C%20EXPORTS%20AND%20ECONOMIC%20PERFORMANCE%3A%20THE%20CASE%20OF%20ELECTRONICS%20INDUSTRY%20IN%20MALAYSIA,TO_EXTRACT,TO_EXTRACT,Firm performance,Export intensity,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
121,1_DOI_FIRST,2,3,2013,"International Involvement, Target Market Selection, and Consolidated Performance: A Firm-Level Analysis of Taiwan's FDI in China",EMERGING MARKETS FINANCE AND TRADE,10.2753/ree1540-496x4905s413,https://doi.org/10.2753/ree1540-496x4905s413,,,,https://api.unpaywall.org/v2/10.2753%2Free1540-496x4905s413,https://openalex.org/works?search=International%20Involvement%2C%20Target%20Market%20Selection%2C%20and%20Consolidated%20Performance%3A%20A%20Firm-Level%20Analysis%20of%20Taiwan%27s%20FDI%20in%20China,https://scholar.google.com/scholar?q=International%20Involvement%2C%20Target%20Market%20Selection%2C%20and%20Consolidated%20Performance%3A%20A%20Firm-Level%20Analysis%20of%20Taiwan%27s%20FDI%20in%20China,China,Asia,Market performance,FDI,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
132,1_DOI_FIRST,2,3,2011,Does export and productivity growth linkage exist? Evidence from the Indian manufacturing industry,INTERNATIONAL REVIEW OF APPLIED ECONOMICS,10.1080/02692171.2011.557046,https://doi.org/10.1080/02692171.2011.557046,,,,https://api.unpaywall.org/v2/10.1080%2F02692171.2011.557046,https://openalex.org/works?search=Does%20export%20and%20productivity%20growth%20linkage%20exist%3F%20Evidence%20from%20the%20Indian%20manufacturing%20industry,https://scholar.google.com/scholar?q=Does%20export%20and%20productivity%20growth%20linkage%20exist%3F%20Evidence%20from%20the%20Indian%20manufacturing%20industry,India,Asia,Productivity,Export intensity,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
162,1_DOI_FIRST,2,3,2026,Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2026.01.002,https://doi.org/10.1016/j.eap.2026.01.002,,,,https://api.unpaywall.org/v2/10.1016%2Fj.eap.2026.01.002,https://openalex.org/works?search=Impact%20of%20productivity%20revolution%20on%20Chinese%20enterprises%27%20outward%20foreign%20direct%20investment%20%28OFDI%29,https://scholar.google.com/scholar?q=Impact%20of%20productivity%20revolution%20on%20Chinese%20enterprises%27%20outward%20foreign%20direct%20investment%20%28OFDI%29,China,Asia,Productivity,OFDI,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
172,1_DOI_FIRST,2,3,2025,Moderating roles of spatial and temporal internationalization on the product diversification-performance relationship of emerging market multinational enterprises,ASIAN BUSINESS & MANAGEMENT,10.1057/s41291-024-00280-7,https://doi.org/10.1057/s41291-024-00280-7,,,,https://api.unpaywall.org/v2/10.1057%2Fs41291-024-00280-7,https://openalex.org/works?search=Moderating%20roles%20of%20spatial%20and%20temporal%20internationalization%20on%20the%20product%20diversification-performance%20relationship%20of%20emerging%20market%20multinational%20enterprises,https://scholar.google.com/scholar?q=Moderating%20roles%20of%20spatial%20and%20temporal%20internationalization%20on%20the%20product%20diversification-performance%20relationship%20of%20emerging%20market%20multinational%20enterprises,Emerging markets,Multiple/Emerging,Market performance,Geographic diversification,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
176,1_DOI_FIRST,2,3,2025,"Does Maintaining Resources, Diversification, and Internationalization Matter for Achieving High Firm Performance? A Sustainable Competitiveness Strategy for China Taipei Firms",SUSTAINABILITY,10.3390/su17041576,https://doi.org/10.3390/su17041576,,,,https://api.unpaywall.org/v2/10.3390%2Fsu17041576,https://openalex.org/works?search=Does%20Maintaining%20Resources%2C%20Diversification%2C%20and%20Internationalization%20Matter%20for%20Achieving%20High%20Firm%20Performance%3F%20A%20Sustainable%20Competitiveness%20Strategy%20for%20China%20Taipei%20Firms,https://scholar.google.com/scholar?q=Does%20Maintaining%20Resources%2C%20Diversification%2C%20and%20Internationalization%20Matter%20for%20Achieving%20High%20Firm%20Performance%3F%20A%20Sustainable%20Competitiveness%20Strategy%20for%20China%20Taipei%20Firms,China,Asia,Firm performance,Geographic diversification,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
182,1_DOI_FIRST,2,3,2025,Effects of internationalization on supply chain agility and business performance of manufacturing firms in Vietnam,JOURNAL OF GLOBAL OPERATIONS AND STRATEGIC SOURCING,10.1108/jgoss-10-2024-0102,https://doi.org/10.1108/jgoss-10-2024-0102,,,,https://api.unpaywall.org/v2/10.1108%2Fjgoss-10-2024-0102,https://openalex.org/works?search=Effects%20of%20internationalization%20on%20supply%20chain%20agility%20and%20business%20performance%20of%20manufacturing%20firms%20in%20Vietnam,https://scholar.google.com/scholar?q=Effects%20of%20internationalization%20on%20supply%20chain%20agility%20and%20business%20performance%20of%20manufacturing%20firms%20in%20Vietnam,Vietnam,Asia,Firm performance,Internationalization,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
197,1_DOI_FIRST,2,3,2024,"Environmental, social and governance performance: Can and how it improve internationalization of Chinese A-share listed enterprises",HELIYON,10.1016/j.heliyon.2024.e33492,https://doi.org/10.1016/j.heliyon.2024.e33492,,,,https://api.unpaywall.org/v2/10.1016%2Fj.heliyon.2024.e33492,https://openalex.org/works?search=Environmental%2C%20social%20and%20governance%20performance%3A%20Can%20and%20how%20it%20improve%20internationalization%20of%20Chinese%20A-share%20listed%20enterprises,https://scholar.google.com/scholar?q=Environmental%2C%20social%20and%20governance%20performance%3A%20Can%20and%20how%20it%20improve%20internationalization%20of%20Chinese%20A-share%20listed%20enterprises,China,Asia,Firm performance,Internationalization,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
201,1_DOI_FIRST,2,3,2024,Performance of cross-border acquirers from India and China: its sustainability in the long-run?,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,10.1108/ribs-01-2023-0002,https://doi.org/10.1108/ribs-01-2023-0002,,,,https://api.unpaywall.org/v2/10.1108%2Fribs-01-2023-0002,https://openalex.org/works?search=Performance%20of%20cross-border%20acquirers%20from%20India%20and%20China%3A%20its%20sustainability%20in%20the%20long-run%3F,https://scholar.google.com/scholar?q=Performance%20of%20cross-border%20acquirers%20from%20India%20and%20China%3A%20its%20sustainability%20in%20the%20long-run%3F,China,Asia,Firm performance,TO_EXTRACT,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
224,1_DOI_FIRST,2,3,2022,Outward FDI and productivity promotion of exporting firms: firm-level evidence from China,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-07-2020-0795,https://doi.org/10.1108/ijoem-07-2020-0795,,,,https://api.unpaywall.org/v2/10.1108%2Fijoem-07-2020-0795,https://openalex.org/works?search=Outward%20FDI%20and%20productivity%20promotion%20of%20exporting%20firms%3A%20firm-level%20evidence%20from%20China,https://scholar.google.com/scholar?q=Outward%20FDI%20and%20productivity%20promotion%20of%20exporting%20firms%3A%20firm-level%20evidence%20from%20China,China,Asia,Productivity,FDI,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
226,1_DOI_FIRST,2,3,2022,Unbundling the Effects of Internationalization on Firm Performance in Emerging Economies: The Moderating Effects of Strategic Resource Decisions,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x211030686,https://doi.org/10.1177/1069031x211030686,,,,https://api.unpaywall.org/v2/10.1177%2F1069031x211030686,https://openalex.org/works?search=Unbundling%20the%20Effects%20of%20Internationalization%20on%20Firm%20Performance%20in%20Emerging%20Economies%3A%20The%20Moderating%20Effects%20of%20Strategic%20Resource%20Decisions,https://scholar.google.com/scholar?q=Unbundling%20the%20Effects%20of%20Internationalization%20on%20Firm%20Performance%20in%20Emerging%20Economies%3A%20The%20Moderating%20Effects%20of%20Strategic%20Resource%20Decisions,Emerging markets,Multiple/Emerging,Firm performance,Internationalization,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
228,1_DOI_FIRST,2,3,2022,Internationalization and Productivity of Construction Firms in a Developing Country: The Effect of Institutional Environment and Ownership on Malaysian Construction Firms,JOURNAL OF MANAGEMENT IN ENGINEERING,10.1061/(asce)me.1943-5479.0000985,https://doi.org/10.1061/(asce)me.1943-5479.0000985,,,,https://api.unpaywall.org/v2/10.1061%2F%28asce%29me.1943-5479.0000985,https://openalex.org/works?search=Internationalization%20and%20Productivity%20of%20Construction%20Firms%20in%20a%20Developing%20Country%3A%20The%20Effect%20of%20Institutional%20Environment%20and%20Ownership%20on%20Malaysian%20Construction%20Firms,https://scholar.google.com/scholar?q=Internationalization%20and%20Productivity%20of%20Construction%20Firms%20in%20a%20Developing%20Country%3A%20The%20Effect%20of%20Institutional%20Environment%20and%20Ownership%20on%20Malaysian%20Construction%20Firms,TO_EXTRACT,TO_EXTRACT,Productivity,Export intensity,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
247,1_DOI_FIRST,2,3,2021,Speed of internationalization and firm performance: the moderating role of potential slack and knowledge assets,CHINESE MANAGEMENT STUDIES,10.1108/cms-06-2020-0249,https://doi.org/10.1108/cms-06-2020-0249,,,,https://api.unpaywall.org/v2/10.1108%2Fcms-06-2020-0249,https://openalex.org/works?search=Speed%20of%20internationalization%20and%20firm%20performance%3A%20the%20moderating%20role%20of%20potential%20slack%20and%20knowledge%20assets,https://scholar.google.com/scholar?q=Speed%20of%20internationalization%20and%20firm%20performance%3A%20the%20moderating%20role%20of%20potential%20slack%20and%20knowledge%20assets,China,Asia,Firm performance,Internationalization,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
252,1_DOI_FIRST,2,3,2020,"Chinese multinationals' fast internationalization: Financial performance advantage in one region, disadvantage in another",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-019-00279-9,https://doi.org/10.1057/s41267-019-00279-9,,,,https://api.unpaywall.org/v2/10.1057%2Fs41267-019-00279-9,https://openalex.org/works?search=Chinese%20multinationals%27%20fast%20internationalization%3A%20Financial%20performance%20advantage%20in%20one%20region%2C%20disadvantage%20in%20another,https://scholar.google.com/scholar?q=Chinese%20multinationals%27%20fast%20internationalization%3A%20Financial%20performance%20advantage%20in%20one%20region%2C%20disadvantage%20in%20another,China,Asia,Firm performance,Degree of internationalization/multinationality,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
263,1_DOI_FIRST,2,3,2019,"Internationalization speed, resources and performance: Evidence from Indian software industry",JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2018.09.019,https://doi.org/10.1016/j.jbusres.2018.09.019,,,,https://api.unpaywall.org/v2/10.1016%2Fj.jbusres.2018.09.019,https://openalex.org/works?search=Internationalization%20speed%2C%20resources%20and%20performance%3A%20Evidence%20from%20Indian%20software%20industry,https://scholar.google.com/scholar?q=Internationalization%20speed%2C%20resources%20and%20performance%3A%20Evidence%20from%20Indian%20software%20industry,India,Asia,Firm performance,Internationalization,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
266,1_DOI_FIRST,2,3,2019,Outward FDI and profitability of emerging economy firms: Diversifying from home resource dependence in early stage internationalization,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2019.04.002,https://doi.org/10.1016/j.jwb.2019.04.002,,,,https://api.unpaywall.org/v2/10.1016%2Fj.jwb.2019.04.002,https://openalex.org/works?search=Outward%20FDI%20and%20profitability%20of%20emerging%20economy%20firms%3A%20Diversifying%20from%20home%20resource%20dependence%20in%20early%20stage%20internationalization,https://scholar.google.com/scholar?q=Outward%20FDI%20and%20profitability%20of%20emerging%20economy%20firms%3A%20Diversifying%20from%20home%20resource%20dependence%20in%20early%20stage%20internationalization,Emerging markets,Multiple/Emerging,Firm performance,FDI,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,,,,NO
