seq,title,authors,year,journal,doi,pdf_url,icrv,dpl,extraction_priority,notes_for_extractor
36,Economies of Scale: The Rationale Behind the Multinationality-Performance Enigma,"Eckert, Stefan; Koppe, Max; Burkatzki, Eckhard; Eichentopf, Simon; Scharf, Constantin",2022,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-022-00473-2,https://link.springer.com/content/pdf/10.1007/s11575-022-00473-2.pdf,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
54,"Does it pay to be a multinational? A large-sample, cross-national replication assessing the multinationality-performance relationship","Pisani, Niccolo; Garcia-Bernardo, Javier; Heemskerk, Eelke",2020,STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.3087,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smj.3087,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
167,Navigating global waters: performance outcomes of internationalization in family businesses,"Cambrea, Domenico Rocco; Quarato, Fabio; Pirazzi Maffiola, Kevin",2026,JOURNAL OF FAMILY BUSINESS MANAGEMENT,10.1108/jfbm-08-2025-0226,https://www.emerald.com/jfbm/article-pdf/doi/10.1108/JFBM-08-2025-0226/11319306/jfbm-08-2025-0226en.pdf,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
196,Analysis the nexus between internationalization and financial performance in wine industry: The effect of proactive environmental strategy and eco-innovation,"Carchano, Marcos; Carrasco, Inmaculada; Gonzalez, Angela; Saez-Martinez, Francisco J.",2024,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2894,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/csr.2894,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
218,"Dancing with Giants: A Unified Framework for Cooperation Networks, Speed of Internationalisation, and Performance","Mendes, Telma; Silva, Carina; Braga, Alexandra",2023,SUSTAINABILITY,10.3390/su15032003,https://www.mdpi.com/2071-1050/15/3/2003/pdf?version=1674207475,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
220,Internationalization and digitalization: Their differing role on grocer and non-grocer retailer performance,"Batsakis, Georgios; Theoharakis, Vasilis; Li, Chengguang; Konara, Palitha",2023,JOURNAL OF RETAILING,10.1016/j.jretai.2023.07.005,https://ars.els-cdn.com/content/image/1-s2.0-S0022435923000337-ga1_lrg.jpg,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
245,Pre-Internationalization and Performance Conditions of First-Time Exporting SMEs,"Meschi, Pierre-Xavier; Ricard, Antonin; Moore, Ernesto Tapia",2021,MANAGEMENT,10.37725/mgmt.v24i1.4507,https://management-aims.com/index.php/mgmt/article/download/4507/13402,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
248,Productivity effects of internationalisation through the domestic supply chain,"Merlevede, Bruno; Theodorakopoulos, Angelos",2021,JOURNAL OF APPLIED ECONOMETRICS,10.1002/jae.2837,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jae.2837,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
272,Internationalization and hotel performance: Agglomeration-related moderators,"Woo, Linda; Assaf, A. George; Josiassen, Alexander; Kock, Florian",2019,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,10.1016/j.ijhm.2019.03.007,https://www.sciencedirect.com/science/article/pii/S0278431918305097,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
310,"Internationalisation, cultural distance and country characteristics: a Bayesian analysis of SMEs financial performance","Majocchi, Antonio; Dalla Valle, Luciana; D'Angelo, Alfredo",2015,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2012.720600,https://journals.vilniustech.lt/index.php/JBEM/article/download/2666/2179,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
461,"The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and contextual determinants","Hutzschenreuter, Thomas; Kleindienst, Ingo; Sarkar Sengupta, Aditi; Verbeke, Alain",2026,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2025-0104,https://centaur.reading.ac.uk/128026/3/MBR-04-2025-0104.R2%20Manuscript-AV-F.pdf,1,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
462,"Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and productivity of the manufacturing companies in Belarus","Shershunovich, Yauheniya; Mirzabaev, Alisher",2025,NATURAL RESOURCES FORUM,10.1111/1477-8947.12525,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1477-8947.12525,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type | ICRV=0 auto-default; verify from full text
466,Exporting is a team sport: the link between management training and performance in SMEs,"Idris, Bochra; Saridakis, George; Georgellis, Yannis; Lai, Yanqing; Johnstone, Stewart",2024,INTERNATIONAL JOURNAL OF MANPOWER,10.1108/ijm-03-2023-0150,https://strathprints.strath.ac.uk/87757/1/Idris-etal-IJM-2023-Exporting-is-a-team-sport-the-link.pdf,0,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type | ICRV=0 auto-default; verify from full text
209,Internationalization and Organizational Resilience to COVID-19 Crisis: The Moderating Effect of Digitalization,"Wang, Yueqi; Chen, Shouming; Hu, Yuanyuan",2024,SAGE OPEN,10.1177/21582440241229561,https://journals.sagepub.com/doi/pdf/10.1177/21582440241229561,2,3,1_DOI_FIRST,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
614,Linking FDI motivation and host economy productivity effects: conceptual and empirical analysis,"Driffield, Nigel; Love, James H.",2007,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/palgrave.jibs.8400268,https://publications.aston.ac.uk/id/eprint/3579/1/Linking_FDI_motivation_and_host_economy_productivity_effects.pdf,0,2,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
686,The Impact of Interorganizational Imitation on New Venture International Entry and Performance,"Fernhaber, Stephanie A.; Li, Dan",2010,ENTREPRENEURSHIP THEORY AND PRACTICE,10.1111/j.1540-6520.2009.00365.x,https://digitalcommons.butler.edu/cob_papers/90,0,3,1_DOI_FIRST,source:multi | ICRV=0 auto-default; verify from full text
824,Geographic and Product Diversification in Charitable Organizations,"Kistruck, Geoffrey M.; Qureshi, Israr; Beamish, Paul W.",2013,JOURNAL OF MANAGEMENT,10.1177/0149206311398135,http://hdl.handle.net/10397/9393,0,3,1_DOI_FIRST,source:wos
845,The effect of institutional quality on firm export performance in emerging economies: a contingency model of firm age and size,"LiPuma, Joseph A.; Newbert, Scott L.; Doh, Jonathan P.",2013,SMALL BUSINESS ECONOMICS,10.1007/s11187-011-9395-7,http://hdl.handle.net/10.1007/s11187-011-9395-7,0,3,1_DOI_FIRST,source:wos
906,"OWNERSHIP, TECHNOLOGICAL CAPABILITIES AND EXPORTS OF GARMENT FIRMS IN MYANMAR","Rasiah, Rajah; Myint, Myo Myo",2013,TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,10.3846/20294913.2013.869513,https://journals.vilniustech.lt/index.php/TEDE/article/download/4318/3663,6,3,1_DOI_FIRST,source:wos
1012,"Foreign market experience, learning by hiring and firm export performance","Masso, Jaan; Roigas, Kaert; Vahter, Priit",2015,REVIEW OF WORLD ECONOMICS,10.1007/s10290-015-0224-y,http://www.mtk.ut.ee/sites/default/files/mtk/RePEc/mtk/febpdf/febawb95.pdf,0,3,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
1032,Imported Inputs and Egyptian Exports: Exploring the Links,"Dolores Parra, Maria; Martinez-Zarzoso, Inmaculada",2015,ECONOMICS-THE OPEN ACCESS OPEN-ASSESSMENT E-JOURNAL,10.5018/economics-ejournal.ja.2015-38,https://www.degruyter.com/document/doi/10.5018/economics-ejournal.ja.2015-38/pdf,2,3,1_DOI_FIRST,source:multi
1036,Are Firms in Developing Countries in Spider Webs or Iron Cages? Geographic Traps and Firm Performance,"Zoogah, David; Mburu, Henry K.",2015,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.21722,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.21722,0,3,1_DOI_FIRST,source:multi
1049,. Maximizing the Benefits of Internationalization: The Moderating Role of Labour Flexibility,"Jung, Heung-Jun; Noh, Sung-Chul; Chung, Sun-Wook",2016,RELATIONS INDUSTRIELLES-INDUSTRIAL RELATIONS,10.7202/1036613ar,http://www.erudit.org/fr/revues/ri/2016-v71-n2-ri02537/1036613ar.pdf,0,3,1_DOI_FIRST,source:wos
1061,"Interrelationship among foreign presence, domestic sales and export intensity in Chinese manufacturing industries","Sun, Sizhong; Anwar, Sajid",2016,APPLIED ECONOMICS,10.1080/00036846.2015.1122733,https://researchonline.jcu.edu.au/44055/11/44055%20Sun%20et%20al%202016.pdf,2,3,1_DOI_FIRST,source:wos
1147,International diversification and firm's value: evidence from developing nations,"Bany-Ariffin, A. N.; Matemilola, Bolaji Tunde; Wahid, Liza; Abdullah, Siti",2016,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,10.1108/ribs-01-2014-0016,http://psasir.upm.edu.my/id/eprint/34238/1/International%20diversification%20and%20firm%27s%20value%20evidence%20from%20developing%20nations.pdf,2,3,1_DOI_FIRST,source:multi
1226,"Export Intensity, Geographic Diversification and the Role of Public Support: The Evidence from Old and New Europe SMEs","Ciszewska-Mlinaric, Mariola",2018,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2018.060203,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/473293/2013_Extensive_Intensive_margins_FINAL_03_Dec_13.pdf,0,3,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
1258,Disentangling the effects of post-entry speed of internationalisation on export performance of INVs,"Sadeghi, Arash; Rose, Elizabeth L.; Chetty, Sylvie",2018,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,10.1177/0266242618775169,https://publications.aston.ac.uk/id/eprint/37452/1/Manuscript.pdf,0,3,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
1260,International diversification and firm performance in the post-acquisition period: A resource dependence perspective,"Batsakis, Georgios; Wood, Geoffrey; Azar, Goudarz; Singh, Satwinder",2018,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2018.02.025,http://repository.essex.ac.uk/21647/1/JBR%20paper%202nd%20RR%20final-proofread-13-2-18.pdf,0,3,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
1358,International Trade and Productivity Growth in Indian Industry: Evidence from the Organized Manufacturing Sector,"Rijesh, R.",2019,JOURNAL OF SOUTH ASIAN DEVELOPMENT,10.1177/0973174119839878,https://journals.sagepub.com/doi/pdf/10.1177/0973174119839878,3,3,1_DOI_FIRST,source:wos
1429,"Geographical diversification, firm size and profitability in Malaysia: A quantile regression approach","Subramaniam, Vasanthan; Wasiuzzaman, Shaista",2019,HELIYON,10.1016/j.heliyon.2019.e02664,http://www.cell.com/article/S2405844019363248/pdf,2,3,1_DOI_FIRST,source:wos
1433,"Trading activities, productivity and markups: Evidence for Spanish manufacturing","Manez Castillejo, Juan A.; Minguez Bosque, Consuelo; Rochina Barrachina, Maria E.; Sanchis Llopis, Juan A.",2020,WORLD ECONOMY,10.1111/twec.12892,https://roderic.uv.es/bitstreams/c2c597b0-342e-4d8b-8c3c-b0510bc080b6/download,1,3,1_DOI_FIRST,source:multi
1434,Export Performance and Stock Return: A Case of Fishery Firms Listing in Vietnam Stock Markets,Quy Thi Vo,2019,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,10.13106/jafeb.2019.vol6.no4.37,http://koreascience.or.kr:80/article/JAKO201915658234165.pdf,3,3,1_DOI_FIRST,source:multi
1435,Foreign acquisitions and firm performance: The moderating role of prior foreign experience,"Agyei-Boapeah, Henry",2019,GLOBAL FINANCE JOURNAL,10.1016/j.gfj.2018.02.001,https://eprints.soton.ac.uk/434318/1/Foreign_acquisitions_and_firm_performance.pdf,0,3,1_DOI_FIRST,source:multi
1478,"Family involvement, internationalisation and performance: An empirical study of the Spanish hotel industry","Rienda, Laura; Claver, Enrique; Andreu, Rosario",2020,JOURNAL OF HOSPITALITY AND TOURISM MANAGEMENT,10.1016/j.jhtm.2020.01.002,https://rua.ua.es/dspace/bitstream/10045/102150/5/2020_Rienda_etal_JHospitalityTourManag_revised.pdf,1,3,1_DOI_FIRST,source:wos
1540,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,Anh Tu Phan; Thi Bach Yen Tran; Thanh Thuy Lu,2020,DECISION SCIENCE LETTERS,10.5267/j.dsl.2020.7.001,https://doi.org/10.5267/j.dsl.2020.7.001,0,3,1_DOI_FIRST,source:multi | ICRV=0 auto-default; verify from full text
1542,The combined effects of product and geographical diversification on performance: Evidence in manufacturing SMEs,"Benito-Osorio, Diana; Colino, Alberto; Guerras-Martin, Luis Angel; Zuniga-Vicente, Jose Angel",2020,BRQ-BUSINESS RESEARCH QUARTERLY,10.1177/2340944420916332,https://journals.sagepub.com/doi/pdf/10.1177/2340944420916332,0,3,1_DOI_FIRST,source:wos
1550,Global value chains and technology transfer: new evidence from developing countries,"Rigo, Davide",2021,REVIEW OF WORLD ECONOMICS,10.1007/s10290-020-00398-8,https://link.springer.com/content/pdf/10.1007/s10290-020-00398-8.pdf,0,3,1_DOI_FIRST,source:multi
1551,When Does Corporate Social Performance Pay for International Firms?,"Muller, Alan",2020,BUSINESS & SOCIETY,10.1177/0007650318816957,https://journals.sagepub.com/doi/pdf/10.1177/0007650318816957,0,3,1_DOI_FIRST,source:multi | ICRV=0 auto-default; verify from full text
1554,The S-Shaped Relationship Between internationalization and Performance: Empirical Evidence from Laos,Tu Anh Phan; Thuy Thi Kim Nguyen; Triet Minh Phan,2020,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,10.13106/jafeb.2020.vol7.no11.357,http://koreascience.or.kr:80/article/JAKO202032462596978.pdf,6,3,1_DOI_FIRST,source:wos
1655,Speed of institutional change and subsidiary performance: The moderating impact of home and host country learning,"Fuentelsaz, Lucio; Garrido, Elisabet; Gonzalez, Minerva",2022,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1416,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/gsj.1416,0,3,1_DOI_FIRST,source:wos
1706,Exporting by Private Equity-Backed Portfolio Companies,"Wilson, Nick; Uddin, Moshfique; Wright, Mike",2022,BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.12566,https://eprints.whiterose.ac.uk/179658/3/R%26R4_Manuscript_finala.pdf,1,3,1_DOI_FIRST,source:wos
1721,Eyes open and hands on: market knowledge and marketing capabilities in export markets,"Hoque, Mohammad Tayeenul; Ahammad, Mohammad Faisal; Tzokas, Nikolaos; Tarba, Shlomo; Nath, Prithwiraj",2022,INTERNATIONAL MARKETING REVIEW,10.1108/imr-01-2021-0003,http://nrl.northumbria.ac.uk/id/eprint/48154/1/Full%20Paper_October-11-2021%20IMR%20Revised.pdf,3,3,1_DOI_FIRST,source:wos
1722,Markups and export behavior: Firm-level evidence from the French food processing industry,"Jafari, Yaghoob; Koppenberg, Maximilian; Hirsch, Stefan; Heckelei, Thomas",2023,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,10.1111/ajae.12292,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ajae.12292,1,3,1_DOI_FIRST,source:multi
1767,Do domestic market characteristics influence firms' export intensity?,"Forte, Rosa Portela; Carvalho, Sergio",2024,EUROMED JOURNAL OF BUSINESS,10.1108/emjb-09-2021-0129,https://www.emerald.com/insight/content/doi/10.1108/EMJB-09-2021-0129/full/pdf?title=do-domestic-market-characteristics-influence-firms-export-intensity,0,3,1_DOI_FIRST,source:multi
1790,"The Relationship Between Timing, Speed, and Performance in Foreign Market Network Entry","Hilmersson, Mikael; Schweizer, Roger; Chetty, Sylvie",2022,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-022-00470-5,https://link.springer.com/content/pdf/10.1007/s11575-022-00470-5.pdf,0,3,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
1888,The Relationship Between Export Market Orientation and Firm Performance: A Meta-Analysis of Main and Moderator Effects,"Abdul-Talib, Asmat-Nizam; Zamani, Siti Norhasmaedayu Mohd; Abd Razak, Ili Salsabila",2023,GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,10.22146/gamaijb.65565,https://jurnal.ugm.ac.id/gamaijb/article/download/65565/35809,0,3,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
1892,Slack Resources and Export Intensity: New Empirical Evidence from Vietnam,"Dinh, Thi Thanh Binh; Tu, Thuy Anh; Chu, Thi Mai Phuong",2023,ECONOMIES,10.3390/economies11020068,https://www.mdpi.com/2227-7099/11/2/68/pdf?version=1676599854,3,3,1_DOI_FIRST,source:wos
1894,How Organizational Resources and Managerial Features Affect Business Performance: An Analysis in the Greek Wine Industry,"Crescimanno, Maria; Mirabella, Claudio; Borsellino, Valeria; Schimmenti, Emanuele; Vrontis, Demetris; Tinervia, Salvatore; Galati, Antonino",2023,SUSTAINABILITY,10.3390/su15043522,https://www.mdpi.com/2071-1050/15/4/3522/pdf?version=1676382979,1,3,1_DOI_FIRST,source:wos
1918,Blood and Water: Information Technology Investment and Control in Family-owned Businesses,"Kathuria, Abhishek; Karhade, Prasanna P.; Ning, Xue (Nancy); Konsynski, Benn R.",2023,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,10.1080/07421222.2023.2172770,https://www.tandfonline.com/doi/pdf/10.1080/07421222.2023.2172770?download=true,3,3,1_DOI_FIRST,source:wos
1921,On the Direct and Indirect Effects of ICT on SMEs Export Performance: Evidence from Colombian Manufacturing,"Gomez-Sanchez, Andres Mauricio; Castillejo, Juan Manez A.; Sanchis-Llopis, Juan Alberto",2024,JOURNAL OF THE KNOWLEDGE ECONOMY,10.1007/s13132-023-01378-7,https://link.springer.com/content/pdf/10.1007/s13132-023-01378-7.pdf,2,3,1_DOI_FIRST,source:wos
1930,"Internationalisation, employment generation and wage premia: evidence from Indian manufacturing firms","Aggarwal, Anshul; Sharma, Chandan",2023,MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.3936,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mde.3936,3,3,1_DOI_FIRST,source:wos
1964,The interplay of international alliance and subsidiary portfolios: Implications for firms' innovation and financial performance,"Koval, Mariia; Iurkov, Viacheslav; Benito, Gabriel R. G.",2024,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2023.101500,https://www.sciencedirect.com/science/article/am/pii/S1090951623000755,0,3,1_DOI_FIRST,source:multi | ICRV=0 auto-default; verify from full text
1985,The Effect of Foreign Divestment on Subsequent Firm Performance: The Moderating Role of Spatial and Temporal Dispersion of Prior Divestment Experience,"Batsakis, Georgios; Mohr, Alexander; Konara, Palitha; Koritos, Christos",2024,BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.12786,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8551.12786,1,3,1_DOI_FIRST,source:multi
1996,FINANCIAL PERFORMANCE DETERMINANTS OF UKRAINIAN AGRICULTURAL COMPANIES IN THE PRE-WAR PERIOD,"Lehenchuk, Serhii; Raboshuk, Alina; Zhyhlei, Iryna; Zakharov, Dmytro; Fedoryshyna, Lidiia",2023,AGRICULTURAL AND RESOURCE ECONOMICS-INTERNATIONAL SCIENTIFIC E-JOURNAL,10.51599/are.2023.09.04.05,https://are-journal.com/are/article/download/755/415,1,3,1_DOI_FIRST,source:multi
2008,The comparison of RBV-based competitiveness of Hungarian family-owned and non-family-owned SMEs,"Varga, Anna Roza; Sipos, Norbert; Rideg, Andras; Lukovszki, Livia",2024,COMPETITIVENESS REVIEW,10.1108/cr-02-2023-0017,https://www.emerald.com/insight/content/doi/10.1108/CR-02-2023-0017/full/pdf?title=the-comparison-of-rbv-based-competitiveness-of-hungarian-family-owned-and-non-family-owned-smes,1,3,1_DOI_FIRST,source:wos
2013,Financial and marketing approach to export performance: the mediation role of promotion and research and development,"Hassen, Nesredin Temam; Lema, Mesfin; Nemera, Gemechu",2024,COGENT BUSINESS & MANAGEMENT,10.1080/23311975.2024.2315658,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2024.2315658?download=true,0,3,1_DOI_FIRST,source:wos | ICRV=0 auto-default; verify from full text
