seq,extraction_priority,icrv,dpl,fp_type,internationalization_measure_guess,model_type,title,authors,year,journal,doi,doi_link,google_scholar,fulltext_screening_decision,sample_size_n,reported_coefficient,t_value,df_for_t,p_value,converted_r,conversion_formula,performance_measure_guess,country_guess,region_guess,study_period_start,study_period_end,curve_type,ready_for_r,notes_for_extractor,extracted_by,is_oa,oa_status,pdf_url,best_url
2252,1_DOI_FIRST,1,3,composite,,,Technology-Enabled Cross-Border Entrepreneurship: The Role of Digital Platforms in SME Expansion Through the Lens of Institutional Theory,"Nahar, Sharmin; Alam, Muntasir",2026,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.70093,https://doi.org/10.1002/tie.70093,https://scholar.google.com/scholar?q=Technology-Enabled%20Cross-Border%20Entrepreneurship%3A%20The%20Role%20of%20Digital%20Platforms%20in%20SME%20Expansion%20Through%20the%20Lens%20of%20Ins,Y,,,,,,,,,,,,,,0,source:wos,,True,hybrid,,https://doi.org/10.1002/tie.70093
2264,1_DOI_FIRST,,3,composite,,,Technological complexity and global capabilities in SMEs. A survey in an Italian industrial region,"Cattaruzzo, Sebastiano; Coro, Giancarlo; Borsato, Roshan",2026,INDUSTRY AND INNOVATION,10.1080/13662716.2026.2637174,https://doi.org/10.1080/13662716.2026.2637174,https://scholar.google.com/scholar?q=Technological%20complexity%20and%20global%20capabilities%20in%20SMEs.%20A%20survey%20in%20an%20Italian%20industrial%20region,Y,,,,,,,,,,,,,,0,source:wos,,False,closed,,
2276,1_DOI_FIRST,2,3,,,,The carbon cost of export-oriented growth: Firm-level evidence on embedded carbon emissions in China's light industry,"Yu, Xiaoyuan; He, Hua; Dadashzade, Gulmira; Mamadiyarov, Zokir; Zi, Yaron",2026,ENERGY STRATEGY REVIEWS,10.1016/j.esr.2026.102215,https://doi.org/10.1016/j.esr.2026.102215,https://scholar.google.com/scholar?q=The%20carbon%20cost%20of%20export-oriented%20growth%3A%20Firm-level%20evidence%20on%20embedded%20carbon%20emissions%20in%20China%27s%20light%20industry,Y,,,,,,,,,,,,,,0,source:multi,,True,gold,,https://doi.org/10.1016/j.esr.2026.102215
2280,1_DOI_FIRST,2,3,productivity,,,Corporate performance effects of digital empowerment under the Belt and Road Initiative: Evidence from M&A performance and green performance,Zhang X.,2026,International Review of Economics and Finance,10.1016/j.iref.2026.105315,https://doi.org/10.1016/j.iref.2026.105315,https://scholar.google.com/scholar?q=Corporate%20performance%20effects%20of%20digital%20empowerment%20under%20the%20Belt%20and%20Road%20Initiative%3A%20Evidence%20from%20M%26A%20performance%20a,Y,,,,,,,,,,,,,,0,source:scopus,,True,gold,,https://doi.org/10.1016/j.iref.2026.105315
2282,1_DOI_FIRST,,3,,,,"Digital Transformation, Internationalization and Productivity in Small and Medium-Sized Enterprises: Unravelling Effects from Spain",Torrent-Sellens J.,2026,Journal of the Knowledge Economy,10.1007/s13132-026-03199-w,https://doi.org/10.1007/s13132-026-03199-w,https://scholar.google.com/scholar?q=Digital%20Transformation%2C%20Internationalization%20and%20Productivity%20in%20Small%20and%20Medium-Sized%20Enterprises%3A%20Unravelling%20Effects,Y,,,,,,,,,,,,,,0,source:scopus,,True,hybrid,https://link.springer.com/content/pdf/10.1007/s13132-026-03199-w.pdf,https://link.springer.com/content/pdf/10.1007/s13132-026-03199-w.pdf
2284,1_DOI_FIRST,,3,composite,,,Early Internationalization in Family and Non-family Firms: Performance Implications and the Role of Non-family Managers,Liu R.R.,2026,Management International Review,10.1007/s11575-026-00618-7,https://doi.org/10.1007/s11575-026-00618-7,https://scholar.google.com/scholar?q=Early%20Internationalization%20in%20Family%20and%20Non-family%20Firms%3A%20Performance%20Implications%20and%20the%20Role%20of%20Non-family%20Managers,Y,,,,,,,,,,,,,,0,source:scopus,,False,closed,,
2285,1_DOI_FIRST,,3,,,,"Robots, Firms, and Regions: Explaining Spanish Manufacturing Firms’ Productivity and Exports",Cattaruzzo S.,2026,Journal of the Knowledge Economy,10.1007/s13132-026-03261-7,https://doi.org/10.1007/s13132-026-03261-7,https://scholar.google.com/scholar?q=Robots%2C%20Firms%2C%20and%20Regions%3A%20Explaining%20Spanish%20Manufacturing%20Firms%E2%80%99%20Productivity%20and%20Exports,Y,,,,,,,,,,,,,,0,source:scopus,,True,hybrid,,https://doi.org/10.1007/s13132-026-03261-7
463,1_DOI_FIRST,,3,TBD,Export intensity,,Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,"Sousa, Carlos M. P.; Tsinopoulos, Christos; Yan, Ji; Benito, Gabriel R. G.",2025,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0039,https://doi.org/10.1108/imr-02-2024-0039,https://scholar.google.com/scholar?q=Finding%20the%20sweet%20spot%3A%20effects%20of%20exporting%20on%20the%20relationship%20between%20R%26D%20investment%20and%20NPD%20performance,Y,,,,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),Firm performance,TO_EXTRACT,TO_EXTRACT,,,,NO,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,True,green,https://durham-repository.worktribe.com/file/3318752/1/Accepted%20Journal%20Article,https://durham-repository.worktribe.com/file/3318752/1/Accepted%20Journal%20Article
462,1_DOI_FIRST,,3,Productivity,Export intensity,,"Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and productivity of the manufacturing companies in Belarus","Shershunovich, Yauheniya; Mirzabaev, Alisher",2025,NATURAL RESOURCES FORUM,10.1111/1477-8947.12525,https://doi.org/10.1111/1477-8947.12525,https://scholar.google.com/scholar?q=Clean%2C%20competitive%2C%20and%20productive%3F%20The%20impact%20of%20environment-friendly%20technologies%20on%20exporting%20and%20productivity%20of%20the%20manufacturing%20companies%20in%20Belarus,Y,,,,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),Productivity,TO_EXTRACT,TO_EXTRACT,,,,NO,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1477-8947.12525,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1477-8947.12525
464,1_DOI_FIRST,1,3,TBD,Degree of internationalization/multinationality,panel,"Bribery, local network, and local performance among multinational corporations: a moderated mediation model of informal competition","Chiao, Yu-Ching; Chang, Yu-Chen; Lin, Chun-Chien",2025,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-04-2024-0284,https://doi.org/10.1108/jbim-04-2024-0284,https://scholar.google.com/scholar?q=Bribery%2C%20local%20network%2C%20and%20local%20performance%20among%20multinational%20corporations%3A%20a%20moderated%20mediation%20model%20of%20informal%20competition,Y,,,,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),Firm performance,TO_EXTRACT,TO_EXTRACT,,,,NO,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,False,closed,,
465,1_DOI_FIRST,,3,firm_performance,Export intensity,,"Firm-Level Carbon Productivity, Home Country Environmental Performance, and Firm Performance in the Exporting Meat Industry","Geldres-Weiss, Valeska V.; Guerrero-Stuardo, Pedro E.; Marinova, Svetla; Ortiz-Cea, Vesnia; Reveco, Roberto",2025,SUSTAINABILITY,10.3390/su17125381,https://doi.org/10.3390/su17125381,https://scholar.google.com/scholar?q=Firm-Level%20Carbon%20Productivity%2C%20Home%20Country%20Environmental%20Performance%2C%20and%20Firm%20Performance%20in%20the%20Exporting%20Meat%20Industry,Y,,,,,,,If t available: r=sqrt(t^2/(t^2+df)); if r available: use direct; Fisher_z=0.5*ln((1+r)/(1-r)); variance_z=1/(n-3),Productivity,TO_EXTRACT,TO_EXTRACT,,,,NO,sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type,,True,gold,https://www.mdpi.com/2071-1050/17/12/5381/pdf?version=1749636253,https://www.mdpi.com/2071-1050/17/12/5381/pdf?version=1749636253
2081,1_DOI_FIRST,,3,composite,,,Gender diversity in top management team and corporate social responsibility performance: examining the moderating nature of TMT international experience,"Chiao, Yu-Ching; Chang, Yu-Chen; Hsu, Yi-Jung; Lu, Chang Hong; Chang, Man-Ling",2025,GENDER IN MANAGEMENT,10.1108/gm-01-2024-0033,https://doi.org/10.1108/gm-01-2024-0033,https://scholar.google.com/scholar?q=Gender%20diversity%20in%20top%20management%20team%20and%20corporate%20social%20responsibility%20performance%3A%20examining%20the%20moderating%20nature,Y,,,,,,,,,,,,,,0,source:wos,,False,closed,,
2090,1_DOI_FIRST,1,3,productivity,fsts,,Productivity and growth decomposition: a novel single-index smooth-coefficient stochastic frontier approach,"Sun, Kai; Kumbhakar, Subal C.; Lien, Gudbrand",2025,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,10.1093/erae/jbae024,https://doi.org/10.1093/erae/jbae024,https://scholar.google.com/scholar?q=Productivity%20and%20growth%20decomposition%3A%20a%20novel%20single-index%20smooth-coefficient%20stochastic%20frontier%20approach,Y,,,,,,,,,,,,,,0,source:multi,,False,closed,,
2093,1_DOI_FIRST,,3,composite,,,Government R&D support's effects on export performance via innovation: An analysis of organizational motivators as moderators,"Tinits, Priit; Yi, Jingtao; Fey, Carl F.; Meng, Shuang",2025,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2024.102345,https://doi.org/10.1016/j.ibusrev.2024.102345,https://scholar.google.com/scholar?q=Government%20R%26D%20support%27s%20effects%20on%20export%20performance%20via%20innovation%3A%20An%20analysis%20of%20organizational%20motivators%20as%20moder,Y,,,,,,,,,,,,,,0,source:wos,,False,closed,,
2109,1_DOI_FIRST,0,3,composite,,sem,Reframing government support for SMEs' performance in international market: the critical role of institutional context,"Jalali, Hossein S.",2025,ASIA-PACIFIC JOURNAL OF BUSINESS ADMINISTRATION,10.1108/apjba-11-2024-0621,https://doi.org/10.1108/apjba-11-2024-0621,https://scholar.google.com/scholar?q=Reframing%20government%20support%20for%20SMEs%27%20performance%20in%20international%20market%3A%20the%20critical%20role%20of%20institutional%20context,Y,,,,,,,,,,,,,,0,source:wos,,False,closed,,
2111,1_DOI_FIRST,3,3,composite,,,Learning Orientation and Export Performance in Nigeria: The Moderating Effect of Export Knowledge,"Abubakar, Mukhtar Salisu; Rahim, Norhuda Abdul; Yusof, Raja Nerina Raja; Yahya, Mohamed Hisham",2025,GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,10.22146/gamaijb.74896,https://doi.org/10.22146/gamaijb.74896,https://scholar.google.com/scholar?q=Learning%20Orientation%20and%20Export%20Performance%20in%20Nigeria%3A%20The%20Moderating%20Effect%20of%20Export%20Knowledge,Y,,,,,,,,,,,,,,0,source:wos,,True,gold,https://jurnal.ugm.ac.id/gamaijb/article/download/74896/40854,https://jurnal.ugm.ac.id/gamaijb/article/download/74896/40854
2117,1_DOI_FIRST,3,3,composite,fsts,,Unveiling Determinants of Resource Allocation to R&D and Advertising: Insights from Indian Manufacturing Companies,"Kaur, Navjot; Singh, Balwinder",2025,GLOBAL BUSINESS REVIEW,10.1177/09721509241308023,https://doi.org/10.1177/09721509241308023,https://scholar.google.com/scholar?q=Unveiling%20Determinants%20of%20Resource%20Allocation%20to%20R%26D%20and%20Advertising%3A%20Insights%20from%20Indian%20Manufacturing%20Companies,Y,,,,,,,,,,,,,,0,source:wos,,False,closed,,
2121,1_DOI_FIRST,,3,,,,'Learning to Export' and 'Learning By Exporting': Revisiting the Relationship Between Innovation and Exports in African Firms,"Avenyo, Elvis Korku; Tregenna, Fiona",2025,AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,10.1111/1467-8268.70001,https://doi.org/10.1111/1467-8268.70001,https://scholar.google.com/scholar?q=%27Learning%20to%20Export%27%20and%20%27Learning%20By%20Exporting%27%3A%20Revisiting%20the%20Relationship%20Between%20Innovation%20and%20Exports%20in%20African%20,Y,,,,,,,,,,,,,,0,source:wos,,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8268.70001,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8268.70001
2128,1_DOI_FIRST,0,3,,,,The curvilinear relationship between digitalization and export propensity: The role of home country corruption in emerging economies,"Capelleras, Joan-Lluis; Martin-Sanchez, Victor; Zhang, Chao",2025,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/j.techfore.2025.124043,https://doi.org/10.1016/j.techfore.2025.124043,https://scholar.google.com/scholar?q=The%20curvilinear%20relationship%20between%20digitalization%20and%20export%20propensity%3A%20The%20role%20of%20home%20country%20corruption%20in%20emergi,Y,,,,,,,,,,,,,,0,source:wos,,True,hybrid,,https://doi.org/10.1016/j.techfore.2025.124043
2133,1_DOI_FIRST,2,3,,fsts,,Balancing export intensity and innovation: Uncovering the inverted-U relationship in Chinese manufacturing firms,"Zhou, Hua; Zhang, Xiaodong; Yang, Lun",2025,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2025.02.028,https://doi.org/10.1016/j.eap.2025.02.028,https://scholar.google.com/scholar?q=Balancing%20export%20intensity%20and%20innovation%3A%20Uncovering%20the%20inverted-U%20relationship%20in%20Chinese%20manufacturing%20firms,Y,,,,,,,,,,,,,,0,source:wos,,False,closed,,
2141,1_DOI_FIRST,2,3,,fsts,panel,Does being embedded in RTA networks promote firm productivity? Evidence from Chinese firms,"Wang, Xiaozhuo; Yang, Guang",2025,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,10.1016/j.iref.2025.103973,https://doi.org/10.1016/j.iref.2025.103973,https://scholar.google.com/scholar?q=Does%20being%20embedded%20in%20RTA%20networks%20promote%20firm%20productivity%3F%20Evidence%20from%20Chinese%20firms,Y,,,,,,,,,,,,,,0,source:multi,,True,gold,,https://doi.org/10.1016/j.iref.2025.103973
2144,1_DOI_FIRST,,3,,fsts,,"What drives SME export intensity in transition economies? The role of infrastructure, digitalisation and innovation capabilities","Edeh, Jude; Olarewaju, Adeniyi D.; Kusi, Samuel Yaw",2025,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/j.techfore.2025.124123,https://doi.org/10.1016/j.techfore.2025.124123,https://scholar.google.com/scholar?q=What%20drives%20SME%20export%20intensity%20in%20transition%20economies%3F%20The%20role%20of%20infrastructure%2C%20digitalisation%20and%20innovation%20capa,Y,,,,,,,,,,,,,,0,source:multi,,True,hybrid,,https://doi.org/10.1016/j.techfore.2025.124123
2153,1_DOI_FIRST,2,3,composite,fsts,,"Wine, markups, and export behavior: Evidence from Hungary","Csurilla, Gergely; Bakucs, Zoltan; Ferto, Imre",2025,JOURNAL OF WINE ECONOMICS,10.1017/jwe.2025.7,https://doi.org/10.1017/jwe.2025.7,https://scholar.google.com/scholar?q=Wine%2C%20markups%2C%20and%20export%20behavior%3A%20Evidence%20from%20Hungary,Y,,,,,,,,,,,,,,0,source:multi,,True,hybrid,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CA15B1013638C98628E34582E1E55241/S1931436125000070a.pdf/div-class-title-wine-markups-and-export-behavior-evidence-from-hungary-div.pdf,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CA15B1013638C98628E34582E1E55241/S1931436125000070a.pdf/div-class-title-wine-markups-and-export-behavior-evidence-from-hungary-div.pdf
2175,1_DOI_FIRST,,3,composite,,,"Linking Dynamic Capabilities to Export Performance in Africa: The Moderating Roles of Institutional Support, Sociopolitical Context, and Perceived Corruption","Mansouri, Samy; Kaswengi, Joseph",2025,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.70001,https://doi.org/10.1002/tie.70001,https://scholar.google.com/scholar?q=Linking%20Dynamic%20Capabilities%20to%20Export%20Performance%20in%20Africa%3A%20The%20Moderating%20Roles%20of%20Institutional%20Support%2C%20Sociopoliti,Y,,,,,,,,,,,,,,0,source:multi,,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.70001,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.70001
2177,1_DOI_FIRST,,3,,fsts,,"Export intensity, intellectual property and technology development as drivers for green innovations","Bataineh, Mohammad Jamal; Sanchez-Sellero, Pedro",2025,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2025.146843,https://doi.org/10.1504/ejim.2025.146843,https://scholar.google.com/scholar?q=Export%20intensity%2C%20intellectual%20property%20and%20technology%20development%20as%20drivers%20for%20green%20innovations,Y,,,,,,,,,,,,,,0,source:wos,,False,closed,,
2179,1_DOI_FIRST,3,3,composite,,,A firm-level analysis of the impact of foreign direct investment in research and development on the innovation output of Indian firms,"Sharma, Ruchita; Sharma, Ruchi",2025,TRANSNATIONAL CORPORATIONS REVIEW,10.1016/j.tncr.2025.200126,https://doi.org/10.1016/j.tncr.2025.200126,https://scholar.google.com/scholar?q=A%20firm-level%20analysis%20of%20the%20impact%20of%20foreign%20direct%20investment%20in%20research%20and%20development%20on%20the%20innovation%20output%20of,Y,,,,,,,,,,,,,,0,source:wos,,True,gold,,https://doi.org/10.1016/j.tncr.2025.200126
2182,1_DOI_FIRST,0,3,composite,,,"Speed of Institutional Reforms, Competitive Dynamics, and Cross-border Acquisitions: Evidence from Emerging Economies","Popli, Manish; Raithatha, Mehul; Gaur, Ajai",2025,BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.70001,https://doi.org/10.1111/1467-8551.70001,https://scholar.google.com/scholar?q=Speed%20of%20Institutional%20Reforms%2C%20Competitive%20Dynamics%2C%20and%20Cross-border%20Acquisitions%3A%20Evidence%20from%20Emerging%20Economies,Y,,,,,,,,,,,,,,0,source:wos,,False,closed,,
2185,1_DOI_FIRST,,3,composite,fsts,,Old but Sold? Innovation Through Tradition Strategy for Export and the Role of Family Involvement,"Miroshnychenko, Ivan; Ardito, Lorenzo; Capolupo, Paolo; Petruzzelli, Antonio Messeni",2025,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,10.1111/jpim.12796,https://doi.org/10.1111/jpim.12796,https://scholar.google.com/scholar?q=Old%20but%20Sold%3F%20Innovation%20Through%20Tradition%20Strategy%20for%20Export%20and%20the%20Role%20of%20Family%20Involvement,Y,,,,,,,,,,,,,,0,source:wos,,True,hybrid,,https://doi.org/10.1111/jpim.12796
2219,1_DOI_FIRST,,3,composite,,,International ambidexterity and innovation performance of EMNEs: the moderating role of dynamic-static resource interaction,"Gao, Qiuling; Zhang, Zhaoyi; Bao, Xinjie; Zhuang, Xiaolin; Huang, Duo",2025,CHINESE MANAGEMENT STUDIES,10.1108/cms-09-2024-0683,https://doi.org/10.1108/cms-09-2024-0683,https://scholar.google.com/scholar?q=International%20ambidexterity%20and%20innovation%20performance%20of%20EMNEs%3A%20the%20moderating%20role%20of%20dynamic-static%20resource%20interact,Y,,,,,,,,,,,,,,0,source:wos,,False,closed,,
2228,1_DOI_FIRST,,3,,,,Does financial development contribute to the nonlinear relationship between innovation and export diversification?,"Shahbazi, Kiumars",2025,COMPETITIVENESS REVIEW,10.1108/cr-04-2024-0074,https://doi.org/10.1108/cr-04-2024-0074,https://scholar.google.com/scholar?q=Does%20financial%20development%20contribute%20to%20the%20nonlinear%20relationship%20between%20innovation%20and%20export%20diversification%3F,Y,,,,,,,,,,,,,,0,source:multi,,False,closed,,
2234,1_DOI_FIRST,3,3,,fsts,logit_probit,The Determinants of Information Communication Technology Adoption in the Case of Indian Manufacturing Sector,"Danta, Subal; Rath, Badri Narayan",2025,GLOBAL BUSINESS REVIEW,10.1177/09721509251399758,https://doi.org/10.1177/09721509251399758,https://scholar.google.com/scholar?q=The%20Determinants%20of%20Information%20Communication%20Technology%20Adoption%20in%20the%20Case%20of%20Indian%20Manufacturing%20Sector,Y,,,,,,,,,,,,,,0,source:multi,,False,closed,,
2235,1_DOI_FIRST,3,3,,fsts,,Corporate Foreign Exchange Risk in India: Firm-level Evidence and Some Policy Implications,"Goel, Rohit; Sengupta, Swapnanil; Das, Udaibir Saran",2025,MARGIN-JOURNAL OF APPLIED ECONOMIC RESEARCH,10.1177/00252921251401022,https://doi.org/10.1177/00252921251401022,https://scholar.google.com/scholar?q=Corporate%20Foreign%20Exchange%20Risk%20in%20India%3A%20Firm-level%20Evidence%20and%20Some%20Policy%20Implications,Y,,,,,,,,,,,,,,0,source:multi,,True,hybrid,,https://doi.org/10.1177/00252921251401022
2237,1_DOI_FIRST,,3,composite,,,Profitability and CSR: Inconsistent performance feedback and OFDI location choices for firms in emerging countries,"Cheng, Cong; Chen, Linyi",2025,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2025.101308,https://doi.org/10.1016/j.intman.2025.101308,https://scholar.google.com/scholar?q=Profitability%20and%20CSR%3A%20Inconsistent%20performance%20feedback%20and%20OFDI%20location%20choices%20for%20firms%20in%20emerging%20countries,Y,,,,,,,,,,,,,,0,source:multi,,False,closed,,
