seq,title,icrv_auto,reason,has_abstract
781,THE ROLE OF CONTEXT IN THE MULTINATIONALITY-PERFORMANCE RELATIONSHIP: ,,no_country_detected,N
789,THE COMPETITIVENESS OF EXPORTERS FROM CROATIAN MANUFACTURING INDUSTRY,,no_country_detected,N
805,DEGREE OF INTERNATIONALIZATION IN LOGISTICS SECTOR AND STRATEGIC ORIEN,,no_country_detected,N
813,The internet as an alternative path to internationalization?,,no_country_detected,Y
818,Learning by exporting: Lessons from high-technology SMEs,,no_country_detected,N
824,Geographic and Product Diversification in Charitable Organizations,,no_country_detected,Y
835,Family Management and Internationalization: The Impact on Firm Perform,,no_country_detected,N
839,Internationalisation and firm performance: state of empirical research,,no_country_detected,N
849,Liability of country foreignness and liability of regional foreignness,,no_country_detected,N
866,"FDI Structure, Investment Specificity, and Multinationality Value unde",,no_country_detected,N
874,The Influence of Firm Characteristics and Export Performance in Centra,,no_country_detected,N
889,Earliness of internationalization and performance outcomes: Exploring ,,no_country_detected,N
893,How Do Local Knowledge Spillovers and Experience Affect Export Perform,,no_country_detected,N
900,The impact of MNE cultural diversity on the internationalization-perfo,,no_country_detected,N
918,Small and medium-sized enterprise internationalisation strategy and pe,,no_country_detected,N
921,Diaspora Investments and Firm Export Performance in Selected Sub-Sahar,,no_country_detected,N
980,Internationalization pathways and the performance of SMEs,,no_country_detected,N
994,Start-ups' Internationalization: The Impact of Business Owners' Manage,,no_country_detected,Y
1011,NEW ANALYSIS OF MULTINATIONAL ENTERPRISES AND THEIR LINKAGES WITH MARK,,no_country_detected,Y
1012,"Foreign market experience, learning by hiring and firm export performa",,no_country_detected,N
1013,Innovation and export performance: do young and mature innovative firm,,no_country_detected,N
1058,Short- and long-run effects of internationalization and R&D intensity ,,no_country_detected,N
1064,THE EFFECTS OF HOME COUNTRY POLITICAL AND LEGAL INSTITUTIONS ON FIRMS',,no_country_detected,Y
1091,"Capital investment, internationalization, and firm performance: Eviden",,no_country_detected,N
1092,The impact of industry characteristics on firms' export intensity,,no_country_detected,Y
1102,REPLICATING THE MULTINATIONALITY-PERFORMANCE RELATIONSHIP: IS THERE AN,,no_country_detected,N
1115,The effects of top management team composition on SME export performan,,no_country_detected,N
1128,International diversification and firm performance: a four-stage model,,no_country_detected,N
1135,"Market Efficiency, Heterogeneous Trade Costs and Export-Only Firms",,no_country_detected,Y
1148,Financial dimension of internationalization: serving two masters,,no_country_detected,N
1189,How personal and organizational drivers impact on SME international pe,,no_country_detected,N
1199,Examining drivers of e-commerce marketing capabilities and their impac,,no_country_detected,N
1202,The effects of R&D intensity and internationalization on the performan,,no_country_detected,N
1210,Export promotion programmes for assisting SMEs,,no_country_detected,Y
1216,Effects of the use of competitiveness as a strategy on exporting compa,,no_country_detected,Y
1219,Foreign subsidiaries' status: Distinctive determinants and implication,,no_country_detected,Y
1226,"Export Intensity, Geographic Diversification and the Role of Public Su",,no_country_detected,N
1229,"Process and product innovations, multi-product status and export perfo",,no_country_detected,N
1232,International Entrepreneurship: A Meta-Analysis on the Internationaliz,,no_country_detected,N
1250,From intangible resources to export performance: Exploring the mediati,,no_country_detected,N
1252,Firm internationalization and performance: Evidence for designing poli,,no_country_detected,N
1256,"Internationalization and performance: Degree, duration, and scale of o",,no_country_detected,N
1258,Disentangling the effects of post-entry speed of internationalisation ,,no_country_detected,N
1260,International diversification and firm performance in the post-acquisi,,no_country_detected,N
1275,The Impact of Managers' Global Orientation on SME Export and Economic ,,no_country_detected,N
1287,Board Gender Diversity in the STEM&F Sectors: The Critical Mass Requir,,no_country_detected,Y
1288,Key drivers of SMEs export performance: the mediating effect of compet,,no_country_detected,N
1302,International e-commerce for fashion products: what is the relationshi,,no_country_detected,N
1309,SME international performance in Latin America The role of entrepreneu,,no_country_detected,N
1328,Geographic export diversification: Determinants and their link with ex,,no_country_detected,N
1350,Human capital and exports: A micro-level analysis of transition countr,,no_country_detected,Y
1391,Relationship between international experience and innovation performan,,no_country_detected,N
1403,"Bank credit, public financial incentives, tax financial incentives and",,no_country_detected,N
1466,Internationalization and family firm performance A cross-cultural meta,,no_country_detected,N
1491,Social media resources and export performance: the role of trust and c,,no_country_detected,N
1494,"Learning by exporting under fast, short-term changes: The moderating r",,no_country_detected,N
1496,FIRMS' EXPORT PERFORMANCE: A FRACTIONAL ECONOMETRIC APPROACH,,no_country_detected,N
1505,The relationship between board diversity and firm performance in the l,,no_country_detected,N
1539,The Effect of Internationalization on Firm Performance: A Moderating R,,no_country_detected,N
1540,The existence of W-shaped relationship between internationalization an,,no_country_detected,N
1544,Debt-performance relationship and firms' international trade activitie,,no_country_detected,Y
1549,Big data analytics (BDA) and degree of internationalization: the inter,,no_country_detected,N
1551,When Does Corporate Social Performance Pay for International Firms?,,no_country_detected,Y
1561,Knowledge integration in international SMEs - The effects on firm inno,,no_country_detected,N
1564,Top management team international diversity and the performance of int,,no_country_detected,N
1568,Export behaviour and innovation: a challenge to be met by cooperatives,,no_country_detected,Y
1607,Exploring the role of international R&D activities in the impact of te,,no_country_detected,N
1625,The dynamic process of pro-market reforms and foreign affiliate perfor,,no_country_detected,N
1626,Modelling two-way relationship between innovation and internationalisa,,no_country_detected,N
1637,"Disentangling the relationship between internationalization, increment",,no_country_detected,N
1647,"International competitive strategies, organizational learning and expo",,no_country_detected,N
1653,"Founders' Prior Shared International Experience, Time to First Foreign",,no_country_detected,N
1654,Riding the storm out: the short- and long-term effects of export promo,,no_country_detected,N
1655,Speed of institutional change and subsidiary performance: The moderati,,no_country_detected,Y
1669,Analyzing the Impact of Export Orientations on Export Performance Thro,,no_country_detected,N
1672,Multinationality and the value of green innovation,,no_country_detected,N
1679,Environmental commitment and innovation as catalysts for export perfor,,no_country_detected,N
1697,"Investments, export entry and export intensity in small manufacturing ",,no_country_detected,N
1710,The synergistic impact between internationalization and supply-and-dem,,no_country_detected,N
1719,Home-market economic development as a moderator of the self-selection ,,no_country_detected,N
1733,'R&D and export performance: exploring heterogeneity along the export ,,no_country_detected,N
1744,"The complex interplay of firm innovation, internationalization and lea",,no_country_detected,N
1747,The role of innovation and internationalization support in small- and ,,no_country_detected,N
1748,The innovation and exports interplay across Africa: Does business envi,,no_country_detected,Y
1753,Turning the Tables: The Relationship Between Performance and Multinati,,no_country_detected,N
1756,Information and communication technologies and firms' export performan,,no_country_detected,N
1776,When does export customer responsiveness strategy contribute to export,,no_country_detected,Y
1777,Role of international strategic alliances in internationalization of b,,no_country_detected,Y
1790,"The Relationship Between Timing, Speed, and Performance in Foreign Mar",,no_country_detected,Y
1791,The Moderating Effects of Host Country Governance and Trade Openness o,,no_country_detected,Y
1805,International ambidexterity and innovation performance: The moderating,,no_country_detected,N
1821,From ambiguity to transparency: influence of environmental information,,no_country_detected,N
1829,Innovation capabilities and export performance in manufacturing SMEs,,no_country_detected,N
1830,A vicarious learning perspective on the relationship between home-peer,,no_country_detected,N
1863,MNCs' orchestration capability of the 3Ds and financial performance,,no_country_detected,Y
1876,"When in Rome, do as the Romans do: can international marketing adaptat",,no_country_detected,Y
1882,Unpacking the relationship between post-entry speed of internationaliz,,no_country_detected,N
1888,The Relationship Between Export Market Orientation and Firm Performanc,,no_country_detected,N
1925,Are formal institutions ineffective for firm performance? Evidence fro,,no_country_detected,Y
1935,"Digitalization, internationalization, and firm performance: A resource",,no_country_detected,N
1942,Technological knowledge intensity and entry modes in the European auto,,no_country_detected,Y
1964,The interplay of international alliance and subsidiary portfolios: Imp,,no_country_detected,N
1966,"Firm certification and export performance: the case of the ""SME Leader",,no_country_detected,N
1982,A clean road to international trade: Environmental regulations and the,,no_country_detected,Y
1996,FINANCIAL PERFORMANCE DETERMINANTS OF UKRAINIAN AGRICULTURAL COMPANIES,,no_country_detected,Y
2007,Entrepreneurial Attitudes in Firms' Credit Access,,no_country_detected,Y
2013,Financial and marketing approach to export performance: the mediation ,,no_country_detected,N
2021,Locally-rooted directors,,no_country_detected,Y
2027,Strategic Marketing Communication for Sustainable Growth: Examining th,,no_country_detected,N
2045,"Enterprises' internationalization, R&D investment and enterprise perfo",,no_country_detected,N
2049,The mediating roles of cost leadership and cost focus strategies on in,,no_country_detected,N
2053,"Balancing people, planet and profit: export strategies for sustainable",,no_country_detected,N
2056,The impact of liability of foreignness on performance in hybrid organi,,no_country_detected,N
2060,A novel model linking UN SDGs with international experience and firm p,,no_country_detected,N
2065,Trade policy revisited: how government support initiatives affect inte,,no_country_detected,Y
2073,Learning by exporting: the moderating role of employee human capital,,no_country_detected,N
2074,"The effect of standardized advertising, managerial ties and born globa",,no_country_detected,N
2081,Gender diversity in top management team and corporate social responsib,,no_country_detected,N
2082,Financial performance persistence in serial entrepreneurship,,no_country_detected,Y
2093,Government R&D support's effects on export performance via innovation:,,no_country_detected,N
2113,"Dynamic capabilities, ordinary capabilities and international intensit",,no_country_detected,Y
2118,Diverse Leadership and Firm Success: The Role of Top Management Social,,no_country_detected,Y
2121,'Learning to Export' and 'Learning By Exporting': Revisiting the Relat,,no_country_detected,N
2143,Beyond borders: Unraveling the tapestry of export performance through ,,no_country_detected,N
2146,The Importance of Resource-based View Related Abilities and Financial ,,no_country_detected,Y
2156,The impact of enhanced intelligent manufacturing capabilities on a fir,,no_country_detected,N
2175,Linking Dynamic Capabilities to Export Performance in Africa: The Mode,,no_country_detected,N
2177,"Export intensity, intellectual property and technology development as ",,no_country_detected,N
2181,The Impact of Lean Inventory Management on Export Intensity,,no_country_detected,Y
2185,Old but Sold? Innovation Through Tradition Strategy for Export and the,,no_country_detected,Y
2222,Export venture sustainability strategies: an exploration of knowledge-,,no_country_detected,N
2228,Does financial development contribute to the nonlinear relationship be,,no_country_detected,Y
2236,Spillover effects of customers' geographic diversification on supplier,,no_country_detected,Y
2237,Profitability and CSR: Inconsistent performance feedback and OFDI loca,,no_country_detected,N
2246,Ceasing Export Activities: A Dynamic Analysis of Pre-Exit Financial an,,no_country_detected,N
2249,Juggling Markets and Products: How Does Ambidexterity Impact Export Pe,,no_country_detected,N
2260,"The data-driven decision-making, sustainable value creation, and inter",,no_country_detected,Y
2263,Exploring the Factors Influencing the Export Performance of Manufactur,,no_country_detected,N
2268,Heterogeneous effects of internal and external R&D on export performan,,no_country_detected,N
2284,Early Internationalization in Family and Non-family Firms: Performance,,no_country_detected,N
2288,Being (Not) Successful in Internationalisation After Receiving Export ,,no_country_detected,Y
2291,"Export promotion programs and firm performance: Linking knowledge, com",,no_country_detected,N
2297,Industry clusters and firm performance: Evidence from the leather prod,,no_country_detected,Y
2304,Mediating role of competitiveness between process innovation and finan,,no_country_detected,N
2305,Impact of Specific Intangible Assets on Firm Internationalization and ,,no_country_detected,N
2308,Analysis of Executive Compensation Management Strategies of Multinatio,,no_country_detected,Y
2316,How does Internationalisation affect the productivity of R&D activitie,,no_country_detected,N
2325,"Panel vecm approach to examining differences in labour, capital and to",,no_country_detected,N
2330,Comparing Developed and Emerging Countries Exporting Performance: Does,,no_country_detected,N
2342,A Strategy for the Growth and Internationalization of Companies: Inter,,no_country_detected,Y
2344,Commitment to exporting as an antecedent of organizational skills and ,,no_country_detected,N
2347,Unpacking the age at initial internationalization-performance relation,,no_country_detected,N
2350,The role of family firms' heterogeneity on the internationalisation an,,no_country_detected,N
2353,The effect of innovation on the financial performance and export inten,,no_country_detected,N
2357,Linkage between enterpreneurial orientation and export performance of ,,no_country_detected,N
2372,Internationalization effects on financial performance: The case of por,,no_country_detected,N
2379,Does multinationality matter the firm performance?,,no_country_detected,N
2380,Internationalization effects on performance: The case of the portugues,,no_country_detected,N
2389,Internationalization patterns and their effects on company performance,,no_country_detected,N
2394,"Financial assistance, marketing assistance and export commitment to im",,no_country_detected,N
2401,The Influence of International Scope on the Relationship Between Paten,,no_country_detected,N
2405,Internationalization vs family ownership and management: the case of P,,no_country_detected,Y
2411,Interconnecting financial performance and internationalization: A case,,no_country_detected,N
2414,Internationalisation and performance of SMEs: Exploring the moderating,,no_country_detected,N
2427,Profitable SME internationalisation: The influence of cross-relational,,no_country_detected,N
2438,Firm internationalization and IPO firm performance: The moderating eff,,no_country_detected,N
2444,Financial performance and internationalization in the U.S. restaurant ,,no_country_detected,N
2450,Multinationality and the performance of IPOs,,no_country_detected,N
2453,The relationship between internationalisation and firm performance in ,,no_country_detected,N
2461,The internationalization and performance of a firm: Moderating effect ,,no_country_detected,N
2462,Internationalization and Firm Performance in Agribusiness: Empirical E,,no_country_detected,N
2470,Research notes and commentaries the performance implications of intra-,,no_country_detected,Y
2474,Exporting and environmental performance: A firm-level productivity ana,,no_country_detected,N
2475,Causal analysis of the internationalization and performance relationsh,,no_country_detected,N
2487,Alliance portfolio internationalization and firm performance,,no_country_detected,N
2490,Internationalization and performance: The moderating effects of organi,,no_country_detected,N
2494,Internationalization and the performance of born-global SMEs: The medi,,no_country_detected,N
2495,An exploration of the relationship between country of origin (COE) and,,no_country_detected,N
2499,Profitability of rapid internationalization: The relationship between ,,no_country_detected,N
2505,Corporate performance implications of multinationality: The role of fi,,no_country_detected,N
2506,The effects of firm's strategic factors on export and firm performance,,no_country_detected,N
2513,Concentration and multinationality in European manufacturing: What's t,,no_country_detected,N
2514,How domestic and foreign firms differ and why does it matter?,,no_country_detected,Y
2518,Empirical approach to the sequential relationships between firm strate,,no_country_detected,N
2522,Company performance and objectives reported by first and multi-generat,,no_country_detected,Y
2527,"Profitability, multinationality and the investment opportunity set",,no_country_detected,N
2532,"International expansion by new venture firms: International diversity,",,no_country_detected,N
2534,The impact of internationalization on the diversification-performance ,,no_country_detected,N
2537,"Multinationality, profitability and firm value",,no_country_detected,N
2539,"Globalising capital, localising labour? The discursive manipulation of",,no_country_detected,N
2541,The effects of the degree of internationalization on firm performance,,no_country_detected,N
2543,Multinationality and profitability: The contingency of the investment ,,no_country_detected,N
2544,Degree of Multinationality and Financial Performance: A Study of U.S.-,,no_country_detected,N
2554,Influence of firm size on export planning and performance,,no_country_detected,N
2563,Sub-national foreign export development and its impact on productivity,,no_country_detected,N
2564,An Analysis of the Growth and Profitability of the World's Largest Fir,,no_country_detected,Y
2567,"The influence of firm size, industry, nationality, and degree of multi",,no_country_detected,N
