seq,title,year,is_oa,pdf_url,filename,status,bytes,note
1364,Financial Support and Growth of Township and Village Enterpr,2019,True,https://journals.sagepub.com/doi/pdf/10.1177/2158244019858444,,HTTP_403,0,https://journals.sagepub.com/doi/pdf/10.1177/2158244019858444
1425,Impacts of dynamic managerial capability and international o,2019,True,http://shura.shu.ac.uk/25047/9/Mostafiz-ImpactsDynamicManagerial%28AM%29.pdf,,HTTP_403,0,http://shura.shu.ac.uk/25047/9/Mostafiz-ImpactsDynamicManagerial%28AM%29.pdf
1433,"Trading activities, productivity and markups: Evidence for S",2020,True,https://roderic.uv.es/bitstreams/c2c597b0-342e-4d8b-8c3c-b0510bc080b6/download,,HTTP_403,0,https://roderic.uv.es/bitstreams/c2c597b0-342e-4d8b-8c3c-b0510bc080b6/download
1434,Export Performance and Stock Return: A Case of Fishery Firms,2019,True,http://koreascience.or.kr:80/article/JAKO201915658234165.pdf,,HTTP_403,0,http://koreascience.or.kr:80/article/JAKO201915658234165.pdf
1478,"Family involvement, internationalisation and performance: An",2020,True,https://rua.ua.es/dspace/bitstream/10045/102150/5/2020_Rienda_etal_JHospitalityTourManag_revised.pdf,,HTTP_403,0,https://rua.ua.es/dspace/bitstream/10045/102150/5/2020_Rienda_etal_JHospitalityT
1539,The Effect of Internationalization on Firm Performance: A Mo,2021,True,https://scholarsphere.psu.edu/resources/2823e7e9-6fc8-4b2b-b558-382c78654183,,HTTP_403,0,https://scholarsphere.psu.edu/resources/2823e7e9-6fc8-4b2b-b558-382c78654183
1540,The existence of W-shaped relationship between international,2020,True,https://doi.org/10.5267/j.dsl.2020.7.001,,HTTP_403,0,https://doi.org/10.5267/j.dsl.2020.7.001
1549,Big data analytics (BDA) and degree of internationalization:,2021,True,https://link.springer.com/content/pdf/10.1007/s10997-020-09542-w.pdf,,HTTP_403,0,https://link.springer.com/content/pdf/10.1007/s10997-020-09542-w.pdf
1550,Global value chains and technology transfer: new evidence fr,2021,True,https://link.springer.com/content/pdf/10.1007/s10290-020-00398-8.pdf,,HTTP_403,0,https://link.springer.com/content/pdf/10.1007/s10290-020-00398-8.pdf
1551,When Does Corporate Social Performance Pay for International,2020,True,https://journals.sagepub.com/doi/pdf/10.1177/0007650318816957,,HTTP_403,0,https://journals.sagepub.com/doi/pdf/10.1177/0007650318816957
1554,The S-Shaped Relationship Between internationalization and P,2020,True,http://koreascience.or.kr:80/article/JAKO202032462596978.pdf,,HTTP_403,0,http://koreascience.or.kr:80/article/JAKO202032462596978.pdf
1604,"International diversification, ownership structure and perfo",2021,True,https://www.tandfonline.com/doi/pdf/10.1080/1331677X.2020.1820359?needAccess=true,,HTTP_403,0,https://www.tandfonline.com/doi/pdf/10.1080/1331677X.2020.1820359?needAccess=tru
1607,Exploring the role of international R&D activities in the im,2021,True,https://www.sciencedirect.com/science/article/pii/S014829632030271X,,HTTP_403,0,https://www.sciencedirect.com/science/article/pii/S014829632030271X
1610,Outward FDI and efficiency in within-firm resource allocatio,2021,True,https://kar.kent.ac.uk/88610/9/Outward%20FDI%20and%20Efficiency%20in%20Within-firm%20Resource%20Allocation%20%E2%80%93Evidence%20from%20the%20Firm%20Level%20Data%20of%20China%28updated%20version%29_SG_130221.pdf,,HTTP_403,0,https://kar.kent.ac.uk/88610/9/Outward%20FDI%20and%20Efficiency%20in%20Within-fi
1635,The Relationship between Extent of Internationalization and ,2021,True,https://downloads.hindawi.com/journals/mpe/2021/5528972.pdf,,HTTP_403,0,https://downloads.hindawi.com/journals/mpe/2021/5528972.pdf
1644,International activities and innovation: Evidence from Italy,2021,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/twec.13153,,HTTP_403,0,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/twec.13153
1653,"Founders' Prior Shared International Experience, Time to Fir",2022,True,https://journals.sagepub.com/doi/pdf/10.1177/01492063211029701,,HTTP_403,0,https://journals.sagepub.com/doi/pdf/10.1177/01492063211029701
1655,Speed of institutional change and subsidiary performance: Th,2022,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/gsj.1416,,HTTP_403,0,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/gsj.1416
1706,Exporting by Private Equity-Backed Portfolio Companies,2022,True,https://eprints.whiterose.ac.uk/179658/3/R%26R4_Manuscript_finala.pdf,,HTTP_403,0,https://eprints.whiterose.ac.uk/179658/3/R%26R4_Manuscript_finala.pdf
1721,Eyes open and hands on: market knowledge and marketing capab,2022,True,http://nrl.northumbria.ac.uk/id/eprint/48154/1/Full%20Paper_October-11-2021%20IMR%20Revised.pdf,,HTTP_403,0,http://nrl.northumbria.ac.uk/id/eprint/48154/1/Full%20Paper_October-11-2021%20IM
1722,Markups and export behavior: Firm-level evidence from the Fr,2023,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ajae.12292,,HTTP_403,0,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ajae.12292
1724,Does Psychic Distance Still Matter? Empirical Evidence from ,2021,True,https://journals.kozminski.edu.pl/system/files/Hauke%20Lopes_0.pdf,,HTTP_403,0,https://journals.kozminski.edu.pl/system/files/Hauke%20Lopes_0.pdf
1733,'R&D and export performance: exploring heterogeneity along t,2022,True,https://link.springer.com/content/pdf/10.1007/s40812-022-00209-1.pdf,,HTTP_403,0,https://link.springer.com/content/pdf/10.1007/s40812-022-00209-1.pdf
1753,Turning the Tables: The Relationship Between Performance and,2022,True,https://link.springer.com/content/pdf/10.1007/s11575-022-00464-3.pdf,,HTTP_403,0,https://link.springer.com/content/pdf/10.1007/s11575-022-00464-3.pdf
1765,CSR and Long-Term Corporate Performance: The Moderating Effe,2022,True,https://www.mdpi.com/2071-1050/14/9/5543/pdf?version=1651745957,,HTTP_403,0,https://www.mdpi.com/2071-1050/14/9/5543/pdf?version=1651745957
1767,Do domestic market characteristics influence firms' export i,2024,True,https://www.emerald.com/insight/content/doi/10.1108/EMJB-09-2021-0129/full/pdf?title=do-domestic-market-characteristics-influence-firms-export-intensity,,HTTP_403,0,https://www.emerald.com/insight/content/doi/10.1108/EMJB-09-2021-0129/full/pdf?t
1771,The Impact of Breakthrough Innovations on the Export Perform,2022,True,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.888697/pdf,,HTTP_403,0,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.888697/pdf
1790,"The Relationship Between Timing, Speed, and Performance in F",2022,True,https://link.springer.com/content/pdf/10.1007/s11575-022-00470-5.pdf,,HTTP_403,0,https://link.springer.com/content/pdf/10.1007/s11575-022-00470-5.pdf
1842,Does Corporate ESG Performance Improve Export Intensity? Evi,2022,True,https://www.mdpi.com/2071-1050/14/20/12981/pdf?version=1665648089,,HTTP_403,0,https://www.mdpi.com/2071-1050/14/20/12981/pdf?version=1665648089
1888,The Relationship Between Export Market Orientation and Firm ,2023,True,https://jurnal.ugm.ac.id/gamaijb/article/download/65565/35809,,HTTP_403,0,https://jurnal.ugm.ac.id/gamaijb/article/download/65565/35809
1892,Slack Resources and Export Intensity: New Empirical Evidence,2023,True,https://www.mdpi.com/2227-7099/11/2/68/pdf?version=1676599854,,HTTP_403,0,https://www.mdpi.com/2227-7099/11/2/68/pdf?version=1676599854
1894,How Organizational Resources and Managerial Features Affect ,2023,True,https://www.mdpi.com/2071-1050/15/4/3522/pdf?version=1676382979,,HTTP_403,0,https://www.mdpi.com/2071-1050/15/4/3522/pdf?version=1676382979
1921,On the Direct and Indirect Effects of ICT on SMEs Export Per,2024,True,https://link.springer.com/content/pdf/10.1007/s13132-023-01378-7.pdf,,HTTP_403,0,https://link.springer.com/content/pdf/10.1007/s13132-023-01378-7.pdf
1936,Do National Export Promotion Programs in Indonesia support e,2023,True,http://www.cell.com/article/S2405844023041257/pdf,,HTTP_403,0,http://www.cell.com/article/S2405844023041257/pdf
1964,The interplay of international alliance and subsidiary portf,2024,True,https://www.sciencedirect.com/science/article/am/pii/S1090951623000755,,HTTP_403,0,https://www.sciencedirect.com/science/article/am/pii/S1090951623000755
1985,The Effect of Foreign Divestment on Subsequent Firm Performa,2024,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8551.12786,,HTTP_403,0,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8551.12786
1996,FINANCIAL PERFORMANCE DETERMINANTS OF UKRAINIAN AGRICULTURAL,2023,True,https://are-journal.com/are/article/download/755/415,,HTTP_403,0,https://are-journal.com/are/article/download/755/415
2013,Financial and marketing approach to export performance: the ,2024,True,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2024.2315658?download=true,,HTTP_403,0,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2024.2315658?download=true
2020,Does internationalization and board diversity affect family ,2024,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bsd2.365,,HTTP_403,0,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bsd2.365
2025,Does industry experience positively moderate the quadratic r,2023,True,https://figshare.com/articles/journal_contribution/Does_industry_experience_positively_moderate_the_quadratic_relationship_between_coopetition_and_financial_performance_Evidence_from_the_New_Zealand_wine_sector/11912517/1/files/21851199.pdf,,HTTP_403,0,https://figshare.com/articles/journal_contribution/Does_industry_experience_posi
2041,"Foreign Ownership, Board of Directors, and Environmental Com",2024,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.22396,,HTTP_403,0,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.22396
2049,The mediating roles of cost leadership and cost focus strate,2024,True,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2024.2375410?needAccess=true,,HTTP_403,0,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2024.2375410?needAccess=tru
2053,"Balancing people, planet and profit: export strategies for s",2024,True,https://run.unl.pt/bitstream/10362/182345/1/Lages_et_al_2024_SAMPJ.pdf,,HTTP_403,0,https://run.unl.pt/bitstream/10362/182345/1/Lages_et_al_2024_SAMPJ.pdf
2111,Learning Orientation and Export Performance in Nigeria: The ,2025,True,https://jurnal.ugm.ac.id/gamaijb/article/download/74896/40854,,HTTP_403,0,https://jurnal.ugm.ac.id/gamaijb/article/download/74896/40854
2121,'Learning to Export' and 'Learning By Exporting': Revisiting,2025,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8268.70001,,HTTP_403,0,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8268.70001
2149,"Corporate ESG Performance, Ownership Structure and Export In",2026,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.3167,,HTTP_403,0,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.3167
2153,"Wine, markups, and export behavior: Evidence from Hungary",2025,True,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CA15B1013638C98628E34582E1E55241/S1931436125000070a.pdf/div-class-title-wine-markups-and-export-behavior-evidence-from-hungary-div.pdf,,HTTP_403,0,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CA15B101
2175,Linking Dynamic Capabilities to Export Performance in Africa,2025,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.70001,,HTTP_403,0,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.70001
2246,Ceasing Export Activities: A Dynamic Analysis of Pre-Exit Fi,2026,True,https://www.mdpi.com/2078-2489/17/1/45/pdf?version=1767522743,,HTTP_403,0,https://www.mdpi.com/2078-2489/17/1/45/pdf?version=1767522743
2282,"Digital Transformation, Internationalization and Productivit",2026,True,https://link.springer.com/content/pdf/10.1007/s13132-026-03199-w.pdf,,HTTP_403,0,https://link.springer.com/content/pdf/10.1007/s13132-026-03199-w.pdf
2288,Being (Not) Successful in Internationalisation After Receivi,2025,True,https://www.mdpi.com/2078-2489/16/7/544/pdf?version=1751004560,,HTTP_403,0,https://www.mdpi.com/2078-2489/16/7/544/pdf?version=1751004560
2289,Internationalization and financial performance in Colombian ,2025,True,https://www.upo.es/revistas/index.php/RevMetCuant/article/download/10640/10051,,HTTP_403,0,https://www.upo.es/revistas/index.php/RevMetCuant/article/download/10640/10051
2290,Gender Perspectives on SME International Trade and Revenue i,2025,True,https://library.ien.bg.ac.rs/index.php/jwee/article/download/2007/1543,,HTTP_403,0,https://library.ien.bg.ac.rs/index.php/jwee/article/download/2007/1543
2292,The Impact of Digital Technology Adoption and Internationali,2025,True,https://doi.org/10.47836/ijeam.19.2.03,,HTTP_403,0,https://doi.org/10.47836/ijeam.19.2.03
2304,Mediating role of competitiveness between process innovation,2024,True,http://onlineacademicpress.com/index.php/IJAEFA/article/download/1362/854,,HTTP_403,0,http://onlineacademicpress.com/index.php/IJAEFA/article/download/1362/854
2307,"ESG disclosure, firm internationalization, and firm financia",2024,True,https://jois.eu/files/13_JIS 1438_Hussain et al.pdf,,HTTP_403,0,https://jois.eu/files/13_JIS 1438_Hussain et al.pdf
2316,How does Internationalisation affect the productivity of R&D,2023,True,https://link.springer.com/content/pdf/10.1007/s11135-022-01391-z.pdf,,HTTP_403,0,https://link.springer.com/content/pdf/10.1007/s11135-022-01391-z.pdf
2340,The Importance of Interfirm Networks in Enhancing Innovation,2022,True,https://hightechjournal.org/index.php/HIJ/article/download/310/87,,HTTP_403,0,https://hightechjournal.org/index.php/HIJ/article/download/310/87
2342,A Strategy for the Growth and Internationalization of Compan,2022,True,https://jastt.org/index.php/jasttpath/article/download/133/43,,HTTP_403,0,https://jastt.org/index.php/jasttpath/article/download/133/43
2350,The role of family firms' heterogeneity on the international,2021,True,https://revistas.uma.es/index.php/ejfb/article/download/10591/14080,,HTTP_403,0,https://revistas.uma.es/index.php/ejfb/article/download/10591/14080
2363,The moderating effects of managers’ experience and gender on,2020,True,https://doi.org/10.5267/j.ac.2020.9.006,,HTTP_403,0,https://doi.org/10.5267/j.ac.2020.9.006
2378,"Survival, growth, and performance of Hungarian international",2019,True,https://akjournals.com/downloadpdf/journals/204/41/1/article-p47.pdf,,HTTP_403,0,https://akjournals.com/downloadpdf/journals/204/41/1/article-p47.pdf
2389,Internationalization patterns and their effects on company p,2018,True,http://bibliotecadigital.fgv.br/ojs/index.php/joscm/article/download/72200/pdf_51,,HTTP_403,0,http://bibliotecadigital.fgv.br/ojs/index.php/joscm/article/download/72200/pdf_5
2394,"Financial assistance, marketing assistance and export commit",2018,True,https://www.ersj.eu/journal/1104/download,,HTTP_403,0,https://www.ersj.eu/journal/1104/download
2411,Interconnecting financial performance and internationalizati,2016,True,https://www.scielo.br/j/rem/a/8HV6CWghLbvqwgvYVNLrSwP/?lang=en&format=pdf,,HTTP_403,0,https://www.scielo.br/j/rem/a/8HV6CWghLbvqwgvYVNLrSwP/?lang=en&format=pdf
2423,Do Foreign Firms in China Incur a Liability of Foreignness? ,2014,True,https://espace.curtin.edu.au/bitstream/20.500.11937/33253/2/193747_193747.pdf,,HTTP_403,0,https://espace.curtin.edu.au/bitstream/20.500.11937/33253/2/193747_193747.pdf
2424,The Dragon is flying west: Micro-level evidence of Chinese o,2014,True,https://www.mitpressjournals.org/doi/pdf/10.1162/ADEV_a_00032,,HTTP_403,0,https://www.mitpressjournals.org/doi/pdf/10.1162/ADEV_a_00032
2440,"Location, internationalization and performance of firms in I",2013,True,http://hdl.handle.net/2158/605814,,HTTP_403,0,http://hdl.handle.net/2158/605814
2450,Multinationality and the performance of IPOs,2012,True,https://www.research.manchester.ac.uk/portal/en/publications/multinationality-and-the-performance-of-ipos(2fe70de6-08d0-4d50-a51d-f2b8e864d72a).html,,HTTP_403,0,https://www.research.manchester.ac.uk/portal/en/publications/multinationality-an
2470,Research notes and commentaries the performance implications,2010,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smj.855,,HTTP_403,0,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smj.855
2514,How domestic and foreign firms differ and why does it matter,2004,True,https://research.wu.ac.at/files/18958642/document.pdf,,HTTP_403,0,https://research.wu.ac.at/files/18958642/document.pdf
2515,"Entry, expansion, and intensity in the US export boom, 1987-",2004,True,https://www2.census.gov/ces/wp/2001/CES-WP-01-09.pdf,,HTTP_403,0,https://www2.census.gov/ces/wp/2001/CES-WP-01-09.pdf
2533,Foreign capital and economic development in Hungary,2000,True,http://real.mtak.hu/47193/1/aoecon.51.2000-2001.3.4.pdf,,HTTP_403,0,http://real.mtak.hu/47193/1/aoecon.51.2000-2001.3.4.pdf
