seq,title,authors,year,journal,doi_enriched,doi_source,study_id,effect_id,country,sample_start,sample_end,n,r,r_quadratic,turning_point,icrv,cdai,cdai_source,cdai_missing,dpl,doi_type,fp_type,is_estimated,is_partial,is_panel,endogeneity_corrected,include_flag,notes
17,The impact of the internationalization strategy of MNEs on innovation performance: the moderating role of digital transformation,"Zhang, Wei; He, Xinming; Qiu, Xin; Guo, Rui; Zhang, Ting",2026,INTERNATIONAL MARKETING REVIEW,10.1108/imr-06-2023-0108,crossref_score=60,Zhang_2026,,,,,,,,,,,,,3,,,,,,,,
18,"ESG as a Context-Contingent Capability: Competitive Intensity, Internationalization, and Efficiency in the Global Clothing Industry","Lu, Wen-Min; Kweh, Qian Long; Ku, Hsin-Ling",2026,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.70460,crossref_score=71,Lu_2026,,,,,,,,,,,,,3,,,,,,,,
19,Exploring the Factors Influencing the Export Performance of Manufacturing SMEs in Turkiye,"Akkus, Guzin Emel; Yalabitorkaman, Deniz",2026,JOURNAL OF ECONOMIC POLICY RESEARCHES-IKTISAT POLITIKASI ARASTIRMALARI DERGISI,,crossref_no_match,Akkus_2026,,,,,,,,,,,,,3,,,,,,,,
20,"Overseas Business and Ethnic Ties, Slack Resources, and Exploitative and Exploratory Learning of Exporting SMEs","Li, Xiaoying; Yuan, Jing; Huang, Qihai",2026,MANAGEMENT AND ORGANIZATION REVIEW,10.1017/mor.2026.10127,crossref_score=86,Li_2026,,,,,,,,,,,,,3,,,,,,,,
21,"Supply chain finance participation and outward FDI: The roles of productivity, financial frictions, and information asymmetry","Chen, Haitao; Huang, Xinfei; Xu, Yuheng; Zhao, Chenglin",2026,ECONOMIC MODELLING,10.1016/j.econmod.2026.107559,crossref_score=82,Chen_2026,,,,,,,,,,,,,3,,,,,,,,
22,Navigating global waters: performance outcomes of internationalization in family businesses,"Cambrea, Domenico Rocco; Quarato, Fabio; Pirazzi Maffiola, Kevin",2026,JOURNAL OF FAMILY BUSINESS MANAGEMENT,10.1108/jfbm-08-2025-0226,crossref_score=71,Cambrea_2026,,,,,,,,,,,,,3,,,,,,,,
23,Heterogeneous effects of internal and external R&D on export performance by industry technology level,"Kim, Minjung",2026,APPLIED ECONOMICS,,crossref_no_match,Kim_2026,,,,,,,,,,,,,3,,,,,,,,
24,"The performance effects of ""added cultural distance"" in multinational expansion paths: generalizable and contextual determinants","Hutzschenreuter, Thomas; Kleindienst, Ingo; Sarkar Sengupta, Aditi; Verbeke, Alain",2026,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2025-0104,crossref_score=84,Hutzschenreuter_2026,,,,,,,,,,,,,3,,,,,,,,
25,Product innovation strategy and firm performance: Novelty and internationalization as mediators,"Kagere, Bashir Rajab; Mwebaze, Tom; Kilimani, Nicholas; Egbetokun, Abiodun",2026,JOURNAL OF SMALL BUSINESS MANAGEMENT,10.1080/00472778.2026.2640356,crossref_score=75,Kagere_2026,,,,,,,,,,,,,3,,,,,,,,
26,"Enhancing CSR performance in emerging market firms: The effects of pro-market reforms, government support, and internationalization","Ahmed, Muhammad; Shu, Chengli; Luo, Dan; Ali, Adnan",2026,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2026.116151,crossref_score=84,Ahmed_2026,,,,,,,,,,,,,3,,,,,,,,
27,Non-linear Effects of Advertising Spending on Firm Performance: A Fixed-effects Panel Analysis of the Moderating Role of Internationalization,"Kaur, Navjot; Singh, Balwinder",2026,GLOBAL BUSINESS REVIEW,10.1177/09721509261437526,crossref_score=80,Kaur_2026,,,,,,,,,,,,,3,,,,,,,,
28,The carbon cost of export-oriented growth: Firm-level evidence on embedded carbon emissions in China's light industry,"Yu, Xiaoyuan; He, Hua; Dadashzade, Gulmira; Mamadiyarov, Zokir; Zi, Yaron",2026,ENERGY STRATEGY REVIEWS,10.1016/j.esr.2026.102215,crossref_score=73,Yu_2026,,,,,,,,,,,,,3,,,,,,,,
29,"Determinants of resilience, innovation and export intensity: a strategy-creation and dynamic capability view","Onjewu, Adah-Kole Emmanuel; Atiase, Victor Yawo; Paul, Salima; Nyuur, Cosmas Nfaazie",2026,EUROPEAN BUSINESS REVIEW,10.1108/ebr-09-2025-0313,crossref_score=75,Onjewu_2026,,,,,,,,,,,,,3,,,,,,,,
30,Multinationality and strategic dynamic capabilities during sustainable development goals adoption: Evidence from a natural experiment,"Lee, Liane W. Y.; Krasnikov, Alexander V.",2026,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2026.102599,crossref_score=79,Lee_2026,,,,,,,,,,,,,3,,,,,,,,
31,The effect of ESG performance on enterprises' internationalization : from the perspective of cooperative research and development,"Li, Qianwen",2025,APPLIED ECONOMICS LETTERS,,crossref_no_match,Li_2025,,,,,,,,,,,,,3,,,,,,,,
32,"Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and productivity of the manufacturing companies in Belarus","Shershunovich, Yauheniya; Mirzabaev, Alisher",2025,NATURAL RESOURCES FORUM,10.1111/1477-8947.12525,crossref_score=88,Shershunovich_2025,,,,,,,,,,,,,3,,,,,,,,
33,The effect of restructuring internationalized companies on performance: Evidence from European firms,"Forcadell, Francisco Javier; Romero-Jordan, Desiderio; Sanchez-Riofrio, Angelica; Guerras-Martin, Luis Angel",2025,EUROPEAN MANAGEMENT REVIEW,10.1111/emre.12672,crossref_score=70,Forcadell_2025,,,,,,,,,,,,,3,,,,,,,,
34,The impact of board composition and internationalisation on strategic change: Longitudinal empirical evidence,"Samara, Ihssan; Nandakumar, M. k; Sahadev, Sunil; Pereira, Vijay",2025,AUSTRALIAN JOURNAL OF MANAGEMENT,10.1177/03128962241270745,crossref_score=64,Samara_2025,,,,,,,,,,,,,3,,,,,,,,
35,Impact of internal and external corporate social responsibility on internationalization speed: Evidence from Chinese multinational enterprises,"Guo, Zhuang; Xie, Yi",2025,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,10.1002/csr.2964,crossref_score=78,Guo_2025,,,,,,,,,,,,,3,,,,,,,,
36,Moderating roles of spatial and temporal internationalization on the product diversification-performance relationship of emerging market multinational enterprises,"Yang, Yi; Li, Xiaoyuan; Zhang, Ximeng",2025,ASIAN BUSINESS & MANAGEMENT,10.1057/s41291-024-00280-7,crossref_score=78,Yang_2025,,,,,,,,,,,,,3,,,,,,,,
37,Government R&D support's effects on export performance via innovation: An analysis of organizational motivators as moderators,"Tinits, Priit; Yi, Jingtao; Fey, Carl F.; Meng, Shuang",2025,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2024.102345,crossref_score=69,Tinits_2025,,,,,,,,,,,,,3,,,,,,,,
38,Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,"Sousa, Carlos M. P.; Tsinopoulos, Christos; Yan, Ji; Benito, Gabriel R. G.",2025,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0039,crossref_score=64,Sousa_2025,,,,,,,,,,,,,3,,,,,,,,
39,Managers and internationalization decisions: An affect-enacted model,"Grego, Marica; Buckley, Peter J.; Munjal, Surender; Voss, Hinrich; Wang, Elizabeth Yi",2025,GLOBAL STRATEGY JOURNAL,,crossref_no_match,Grego_2025,,,,,,,,,,,,,3,,,,,,,,
40,Learning Orientation and Export Performance in Nigeria: The Moderating Effect of Export Knowledge,"Abubakar, Mukhtar Salisu; Rahim, Norhuda Abdul; Yusof, Raja Nerina Raja; Yahya, Mohamed Hisham",2025,GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,10.22146/gamaijb.74896,crossref_score=68,Abubakar_2025,,,,,,,,,,,,,3,,,,,,,,
41,"Digital Transformation, Internationalisation and ESG Performance of Multinational Companies","Xu, Xin; Sun, Meiya",2025,MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.4496,crossref_score=62,Xu_2025,,,,,,,,,,,,,3,,,,,,,,
42,"Internal R&D, family ownership and product innovation performance of entrepreneurial ventures in Vietnam: the moderating roles of informal exchange and internationalization","Vo, Dut Van; Nguyen, Yen Hoang; Nguyen, Dang Huu",2025,ASIA PACIFIC BUSINESS REVIEW,10.1080/13602381.2025.2450465,crossref_score=81,Vo_2025,,,,,,,,,,,,,3,,,,,,,,
43,Configuring international entrepreneurial orientation and dynamic internationalization capability to predict international performance,"Mostafiz, Md Imtiaz; Ahmed, Farhad Uddin; Tardios, Janja; Hughes, Paul; Tarba, Shlomo Y.",2025,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2024.102275,crossref_score=84,Mostafiz_2025,,,,,,,,,,,,,3,,,,,,,,
44,Time and MNE strategy: Managing temporal misalignments in global value chains,"Buckley, Peter J.; Craig, Thomas D.; Mudambi, Ram",2025,LONG RANGE PLANNING,10.1016/j.lrp.2025.102511,crossref_score=77,Buckley_2025,,,,,,,,,,,,,3,,,,,,,,
45,Strategic factors in SME leadership orientation towards initiating exports: India context,"Jose, Saju; Buchanan, F. Robert",2025,MEASURING BUSINESS EXCELLENCE,10.1108/mbe-02-2024-0023,crossref_score=81,Jose_2025,,,,,,,,,,,,,3,,,,,,,,
46,"Does Maintaining Resources, Diversification, and Internationalization Matter for Achieving High Firm Performance? A Sustainable Competitiveness Strategy for China Taipei Firms","Anggara, Ali Akbar; Aryoko, Yudhistira Pradhipta; Dewandaru, Rhis Ogie; Kharismasyah, Alfato Yusnar; Fatchan, Ilham Nuryana",2025,SUSTAINABILITY,10.3390/su17041576,crossref_score=95,Anggara_2025,,,,,,,,,,,,,3,,,,,,,,
47,Balancing export intensity and innovation: Uncovering the inverted-U relationship in Chinese manufacturing firms,"Zhou, Hua; Zhang, Xiaodong; Yang, Lun",2025,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2025.02.028,crossref_score=71,Zhou_2025,,,,,,,,,,,,,3,,,,,,,,
48,"Public Funding Dynamics in Clean and Dirty Industries: An Empirical Analysis of the Effects of Eco-Innovation, Cooperation, and Internationalization Strategies","Fores, Beatriz",2025,BUSINESS STRATEGY AND THE ENVIRONMENT,,crossref_no_match,Fores_2025,,,,,,,,,,,,,3,,,,,,,,
49,The Joint Effects of Firm's Globalization and ESG Rating on Financial Performance: Evidence from Food Industry in Taiwan,"Chen, Sheng-Hung; Hsu, Hao-Cheng; Lin, Shih-Ting",2025,SUSTAINABILITY,10.3390/su17062580,crossref_score=64,Chen_2025,,,,,,,,,,,,,3,,,,,,,,
50,Overcoming the ESG Voids at Home: Supplier ESG Performance and the Internationalization of Emerging Market Multinational Enterprises,"Yu, Pei; Chen, Yilan; Zhao, Yumiao",2025,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-025-00573-9,crossref_score=90,Yu_2025,,,,,,,,,,,,,3,,,,,,,,
51,"Beyond borders: Unraveling the tapestry of export performance through business model innovation, open innovation, and organisational agility","Salmeron, Jose Pinera; Valle, Raquel Sanz; Molina-Castillo, Francisco-Jose",2025,TECHNOVATION,,crossref_no_match,Salmeron_2025,,,,,,,,,,,,,3,,,,,,,,
52,"What drives SME export intensity in transition economies? The role of infrastructure, digitalisation and innovation capabilities","Edeh, Jude; Olarewaju, Adeniyi D.; Kusi, Samuel Yaw",2025,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/j.techfore.2025.124123,crossref_score=89,Edeh_2025,,,,,,,,,,,,,3,,,,,,,,
53,The role of intellectual capital and women managers in the internationalization-performance relationship: An analysis of Spanish hotel firms,"Andreu, Rosario; Rienda, Laura; Ruiz-Fernandez, Lorena",2025,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2025.115378,crossref_score=72,Andreu_2025,,,,,,,,,,,,,3,,,,,,,,
54,"Bribery, local network, and local performance among multinational corporations: a moderated mediation model of informal competition","Chiao, Yu-Ching; Chang, Yu-Chen; Lin, Chun-Chien",2025,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-04-2024-0284,crossref_score=92,Chiao_2025,,,,,,,,,,,,,3,,,,,,,,
55,Internationalization rhythm and corporate innovation performance in an emerging market,"Wang, Ziyi; Fang, Xiuyuan; Li, Yuanxu",2025,MANAGEMENT DECISION,,crossref_no_match,Wang_2025,,,,,,,,,,,,,3,,,,,,,,
56,"Internationalization, innovation, and resilience: Financial performance of agricultural cooperatives in southeastern Spain's rural economy","Martos-Pedrero, Antonio; Cortes-Garcia, Francisco Joaquin; Abad-Segura, Emilio; Belmonte-Urena, Luis J.",2025,JOURNAL OF RURAL STUDIES,10.1016/j.jrurstud.2025.103682,crossref_score=82,MartosPedrero_2025,,,,,,,,,,,,,3,,,,,,,,
57,The impact of enterprise income tax on firm export: Evidence from income tax revenue sharing reform in China,"Su, Yunqing; Lu, Weijun",2025,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2025.04.032,crossref_score=94,Su_2025,,,,,,,,,,,,,3,,,,,,,,
58,"Relationship Among R&D, Productivity, and Firm Exports: The Moderating Role of Credit Constraints","Zhang, Dengjun; Affuso, Ermanno; Buleca, Jan; Toth, Peter; Pandey, Rudresh",2025,STUDIES IN BUSINESS AND ECONOMICS,,crossref_no_match,Zhang_2025,,,,,,,,,,,,,3,,,,,,,,
59,The impact of enhanced intelligent manufacturing capabilities on a firm's export performance,"Zhu, Qin; Li, Xin",2025,FINANCE RESEARCH LETTERS,,crossref_no_match,Zhu_2025,,,,,,,,,,,,,3,,,,,,,,
60,Women's Participation in Top Management Business Positions and the Internationalization Process. Evidence for Chilean Companies,"Mardones, Juan Gallegos; Ibanez, Maria J.",2025,SAGE OPEN,10.1177/21582440251335079,crossref_score=76,Mardones_2025,,,,,,,,,,,,,3,,,,,,,,
61,"International relations, organisational resources and capabilities and export experience as determinants of the export performance of SMEs in developing countries, Peru","Malca, Oscar; Pena-Vinces, Jesus; Marcilla-Vigo, Miguel; Rubio Donet, Jorge",2025,EUROPEAN BUSINESS REVIEW,10.1108/ebr-03-2025-0085,crossref_score=91,Malca_2025,,,,,,,,,,,,,3,,,,,,,,
62,"Financial performance shortfalls, innovation performance shortfalls and returnee executives: does the internationalization of firms matter?","Zhong, Xi; Ren, Ge; Wu, Xiaojie",2025,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0045,crossref_score=105,Zhong_2025,,,,,,,,,,,,,3,,,,,,,,
63,Can splitting influence corporate strategy? Exploring the effects of TMT faultlines on internationalization speed,"Lv, Jia; Zhou, Jie; Liu, Yajun",2025,PLOS ONE,10.1371/journal.pone.0324505,crossref_score=82,Lv_2025,,,,,,,,,,,,,3,,,,,,,,
64,"Linking Dynamic Capabilities to Export Performance in Africa: The Moderating Roles of Institutional Support, Sociopolitical Context, and Perceived Corruption","Mansouri, Samy; Kaswengi, Joseph",2025,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.70001,crossref_score=91,Mansouri_2025,,,,,,,,,,,,,3,,,,,,,,
65,"Firm-Level Carbon Productivity, Home Country Environmental Performance, and Firm Performance in the Exporting Meat Industry","Geldres-Weiss, Valeska V.; Guerrero-Stuardo, Pedro E.; Marinova, Svetla; Ortiz-Cea, Vesnia; Reveco, Roberto",2025,SUSTAINABILITY,10.3390/su17125381,crossref_score=98,GeldresWeiss_2025,,,,,,,,,,,,,3,,,,,,,,
66,Climbing the Global Value Chain: The Role of Cross-Border E-Commerce in SME Internationalization,"Pan, Lipeng; Liu, Shuchun; Li, Yongqing; Teo, Kelvin; Fu, Xiao",2025,MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.70005,crossref_score=69,Pan_2025,,,,,,,,,,,,,3,,,,,,,,
67,A firm-level analysis of the impact of foreign direct investment in research and development on the innovation output of Indian firms,"Sharma, Ruchita; Sharma, Ruchi",2025,TRANSNATIONAL CORPORATIONS REVIEW,10.1016/j.tncr.2025.200126,crossref_score=66,Sharma_2025,,,,,,,,,,,,,3,,,,,,,,
68,The Impact of Internationalization on Firm Performance of High-Tech Companies in Poland in the Context of Covid-19,"Bukalska, Elzbieta; Czerniak, Jakub; Florek, Irmina",2025,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,10.5755/j01.ee.36.3.31403,crossref_score=72,Bukalska_2025,,,,,,,,,,,,,3,,,,,,,,
69,Determinants of Exports of Services Firm-Level Analysis Combined With the Gravity Model Framework,"Matuszczak, Lukasz; Michalek, Jakub; Wozniak, Rafal",2025,WORLD ECONOMY,10.1111/twec.13724,crossref_score=71,Matuszczak_2025,,,,,,,,,,,,,3,,,,,,,,
70,Old but Sold? Innovation Through Tradition Strategy for Export and the Role of Family Involvement,"Miroshnychenko, Ivan; Ardito, Lorenzo; Capolupo, Paolo; Petruzzelli, Antonio Messeni",2025,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,10.1111/jpim.12796,crossref_score=72,Miroshnychenko_2025,,,,,,,,,,,,,3,,,,,,,,
71,SME Internationalization: Can SMEs Overcome Liabilities of Foreignness and Smallness Through International and Product Diversification?,"Han, Mary; Celly, Nikhil",2025,JOURNAL OF ENTERPRISING CULTURE,10.1142/s0218495825500037,crossref_score=98,Han_2025,,,,,,,,,,,,,3,,,,,,,,
72,How Can Enterprise Digital Transformation Facilitate Internationalization?,"Li, Gang; Zhang, Chunlian; Hu, Ling",2025,SAGE OPEN,10.1177/21582440251346204,crossref_score=61,Li_2025,,,,,,,,,,,,,3,,,,,,,,
73,"Foreign shareholders and the green internationalization strategy of enterprises: A response to the governance supervision and ""locust invasion"" perspectives","Meng, Delin; Li, Yanxi; Wang, Lan",2025,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2025.07.018,crossref_score=77,Meng_2025,,,,,,,,,,,,,3,,,,,,,,
74,From internationalization to innovation in the hotel industry: the role of intellectual capital and dynamic capabilities,"Rienda, Laura; Ruiz-Fernandez, Lorena; Andreu, Rosario",2025,EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,10.1108/ejim-04-2024-0406,crossref_score=72,Rienda_2025,,,,,,,,,,,,,3,,,,,,,,
75,"The Moderating Effect of Multinationality on Environmental, Social, and Governance and Efficiency: A Strategic Analysis of Multinational Enterprises","Le, Minh-Hieu; Lu, Wen-Min",2025,BUSINESS STRATEGY AND THE ENVIRONMENT,10.1002/bse.70126,crossref_score=67,Le_2025,,,,,,,,,,,,,3,,,,,,,,
76,Effects of internationalization on supply chain agility and business performance of manufacturing firms in Vietnam,"Nguyen, Ngoc Minh; Nguyen, Huong Thi Lien; Mai, Cuong The; Pham, Ngoc Thi Kim; Nguyen, Huyen Thi",2025,JOURNAL OF GLOBAL OPERATIONS AND STRATEGIC SOURCING,10.1108/jgoss-10-2024-0102,crossref_score=68,Nguyen_2025,,,,,,,,,,,,,3,,,,,,,,
77,"Open innovation, market orientation, intellectual capital readiness and higher education institutions' internationalisation performance: the moderating role of entrepreneurial leadership","Tran, Ai-Cam; Dao, Thu-Hien Thi",2025,JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT,10.1504/jibed.2025.10071182,crossref_score=93,Tran_2025,,,,,,,,,,,,,3,,,,,,,,
78,Foreign direct investment strategies and corporate social performance in emerging multinational enterprises: driving sustainability amidst supply chain restructuring,"Shih, Yu-Yuan; Lin, Chih-An",2025,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-01-2025-0047,crossref_score=97,Shih_2025,,,,,,,,,,,,,3,,,,,,,,
79,Corporate political activities and emerging MNCs' internationalization: Interplay of CEO narcissism and gender,"Aldawsari, Hamad; Baloch, Muhammad Saad",2025,JOURNAL OF ASIAN ECONOMICS,10.1016/j.asieco.2025.102073,crossref_score=90,Aldawsari_2025,,,,,,,,,,,,,3,,,,,,,,
80,RMB internationalization and firms' total factor productivity-micro-analysis based on the dual circulation perspective,"Chang, Yali; Wu, Yijie; Lv, Yue",2025,ASIA-PACIFIC JOURNAL OF ACCOUNTING & ECONOMICS,10.1080/16081625.2025.2596994,crossref_score=77,Chang_2025,,,,,,,,,,,,,3,,,,,,,,
81,Comparative Study on the Impact of Ownership Concentration on Internationalization and Performance: Family versus Non-family Firms in Korea,"Shin, Joon-Ho; Choi, Chang-Bum",2025,JOURNAL OF KOREA TRADE,10.35611/jkt.2025.29.6.173,crossref_score=73,Shin_2025,,,,,,,,,,,,,3,,,,,,,,
82,Is Cost Competitiveness a Sufficient Driving Force for Croatian Exports?,"Novinc, Filip; Skuflic, Lorena",2025,SOUTH EAST EUROPEAN JOURNAL OF ECONOMICS AND BUSINESS,10.2478/jeb-2025-0016,crossref_score=78,Novinc_2025,,,,,,,,,,,,,3,,,,,,,,
83,Foreign networks and export capabilities: insights from small manufacturing firms,"Gashi, Petrit; Krasniqi, Albian",2025,JOURNAL OF BUSINESS ECONOMICS,10.1007/s11573-025-01236-9,crossref_score=75,Gashi_2025,,,,,,,,,,,,,3,,,,,,,,
84,The impact of institutional void on the internationalization of multinational corporations,"Ettalibi, Nouhaila; Hunjra, Ahmed Imran; Bruna, Maria Giuseppina",2025,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,10.1108/jocm-01-2024-0057,crossref_score=65,Ettalibi_2025,,,,,,,,,,,,,3,,,,,,,,
85,Internationalisation and the Financial Performance of Companies,"Rozanski, Jerzy; Lopez-Morales, Jose Satsumi; Bogolebska, Justyna",2025,FOLIA OECONOMICA STETINENSIA,,crossref_no_match,Rozanski_2025,,,,,,,,,,,,,3,,,,,,,,
86,The role of intellectual capital and service agility in banking service provision: the perspective of Brazilian export companies,"Mataveli, Mara; Calvo, Juan-Carlos Ayala; Gil, Alfonso J.",2024,INTERNATIONAL JOURNAL OF EMERGING MARKETS,10.1108/ijoem-02-2020-0190,crossref_score=87,Mataveli_2024,,,,,,,,,,,,,3,,,,,,,,
87,Penrose's theory of the firm in an era of globalisation,"Lau, Chia Huay; Michie, Jonathan",2024,INTERNATIONAL REVIEW OF APPLIED ECONOMICS,,crossref_no_match,Lau_2024,,,,,,,,,,,,,3,,,,,,,,
88,"Leverage, corporate governance, and export intensity of heterogeneous firms: micro-level evidence for Pakistan","Ramzan, Imran",2024,APPLIED ECONOMICS LETTERS,10.1080/13504851.2022.2130140,crossref_score=86,Ramzan_2024,,,,,,,,,,,,,3,,,,,,,,
89,"Digital Capabilities, Their Role in Business Model Innovativeness, and the Internationalization of SMEs","Anwar, Muhammad; Scheffler, Marc Andre; Clauss, Thomas",2024,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,10.1109/tem.2022.3229049,crossref_score=62,Anwar_2024,,,,,,,,,,,,,3,,,,,,,,
