source,source_id,authors,year,title,journal,doi,abstract
scopus,2-s2.0-85065669225,Wu S.,2019,"Debt financing structure, ownership concentration and firm performance: a comparison of the listed state-owned and non-state-owned CMNEs",Journal of Chinese Economic and Business Studies,10.1080/14765284.2019.1615243,
scopus,2-s2.0-85060150416,Lukason O.,2019,Internationalization and failure risk patterns: Evidence from young Estonian manufacturing exporters,Review of International Business and Strategy,10.1108/ribs-06-2018-0054,
scopus,2-s2.0-85053338789,Bagheri M.,2019,Internationalization Orientation in SMEs: The Mediating Role of Technological Innovation,Journal of International Management,10.1016/j.intman.2018.08.002,
scopus,2-s2.0-85063128164,Stocker M.,2019,"Survival, growth, and performance of Hungarian international new ventures",Society and Economy,10.1556/204.2019.41.1.4,
scopus,2-s2.0-85052095401,Chawla I.,2019,Determinants of Firms’ Initial Decision to Invest Abroad: An Application of “Survival” Analysis to Manufacturing Firms in India,Emerging Markets Finance and Trade,10.1080/1540496x.2018.1447461,
scopus,2-s2.0-85052070296,Sun W.,2019,The longitudinal effects of internationalization on firm performance: The moderating role of marketing capability,Journal of Business Research,10.1016/j.jbusres.2018.08.014,
scopus,2-s2.0-85041568768,Chittoor R.,2019,Microfoundations of firm internationalization: The owner CEO effect,Global Strategy Journal,10.1002/gsj.1193,
scopus,2-s2.0-85054304965,Jain N.K.,2019,"Internationalization speed, resources and performance: Evidence from Indian software industry",Journal of Business Research,10.1016/j.jbusres.2018.09.019,
scopus,2-s2.0-85061813912,Piraveenan M.,2019,Assortativity and mixing patterns in international supply chain networks,Chaos,10.1063/1.5082015,
scopus,2-s2.0-85057370450,Lai J.H.,2019,How outside directors’ human and social capital create value for corporate international investments,Journal of World Business,10.1016/j.jwb.2018.11.006,
scopus,2-s2.0-85053373111,Azar G.,2019,Ex-post Performance Implications of Divergence of Managers’ Perceptions of ‘Distance’ From ‘Reality’ in International Business,Management International Review,10.1007/s11575-018-0360-4,
scopus,2-s2.0-85051141930,Braunerhjelm P.,2019,"Born globals – presence, performance and prospects",International Business Review,10.1016/j.ibusrev.2018.07.004,
scopus,2-s2.0-85053078648,Castellani D.,2019,From new imported inputs to new exported products. Firm-level evidence from Sweden,Research Policy,10.1016/j.respol.2018.08.021,
scopus,2-s2.0-85050952333,Rossmannek O.,2019,Internationalization of exploitation alliance portfolios and firm performance,Management Decision,10.1108/md-11-2017-1105,
scopus,2-s2.0-85072748518,Wu R.,2019,Does multinationality matter the firm performance?,Journal of Distribution Science,10.15722/jds.17.07.201907.45,
scopus,2-s2.0-85089985178,Lee S.,2019,Internationalization and performance of SMEs in masan free trade zone (Korea): The direct and moderating effects of firm size,Journal of Korea Trade,10.35611/jkt.2019.23.4.30,
scopus,2-s2.0-85068728905,Pacheco L.,2019,Internationalization effects on performance: The case of the portuguese textile and wearing firms,Journal of Textile and Apparel Technology and Management,,
scopus,2-s2.0-85069522789,Chong P.L.,2019,Internationalisation and innovation on balanced scorecard (BSC) among Malaysian small and medium enterprises (SMEs),Management Science Letters,10.5267/j.msl.2019.5.025,
scopus,2-s2.0-85062597294,Juniati S.,2019,The impact of internationalization in influencing firm performance and competitive advantage: The mediating role of eco-innovation,International Journal of Supply Chain Management,,
scopus,2-s2.0-85066055056,Prieto M.d.C.P.,2019,The influence of relational capital and networking on the internationalization of the university spin-off,Intangible Capital,10.3926/ic.1186,
scopus,2-s2.0-85069230833,Korsakienė R.,2019,Modelling internationalization of high growth firms: Micro level approach,E A M Ekonomie A Management,10.15240/tul/001/2019-1-004,
scopus,2-s2.0-85062285764,Fuertes-Callén Y.,2019,Inter-relationship between firm growth and profitability in a context of economic crisis,Journal of Business Economics and Management,10.3846/jbem.2019.6928,
scopus,2-s2.0-85061629413,Santos L.M.d.S.,2019,Explanatory Factors of the Environmental Disclosure of Potentially Polluting Companies: Evidence From Brazil,Sage Open,10.1177/2158244019829548,
