seq,priority,icrv,dpl,year,title,journal,doi,doi_url,unpaywall_url,pdf_url,is_oa,oa_status,extraction_status,notes
252,1_DOI_FIRST,2,3,2020,Chinese multinationals' fast internationalization: Financial performance advanta,JOURNAL OF INTERNATIONAL BUSINESS STUDIE,10.1057/s41267-019-00279-9,https://doi.org/10.1057/s41267-019-00279-9,https://api.unpaywall.org/v2/10.1057/s41267-019-00279-9?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
253,1_DOI_FIRST,2,3,2020,Relationship between Internationalization and Financial Performance: Evidence fr,JOURNAL OF MANAGEMENT IN ENGINEERING,10.1061/(asce)me.1943-5479.0000736,https://doi.org/10.1061/(asce)me.1943-5479.0000736,https://api.unpaywall.org/v2/10.1061/(asce)me.1943-5479.0000736?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
303,1_DOI_FIRST,2,3,2016,"Founding Environment, Inward Internationalization, and Firm Performance: Evidenc",JOURNAL OF EAST-WEST BUSINESS,10.1080/10669868.2016.1215667,https://doi.org/10.1080/10669868.2016.1215667,https://api.unpaywall.org/v2/10.1080/10669868.2016.1215667?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
324,1_DOI_FIRST,3,3,2013,Internationalization and firm performance of SMEs: The moderating effects of CEO,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2012.06.001,https://doi.org/10.1016/j.jwb.2012.06.001,https://api.unpaywall.org/v2/10.1016/j.jwb.2012.06.001?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
350,1_DOI_FIRST,1,2,2005,The impact of internationalisation and proprietary assets on firm performance: a,INTERNATIONAL JOURNAL OF TECHNOLOGY MANA,10.1504/ijtm.2005.006007,https://doi.org/10.1504/ijtm.2005.006007,https://api.unpaywall.org/v2/10.1504/ijtm.2005.006007?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
351,1_DOI_FIRST,1,2,2005,The degree of internationalization and the financial performance of European mob,TELECOMMUNICATIONS POLICY,10.1016/j.telpol.2005.06.003,https://doi.org/10.1016/j.telpol.2005.06.003,https://api.unpaywall.org/v2/10.1016/j.telpol.2005.06.003?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
46,1_DOI_FIRST,2,3,2021,'Letters to the editor': the relationship between multinationality and firm perf,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2020.1857122,https://doi.org/10.1080/19186444.2020.1857122,https://api.unpaywall.org/v2/10.1080/19186444.2020.1857122?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
460,1_DOI_FIRST,2,3,2026,"Exporting Like China: Productivity, Market Demand, and Labor Frictions",INTERNATIONAL ECONOMIC REVIEW,10.1111/iere.70042,https://doi.org/10.1111/iere.70042,https://api.unpaywall.org/v2/10.1111/iere.70042?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
461,1_DOI_FIRST,1,3,2026,"The performance effects of ""added cultural distance"" in multinational expansion ",MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2025-0104,https://doi.org/10.1108/mbr-04-2025-0104,https://api.unpaywall.org/v2/10.1108/mbr-04-2025-0104?email=huongdt@vlute.edu.vn,https://centaur.reading.ac.uk/128026/3/MBR-04-2025-0104.R2%20Manuscript-AV-F.pdf,True,green,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
464,1_DOI_FIRST,1,3,2025,"Bribery, local network, and local performance among multinational corporations: ",JOURNAL OF BUSINESS & INDUSTRIAL MARKETI,10.1108/jbim-04-2024-0284,https://doi.org/10.1108/jbim-04-2024-0284,https://api.unpaywall.org/v2/10.1108/jbim-04-2024-0284?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
468,1_DOI_FIRST,2,3,2023,"Survey data on organizational resources and capabilities, export marketing strat",DATA IN BRIEF,10.1016/j.dib.2023.109112,https://doi.org/10.1016/j.dib.2023.109112,https://api.unpaywall.org/v2/10.1016/j.dib.2023.109112?email=huongdt@vlute.edu.vn,,True,gold,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
470,1_DOI_FIRST,1,3,2022,Intellectual capital and firm efficiency of US multinational software firms,JOURNAL OF INTELLECTUAL CAPITAL,10.1108/jic-02-2021-0041,https://doi.org/10.1108/jic-02-2021-0041,https://api.unpaywall.org/v2/10.1108/jic-02-2021-0041?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
473,1_DOI_FIRST,1,3,2021,Exploring nonlinear linkage between profitability and leverage: US multinational,JOURNAL OF INTERNATIONAL FINANCIAL MANAG,10.1111/jifm.12134,https://doi.org/10.1111/jifm.12134,https://api.unpaywall.org/v2/10.1111/jifm.12134?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
475,1_DOI_FIRST,2,3,2020,A Patulous Progress: International Entrepreneurship Effects on Chinese Born-Glob,SUSTAINABILITY,10.3390/su12145508,https://doi.org/10.3390/su12145508,https://api.unpaywall.org/v2/10.3390/su12145508?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
476,1_DOI_FIRST,2,3,2020,Do Export Activities Improve Small Firm Performance? Evidence from Indonesia,SOUTH EAST ASIAN JOURNAL OF MANAGEMENT,10.21002/seam.v14i2.11771,https://doi.org/10.21002/seam.v14i2.11771,https://api.unpaywall.org/v2/10.21002/seam.v14i2.11771?email=huongdt@vlute.edu.vn,,True,gold,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
480,1_DOI_FIRST,2,3,2018,"Exporting, access of foreign technology, and firms' performance: Searching the l",QUARTERLY REVIEW OF ECONOMICS AND FINANC,10.1016/j.qref.2017.11.015,https://doi.org/10.1016/j.qref.2017.11.015,https://api.unpaywall.org/v2/10.1016/j.qref.2017.11.015?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
481,1_DOI_FIRST,1,3,2018,"Foreign currency borrowing, exports and firm performance: evidence from a curren",EUROPEAN JOURNAL OF FINANCE,10.1080/1351847x.2017.1421246,https://doi.org/10.1080/1351847x.2017.1421246,https://api.unpaywall.org/v2/10.1080/1351847x.2017.1421246?email=huongdt@vlute.edu.vn,,True,green,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
484,1_DOI_FIRST,2,3,2015,Does Exporting Spur Firm Productivity? Evidence from Vietnam,JOURNAL OF SOUTHEAST ASIAN ECONOMIES,10.1355/ae32-1e,https://doi.org/10.1355/ae32-1e,https://api.unpaywall.org/v2/10.1355/ae32-1e?email=huongdt@vlute.edu.vn,,True,green,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
493,1_DOI_FIRST,1,2,2009,Exporting and productivity in business services: Evidence from the United States,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.08.002,https://doi.org/10.1016/j.ibusrev.2009.08.002,https://api.unpaywall.org/v2/10.1016/j.ibusrev.2009.08.002?email=huongdt@vlute.edu.vn,https://publications.aston.ac.uk/id/eprint/38591/1/Exporting_and_productivity_in_business_services.pdf,True,green,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
494,1_DOI_FIRST,1,2,2009,Impact of brand recognition and brand reputation on firm performance: US-based m,INTERNATIONAL JOURNAL OF HOSPITALITY MAN,10.1016/j.ijhm.2009.04.002,https://doi.org/10.1016/j.ijhm.2009.04.002,https://api.unpaywall.org/v2/10.1016/j.ijhm.2009.04.002?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
526,1_DOI_FIRST,1,3,2022,"Disaggregating Multinationality: An Empirical Examination of Aggregation, Adapta",STRATEGY SCIENCE,10.1287/stsc.2022.0158,https://doi.org/10.1287/stsc.2022.0158,https://api.unpaywall.org/v2/10.1287/stsc.2022.0158?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
533,1_DOI_FIRST,3,2,2024,Internationalization at Inception: Insights from the Indian Textile Industry's B,JOURNAL OF ECONOMIC INTEGRATION,10.11130/jei.2024033,https://doi.org/10.11130/jei.2024033,https://api.unpaywall.org/v2/10.11130/jei.2024033?email=huongdt@vlute.edu.vn,https://www.e-jei.org/upload/jei-2024033.pdf,True,gold,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
161,1_DOI_FIRST,0,3,2026,Non-Home-Base Internationalization and Firm Performance in the Hospitality Indus,CORNELL HOSPITALITY QUARTERLY,10.1177/19389655251405170,https://doi.org/10.1177/19389655251405170,https://api.unpaywall.org/v2/10.1177/19389655251405170?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
163,1_DOI_FIRST,0,3,2026,Internationalization channels and firm financial performance among Asia-Pacific ,ENVIRONMENT DEVELOPMENT AND SUSTAINABILI,10.1007/s10668-026-07324-2,https://doi.org/10.1007/s10668-026-07324-2,https://api.unpaywall.org/v2/10.1007/s10668-026-07324-2?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
168,1_DOI_FIRST,0,3,2026,Product innovation strategy and firm performance: Novelty and internationalizati,JOURNAL OF SMALL BUSINESS MANAGEMENT,10.1080/00472778.2026.2640356,https://doi.org/10.1080/00472778.2026.2640356,https://api.unpaywall.org/v2/10.1080/00472778.2026.2640356?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
193,1_DOI_FIRST,0,3,2024,Effects of female CEO and female CFO on internationalization and firm performanc,CORPORATE GOVERNANCE-THE INTERNATIONAL J,10.1108/cg-12-2022-0512,https://doi.org/10.1108/cg-12-2022-0512,https://api.unpaywall.org/v2/10.1108/cg-12-2022-0512?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
195,1_DOI_FIRST,0,3,2024,Internationalization and individual firm performance: a resource-based view,EURASIAN BUSINESS REVIEW,10.1007/s40821-024-00276-5,https://doi.org/10.1007/s40821-024-00276-5,https://api.unpaywall.org/v2/10.1007/s40821-024-00276-5?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
196,1_DOI_FIRST,0,3,2024,Analysis the nexus between internationalization and financial performance in win,CORPORATE SOCIAL RESPONSIBILITY AND ENVI,10.1002/csr.2894,https://doi.org/10.1002/csr.2894,https://api.unpaywall.org/v2/10.1002/csr.2894?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
216,1_DOI_FIRST,0,3,2023,Degree of internationalisation and firm performance: the flattening role of orga,REVIEW OF INTERNATIONAL BUSINESS AND STR,10.1108/ribs-03-2022-0030,https://doi.org/10.1108/ribs-03-2022-0030,https://api.unpaywall.org/v2/10.1108/ribs-03-2022-0030?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
219,1_DOI_FIRST,0,3,2023,Internationalization and firm performance: moderating role of multi-stakeholder ,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-10-2022-0168,https://doi.org/10.1108/mbr-10-2022-0168,https://api.unpaywall.org/v2/10.1108/mbr-10-2022-0168?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
237,1_DOI_FIRST,0,3,2022,Taking the international route: Investigating the impact of socioemotional wealt,ENTREPRENEURIAL BUSINESS AND ECONOMICS R,10.15678/eber.2022.100305,https://doi.org/10.15678/eber.2022.100305,https://api.unpaywall.org/v2/10.15678/eber.2022.100305?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
273,1_DOI_FIRST,0,3,2019,Does persistence in internationalization and innovation influence firms' perform,JOURNAL OF ECONOMIC STUDIES,10.1108/jes-04-2019-0152,https://doi.org/10.1108/jes-04-2019-0152,https://api.unpaywall.org/v2/10.1108/jes-04-2019-0152?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
309,1_DOI_FIRST,0,3,2015,Firm factors that influence internationalisation and subsequent financial perfor,JOURNAL OF SERVICE THEORY AND PRACTICE,10.1108/jstp-09-2013-0204,https://doi.org/10.1108/jstp-09-2013-0204,https://api.unpaywall.org/v2/10.1108/jstp-09-2013-0204?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
462,1_DOI_FIRST,0,3,2025,"Clean, competitive, and productive? The impact of environment-friendly technolog",NATURAL RESOURCES FORUM,10.1111/1477-8947.12525,https://doi.org/10.1111/1477-8947.12525,https://api.unpaywall.org/v2/10.1111/1477-8947.12525?email=huongdt@vlute.edu.vn,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1477-8947.12525,True,hybrid,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
463,1_DOI_FIRST,0,3,2025,Finding the sweet spot: effects of exporting on the relationship between R&D inv,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0039,https://doi.org/10.1108/imr-02-2024-0039,https://api.unpaywall.org/v2/10.1108/imr-02-2024-0039?email=huongdt@vlute.edu.vn,https://durham-repository.worktribe.com/file/3318752/1/Accepted%20Journal%20Article,True,green,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
465,1_DOI_FIRST,0,3,2025,"Firm-Level Carbon Productivity, Home Country Environmental Performance, and Firm",SUSTAINABILITY,10.3390/su17125381,https://doi.org/10.3390/su17125381,https://api.unpaywall.org/v2/10.3390/su17125381?email=huongdt@vlute.edu.vn,https://www.mdpi.com/2071-1050/17/12/5381/pdf?version=1749636253,True,gold,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
466,1_DOI_FIRST,0,3,2024,Exporting is a team sport: the link between management training and performance ,INTERNATIONAL JOURNAL OF MANPOWER,10.1108/ijm-03-2023-0150,https://doi.org/10.1108/ijm-03-2023-0150,https://api.unpaywall.org/v2/10.1108/ijm-03-2023-0150?email=huongdt@vlute.edu.vn,https://strathprints.strath.ac.uk/87757/1/Idris-etal-IJM-2023-Exporting-is-a-team-sport-the-link.pdf,True,green,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
471,1_DOI_FIRST,0,3,2021,No place like home: The effect of exporting to the country of origin on the fina,JOURNAL OF INTERNATIONAL BUSINESS STUDIE,10.1057/s41267-020-00360-8,https://doi.org/10.1057/s41267-020-00360-8,https://api.unpaywall.org/v2/10.1057/s41267-020-00360-8?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
472,1_DOI_FIRST,0,3,2021,Export status and SME productivity: Learning-to-export versus learning-by-export,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2021.02.026,https://doi.org/10.1016/j.jbusres.2021.02.026,https://api.unpaywall.org/v2/10.1016/j.jbusres.2021.02.026?email=huongdt@vlute.edu.vn,https://eprints.whiterose.ac.uk/171181/1/Gkypali%20Love%20and%20Roper%20final.pdf,True,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
474,1_DOI_FIRST,0,3,2020,Exploring the exporting-downsizing link: Does the type of export strategy and fi,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2019.10.074,https://doi.org/10.1016/j.jbusres.2019.10.074,https://api.unpaywall.org/v2/10.1016/j.jbusres.2019.10.074?email=huongdt@vlute.edu.vn,,True,green,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
479,1_DOI_FIRST,0,3,2019,Detecting learning-by-exporting effects on firms' productivity distribution by a,WORLD ECONOMY,10.1111/twec.12807,https://doi.org/10.1111/twec.12807,https://api.unpaywall.org/v2/10.1111/twec.12807?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
482,1_DOI_FIRST,0,3,2017,A Multimediation Model of Learning by Exporting: Analysis of Export-Induced Prod,JOURNAL OF MANAGEMENT,10.1177/0149206315573998,https://doi.org/10.1177/0149206315573998,https://api.unpaywall.org/v2/10.1177/0149206315573998?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
483,1_DOI_FIRST,0,3,2017,"Distances, multinational organisational learning, and firm performance: a new pe",INTERNATIONAL JOURNAL OF BUSINESS ENVIRO,10.1504/ijbe.2017.10006208,https://doi.org/10.1504/ijbe.2017.10006208,https://api.unpaywall.org/v2/10.1504/ijbe.2017.10006208?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
488,1_DOI_FIRST,0,3,2013,"Learning across geographic space: Pro-market reforms, multinationalization strat",JOURNAL OF INTERNATIONAL BUSINESS STUDIE,10.1057/jibs.2013.5,https://doi.org/10.1057/jibs.2013.5,https://api.unpaywall.org/v2/10.1057/jibs.2013.5?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
489,1_DOI_FIRST,0,3,2012,Multinational risk and performance outcomes: Effects of knowledge intensity and ,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.02.005,https://doi.org/10.1016/j.ibusrev.2011.02.005,https://api.unpaywall.org/v2/10.1016/j.ibusrev.2011.02.005?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
490,1_DOI_FIRST,0,3,2012,WHY DO MULTINATIONAL FIRMS EXIST? A THEORY NOTE ABOUT THE EFFECT OF MULTINATIONA,GLOBAL STRATEGY JOURNAL,10.1111/j.2042-5805.2012.01045.x,https://doi.org/10.1111/j.2042-5805.2012.01045.x,https://api.unpaywall.org/v2/10.1111/j.2042-5805.2012.01045.x?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
497,1_DOI_FIRST,0,2,2003,Geographic scope and multinational enterprise performance,STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.357,https://doi.org/10.1002/smj.357,https://api.unpaywall.org/v2/10.1002/smj.357?email=huongdt@vlute.edu.vn,,False,closed,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
528,1_DOI_FIRST,0,3,2019,The role of international institutional complexity on emerging market multinatio,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1166,https://doi.org/10.1002/gsj.1166,https://api.unpaywall.org/v2/10.1002/gsj.1166?email=huongdt@vlute.edu.vn,,True,green,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
71,1_DOI_FIRST,0,3,2018,Alphabet soup: the relationship between multinationality and firm performance,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2018.1556519,https://doi.org/10.1080/19186444.2018.1556519,https://api.unpaywall.org/v2/10.1080/19186444.2018.1556519?email=huongdt@vlute.edu.vn,,,,READY_FOR_PDF_EXTRACTION,sample_size; effect_size; statistic; performance_measure; in
1008,1_DOI_FIRST,2,3,2015,"Processing trade, export intensity, and input trade liberalization: evidence fro",JOURNAL OF THE ASIA PACIFIC ECONOMY,10.1080/13547860.2015.1054169,https://doi.org/10.1080/13547860.2015.1054169,https://api.unpaywall.org/v2/10.1080/13547860.2015.1054169?email=huongdt@vlute.edu.vn,,False,closed,,source:wos
1032,1_DOI_FIRST,2,3,2015,Imported Inputs and Egyptian Exports: Exploring the Links,ECONOMICS-THE OPEN ACCESS OPEN-ASSESSMEN,10.5018/economics-ejournal.ja.2015-38,https://doi.org/10.5018/economics-ejournal.ja.2015-38,https://api.unpaywall.org/v2/10.5018/economics-ejournal.ja.2015-38?email=huongdt@vlute.edu.vn,,,,,source:multi
1041,1_DOI_FIRST,2,3,2016,Cultural intelligence and export performance of small and medium enterprises in ,INTERNATIONAL SMALL BUSINESS JOURNAL-RES,10.1177/0266242614539364,https://doi.org/10.1177/0266242614539364,https://api.unpaywall.org/v2/10.1177/0266242614539364?email=huongdt@vlute.edu.vn,,False,closed,,source:wos
1061,1_DOI_FIRST,2,3,2016,"Interrelationship among foreign presence, domestic sales and export intensity in",APPLIED ECONOMICS,10.1080/00036846.2015.1122733,https://doi.org/10.1080/00036846.2015.1122733,https://api.unpaywall.org/v2/10.1080/00036846.2015.1122733?email=huongdt@vlute.edu.vn,https://researchonline.jcu.edu.au/44055/11/44055%20Sun%20et%20al%202016.pdf,True,closed,,source:wos
1081,1_DOI_FIRST,2,3,2016,"Export intensity, scope, and destinations: Evidence from Brazil",INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2016.01.006,https://doi.org/10.1016/j.indmarman.2016.01.006,https://api.unpaywall.org/v2/10.1016/j.indmarman.2016.01.006?email=huongdt@vlute.edu.vn,,False,closed,,source:multi
1110,1_DOI_FIRST,3,3,2016,Resource based view of internationalization: evidence from Indian commercial ban,JOURNAL OF ASIA BUSINESS STUDIES,10.1108/jabs-10-2014-0082,https://doi.org/10.1108/jabs-10-2014-0082,https://api.unpaywall.org/v2/10.1108/jabs-10-2014-0082?email=huongdt@vlute.edu.vn,,,,,source:wos
1112,1_DOI_FIRST,3,3,2016,What Drives International Competitiveness? An Empirical Test in Emerging Indones,JOURNAL OF COMPETITIVENESS,10.7441/joc.2016.04.08,https://doi.org/10.7441/joc.2016.04.08,https://api.unpaywall.org/v2/10.7441/joc.2016.04.08?email=huongdt@vlute.edu.vn,https://www.cjournal.cz/files/237.pdf,True,gold,,source:multi
1115,1_DOI_FIRST,1,3,2016,The effects of top management team composition on SME export performance: an upp,CENTRAL EUROPEAN JOURNAL OF OPERATIONS R,10.1007/s10100-015-0408-5,https://doi.org/10.1007/s10100-015-0408-5,https://api.unpaywall.org/v2/10.1007/s10100-015-0408-5?email=huongdt@vlute.edu.vn,,False,closed,,source:wos | ICRV=0 auto-default; verify from full text
1119,1_DOI_FIRST,2,3,2016,"CATEGORIZING THE LIABILITY OF FOREIGNNESS: OWNERSHIP, LOCATION, AND INTERNALIZAT",GLOBAL STRATEGY JOURNAL,10.1002/gsj.1140,https://doi.org/10.1002/gsj.1140,https://api.unpaywall.org/v2/10.1002/gsj.1140?email=huongdt@vlute.edu.vn,,False,closed,,source:wos
1129,1_DOI_FIRST,2,3,2016,Intensity and diversity of internationalization among small and medium-sized exp,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-08-2015-0037,https://doi.org/10.1108/mbr-08-2015-0037,https://api.unpaywall.org/v2/10.1108/mbr-08-2015-0037?email=huongdt@vlute.edu.vn,,False,closed,,source:wos
