seq,doi,abstract,source,s2_year,s2_venue,affiliations
73,10.3846/jbem.2018.1538,,S2_FAIL,,,
82,10.1111/tesg.12224,,S2_FAIL,,,
90,10.1016/j.ibusrev.2016.03.011,,S2_FAIL,,,
97,10.3846/16111699.2014.959040,,S2_FAIL,,,
117,10.1177/0266242610391325,,S2_FAIL,,,
127,10.1016/j.ibusrev.2011.09.010,,S2_FAIL,,,
137,10.1007/bf02707654,,S2_FAIL,,,
175,10.1016/j.ibusrev.2024.102275,,S2_FAIL,,,
192,10.1007/s11575-024-00534-8,,S2_FAIL,,,
200,10.18559/ebr.2024.3.1217,,S2_FAIL,,,
202,10.3390/su16020508,,S2_FAIL,,,
206,10.1007/s10368-024-00629-5,,S2_FAIL,,,
210,10.1177/0972150920916035,,S2_FAIL,,,
233,10.1016/j.jbusres.2022.04.032,,S2_FAIL,,,
256,10.1007/s11575-020-00421-y,,S2_FAIL,,,
275,10.1016/j.strueco.2019.01.005,,S2_FAIL,,,
276,10.1007/978-3-319-90575-4_5,,S2_FAIL,,,
285,10.1016/j.jwb.2017.07.004,,S2_FAIL,,,
289,10.1016/j.ocecoaman.2017.10.024,,S2_FAIL,,,
300,10.1016/j.ibusrev.2015.12.003,,S2_FAIL,,,
305,10.1016/j.inveco.2016.03.004,,S2_FAIL,,,
314,10.1016/j.ibusrev.2015.04.006,,S2_FAIL,,,
316,10.1002/tie.21597,,S2_FAIL,,,
319,10.1016/j.jwb.2013.08.001,,S2_FAIL,,,
322,10.1016/j.jwb.2013.02.002,,S2_FAIL,,,
337,10.1108/sd.2011.05627jaa.003,,S2_FAIL,,,
339,10.1080/00036840802600566,,S2_FAIL,,,
492,10.1007/s11575-009-0015-6,,S2_FAIL,,,
250,10.1002/tie.22192,,S2_FAIL,,,
53,10.1177/09721509211056480,,S2_FAIL,,,
352,10.1080/13600810500137855,,S2_FAIL,,,
241,10.1108/ebr-10-2019-0244,,S2_FAIL,,,
312,10.1080/09585192.2015.1041758,,S2_FAIL,,,
327,10.2478/ijme-2014-0020,,S2_FAIL,,,
335,10.1111/j.1467-9701.2010.01294.x,,S2_FAIL,,,
340,10.1016/j.jwb.2009.12.003,,S2_FAIL,,,
3,10.1111/twec.70052,,S2_FAIL,,,
7,10.1002/bse.70126,,S2_FAIL,,,
13,10.1002/mde.70005,,S2_FAIL,,,
15,10.1142/s0218495825500037,,S2_FAIL,,,
17,10.1109/tem.2022.3229049,,S2_FAIL,,,
19,10.1108/md-01-2023-0045,,S2_FAIL,,,
21,10.3390/admsci14060116,,S2_FAIL,,,
28,10.1080/14778238.2021.1919573,,S2_FAIL,,,
30,10.1080/09638199.2022.2098527,,S2_FAIL,,,
31,10.1093/icc/dtad004,,S2_FAIL,,,
36,10.1007/s11575-022-00473-2,,S2_FAIL,,,
47,10.1108/imr-05-2020-0094,,S2_FAIL,,,
50,10.1016/j.indmarman.2021.04.001,,S2_FAIL,,,
54,10.1002/smj.3087,,S2_FAIL,,,
55,10.1111/twec.12887,,S2_FAIL,,,
59,10.1108/ccsm-03-2019-0068,,S2_FAIL,,,
62,10.1016/j.jbusres.2020.08.027,,S2_FAIL,,,
66,10.1002/gsj.1193,,S2_FAIL,,,
74,10.1016/j.jbusres.2018.04.030,,S2_FAIL,,,
78,10.1016/j.ibusrev.2017.02.005,,S2_FAIL,,,
81,10.2139/ssrn.2777973,,S2_FAIL,,,
91,10.1016/j.intman.2016.06.001,,S2_FAIL,,,
101,10.1142/s1363919615500309,,S2_FAIL,,,
106,10.1016/j.ibusrev.2014.11.005,,S2_FAIL,,,
108,10.1016/j.dss.2013.11.001,,S2_FAIL,,,
114,10.1016/j.ijinfomgt.2014.06.006,,S2_FAIL,,,
115,10.1108/mbr-04-2013-0021,,S2_FAIL,,,
134,10.1016/j.ibusrev.2009.02.012,,S2_FAIL,,,
135,10.1016/j.ibusrev.2009.01.005,,S2_FAIL,,,
136,10.1007/s11575-008-0027-7,,S2_FAIL,,,
164,10.1108/imr-06-2023-0108,,S2_FAIL,,,
165,10.1002/csr.70460,,S2_FAIL,,,
166,10.1016/j.econmod.2026.107559,,S2_FAIL,,,
167,10.1108/jfbm-08-2025-0226,,S2_FAIL,,,
170,10.1177/09721509261437526,,S2_FAIL,,,
173,10.1002/mde.4496,,S2_FAIL,,,
180,10.1108/imr-02-2024-0045,,S2_FAIL,,,
183,10.1504/jibed.2025.10071182,,S2_FAIL,,,
184,10.1108/jbim-01-2025-0047,,S2_FAIL,,,
185,10.1080/16081625.2025.2596994,,S2_FAIL,,,
190,10.1002/csr.2592,,S2_FAIL,,,
191,10.1007/s10843-023-00345-2,,S2_FAIL,,,
198,10.1016/j.intman.2024.101122,,S2_FAIL,,,
203,10.1016/j.lrp.2023.102409,,S2_FAIL,,,
204,10.1002/jcaf.22729,,S2_FAIL,,,
207,10.1016/j.resglo.2024.100206,,S2_FAIL,,,
208,10.1016/j.ibusrev.2023.102175,,S2_FAIL,,,
215,10.1108/jfmm-06-2021-0151,,S2_FAIL,,,
218,10.3390/su15032003,,S2_FAIL,,,
220,10.1016/j.jretai.2023.07.005,,S2_FAIL,,,
225,10.1108/mbr-07-2020-0155,,S2_FAIL,,,
227,10.1002/mde.3482,,S2_FAIL,,,
229,10.1504/ijesb.2022.124453,,S2_FAIL,,,
230,10.3390/buildings12020185,,S2_FAIL,,,
231,10.1016/j.technovation.2021.102408,,S2_FAIL,,,
232,10.1016/j.jbusres.2022.01.045,,S2_FAIL,,,
235,10.1016/j.jik.2022.100241,,S2_FAIL,,,
236,10.1108/jstp-10-2021-0202,,S2_FAIL,,,
243,10.1108/ribs-09-2019-0126,,S2_FAIL,,,
244,10.1080/00036846.2020.1853668,,S2_FAIL,,,
245,10.37725/mgmt.v24i1.4507,,S2_FAIL,,,
248,10.1002/jae.2837,,S2_FAIL,,,
249,10.1504/ejim.2021.113232,,S2_FAIL,,,
251,10.1177/0306307020984566,,S2_FAIL,,,
254,10.1007/s10843-019-00266-z,,S2_FAIL,,,
255,10.31407/ijees10.121,,S2_FAIL,,,
257,10.1002/csr.2010,,S2_FAIL,,,
258,10.1007/s10843-020-00281-5,,S2_FAIL,,,
259,10.1177/2340944420916334,,S2_FAIL,,,
260,10.1111/1468-0106.12287,,S2_FAIL,,,
261,10.1016/j.jbusres.2020.03.018,,S2_FAIL,,,
262,10.1504/ijtm.2020.112156,,S2_FAIL,,,
264,10.1108/md-11-2017-1105,,S2_FAIL,,,
271,10.1111/jsbm.12489,,S2_FAIL,,,
272,10.1016/j.ijhm.2019.03.007,,S2_FAIL,,,
278,10.3390/admsci8030031,,S2_FAIL,,,
284,10.1016/j.jclepro.2017.10.111,,S2_FAIL,,,
287,10.1080/10669868.2018.1467842,,S2_FAIL,,,
288,10.1016/j.labeco.2018.05.004,,S2_FAIL,,,
290,10.1016/j.jbusres.2017.09.023,,S2_FAIL,,,
291,10.1016/j.lrp.2016.06.001,,S2_FAIL,,,
292,10.1016/j.intman.2016.11.004,,S2_FAIL,,,
294,10.1002/gsj.1160,,S2_FAIL,,,
296,10.1177/0170840616670441,,S2_FAIL,,,
297,10.1108/ijrdm-04-2015-0064,,S2_FAIL,,,
304,10.1016/j.intman.2016.05.002,,S2_FAIL,,,
306,10.1007/s13132-015-0256-5,,S2_FAIL,,,
307,10.5771/0935-9915-2015-2-83,,S2_FAIL,,,
310,10.3846/16111699.2012.720600,,S2_FAIL,,,
311,10.1007/s10843-015-0148-6,,S2_FAIL,,,
317,10.1108/md-10-2013-0527,,S2_FAIL,,,
318,10.1016/j.jbankfin.2014.02.003,,S2_FAIL,,,
321,10.1007/s11123-012-0315-x,,S2_FAIL,,,
323,10.1002/hrm.21619,,S2_FAIL,,,
326,10.1111/j.2042-5805.2013.01060.x,,S2_FAIL,,,
330,10.1016/j.jbusres.2011.05.007,,S2_FAIL,,,
331,10.1111/j.1467-9701.2011.01415.x,,S2_FAIL,,,
332,10.1108/02651331211260377,,S2_FAIL,,,
334,10.1111/j.2042-5805.2012.01033.x,,S2_FAIL,,,
338,10.1108/15253831111190199,,S2_FAIL,,,
341,10.1007/s10693-010-0090-7,,S2_FAIL,,,
346,10.2139/ssrn.989931,,S2_FAIL,,,
347,10.1016/s1064-4857(07)13008-4,,S2_FAIL,,,
349,10.1007/s11187-005-5604-6,,S2_FAIL,,,
353,10.1108/02651330410547171,,S2_FAIL,,,
354,10.1080/1350485042000254890,,S2_FAIL,,,
355,10.1002/smj.243,,S2_FAIL,,,
478,10.1016/j.jclepro.2019.06.135,,S2_FAIL,,,
532,10.1016/j.jwb.2015.03.002,,S2_FAIL,,,
209,10.1177/21582440241229561,,S2_FAIL,,,
223,10.1177/21582440231210119,,S2_FAIL,,,
238,10.1016/j.irfa.2022.102334,,S2_FAIL,,,
274,10.1111/corg.12273,,S2_FAIL,,,
315,10.1016/j.jbusres.2015.01.042,,S2_FAIL,,,
343,10.2139/ssrn.900545,,S2_FAIL,,,
534,10.1016/j.lrp.2022.102220,,S2_FAIL,,,
540,10.1016/s0148-2963(96)00113-0,,S2_FAIL,,,
541,10.1016/s0925-5273(97)00029-7,,S2_FAIL,,,
547,10.1002/(sici)1097-0266(199908)20:8<711::aid-smj41>3.0.co;2-8,,S2_FAIL,,,
550,10.1016/s0166-4972(99)00135-2,,S2_FAIL,,,
562,10.1023/a:1020244404241,,S2_FAIL,,,
563,10.2307/30040614,,S2_FAIL,,,
564,10.1057/palgrave.jibs.8400031,,S2_FAIL,,,
566,10.1016/s0883-9026(03)00057-0,,S2_FAIL,,,
574,10.1016/j.lrp.2003.11.005,,S2_FAIL,,,
583,10.1007/s10843-005-0305-4,,S2_FAIL,,,
589,10.1504/ijtm.2006.009967,,S2_FAIL,,,
596,10.1016/j.jbusvent.2005.02.002,,S2_FAIL,,,
598,10.2753/eee0012-8775440502,,S2_FAIL,,,
601,10.5465/amj.2006.23478217,,S2_FAIL,,,
611,10.1057/palgrave.jibs.8400260,,S2_FAIL,,,
613,10.1016/j.jbusres.2006.10.024,,S2_FAIL,,,
622,10.1016/j.jebo.2005.07.007,,S2_FAIL,,,
625,10.1016/j.jwb.2007.11.015,,S2_FAIL,,,
627,10.1016/j.accfor.2007.11.001,,S2_FAIL,,,
628,10.1007/s10290-008-0136-1,,S2_FAIL,,,
633,10.1007/s10961-007-9058-7,,S2_FAIL,,,
639,10.1007/s11123-008-0102-x,,S2_FAIL,,,
643,10.1016/j.ijhm.2007.09.002,,S2_FAIL,,,
644,10.1007/s10843-008-0029-3,,S2_FAIL,,,
668,10.1016/j.lrp.2009.09.006,,S2_FAIL,,,
671,10.1057/jibs.2009.18,,S2_FAIL,,,
672,10.1016/j.ijresmar.2009.08.004,,S2_FAIL,,,
677,10.2139/ssrn.1564507,,S2_FAIL,,,
685,10.1057/jibs.2009.69,,S2_FAIL,,,
687,10.1016/j.jbusvent.2009.01.008,,S2_FAIL,,,
693,10.1007/s10290-009-0042-1,,S2_FAIL,,,
696,10.1007/978-94-007-2926-1_5,,S2_FAIL,,,
697,10.1016/j.intman.2010.06.006,,S2_FAIL,,,
700,10.1016/j.respol.2010.04.002,,S2_FAIL,,,
702,10.1007/s11123-010-0174-2,,S2_FAIL,,,
705,10.1016/j.ibusrev.2010.04.003,,S2_FAIL,,,
711,10.1080/19186444.2011.11658285,,S2_FAIL,,,
713,10.1057/9781137015891_13,,S2_FAIL,,,
719,10.1057/9780230305106_18,,S2_FAIL,,,
726,10.1007/s11459-011-0122-8,,S2_FAIL,,,
731,10.2139/ssrn.870237,,S2_FAIL,,,
732,10.1093/oep/gpq027,,S2_FAIL,,,
734,10.1093/jeg/lbq035,,S2_FAIL,,,
740,10.1007/s10843-010-0067-5,,S2_FAIL,,,
741,10.1016/j.intman.2011.01.004,,S2_FAIL,,,
751,10.1016/j.indmarman.2011.02.001,,S2_FAIL,,,
756,10.1007/s10961-011-9211-1,,S2_FAIL,,,
770,10.1057/jibs.2011.52,,S2_FAIL,,,
771,10.1057/jibs.2011.41,,S2_FAIL,,,
775,10.1007/s10645-011-9174-5,,S2_FAIL,,,
778,10.1093/jeg/lbq059,,S2_FAIL,,,
782,10.1080/09585192.2011.610952,,S2_FAIL,,,
785,10.1007/s11187-010-9297-0,,S2_FAIL,,,
786,10.1016/j.respol.2012.03.016,,S2_FAIL,,,
787,10.1016/j.emj.2012.03.009,,S2_FAIL,,,
792,10.1007/978-3-319-51715-5_5,,S2_FAIL,,,
794,10.1016/j.ibusrev.2011.11.003,,S2_FAIL,,,
797,10.1016/j.foodpol.2012.05.004,,S2_FAIL,,,
802,10.1007/s10997-010-9166-x,,S2_FAIL,,,
814,10.1016/j.jebo.2012.10.016,,S2_FAIL,,,
815,10.1016/j.jwb.2012.06.008,,S2_FAIL,,,
821,10.1016/j.ibusrev.2012.04.006,,S2_FAIL,,,
823,10.1016/j.ibusrev.2012.02.002,,S2_FAIL,,,
827,10.1016/j.ijhm.2012.05.006,,S2_FAIL,,,
830,10.1007/s11365-012-0244-1,,S2_FAIL,,,
833,10.1007/s11187-011-9393-9,,S2_FAIL,,,
836,10.1016/j.ibusrev.2012.06.001,,S2_FAIL,,,
837,10.1016/j.ibusrev.2012.05.005,,S2_FAIL,,,
841,10.1007/s10290-012-0137-y,,S2_FAIL,,,
848,10.1080/09638199.2011.571702,,S2_FAIL,,,
853,10.1016/j.ijpe.2013.04.038,,S2_FAIL,,,
856,10.1016/j.jwb.2012.09.004,,S2_FAIL,,,
858,10.1016/j.worlddev.2013.05.018,,S2_FAIL,,,
860,10.1016/j.worlddev.2013.06.003,,S2_FAIL,,,
862,10.1007/s10734-013-9621-0,,S2_FAIL,,,
867,10.1016/j.jbusvent.2013.01.001,,S2_FAIL,,,
868,10.1080/10438599.2014.904540,,S2_FAIL,,,
875,10.1108/emjb-04-2013-0014,,S2_FAIL,,,
877,10.1108/mbe-05-2013-0032,,S2_FAIL,,,
880,10.1068/a4690,,S2_FAIL,,,
881,10.1504/ejim.2014.064902,,S2_FAIL,,,
884,10.1080/02102412.2014.910911,,S2_FAIL,,,
887,10.1108/imr-07-2012-0120,,S2_FAIL,,,
888,10.1016/j.jwb.2012.11.003,,S2_FAIL,,,
899,10.1007/s10290-013-0171-4,,S2_FAIL,,,
901,10.1504/ejim.2014.058494,,S2_FAIL,,,
904,10.1007/s10290-013-0162-5,,S2_FAIL,,,
907,10.1016/j.respol.2013.10.013,,S2_FAIL,,,
908,10.1007/s11575-013-0187-y,,S2_FAIL,,,
909,10.1016/j.ibusrev.2013.06.006,,S2_FAIL,,,
917,10.5465/amj.2011.0351,,S2_FAIL,,,
919,10.1016/j.jbusres.2013.04.006,,S2_FAIL,,,
928,10.1016/j.ijhm.2013.01.001,,S2_FAIL,,,
931,10.1177/0266242613503356,,S2_FAIL,,,
932,10.1111/jsbm.12031,,S2_FAIL,,,
935,10.1016/j.jbusres.2014.01.004,,S2_FAIL,,,
937,10.1016/j.ibusrev.2014.03.011,,S2_FAIL,,,
938,10.1016/j.ibusrev.2014.06.013,,S2_FAIL,,,
940,10.1007/s10490-014-9385-9,,S2_FAIL,,,
944,10.1002/9781118739044.ch6,,S2_FAIL,,,
947,10.1080/13691066.2015.1021031,,S2_FAIL,,,
951,10.1080/10438599.2014.924745,,S2_FAIL,,,
953,10.1108/cms-05-2013-0078,,S2_FAIL,,,
959,10.1057/jibs.2014.59,,S2_FAIL,,,
960,10.1111/jsbm.12059,,S2_FAIL,,,
961,10.1016/j.jjie.2014.08.001,,S2_FAIL,,,
962,10.1509/jim.14.0045,,S2_FAIL,,,
967,10.1007/s10843-014-0139-z,,S2_FAIL,,,
968,10.1007/s11747-014-0382-9,,S2_FAIL,,,
969,10.37610/dyo.v0i55.464,,S2_FAIL,,,
970,10.1016/j.spc.2015.06.002,,S2_FAIL,,,
971,10.1007/s11575-015-0240-0,,S2_FAIL,,,
973,10.1016/j.ibusrev.2014.08.006,,S2_FAIL,,,
974,10.1108/ijchm-08-2013-0342,,S2_FAIL,,,
979,10.1016/j.ribaf.2015.02.016,,S2_FAIL,,,
981,10.1080/00128775.2014.1004282,,S2_FAIL,,,
982,10.1007/s11079-014-9334-8,,S2_FAIL,,,
985,10.1016/j.chieco.2015.03.009,,S2_FAIL,,,
987,10.1016/j.ibusrev.2014.11.003,,S2_FAIL,,,
988,10.5755/j01.ee.26.3.6456,,S2_FAIL,,,
991,10.1080/00291951.2015.1040444,,S2_FAIL,,,
993,10.1177/0266242613508147,,S2_FAIL,,,
995,10.1007/s10551-014-2268-7,,S2_FAIL,,,
996,10.1057/jibs.2015.10,,S2_FAIL,,,
998,10.1111/etap.12105,,S2_FAIL,,,
1003,10.1080/13602381.2014.971639,,S2_FAIL,,,
1004,10.1111/jsbm.12111,,S2_FAIL,,,
1006,10.1080/13602381.2014.990211,,S2_FAIL,,,
1007,10.1080/13602381.2014.990209,,S2_FAIL,,,
1009,10.1080/13545701.2015.1029958,,S2_FAIL,,,
1015,10.1007/s13132-012-0143-2,,S2_FAIL,,,
1017,10.1007/s11575-015-0255-6,,S2_FAIL,,,
1021,10.5771/0949-6181-2016-4-406,,S2_FAIL,,,
1022,10.1080/14783363.2015.1075873,,S2_FAIL,,,
1026,10.5465/ambpp.2013.16801abstract,,S2_FAIL,,,
1030,10.1504/ijil.2016.073284,,S2_FAIL,,,
1031,10.1111/jsbm.12135,,S2_FAIL,,,
1035,10.1016/j.jclepro.2015.09.026,,S2_FAIL,,,
1037,10.1177/0266242614548931,,S2_FAIL,,,
1039,10.1016/j.foodpol.2015.10.001,,S2_FAIL,,,
1042,10.1007/s11079-015-9368-6,,S2_FAIL,,,
1043,10.1080/09638199.2015.1106575,,S2_FAIL,,,
1048,10.1007/s10842-015-0207-7,,S2_FAIL,,,
1049,10.7202/1036613ar,,S2_FAIL,,,
1050,10.1017/mor.2015.40,,S2_FAIL,,,
1051,10.2139/ssrn.2267967,,S2_FAIL,,,
1052,10.1016/j.jwb.2015.11.006,,S2_FAIL,,,
1054,10.1016/j.jwb.2015.05.001,,S2_FAIL,,,
1056,10.1016/j.ibusrev.2015.09.004,,S2_FAIL,,,
1057,10.1016/j.jwb.2015.11.004,,S2_FAIL,,,
1062,10.1016/j.jbusres.2015.10.144,,S2_FAIL,,,
1066,10.1016/j.jwb.2015.11.008,,S2_FAIL,,,
1068,10.1016/j.jcorpfin.2016.03.004,,S2_FAIL,,,
1071,10.1016/j.jbusres.2015.12.027,,S2_FAIL,,,
1075,10.1016/j.apmrv.2015.12.001,,S2_FAIL,,,
1078,10.1017/beq.2016.13,,S2_FAIL,,,
1080,10.1177/0263774x15619627,,S2_FAIL,,,
1082,10.1057/jibs.2016.20,,S2_FAIL,,,
1084,10.1016/j.ibusrev.2015.10.004,,S2_FAIL,,,
1085,10.1016/j.jbusres.2015.12.057,,S2_FAIL,,,
1086,10.1002/kpm.1503,,S2_FAIL,,,
1087,10.1080/13547860.2016.1176640,,S2_FAIL,,,
1088,10.1016/j.ibusrev.2015.10.006,,S2_FAIL,,,
1089,10.1016/j.ibusrev.2015.10.009,,S2_FAIL,,,
1093,10.1080/17487870.2015.1100083,,S2_FAIL,,,
1095,10.1111/jsbm.12236,,S2_FAIL,,,
1097,10.1016/j.worlddev.2016.05.007,,S2_FAIL,,,
1101,10.1016/j.jbusres.2016.04.083,,S2_FAIL,,,
1103,10.5465/ambpp.2016.12648abstract,,S2_FAIL,,,
1104,10.1016/j.jwb.2016.09.002,,S2_FAIL,,,
1105,10.1016/j.techfore.2016.07.023,,S2_FAIL,,,
1106,10.1080/13662716.2016.1208552,,S2_FAIL,,,
1109,10.1093/icc/dtw033,,S2_FAIL,,,
1114,10.2139/ssrn.2817642,,S2_FAIL,,,
1121,10.1016/j.techfore.2015.09.002,,S2_FAIL,,,
1123,10.1007/s11187-016-9781-2,,S2_FAIL,,,
1125,10.1016/j.ibusrev.2016.05.007,,S2_FAIL,,,
1126,10.1016/j.ibusrev.2016.06.005,,S2_FAIL,,,
1127,10.1093/cje/bew032,,S2_FAIL,,,
1130,10.1080/16081625.2016.1158658,,S2_FAIL,,,
1131,10.1007/s10490-015-9436-x,,S2_FAIL,,,
1136,10.1007/s12061-015-9169-8,,S2_FAIL,,,
1138,10.1111/boer.12076,,S2_FAIL,,,
1141,10.1057/s41267-016-0050-z,,S2_FAIL,,,
1142,10.1002/gsj.1153,,S2_FAIL,,,
1143,10.1016/j.jbusvent.2017.02.004,,S2_FAIL,,,
1144,10.1016/j.jdeveco.2016.12.003,,S2_FAIL,,,
1149,10.1016/j.indmarman.2016.12.001,,S2_FAIL,,,
1155,10.1016/j.ibusrev.2016.10.005,,S2_FAIL,,,
1156,10.37043/jura.2017.9.1.1,,S2_FAIL,,,
1157,10.1016/j.jwb.2016.08.007,,S2_FAIL,,,
1165,10.1016/j.worlddev.2017.04.006,,S2_FAIL,,,
1173,10.1007/s13132-015-0266-3,,S2_FAIL,,,
1174,10.1016/j.intman.2016.11.006,,S2_FAIL,,,
1175,10.1016/j.euroecorev.2017.07.011,,S2_FAIL,,,
1178,10.1007/s10843-016-0195-7,,S2_FAIL,,,
1188,10.1057/s41267-017-0105-9,,S2_FAIL,,,
1192,10.1007/s10490-016-9502-z,,S2_FAIL,,,
1193,10.1596/28933,,S2_FAIL,,,
1203,10.1016/j.ecosys.2017.08.002,,S2_FAIL,,,
1215,10.1080/19186444.2018.1436658,,S2_FAIL,,,
1224,10.1080/1540496x.2017.1369878,,S2_FAIL,,,
1225,10.1016/j.ibusrev.2018.01.008,,S2_FAIL,,,
1228,10.18559/ebr.2018.1.4,,S2_FAIL,,,
1230,10.1080/0965254x.2017.1293136,,S2_FAIL,,,
1231,10.1016/j.jwb.2018.04.001,,S2_FAIL,,,
1245,10.1080/13602381.2018.1531615,,S2_FAIL,,,
1246,10.1080/13602381.2018.1513624,,S2_FAIL,,,
1249,10.1057/s41291-018-0040-z,,S2_FAIL,,,
1253,10.1080/1540496x.2018.1447461,,S2_FAIL,,,
1257,10.1057/s41267-017-0138-0,,S2_FAIL,,,
1261,10.1007/s11575-018-0352-4,,S2_FAIL,,,
1267,10.1016/j.ijindorg.2018.08.001,,S2_FAIL,,,
1268,10.1057/978-1-137-58032-0_6,,S2_FAIL,,,
1271,10.1080/00036846.2018.1486998,,S2_FAIL,,,
