seq,title,decision,reason,has_abstract
188,Firm internationalization approaches and performance: the moderating role of the,UNSURE,auto:insufficient_evidence,N
189,How does corporate internationalization affect the link between social responsib,UNSURE,auto:insufficient_evidence,N
197,"Environmental, social and governance performance: Can and how it improve interna",UNSURE,auto:insufficient_evidence,N
201,Performance of cross-border acquirers from India and China: its sustainability i,UNSURE,auto:insufficient_evidence,N
211,Country of brand origin positioning and financial performance: effects on intern,UNSURE,auto:insufficient_evidence,N
212,Dynamic capability of the firm: analysis of the impact of internationalisation o,UNSURE,auto:insufficient_evidence,N
214,Role of imported raw materials in the performance of inward foreign direct inves,UNSURE,auto:insufficient_evidence,N
222,Learning-by-exporting vs. self-selection in Ecuadorian manufacturing firms: Evid,UNSURE,auto:insufficient_evidence,N
224,Outward FDI and productivity promotion of exporting firms: firm-level evidence f,UNSURE,auto:insufficient_evidence,N
226,Unbundling the Effects of Internationalization on Firm Performance in Emerging E,Y,auto_title:ip_explicit,N
228,Internationalization and Productivity of Construction Firms in a Developing Coun,UNSURE,auto:insufficient_evidence,N
234,The dual mechanism of social networks on the relationship between internationali,Y,auto_title:ip_explicit,N
247,Speed of internationalization and firm performance: the moderating role of poten,Y,auto_title:ip_explicit,N
252,Chinese multinationals' fast internationalization: Financial performance advanta,Y,auto_title:ip_explicit,N
253,Relationship between Internationalization and Financial Performance: Evidence fr,Y,auto_title:ip_explicit,N
263,"Internationalization speed, resources and performance: Evidence from Indian soft",UNSURE,auto:insufficient_evidence,N
266,Outward FDI and profitability of emerging economy firms: Diversifying from home ,UNSURE,auto:insufficient_evidence,N
267,Foreign direct investment productivity premium and foreign affiliates' heterogen,UNSURE,auto:insufficient_evidence,N
268,"R&D internationalization, product diversification and international performance ",UNSURE,auto:insufficient_evidence,N
269,The Relative Effects of Entrepreneurial Characteristics and Government Support o,UNSURE,auto:insufficient_evidence,N
286,Internationalization and Performance of Vietnamese Manufacturing Firms: Does Org,UNSURE,auto:insufficient_evidence,N
295,lInfluence of Chinese entrepreneurial companies' internationalization on indepen,UNSURE,auto:insufficient_evidence,N
299,Internationalization and innovation performance of emerging market enterprises: ,UNSURE,auto:insufficient_evidence,N
301,EO-Performance relationships in Reverse Internationalization by Chinese Global S,UNSURE,auto:insufficient_evidence,N
303,"Founding Environment, Inward Internationalization, and Firm Performance: Evidenc",Y,auto_title:ip_explicit,N
308,Export marketing assistance and early internationalizing firm performance Does e,UNSURE,auto:insufficient_evidence,N
313,Internationalization and Performance of Chinese Family Firms: The Moderating Rol,UNSURE,auto:insufficient_evidence,N
320,Chinese Outward Foreign Direct Investment Performance: The Role of Learning,UNSURE,auto:insufficient_evidence,N
325,Internationalization and Performance of Firms in China: Moderating Effects of Go,UNSURE,auto:insufficient_evidence,N
342,Internationalization and Company Performance: A Study of Emerging Russian Multin,UNSURE,auto:insufficient_evidence,N
344,"Subsidiary size, internationalization, product diversification, and performance ",UNSURE,auto:insufficient_evidence,N
475,A Patulous Progress: International Entrepreneurship Effects on Chinese Born-Glob,UNSURE,auto:insufficient_evidence,Y
24,Intellectual capital and new ventures early internationalization: Firm-level ana,UNSURE,auto:insufficient_evidence,N
48,Internationalizing the Coopetition Construct: Quadratic Effects on Financial Per,UNSURE,auto:insufficient_evidence,N
60,When strategic consensus matters: dynamic managerial capabilities and firm inter,UNSURE,auto:insufficient_evidence,N
61,"Strategic decision-making processes, international environmental munificence and",UNSURE,auto:insufficient_evidence,N
67,The impact of SME internationalization on innovation: The mediating role of mark,UNSURE,auto:insufficient_evidence,N
73,BUSINESS PERFORMANCE MANAGEMENT AND FDI: KEY DIFFERENCES BETWEEN FOREIGN AND DOM,UNSURE,auto:insufficient_evidence,N
82,Local Externalities and Firm Internationalisation,UNSURE,auto:insufficient_evidence,N
90,How does the geographic export diversification-performance relationship vary at ,UNSURE,auto:insufficient_evidence,N
97,INTERNATIONALISATION OF SMES AND SIMULTANEOUS STRATEGIES OF COOPERATION AND COMP,UNSURE,auto:insufficient_evidence,N
117,Strategic capability configurations for the internationalization of SMEs: A stud,UNSURE,auto:insufficient_evidence,N
123,"Export propensity, export intensity and firm performance: The role of the entrep",Y,auto_title:ip_explicit,N
127,A longitudinal study of the relationship between export activity and innovation ,UNSURE,auto:insufficient_evidence,N
130,Do Export Status and Export Intensity Increase Firm Performance?,Y,auto_title:ip_explicit,N
137,Export behavior and productivity growth: Evidence from Italian manufacturing fir,UNSURE,auto:insufficient_evidence,N
175,Configuring international entrepreneurial orientation and dynamic internationali,UNSURE,auto:insufficient_evidence,N
192,The Performance of Decision-Making Strategies in SME Internationalization: The R,UNSURE,auto:insufficient_evidence,N
200,The role of internationalisation in moderating the impact of ESG disclosure on f,UNSURE,auto:insufficient_evidence,N
202,The Role of Digitalization in Cross-Border E-Commerce Performance of Italian SME,UNSURE,auto:insufficient_evidence,N
206,Firm productivity and manufacturing exports in transition economies: An institut,UNSURE,auto:insufficient_evidence,N
210,"Outward Foreign Direct Investment, Restructuring and Performance Upgrading: Firm",UNSURE,auto:insufficient_evidence,N
233,Network cooperation and economic performance of SMEs: Direct and mediating impac,UNSURE,auto:insufficient_evidence,N
256,Trade Shows and SME Internationalisation: Networking for Performance,UNSURE,auto:insufficient_evidence,N
275,"From domestic to exporter, what happens? Evidence for Spanish manufacturing firm",UNSURE,auto:insufficient_evidence,N
276,Inward FDI and Skilled Labour Force in Veneto Industrial Districts,UNSURE,auto:insufficient_evidence,N
285,Internationalization as a driver of the corporate social performance of extracti,UNSURE,auto_title:non_financial_performance,N
289,"Innovation, environmental commitment, internationalization and sustainability: A",UNSURE,auto:insufficient_evidence,N
300,"International intensity, diversity, and distance: Unpacking the internationaliza",UNSURE,auto:insufficient_evidence,N
305,Exports-R&D investment complementarity and economic performance of firms located,UNSURE,auto:insufficient_evidence,N
314,When over internationalized companies reduce their international footprint,UNSURE,auto:insufficient_evidence,N
316,Internationalization and Performance Outcomes of Entrepreneurial Family SMEs: Th,UNSURE,auto:insufficient_evidence,N
319,How do managers decide on internationalization processes? The role of organizati,UNSURE,auto:insufficient_evidence,N
322,"Facing global economic crisis: Foreign sales, ownership groups, and corporate va",UNSURE,auto:insufficient_evidence,N
324,Internationalization and firm performance of SMEs: The moderating effects of CEO,Y,auto_title:ip_explicit,N
337,National Export-Promotion Programs as Drivers of Organizational Resources and Ca,UNSURE,auto:insufficient_evidence,N
339,"Size, innovation and internationalization: a survival analysis of Italian firms",UNSURE,auto:insufficient_evidence,N
492,Influence of MNC Network Configuration Patterns on the Volatility of Firm Perfor,UNSURE,auto:insufficient_evidence,N
531,Internationalisation of upper echelons in different institutional contexts: top ,UNSURE,auto:insufficient_evidence,Y
250,The post-acquisition performance of cross-border mergers and acquisitions conduc,UNSURE,auto:insufficient_evidence,N
53,"Effects of Export Orientation, Exchange Rates and Leverage on Firm Productivity:",UNSURE,auto:insufficient_evidence,N
352,Are Foreign Firms More Productive and Export- and Technology-intensive than Loca,UNSURE,auto:insufficient_evidence,N
181,The Impact of Internationalization on Firm Performance of High-Tech Companies in,Y,auto_title:ip_explicit,N
241,The effect of industry-specific networking behaviour on the internationalization,UNSURE,auto:insufficient_evidence,N
312,Performance management in Polish companies internationalizing their market activ,UNSURE,auto:insufficient_evidence,N
327,"Exploring links between cooperation, internationalization and profitability: a s",UNSURE,auto:insufficient_evidence,N
335,Internationalisation and Economic Performance of Enterprises: Evidence from Poli,UNSURE,auto:insufficient_evidence,N
340,The influence of international networks on internationalization speed and perfor,UNSURE,auto:insufficient_evidence,N
3,Gender Differences in Enterprise Export Performance: Some International Evidence,UNSURE,auto:insufficient_evidence,N
7,"The Moderating Effect of Multinationality on Environmental, Social, and Governan",UNSURE,auto:insufficient_evidence,N
13,Climbing the Global Value Chain: The Role of Cross-Border E-Commerce in SME Inte,UNSURE,auto:insufficient_evidence,N
15,SME Internationalization: Can SMEs Overcome Liabilities of Foreignness and Small,UNSURE,auto:insufficient_evidence,N
17,"Digital Capabilities, Their Role in Business Model Innovativeness, and the Inter",UNSURE,auto:insufficient_evidence,N
19,"Foreign market involvement, entry-mode learning potential and SME internationali",UNSURE,auto:insufficient_evidence,N
21,The Influence of Perceived Macro Environment on the Competitiveness of Internati,UNSURE,auto:insufficient_evidence,N
28,Configuring foreign market knowledge and opportunity recognition capabilities to,UNSURE,auto:insufficient_evidence,N
30,The inefficiency of exporting SMEs: Evidence from manufacturing industry,UNSURE,auto:insufficient_evidence,N
31,Joining and exiting the value chain of foreign multinationals and performance of,UNSURE,auto:insufficient_evidence,N
36,Economies of Scale: The Rationale Behind the Multinationality-Performance Enigma,UNSURE,auto:insufficient_evidence,N
47,"Resource indivisibility, lumpy costs and the multinationality-performance relati",UNSURE,auto:insufficient_evidence,N
50,Adoption and optimal configuration of smart products: The role of firm internati,UNSURE,auto:insufficient_evidence,N
54,"Does it pay to be a multinational? A large-sample, cross-national replication as",UNSURE,auto:insufficient_evidence,N
55,"Global sourcing, productivity and export intensity",UNSURE,auto:insufficient_evidence,N
59,Enjoying or refraining from risk? The impact of implicit need for achievement an,UNSURE,auto:insufficient_evidence,N
62,Internationalization and firm default risk: The roles of environmental dynamism ,UNSURE,auto:insufficient_evidence,N
66,Microfoundations of firm internationalization: The owner CEO effect,UNSURE,auto:insufficient_evidence,N
71,Alphabet soup: the relationship between multinationality and firm performance,Y,auto_title:ip_explicit,N
74,How firm internationalization is recognized by outsiders: The response of financ,UNSURE,auto:insufficient_evidence,N
78,The relationship between multinationality and performance: Knowledge-intensive v,UNSURE,auto:insufficient_evidence,N
81,Bank Internationalization and Firm Exports: Evidence from Matched Firm-Bank Data,UNSURE,auto:insufficient_evidence,N
91,Home Country Institutional Effects on the Multinationality-Performance Relations,UNSURE,auto:insufficient_evidence,N
101,DO EXPORT MARKETS SELECT THE MOST INNOVATIVE PRODUCERS? THE MODERATING ROLE OF P,UNSURE,auto:insufficient_evidence,N
106,FDI from emerging markets and the productivity gap An analysis on affiliates of ,UNSURE,auto:insufficient_evidence,N
108,The impact of multinationality on firm value: A comparative analysis of machine ,UNSURE,auto:insufficient_evidence,N
114,Information management for the internationalization of SMEs: An exploratory stud,UNSURE,auto:insufficient_evidence,N
115,Performance implications of multinationality: moderating role of foreign market ,UNSURE,auto:insufficient_evidence,N
134,Does the regional nature of multinationals affect the multinationality and perfo,UNSURE,auto:insufficient_evidence,N
135,Triple-testing the quality of multinationality-performance research: An internal,UNSURE,auto:insufficient_evidence,N
136,Internationalization of retail banks: A micro-level study of the multinationalit,UNSURE,auto:insufficient_evidence,N
161,Non-Home-Base Internationalization and Firm Performance in the Hospitality Indus,Y,auto_title:ip_explicit,N
163,Internationalization channels and firm financial performance among Asia-Pacific ,Y,auto_title:ip_explicit,N
164,The impact of the internationalization strategy of MNEs on innovation performanc,UNSURE,auto:insufficient_evidence,N
165,"ESG as a Context-Contingent Capability: Competitive Intensity, Internationalizat",UNSURE,auto:insufficient_evidence,N
166,"Supply chain finance participation and outward FDI: The roles of productivity, f",UNSURE,auto:insufficient_evidence,N
167,Navigating global waters: performance outcomes of internationalization in family,UNSURE,auto:insufficient_evidence,N
168,Product innovation strategy and firm performance: Novelty and internationalizati,Y,auto_title:ip_explicit,N
170,Non-linear Effects of Advertising Spending on Firm Performance: A Fixed-effects ,UNSURE,auto:insufficient_evidence,N
173,"Digital Transformation, Internationalisation and ESG Performance of Multinationa",UNSURE,auto:insufficient_evidence,N
180,"Financial performance shortfalls, innovation performance shortfalls and returnee",UNSURE,auto:insufficient_evidence,N
183,"Open innovation, market orientation, intellectual capital readiness and higher e",UNSURE,auto:insufficient_evidence,N
184,Foreign direct investment strategies and corporate social performance in emergin,UNSURE,auto:insufficient_evidence,N
185,RMB internationalization and firms' total factor productivity-micro-analysis bas,UNSURE,auto:insufficient_evidence,N
190,The impact of degree of internationalization of MNEs on green innovation perform,UNSURE,auto:insufficient_evidence,N
191,The internationalization and performance of INVs: Liability or learning advantag,UNSURE,auto:insufficient_evidence,N
193,Effects of female CEO and female CFO on internationalization and firm performanc,Y,auto_title:ip_explicit,N
195,Internationalization and individual firm performance: a resource-based view,Y,auto_title:ip_explicit,N
196,Analysis the nexus between internationalization and financial performance in win,Y,auto_title:ip_explicit,N
198,Role of resource investment management and strategic resource deployment capabil,UNSURE,auto:insufficient_evidence,N
203,The impact of global city location intensity on MNE performance: Leveraging lear,UNSURE,auto:insufficient_evidence,N
204,Earnings quality of multinational corporations: Evidence from Latin America befo,UNSURE,auto:insufficient_evidence,N
207,"The impact of female chief executive officers, ownership, and globalization on A",UNSURE,auto:insufficient_evidence,N
208,Home country adverse political shocks and cross-border mergers and acquisitions ,UNSURE,auto:insufficient_evidence,N
215,CSR drivers of fashion SMEs and performance: the role of internationalization,UNSURE,auto:insufficient_evidence,N
216,Degree of internationalisation and firm performance: the flattening role of orga,Y,auto_title:ip_explicit,N
218,"Dancing with Giants: A Unified Framework for Cooperation Networks, Speed of Inte",UNSURE,auto:insufficient_evidence,N
219,Internationalization and firm performance: moderating role of multi-stakeholder ,Y,auto_title:ip_explicit,N
220,Internationalization and digitalization: Their differing role on grocer and non-,UNSURE,auto:insufficient_evidence,N
225,How learning orientation drives the international performance of INVs: the roles,UNSURE,auto:insufficient_evidence,N
227,Does internationalization strategy promote enterprise innovation performance?-Th,UNSURE,auto:insufficient_evidence,N
229,Internationalisation and performance in family businesses: influence of the inte,UNSURE,auto:insufficient_evidence,N
230,Moderating Effects of Internationalization between Corporate Social Responsibili,UNSURE,auto:insufficient_evidence,N
231,The effects of performance shortfalls on firms' exploitation and exploration R&D,UNSURE,auto:insufficient_evidence,N
232,Internationalisation as a stimulus for SME innovation in developing economies: C,UNSURE,auto:insufficient_evidence,N
235,Business environment distance and innovation performance of EMNEs: The mediating,UNSURE,auto:insufficient_evidence,N
236,Dynamic customer-oriented relational capabilities: how do they impact internatio,UNSURE,auto:insufficient_evidence,N
237,Taking the international route: Investigating the impact of socioemotional wealt,Y,auto_title:ip_explicit,N
243,The role of internationalization in entrepreneurial orientation-performance link,UNSURE,auto:insufficient_evidence,N
244,R&D internationalization and firm productivity. Does the host country matter?,UNSURE,auto:insufficient_evidence,N
245,Pre-Internationalization and Performance Conditions of First-Time Exporting SMEs,UNSURE,auto:insufficient_evidence,N
248,Productivity effects of internationalisation through the domestic supply chain,UNSURE,auto:insufficient_evidence,N
249,Globalisation: blessing or curse? Evidence from the insurance industry,UNSURE,auto:insufficient_evidence,N
251,Taking social responsibilities overseas? The learning paths and performance cons,UNSURE,auto:insufficient_evidence,N
254,Service innovation and internationalization in SMEs: antecedents and profitabili,UNSURE,auto:insufficient_evidence,N
255,THE ACTUAL LEVEL OF INTERNATIONALIZATION OF ALBANIAN SMES AND THE MEASURE OF THE,UNSURE,auto:insufficient_evidence,N
257,The impact of the amount of environmental information disclosure on financial pe,UNSURE,auto:insufficient_evidence,N
258,"Founder ethnic composition, early internationalization, and new venture performa",UNSURE,auto:insufficient_evidence,N
259,Competitive strategies and international new ventures' performance: Exploring th,UNSURE,auto:insufficient_evidence,N
260,Reaching up and reaching out: The impact of competition on firms' productivity a,UNSURE,auto:insufficient_evidence,N
261,Host country institutional diversity and MNE performance persistence,UNSURE,auto:insufficient_evidence,N
262,The interplay between exports and technological collaborations: effects on SME g,UNSURE,auto:insufficient_evidence,N
264,Internationalization of exploitation alliance portfolios and firm performance,UNSURE,auto:insufficient_evidence,N
271,Effectiveness of Export Support Programs: Impact on the Relational Capital and I,UNSURE,auto:insufficient_evidence,N
272,Internationalization and hotel performance: Agglomeration-related moderators,UNSURE,auto:insufficient_evidence,N
273,Does persistence in internationalization and innovation influence firms' perform,Y,auto_title:ip_explicit,N
278,Firm Performance among Internationalized SMEs: The Interplay of Market Orientati,UNSURE,auto:insufficient_evidence,N
284,Internationalization and economic performance: The mediating role of eco-innovat,UNSURE,auto:insufficient_evidence,N
287,Improvement of Operational performance of Internationalized Companies through Co,UNSURE,auto:insufficient_evidence,N
288,"Labor market imperfections, markups and productivity in multinationals and expor",UNSURE,auto:insufficient_evidence,N
290,'Misfits' DO try to fit: Deviations from firm-specific optimal multinationality ,UNSURE,auto:insufficient_evidence,N
291,"Too Slow or Too Fast? Speed of FDI Expansions, Industry Globalization, and Firm ",UNSURE,auto:insufficient_evidence,N
292,The Role of Cluster Presence and Quality Certification in Internationalization a,UNSURE,auto:insufficient_evidence,N
294,Performance Impact of Temporal Strategic Fit: Entrainment of Internationalizatio,UNSURE,auto:insufficient_evidence,N
296,Where to Seek Strategic Assets for Competitive Catch-up? A configurational study,UNSURE,auto:insufficient_evidence,N
297,"Efficiency, internationalization and market positioning in textiles fast fashion",UNSURE,auto:insufficient_evidence,N
304,"The human factor: Investments in employee human capital, productivity, and SME i",UNSURE,auto:insufficient_evidence,N
306,Multilocalisation and the Growth of Knowledge Assets in Medium-Sized Multination,UNSURE,auto:insufficient_evidence,N
307,Service innovation and internationalization in SMEs: Implications for growth and,UNSURE,auto:insufficient_evidence,N
309,Firm factors that influence internationalisation and subsequent financial perfor,Y,auto_title:ip_explicit,N
310,"Internationalisation, cultural distance and country characteristics: a Bayesian ",UNSURE,auto:insufficient_evidence,N
311,The moderating effect of exploitative and exploratory learning on internationali,UNSURE,auto:insufficient_evidence,N
317,How do resources and diversification strategy explain the performance consequenc,UNSURE,auto:insufficient_evidence,N
318,Should I stay or should I go? Bank productivity and internationalization decisio,UNSURE,auto:insufficient_evidence,N
321,"Globalisation, industrial diversification and productivity growth in large Europ",UNSURE,auto:insufficient_evidence,N
323,"EMPLOYEE PRODUCTIVITY, EMPLOYMENT GROWTH, AND THE CROSS-BORDER ACQUISITIONS BY E",UNSURE,auto:insufficient_evidence,N
326,"BUSINESS GROUP AFFILIATION, INNOVATION, INTERNATIONALIZATION, AND PERFORMANCE: A",UNSURE,auto:insufficient_evidence,N
330,Internationalization and the IPO performance of new ventures,UNSURE,auto:insufficient_evidence,N
331,The Total Factor Productivity Gap between Internationalised and Domestic Firms: ,UNSURE,auto:insufficient_evidence,N
332,"Early internationalization and performance of small high-tech ""born-globals""",UNSURE,auto:insufficient_evidence,N
334,PRO-MARKET REFORMS AND DEVELOPING COUNTRY MULTINATIONAL CORPORATIONS,UNSURE,auto:insufficient_evidence,N
338,Internationalization of new ventures: tests of growth and survival,UNSURE,auto:insufficient_evidence,N
341,"Internationalization, Performance and Volatility: The World Largest Financial Gr",UNSURE,auto:insufficient_evidence,N
346,Exports and Productivity Growth: First Evidence from a Continuous Treatment Appr,UNSURE,auto:insufficient_evidence,N
347,INTERNATIONALIZATION AND PERFORMANCE: THE MODERATING ROLE OF STRATEGIC FIT,UNSURE,auto:insufficient_evidence,N
349,"Performance, internationalization, and firm-specific advantages of SMEs in a new",UNSURE,auto:insufficient_evidence,N
353,International learning: antecedents and performance implications among newly int,UNSURE,auto:insufficient_evidence,N
354,Firms' productivity and internationalization: a statistical dominance test,UNSURE,auto:insufficient_evidence,N
355,"Pace, rhythm, and scope: Process dependence in building a profitable multination",UNSURE,auto:insufficient_evidence,N
467,"External environment and internal dynamics of ""born global"": strategic and opera",UNSURE,auto:insufficient_evidence,Y
478,Take your time: Examining when green innovation affects financial performance in,UNSURE,auto:insufficient_evidence,N
488,"Learning across geographic space: Pro-market reforms, multinationalization strat",Y,auto_title:ip_explicit,N
532,"Political strategies, entrepreneurial overconfidence and foreign direct investme",UNSURE,auto:insufficient_evidence,N
209,Internationalization and Organizational Resilience to COVID-19 Crisis: The Moder,UNSURE,auto:insufficient_evidence,N
223,Promoting the International Competitiveness of Small and Medium-Sized Enterprise,UNSURE,auto:insufficient_evidence,N
238,"Internationalization, foreign exchange exposure and firm risk",UNSURE,auto:insufficient_evidence,N
274,Shareholder wealth effects of cultural diversity among blockholders: Evidence fr,UNSURE,auto:insufficient_evidence,N
315,Efficiency and exports: Evidence from Southern European companies,UNSURE,auto:insufficient_evidence,N
343,The export-growth relationship: estimating a dose-response function,UNSURE,auto:insufficient_evidence,N
534,Organizational learning in SMEs? internationalization: A moderated mediating eff,UNSURE,auto:insufficient_evidence,N
145,Spatial relativism in multinationality and performance research,UNSURE,auto:insufficient_evidence,N
149,"Environmental Impact, Export Intensity, and Productivity Interactions: An Empiri",UNSURE,auto:insufficient_evidence,N
154,A Study on the Relationship between Multinationality and Performance among Korea,UNSURE,auto:insufficient_evidence,N
156,"Multinationality, R&D Intensity, and Firm Performance: Evidence from U.S. Manufa",UNSURE,auto:insufficient_evidence,N
367,The Synergy Effect of Internationalization and R&D Intensity on Firm Performance,Y,auto_title:ip_explicit,N
368,Productivity Improvements Triggered by Robotization and Internationalization Pro,UNSURE,auto:insufficient_evidence,N
371,Exports and firm growth: the moderating effect of innovation,UNSURE,auto:insufficient_evidence,N
372,Antecedents to firm performance during re-internationalization,Y,auto_title:ip_explicit,N
386,International Experts' Influence on Company Internationalization,UNSURE,auto:insufficient_evidence,N
400,"Exploring the Relationship Between Internationalization Stage, Innovation, and P",UNSURE,auto:insufficient_evidence,N
401,Internationalization and performance: the role of depth and breadth,UNSURE,auto:insufficient_evidence,N
408,Internationalization choices and Italian firm performance during the crisis,Y,auto_title:ip_explicit,N
