seq,title,url,status,note,filename
2175,Linking Dynamic Capabilities to Export Performance in Africa,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.70001,SKIP_UNSUPPORTED,kind=other,
2246,Ceasing Export Activities: A Dynamic Analysis of Pre-Exit Fi,https://www.mdpi.com/2078-2489/17/1/45/pdf?version=1767522743,SKIP_UNSUPPORTED,kind=other,
2288,Being (Not) Successful in Internationalisation After Receivi,https://www.mdpi.com/2078-2489/16/7/544/pdf?version=1751004560,SKIP_UNSUPPORTED,kind=other,
2304,Mediating role of competitiveness between process innovation,http://onlineacademicpress.com/index.php/IJAEFA/article/download/1362/854,SKIP_UNSUPPORTED,kind=other,
2316,How does Internationalisation affect the productivity of R&D,https://link.springer.com/content/pdf/10.1007/s11135-022-01391-z.pdf,OK,ok_1738kb,2316_2023.pdf
2342,A Strategy for the Growth and Internationalization of Compan,https://jastt.org/index.php/jasttpath/article/download/133/43,SKIP_UNSUPPORTED,kind=other,
2350,The role of family firms' heterogeneity on the international,https://revistas.uma.es/index.php/ejfb/article/download/10591/14080,SKIP_UNSUPPORTED,kind=other,
2389,Internationalization patterns and their effects on company p,http://bibliotecadigital.fgv.br/ojs/index.php/joscm/article/download/72200/pdf_5,SKIP_UNSUPPORTED,kind=other,
2394,"Financial assistance, marketing assistance and export commit",https://www.ersj.eu/journal/1104/download,SKIP_UNSUPPORTED,kind=other,
2411,Interconnecting financial performance and internationalizati,https://www.scielo.br/j/rem/a/8HV6CWghLbvqwgvYVNLrSwP/?lang=en&format=pdf,SKIP_UNSUPPORTED,kind=other,
2450,Multinationality and the performance of IPOs,https://www.research.manchester.ac.uk/portal/en/publications/multinationality-an,SKIP_UNSUPPORTED,kind=other,
2470,Research notes and commentaries the performance implications,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/smj.855,SKIP_UNSUPPORTED,kind=other,
481,"Foreign currency borrowing, exports and firm performance: ev",http://eprints.nottingham.ac.uk/48843/,FAIL,tried 5 URLs,
468,"Survey data on organizational resources and capabilities, ex",https://doi.org/10.1016/j.dib.2023.109112,SKIP_UNSUPPORTED,kind=other,
476,Do Export Activities Improve Small Firm Performance? Evidenc,https://doi.org/10.21002/seam.v14i2.11771,SKIP_UNSUPPORTED,kind=other,
528,The role of international institutional complexity on emergi,https://repository.ceibs.cn/en/publications/add6d7d2-97c9-4ec8-849b-8312a02d9b15,SKIP_UNSUPPORTED,kind=other,
694,The returns to exporting: evidence from UK firms,https://doi.org/10.2139/ssrn.959408,FAIL,tried 1 URLs,
730,The impact of international influence on microbanks' perform,https://hal.science/hal-05220848,FAIL,tried 1 URLs,
840,Using export market performance to evaluate regional prefere,https://lirias.kuleuven.be/handle/123456789/360421,FAIL,tried 5 URLs,
845,The effect of institutional quality on firm export performan,http://hdl.handle.net/10.1007/s11187-011-9395-7,SKIP_UNSUPPORTED,kind=other,
920,Spillovers through backward linkages and the export performa,http://hdl.handle.net/10278/3683336,SKIP_UNSUPPORTED,kind=other,
1061,"Interrelationship among foreign presence, domestic sales and",https://researchonline.jcu.edu.au/44055/11/44055%20Sun%20et%20al%202016.pdf,OK,ok_401kb,1061_2016.pdf
1147,International diversification and firm's value: evidence fro,http://psasir.upm.edu.my/id/eprint/34238/1/International%20diversification%20and,OK,ok_47kb,1147_2016.pdf
1161,"Information Technology, Revenues, and Profits: Exploring the",https://figshare.com/articles/journal_contribution/Information_technology_revenu,OK,ok_328kb,1161_2017.pdf
1177,The impact of within-country and within-firm factors on Japa,https://www.emeraldinsight.com/doi/pdfplus/10.1108/APJBA-12-2016-0113,SKIP_UNSUPPORTED,kind=other,
1204,The great trade collapse and the Spanish export miracle: Fir,https://www.econstor.eu/bitstream/10419/118601/1/826814786.pdf,FAIL,tried 1 URLs,
1236,Firm Heterogeneity and Performance in a Turbulent Economic E,http://eprints.whiterose.ac.uk/124794/7/EMR%202FULL.pdf,OK,ok_436kb,1236_2018.pdf
1383,Internationalization of Chinese banking and financial instit,https://figshare.com/articles/journal_contribution/Internationalization_of_Chine,FAIL,tried 0 URLs,
1425,Impacts of dynamic managerial capability and international o,http://shura.shu.ac.uk/25047/9/Mostafiz-ImpactsDynamicManagerial%28AM%29.pdf,OK,ok_381kb,1425_2019.pdf
1478,"Family involvement, internationalisation and performance: An",https://rua.ua.es/dspace/bitstream/10045/102150/5/2020_Rienda_etal_JHospitalityT,FAIL,tried 1 URLs,
1638,"Risk management, legitimacy, and the overseas subsidiary per",https://linkinghub.elsevier.com/retrieve/pii/S0969593120300779,SKIP_UNSUPPORTED,kind=other,
1714,Benefitting from Investment Abroad? Evidence from Indian Man,https://doi.org/10.1016/j.aglobe.2021.100022,SKIP_UNSUPPORTED,kind=other,
1721,Eyes open and hands on: market knowledge and marketing capab,http://nrl.northumbria.ac.uk/id/eprint/48154/1/Full%20Paper_October-11-2021%20IM,FAIL,tried 1 URLs,
1887,Immigrant and native's export benefiting from business colla,https://research.wur.nl/en/publications/immigrant-and-natives-export-benefiting-,SKIP_UNSUPPORTED,kind=other,
1967,Multinational enterprises and local firms' export market ent,https://research.cbs.dk/en/publications/ddc66410-3e36-416e-bfb0-ef93453ec1a7,SKIP_UNSUPPORTED,kind=other,
1981,Euro adoption and intra-European Union exporters' productivi,https://doi.org/10.1016/j.iedeen.2023.100226,SKIP_UNSUPPORTED,kind=other,
2025,Does industry experience positively moderate the quadratic r,https://figshare.com/articles/journal_contribution/Does_industry_experience_posi,OK,ok_507kb,2025_2023.pdf
2046,Generous to a fault: Differential impact of CSR investments ,https://doi.org/10.1016/j.intman.2024.101142,SKIP_UNSUPPORTED,kind=other,
2128,The curvilinear relationship between digitalization and expo,https://doi.org/10.1016/j.techfore.2025.124043,SKIP_UNSUPPORTED,kind=other,
2141,Does being embedded in RTA networks promote firm productivit,https://doi.org/10.1016/j.iref.2025.103973,SKIP_UNSUPPORTED,kind=other,
2179,A firm-level analysis of the impact of foreign direct invest,https://doi.org/10.1016/j.tncr.2025.200126,SKIP_UNSUPPORTED,kind=other,
2235,Corporate Foreign Exchange Risk in India: Firm-level Evidenc,https://doi.org/10.1177/00252921251401022,SKIP_UNSUPPORTED,kind=other,
2248,Digital orientation and performance in innovative SMEs: expl,https://doi.org/10.1016/j.technovation.2026.103478,SKIP_UNSUPPORTED,kind=other,
2252,Technology-Enabled Cross-Border Entrepreneurship: The Role o,https://doi.org/10.1002/tie.70093,SKIP_UNSUPPORTED,kind=other,
2276,The carbon cost of export-oriented growth: Firm-level eviden,https://doi.org/10.1016/j.esr.2026.102215,SKIP_UNSUPPORTED,kind=other,
2280,Corporate performance effects of digital empowerment under t,https://doi.org/10.1016/j.iref.2026.105315,SKIP_UNSUPPORTED,kind=other,
2285,"Robots, Firms, and Regions: Explaining Spanish Manufacturing",https://doi.org/10.1007/s13132-026-03261-7,SKIP_UNSUPPORTED,kind=other,
2332,Performance feedback and export intensity of Chinese private,https://audencia.hal.science/hal-03628381,FAIL,tried 1 URLs,
2358,"International experience, commitment, distribution adaptatio",https://figshare.com/articles/journal_contribution/International_experience_comm,OK,ok_514kb,2358_2020.pdf
2423,Do Foreign Firms in China Incur a Liability of Foreignness? ,https://espace.curtin.edu.au/bitstream/20.500.11937/33253/2/193747_193747.pdf,FAIL,tried 1 URLs,
2515,"Entry, expansion, and intensity in the US export boom, 1987-",https://www2.census.gov/ces/wp/2001/CES-WP-01-09.pdf,OK,ok_185kb,2515_2004.pdf
2523,"Exports, returns to scale, and total factor productivity: Th",https://papers.ssrn.com/sol3/Delivery.cfm/rode_186.pdf?abstractid=411192&mirid=1,FAIL,tried 1 URLs,
2533,Foreign capital and economic development in Hungary,http://real.mtak.hu/47193/1/aoecon.51.2000-2001.3.4.pdf,OK,ok_98kb,2533_2000.pdf
472,Export status and SME productivity: Learning-to-export versu,https://eprints.whiterose.ac.uk/171181/1/Gkypali%20Love%20and%20Roper%20final.pd,OK,ok_529kb,472_2021.pdf
474,Exploring the exporting-downsizing link: Does the type of ex,http://hdl.handle.net/10016/33635,SKIP_UNSUPPORTED,kind=other,
579,Internationalization of private firms: environmental turbule,https://durham-repository.worktribe.com/output/1540608,SKIP_UNSUPPORTED,kind=other,
750,Linking market orientation to international market selection,https://core.ac.uk/display/41381651,SKIP_UNSUPPORTED,kind=other,
764,"Organisational learning capability, product innovation perfo",http://hdl.handle.net/10234/63772,SKIP_UNSUPPORTED,kind=other,
824,Geographic and Product Diversification in Charitable Organiz,http://hdl.handle.net/10397/9393,SKIP_UNSUPPORTED,kind=other,
1012,"Foreign market experience, learning by hiring and firm expor",http://www.mtk.ut.ee/sites/default/files/mtk/RePEc/mtk/febpdf/febawb95.pdf,FAIL,tried 1 URLs,
1091,"Capital investment, internationalization, and firm performan",https://doi.org/10.2139/ssrn.2703930,SKIP_UNSUPPORTED,kind=other,
1199,Examining drivers of e-commerce marketing capabilities and t,https://doi.org/10.29042/2017-2141-2149,SKIP_UNSUPPORTED,kind=other,
1260,International diversification and firm performance in the po,http://repository.essex.ac.uk/21647/1/JBR%20paper%202nd%20RR%20final-proofread-1,OK,ok_207kb,1260_2018.pdf
1350,Human capital and exports: A micro-level analysis of transit,https://pureportal.coventry.ac.uk/en/publications/c33741c0-b5b1-4ff5-aa87-07ab0a,SKIP_UNSUPPORTED,kind=other,
1539,The Effect of Internationalization on Firm Performance: A Mo,https://scholarsphere.psu.edu/resources/2823e7e9-6fc8-4b2b-b558-382c78654183,SKIP_UNSUPPORTED,kind=other,
1679,Environmental commitment and innovation as catalysts for exp,http://hdl.handle.net/2436/624311,SKIP_UNSUPPORTED,kind=other,
1706,Exporting by Private Equity-Backed Portfolio Companies,https://eprints.whiterose.ac.uk/179658/3/R%26R4_Manuscript_finala.pdf,OK,ok_588kb,1706_2022.pdf
1719,Home-market economic development as a moderator of the self-,https://research.birmingham.ac.uk/en/publications/c5ffabba-ec7c-4ef1-94d9-4ba999,SKIP_UNSUPPORTED,kind=other,
1776,When does export customer responsiveness strategy contribute,https://figshare.com/articles/journal_contribution/When_does_export_customer_res,OK,ok_908kb,1776_2023.pdf
1882,Unpacking the relationship between post-entry speed of inter,https://doi.org/10.1016/j.intman.2022.100982,SKIP_UNSUPPORTED,kind=other,
1935,"Digitalization, internationalization, and firm performance: ",https://doi.org/10.1016/j.ibusrev.2023.102135,SKIP_UNSUPPORTED,kind=other,
1964,The interplay of international alliance and subsidiary portf,https://www.sciencedirect.com/science/article/am/pii/S1090951623000755,SKIP_UNSUPPORTED,kind=other,
1966,"Firm certification and export performance: the case of the """,https://hdl.handle.net/11328/5197,SKIP_UNSUPPORTED,kind=other,
1982,A clean road to international trade: Environmental regulatio,http://dx.doi.org/10.2139/ssrn.4484472,SKIP_UNSUPPORTED,kind=other,
2056,The impact of liability of foreignness on performance in hyb,https://doi.org/10.1016/j.intman.2024.101133,SKIP_UNSUPPORTED,kind=other,
2144,What drives SME export intensity in transition economies? Th,https://doi.org/10.1016/j.techfore.2025.124123,SKIP_UNSUPPORTED,kind=other,
2185,Old but Sold? Innovation Through Tradition Strategy for Expo,https://doi.org/10.1111/jpim.12796,SKIP_UNSUPPORTED,kind=other,
2249,Juggling Markets and Products: How Does Ambidexterity Impact,https://doi.org/10.1177/1069031x251408340,SKIP_UNSUPPORTED,kind=other,
2291,Export promotion programs and firm performance: Linking know,https://doi.org/10.1016/j.joitmc.2025.100479,SKIP_UNSUPPORTED,kind=other,
2297,Industry clusters and firm performance: Evidence from the le,https://doi.org/10.1016/j.heliyon.2024.e39486,SKIP_UNSUPPORTED,kind=other,
2344,Commitment to exporting as an antecedent of organizational s,http://hdl.handle.net/10198/23835,SKIP_UNSUPPORTED,kind=other,
2405,Internationalization vs family ownership and management: the,http://hdl.handle.net/11328/1852,SKIP_UNSUPPORTED,kind=other,
2444,Financial performance and internationalization in the U.S. r,https://stars.library.ucf.edu/ucfscholar/333,SKIP_UNSUPPORTED,kind=other,
2462,Internationalization and Firm Performance in Agribusiness: E,https://doi.org/10.18461/ijfsd.v2i1.216,SKIP_UNSUPPORTED,kind=other,
2487,Alliance portfolio internationalization and firm performance,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID1027130_code663947.pdf?abstract,FAIL,tried 1 URLs,
2494,Internationalization and the performance of born-global SMEs,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2260506_code1051326.pdf?abstrac,FAIL,tried 1 URLs,
2514,How domestic and foreign firms differ and why does it matter,https://research.wu.ac.at/files/18958642/document.pdf,FAIL,tried 1 URLs,
2522,Company performance and objectives reported by first and mul,https://durham-repository.worktribe.com/output/1562938,SKIP_UNSUPPORTED,kind=other,
