seq,doi,title,abstract_snippet,auto_decision,auto_reason
120,10.3846/16111699.2012.668860,"FIRM SIZE, TECHNOLOGICAL CAPABILITY, EXPORTS AND ECONOMIC PERFORMANCE: THE CASE OF ELECTRONICS INDUSTRY IN MALAYSIA",,UNSURE,S2 fetch failed
121,10.2753/ree1540-496x4905s413,"International Involvement, Target Market Selection, and Consolidated Performance: A Firm-Level Analysis of Taiwan's FDI in China",,UNSURE,S2 fetch failed
132,10.1080/02692171.2011.557046,Does export and productivity growth linkage exist? Evidence from the Indian manufacturing industry,,UNSURE,S2 fetch failed
162,10.1016/j.eap.2026.01.002,Impact of productivity revolution on Chinese enterprises' outward foreign direct investment (OFDI),,UNSURE,S2 fetch failed
169,10.1016/j.jbusres.2026.116151,"Enhancing CSR performance in emerging market firms: The effects of pro-market reforms, government support, and internationalization",,UNSURE,S2 fetch failed
172,10.1057/s41291-024-00280-7,Moderating roles of spatial and temporal internationalization on the product diversification-performance relationship of emerging market multinational enterprises,,UNSURE,S2 fetch failed
174,10.1080/13602381.2025.2450465,"Internal R&D, family ownership and product innovation performance of entrepreneurial ventures in Vietnam: the moderating roles of informal exchange and internationalization",,UNSURE,S2 fetch failed
177,10.1007/s11575-025-00573-9,Overcoming the ESG Voids at Home: Supplier ESG Performance and the Internationalization of Emerging Market Multinational Enterprises,,UNSURE,S2 fetch failed
188,10.1108/ijoem-08-2021-1299,Firm internationalization approaches and performance: the moderating role of the home country's formal institutions,,UNSURE,S2 fetch failed
189,10.1080/09640568.2023.2189057,How does corporate internationalization affect the link between social responsibility and financial performance? Evidence from China,,UNSURE,S2 fetch failed
197,10.1016/j.heliyon.2024.e33492,"Environmental, social and governance performance: Can and how it improve internationalization of Chinese A-share listed enterprises",,UNSURE,S2 fetch failed
201,10.1108/ribs-01-2023-0002,Performance of cross-border acquirers from India and China: its sustainability in the long-run?,,UNSURE,S2 fetch failed
211,10.1108/ijoem-11-2020-1423,Country of brand origin positioning and financial performance: effects on internationalized companies from an emerging market,,UNSURE,S2 fetch failed
212,10.1108/ijoem-02-2021-0236,Dynamic capability of the firm: analysis of the impact of internationalisation on SME performance in an emerging economy,,UNSURE,S2 fetch failed
214,10.1108/ijoem-09-2020-1097,Role of imported raw materials in the performance of inward foreign direct investments in Ethiopia,,UNSURE,S2 fetch failed
222,10.1080/09638199.2022.2094451,Learning-by-exporting vs. self-selection in Ecuadorian manufacturing firms: Evidence from different industry classifications,,UNSURE,S2 fetch failed
224,10.1108/ijoem-07-2020-0795,Outward FDI and productivity promotion of exporting firms: firm-level evidence from China,,UNSURE,S2 fetch failed
228,10.1061/(asce)me.1943-5479.0000985,Internationalization and Productivity of Construction Firms in a Developing Country: The Effect of Institutional Environment and Ownership on Malaysian Construction Firms,,UNSURE,S2 fetch failed
263,10.1016/j.jbusres.2018.09.019,"Internationalization speed, resources and performance: Evidence from Indian software industry",,UNSURE,S2 fetch failed
266,10.1016/j.jwb.2019.04.002,Outward FDI and profitability of emerging economy firms: Diversifying from home resource dependence in early stage internationalization,,UNSURE,S2 fetch failed
267,10.1111/twec.12837,Foreign direct investment productivity premium and foreign affiliates' heterogeneity: A comparison between advanced and emerging market overseas investments in the EU,,UNSURE,S2 fetch failed
268,10.1016/j.emj.2018.11.003,"R&D internationalization, product diversification and international performance for emerging market enterprises: An empirical study on Chinese enterprises",,UNSURE,S2 fetch failed
269,10.21002/seam.v13i1.10757,The Relative Effects of Entrepreneurial Characteristics and Government Support on the Internationalisation and Performance of Malaysian SMEs,,UNSURE,S2 fetch failed
286,10.3390/admsci8040064,Internationalization and Performance of Vietnamese Manufacturing Firms: Does Organizational Slack Matter?,,UNSURE,S2 fetch failed
295,10.1016/j.cjar.2017.05.001,lInfluence of Chinese entrepreneurial companies' internationalization on independent innovation: Input incentive effect and efficiency improvement effect,,UNSURE,S2 fetch failed
299,10.1016/j.jwb.2015.09.002,Internationalization and innovation performance of emerging market enterprises: The role of host-country institutional development,,UNSURE,S2 fetch failed
301,10.1371/journal.pone.0162175,EO-Performance relationships in Reverse Internationalization by Chinese Global Startup OEMs: Social Networks and Strategic Flexibility,,UNSURE,S2 fetch failed
308,10.1108/apjml-03-2014-0045,Export marketing assistance and early internationalizing firm performance Does export commitment matter?,,UNSURE,S2 fetch failed
313,10.1017/mor.2015.32,Internationalization and Performance of Chinese Family Firms: The Moderating Role of Corporate Governance,,UNSURE,S2 fetch failed
320,10.1017/s1740877600004381,Chinese Outward Foreign Direct Investment Performance: The Role of Learning,,UNSURE,S2 fetch failed
325,10.1016/j.intman.2012.12.003,Internationalization and Performance of Firms in China: Moderating Effects of Governance Structure and the Degree of Centralized Control,,UNSURE,S2 fetch failed
342,10.1108/1525383x200900014,Internationalization and Company Performance: A Study of Emerging Russian Multinationals,,UNSURE,S2 fetch failed
344,10.1108/02651330810915556,"Subsidiary size, internationalization, product diversification, and performance in an emerging market",,UNSURE,S2 fetch failed
24,10.15678/eber.2024.120410,Intellectual capital and new ventures early internationalization: Firm-level analysis of Austrian SMEs,,UNSURE,S2 fetch failed
48,10.1177/1069031x20988260,Internationalizing the Coopetition Construct: Quadratic Effects on Financial Performance Under Different Degrees of Export Intensity and an Export Geographical Scope,,UNSURE,S2 fetch failed
60,10.1108/ccsm-09-2018-0134,When strategic consensus matters: dynamic managerial capabilities and firm internationalization as seen by TMT,,UNSURE,S2 fetch failed
61,10.1016/j.ibusrev.2020.101735,"Strategic decision-making processes, international environmental munificence and the accelerated internationalization of SMEs",,UNSURE,S2 fetch failed
67,10.1016/j.indmarman.2019.01.008,The impact of SME internationalization on innovation: The mediating role of market and entrepreneurial orientation,,UNSURE,S2 fetch failed
73,10.3846/jbem.2018.1538,BUSINESS PERFORMANCE MANAGEMENT AND FDI: KEY DIFFERENCES BETWEEN FOREIGN AND DOMESTIC-OWNED FIRMS - A CASE OF SLOVAKIA,,UNSURE,S2 fetch failed
82,10.1111/tesg.12224,Local Externalities and Firm Internationalisation,,UNSURE,S2 fetch failed
90,10.1016/j.ibusrev.2016.03.011,How does the geographic export diversification-performance relationship vary at different levels of export intensity?,,UNSURE,S2 fetch failed
97,10.3846/16111699.2014.959040,INTERNATIONALISATION OF SMES AND SIMULTANEOUS STRATEGIES OF COOPERATION AND COMPETITION: AN EXPLORATORY ANALYSIS,,UNSURE,S2 fetch failed
117,10.1177/0266242610391325,Strategic capability configurations for the internationalization of SMEs: A study in equifinality,,UNSURE,S2 fetch failed
127,10.1016/j.ibusrev.2011.09.010,A longitudinal study of the relationship between export activity and innovation in the Spanish firm: The moderating role of productivity,,UNSURE,S2 fetch failed
137,10.1007/bf02707654,Export behavior and productivity growth: Evidence from Italian manufacturing firms,,UNSURE,S2 fetch failed
175,10.1016/j.ibusrev.2024.102275,Configuring international entrepreneurial orientation and dynamic internationalization capability to predict international performance,,UNSURE,S2 fetch failed
192,10.1007/s11575-024-00534-8,The Performance of Decision-Making Strategies in SME Internationalization: The Role of Host Market's Institutional Development,,UNSURE,S2 fetch failed
200,10.18559/ebr.2024.3.1217,The role of internationalisation in moderating the impact of ESG disclosure on financial performance,,UNSURE,S2 fetch failed
202,10.3390/su16020508,The Role of Digitalization in Cross-Border E-Commerce Performance of Italian SMEs,,UNSURE,S2 fetch failed
206,10.1007/s10368-024-00629-5,Firm productivity and manufacturing exports in transition economies: An institutional and trade geography perspective,,UNSURE,S2 fetch failed
210,10.1177/0972150920916035,"Outward Foreign Direct Investment, Restructuring and Performance Upgrading: Firm-level Evidence from Portugal",,UNSURE,S2 fetch failed
233,10.1016/j.jbusres.2022.04.032,Network cooperation and economic performance of SMEs: Direct and mediating impacts of innovation and internationalisation,,UNSURE,S2 fetch failed
256,10.1007/s11575-020-00421-y,Trade Shows and SME Internationalisation: Networking for Performance,,UNSURE,S2 fetch failed
275,10.1016/j.strueco.2019.01.005,"From domestic to exporter, what happens? Evidence for Spanish manufacturing firms",,UNSURE,S2 fetch failed
276,10.1007/978-3-319-90575-4_5,Inward FDI and Skilled Labour Force in Veneto Industrial Districts,,UNSURE,S2 fetch failed
285,10.1016/j.jwb.2017.07.004,Internationalization as a driver of the corporate social performance of extractive industry firms,,UNSURE,S2 fetch failed
289,10.1016/j.ocecoaman.2017.10.024,"Innovation, environmental commitment, internationalization and sustainability: A survival analysis of Spanish marine aquaculture firms",,UNSURE,S2 fetch failed
300,10.1016/j.ibusrev.2015.12.003,"International intensity, diversity, and distance: Unpacking the internationalization-performance relationship",,UNSURE,S2 fetch failed
305,10.1016/j.inveco.2016.03.004,Exports-R&D investment complementarity and economic performance of firms located in Portugal,,UNSURE,S2 fetch failed
314,10.1016/j.ibusrev.2015.04.006,When over internationalized companies reduce their international footprint,,UNSURE,S2 fetch failed
316,10.1002/tie.21597,"Internationalization and Performance Outcomes of Entrepreneurial Family SMEs: The Role of Outside CEOs, Technology Sourcing, and Innovation",,UNSURE,S2 fetch failed
319,10.1016/j.jwb.2013.08.001,How do managers decide on internationalization processes? The role of organizational slack and performance feedback,,UNSURE,S2 fetch failed
322,10.1016/j.jwb.2013.02.002,"Facing global economic crisis: Foreign sales, ownership groups, and corporate value",,UNSURE,S2 fetch failed
337,10.1108/sd.2011.05627jaa.003,"National Export-Promotion Programs as Drivers of Organizational Resources and Capabilities: Effects on Strategy, Competitive Advantage, and Performance",,UNSURE,S2 fetch failed
339,10.1080/00036840802600566,"Size, innovation and internationalization: a survival analysis of Italian firms",,UNSURE,S2 fetch failed
492,10.1007/s11575-009-0015-6,Influence of MNC Network Configuration Patterns on the Volatility of Firm Performance,,UNSURE,S2 fetch failed
250,10.1002/tie.22192,The post-acquisition performance of cross-border mergers and acquisitions conducted by Chinese firms in the high-tech industries: Profitable or innovative?,,UNSURE,S2 fetch failed
53,10.1177/09721509211056480,"Effects of Export Orientation, Exchange Rates and Leverage on Firm Productivity: Evidence from Pakistan",,UNSURE,S2 fetch failed
352,10.1080/13600810500137855,Are Foreign Firms More Productive and Export- and Technology-intensive than Local Firms in Kenyan Manufacturing?,,UNSURE,S2 fetch failed
241,10.1108/ebr-10-2019-0244,The effect of industry-specific networking behaviour on the internationalization performance of Czech SMEs,,UNSURE,S2 fetch failed
312,10.1080/09585192.2015.1041758,Performance management in Polish companies internationalizing their market activities,,UNSURE,S2 fetch failed
327,10.2478/ijme-2014-0020,"Exploring links between cooperation, internationalization and profitability: a study of Polish manufacturing companies",,UNSURE,S2 fetch failed
335,10.1111/j.1467-9701.2010.01294.x,Internationalisation and Economic Performance of Enterprises: Evidence from Polish Firm-level Data,,UNSURE,S2 fetch failed
340,10.1016/j.jwb.2009.12.003,The influence of international networks on internationalization speed and performance: A study of Czech SMEs,,UNSURE,S2 fetch failed
3,10.1111/twec.70052,Gender Differences in Enterprise Export Performance: Some International Evidence,,UNSURE,S2 fetch failed
7,10.1002/bse.70126,"The Moderating Effect of Multinationality on Environmental, Social, and Governance and Efficiency: A Strategic Analysis of Multinational Enterprises",,UNSURE,S2 fetch failed
13,10.1002/mde.70005,Climbing the Global Value Chain: The Role of Cross-Border E-Commerce in SME Internationalization,,UNSURE,S2 fetch failed
15,10.1142/s0218495825500037,SME Internationalization: Can SMEs Overcome Liabilities of Foreignness and Smallness Through International and Product Diversification?,,UNSURE,S2 fetch failed
17,10.1109/tem.2022.3229049,"Digital Capabilities, Their Role in Business Model Innovativeness, and the Internationalization of SMEs",,UNSURE,S2 fetch failed
19,10.1108/md-01-2023-0045,"Foreign market involvement, entry-mode learning potential and SME internationalization outcomes",,UNSURE,S2 fetch failed
21,10.3390/admsci14060116,The Influence of Perceived Macro Environment on the Competitiveness of Internationalized Medium-Sized and Large Enterprises,,UNSURE,S2 fetch failed
28,10.1080/14778238.2021.1919573,Configuring foreign market knowledge and opportunity recognition capabilities to predict the performance of export-manufacturing firms,,UNSURE,S2 fetch failed
30,10.1080/09638199.2022.2098527,The inefficiency of exporting SMEs: Evidence from manufacturing industry,,UNSURE,S2 fetch failed
31,10.1093/icc/dtad004,Joining and exiting the value chain of foreign multinationals and performance of their local suppliers: evidence from interfirm transaction data,,UNSURE,S2 fetch failed
36,10.1007/s11575-022-00473-2,Economies of Scale: The Rationale Behind the Multinationality-Performance Enigma,,UNSURE,S2 fetch failed
47,10.1108/imr-05-2020-0094,"Resource indivisibility, lumpy costs and the multinationality-performance relationship",,UNSURE,S2 fetch failed
50,10.1016/j.indmarman.2021.04.001,Adoption and optimal configuration of smart products: The role of firm internationalization and offer hybridization,,UNSURE,S2 fetch failed
54,10.1002/smj.3087,"Does it pay to be a multinational? A large-sample, cross-national replication assessing the multinationality-performance relationship",,UNSURE,S2 fetch failed
55,10.1111/twec.12887,"Global sourcing, productivity and export intensity",,UNSURE,S2 fetch failed
59,10.1108/ccsm-03-2019-0068,Enjoying or refraining from risk? The impact of implicit need for achievement and risk perception on SME internationalization,,UNSURE,S2 fetch failed
62,10.1016/j.jbusres.2020.08.027,Internationalization and firm default risk: The roles of environmental dynamism and marketing capability,,UNSURE,S2 fetch failed
66,10.1002/gsj.1193,Microfoundations of firm internationalization: The owner CEO effect,,UNSURE,S2 fetch failed
74,10.1016/j.jbusres.2018.04.030,How firm internationalization is recognized by outsiders: The response of financial analysts,,UNSURE,S2 fetch failed
78,10.1016/j.ibusrev.2017.02.005,The relationship between multinationality and performance: Knowledge-intensive vs. capital-intensive service micro-multinational enterprises,,UNSURE,S2 fetch failed
81,10.2139/ssrn.2777973,Bank Internationalization and Firm Exports: Evidence from Matched Firm-Bank Data,,UNSURE,S2 fetch failed
91,10.1016/j.intman.2016.06.001,Home Country Institutional Effects on the Multinationality-Performance Relationship: A Comparison Between Emerging and Developed Market Multinationals,,UNSURE,S2 fetch failed
101,10.1142/s1363919615500309,DO EXPORT MARKETS SELECT THE MOST INNOVATIVE PRODUCERS? THE MODERATING ROLE OF PRODUCTIVITY,,UNSURE,S2 fetch failed
106,10.1016/j.ibusrev.2014.11.005,FDI from emerging markets and the productivity gap An analysis on affiliates of BRICS EMNEs in Europe,,UNSURE,S2 fetch failed
108,10.1016/j.dss.2013.11.001,The impact of multinationality on firm value: A comparative analysis of machine learning techniques,,UNSURE,S2 fetch failed
114,10.1016/j.ijinfomgt.2014.06.006,Information management for the internationalization of SMEs: An exploratory study based on a strategic alignment perspective,,UNSURE,S2 fetch failed
115,10.1108/mbr-04-2013-0021,Performance implications of multinationality: moderating role of foreign market entry mode,,UNSURE,S2 fetch failed
134,10.1016/j.ibusrev.2009.02.012,Does the regional nature of multinationals affect the multinationality and performance relationship?,,UNSURE,S2 fetch failed
135,10.1016/j.ibusrev.2009.01.005,Triple-testing the quality of multinationality-performance research: An internalization theory perspective,,UNSURE,S2 fetch failed
136,10.1007/s11575-008-0027-7,Internationalization of retail banks: A micro-level study of the multinationality-performance relationship,,UNSURE,S2 fetch failed
164,10.1108/imr-06-2023-0108,The impact of the internationalization strategy of MNEs on innovation performance: the moderating role of digital transformation,,UNSURE,S2 fetch failed
165,10.1002/csr.70460,"ESG as a Context-Contingent Capability: Competitive Intensity, Internationalization, and Efficiency in the Global Clothing Industry",,UNSURE,S2 fetch failed
166,10.1016/j.econmod.2026.107559,"Supply chain finance participation and outward FDI: The roles of productivity, financial frictions, and information asymmetry",,UNSURE,S2 fetch failed
167,10.1108/jfbm-08-2025-0226,Navigating global waters: performance outcomes of internationalization in family businesses,,UNSURE,S2 fetch failed
170,10.1177/09721509261437526,Non-linear Effects of Advertising Spending on Firm Performance: A Fixed-effects Panel Analysis of the Moderating Role of Internationalization,,UNSURE,S2 fetch failed
173,10.1002/mde.4496,"Digital Transformation, Internationalisation and ESG Performance of Multinational Companies",,UNSURE,S2 fetch failed
180,10.1108/imr-02-2024-0045,"Financial performance shortfalls, innovation performance shortfalls and returnee executives: does the internationalization of firms matter?",,UNSURE,S2 fetch failed
183,10.1504/jibed.2025.10071182,"Open innovation, market orientation, intellectual capital readiness and higher education institutions' internationalisation performance: the moderating role of entrepreneurial leadership",,UNSURE,S2 fetch failed
184,10.1108/jbim-01-2025-0047,Foreign direct investment strategies and corporate social performance in emerging multinational enterprises: driving sustainability amidst supply chain restructuring,,UNSURE,S2 fetch failed
185,10.1080/16081625.2025.2596994,RMB internationalization and firms' total factor productivity-micro-analysis based on the dual circulation perspective,,UNSURE,S2 fetch failed
190,10.1002/csr.2592,The impact of degree of internationalization of MNEs on green innovation performance: The moderating role of absorptive capacity and global dynamic management capability,,UNSURE,S2 fetch failed
191,10.1007/s10843-023-00345-2,The internationalization and performance of INVs: Liability or learning advantages of newness?,,UNSURE,S2 fetch failed
198,10.1016/j.intman.2024.101122,Role of resource investment management and strategic resource deployment capabilities in internationalization-performance relationship,,UNSURE,S2 fetch failed
203,10.1016/j.lrp.2023.102409,The impact of global city location intensity on MNE performance: Leveraging learning and connectivity,,UNSURE,S2 fetch failed
204,10.1002/jcaf.22729,Earnings quality of multinational corporations: Evidence from Latin America before and after IFRS implementation,,UNSURE,S2 fetch failed
207,10.1016/j.resglo.2024.100206,"The impact of female chief executive officers, ownership, and globalization on ASEAN manufacturers' technical efficiency performance",,UNSURE,S2 fetch failed
208,10.1016/j.ibusrev.2023.102175,Home country adverse political shocks and cross-border mergers and acquisitions financial performance of politically connected emerging market firms,,UNSURE,S2 fetch failed
215,10.1108/jfmm-06-2021-0151,CSR drivers of fashion SMEs and performance: the role of internationalization,,UNSURE,S2 fetch failed
218,10.3390/su15032003,"Dancing with Giants: A Unified Framework for Cooperation Networks, Speed of Internationalisation, and Performance",,UNSURE,S2 fetch failed
220,10.1016/j.jretai.2023.07.005,Internationalization and digitalization: Their differing role on grocer and non-grocer retailer performance,,UNSURE,S2 fetch failed
225,10.1108/mbr-07-2020-0155,How learning orientation drives the international performance of INVs: the roles of entrepreneurial bricolage and degree of internationalization,,UNSURE,S2 fetch failed
227,10.1002/mde.3482,Does internationalization strategy promote enterprise innovation performance?-The moderating effect of environmental complexity,,UNSURE,S2 fetch failed
229,10.1504/ijesb.2022.124453,Internationalisation and performance in family businesses: influence of the internationalisation path followed,,UNSURE,S2 fetch failed
230,10.3390/buildings12020185,Moderating Effects of Internationalization between Corporate Social Responsibility and Financial Performance: The Case of Construction Firms,,UNSURE,S2 fetch failed
231,10.1016/j.technovation.2021.102408,The effects of performance shortfalls on firms' exploitation and exploration R&D internationalization decisions: Does industry environmental matter?,,UNSURE,S2 fetch failed
232,10.1016/j.jbusres.2022.01.045,Internationalisation as a stimulus for SME innovation in developing economies: Comparing SMEs in factor-driven and efficiency-driven economies,,UNSURE,S2 fetch failed
235,10.1016/j.jik.2022.100241,Business environment distance and innovation performance of EMNEs: The mediating effect of R&D internationalization,,UNSURE,S2 fetch failed
236,10.1108/jstp-10-2021-0202,Dynamic customer-oriented relational capabilities: how do they impact internationalizing firm performance?,,UNSURE,S2 fetch failed
243,10.1108/ribs-09-2019-0126,The role of internationalization in entrepreneurial orientation-performance link: empirical study of SMEs in a developing nation perspective,,UNSURE,S2 fetch failed
244,10.1080/00036846.2020.1853668,R&D internationalization and firm productivity. Does the host country matter?,,UNSURE,S2 fetch failed
245,10.37725/mgmt.v24i1.4507,Pre-Internationalization and Performance Conditions of First-Time Exporting SMEs,,UNSURE,S2 fetch failed
248,10.1002/jae.2837,Productivity effects of internationalisation through the domestic supply chain,,UNSURE,S2 fetch failed
249,10.1504/ejim.2021.113232,Globalisation: blessing or curse? Evidence from the insurance industry,,UNSURE,S2 fetch failed
251,10.1177/0306307020984566,Taking social responsibilities overseas? The learning paths and performance consequences of Chinese multinationals,,UNSURE,S2 fetch failed
254,10.1007/s10843-019-00266-z,Service innovation and internationalization in SMEs: antecedents and profitability outcomes,,UNSURE,S2 fetch failed
255,10.31407/ijees10.121,THE ACTUAL LEVEL OF INTERNATIONALIZATION OF ALBANIAN SMES AND THE MEASURE OF THEIR OVERALL PERFORMANCE,,UNSURE,S2 fetch failed
257,10.1002/csr.2010,The impact of the amount of environmental information disclosure on financial performance: The moderating effect of corporate internationalization,,UNSURE,S2 fetch failed
