seq,doi,title,r_found,n_found,formula,source
490,10.1111/j.2042-5805.2012.01045.x,WHY DO MULTINATIONAL FIRMS EXIST? A THEORY NOTE ABOUT THE EF,,,,S2_abstract
497,10.1002/smj.357,Geographic scope and multinational enterprise performance,,580,,S2_abstract
526,10.1287/stsc.2022.0158,Disaggregating Multinationality: An Empirical Examination of,,,,S2_abstract
528,10.1002/gsj.1166,The role of international institutional complexity on emergi,,,,S2_abstract
367,,The Synergy Effect of Internationalization and R&D Intensity,,,,no_abstract
372,,Antecedents to firm performance during re-internationalizati,,,,no_abstract
408,,Internationalization choices and Italian firm performance du,,,,no_abstract
451,,Productivity and Internationalization: A Micro-Data Approach,,,,no_abstract
459,,"Internationalization and size, age and profitability in the ",,,,no_abstract
499,,Born Global Strategies and the Corporate Performance of Kore,,,,S2_abstract
514,,Proactive management of political risk and corporate perform,,,,no_abstract
518,,Are more exports better for a firm's performance? The modera,,,,no_abstract
359,,Internationalization rhythm and corporate innovation perform,,,,no_abstract
364,,THE INFLUENCE OF INTERNATIONALIZATION ON THE FINANCIAL PERFO,,,,no_abstract
426,,THE INFLUENCE OF ENTREPRENEURIAL INTENSITY AND CAPABILITIES ,,,,no_abstract
428,,"Home institutions, internationalization and firm performance",,,,no_abstract
449,,A Contingency Theory of Internationalization Performance for,,,,no_abstract
453,,Internationalization and firm performance: Exploring the mod,,,,no_abstract
454,,Relationships between business factors and performance in in,,,,no_abstract
511,,Rethinking the Literature on the Performance of Chinese Mult,,,,S2_abstract
360,,Internationalisation and the Financial Performance of Compan,,,,no_abstract
450,,Rapid FDI expansion and firm performance,,,,no_abstract
455,,How Firm Performance Affects Internationalization,,,,no_abstract
509,,"Manufacturing exports, profitability and working capital",,,,no_abstract
517,,Value Creation and Home Region Internationalization of U.S. ,,,,no_abstract
535,,The impact of business group diversification on emerging mar,,,,S2_abstract
144,,A research note on multinationality and firm performance Non,,,,no_abstract
159,,MULTINATIONALITY AND PROFITABILITY,,,,no_abstract
365,,Global Competitive Strategies: Assessing the Role of Marketi,,,,no_abstract
370,,Internationalization and firm performance,,,,no_abstract
381,,Internationalisation and financial performance: in the case ,,,,no_abstract
382,,Differences in the impact of R&D intensity and R&D internati,,,,no_abstract
390,,Analysis of the Relationship Between IT and Industry 4.0 Tec,,,,no_abstract
396,,The longitudinal effects of internationalization on firm per,,,,no_abstract
409,,"Capability, environment and internationalization fit, and fi",,,,no_abstract
437,,Multinational Performance and the Geography of FDI,,,,no_abstract
440,,Internationalization and Performance of Retail Firms: A Baye,,,,no_abstract
441,,INFORMATION COSTS AND INTERNATIONALIZATION PERFORMANCE,,,,no_abstract
442,,Firms' internationalization and productivity growth,,,,no_abstract
443,,The Role of Internationalization in Explaining Innovation Pe,,,,no_abstract
444,,"Export, FDI and firm productivity",,,,no_abstract
445,,The effect of government-designed export promotion service u,,,,no_abstract
448,,REEXAMINATION OF THE RELATIONSHIP BETWEEN INTERNATIONALIZATI,,,,no_abstract
456,,The role of internationalization in explaining innovation pe,,,,no_abstract
457,,"How firms differ in innovation, productivity and internation",,,,no_abstract
458,,Venture adolescence Internationalization and performance imp,,,,no_abstract
498,,ESG and firm performance: The effects of foreigners on board,,,,no_abstract
510,,"R&D investments, financing constraints, exporting and produc",,,,no_abstract
512,,Added Psychic Distance Stimuli and MNE Performance Performan,,,,no_abstract
523,,Analysis of the interaction between regional R&D productivit,,,,no_abstract
506,,How internationalization affects firms' growth in the MENA r,,,,S2_abstract
538,10.2307/256635,Effects of international diversity and product diversity on ,,,,no_abstract
545,10.1068/a310735,Innovation and profitability of global food firms. Testing f,,4572,,S2_abstract
549,,International experience in the executive suite: The path to,,,,S2_abstract
551,,International corporate entrepreneurship and firm performanc,,,,no_abstract
554,,The internationalization and performance of SMEs,,,,no_abstract
556,10.1057/palgrave.jibs.8491006,Multinationality and firm performance: The moderating role o,,,,no_abstract
558,10.2307/3872477,How do large depreciations affect firm performance?,,,,S2_abstract
560,10.1016/s0148-2963(00)00153-3,"Multinationality, global market diversification and profitab",,,,no_abstract
561,10.1057/palgrave.jibs.8400003,A three-stage theory of international expansion: the link be,,,,no_abstract
567,10.1057/palgrave.jibs.8400036,The relationship between international diversification and p,,,,no_abstract
568,,A resource-based approach to the study of export performance,,,,no_abstract
569,,Internationalization and performance - Findings from a set o,,,,no_abstract
573,10.1016/j.jm.2004.02.001,The effects of top management team pay and firm internationa,,,,no_abstract
575,,Industrial structure and international competitiveness of po,,,,S2_abstract
576,,Internationalization and the dynamics of product adaptation ,,,,S2_abstract
578,,International diversification and firm performance: The S-CU,,,,no_abstract
579,10.1080/0898562042000231929,Internationalization of private firms: environmental turbule,,,,S2_abstract
581,,Factors associated with the performance of UK SMEs: are they,,,,S2_abstract
582,10.1108/1525383x200500003,"Entrepreneurial Strategic Posture, International Diversifi c",,,,no_abstract
584,10.1080/00128775.2005.11041104,Eastern Germany in the process of catching up - The role of ,,,,S2_abstract
585,10.1080/00220380500092721,Determinants of efficiency in least developed countries: Fur,,,,S2_abstract
587,,Antecedents and performance consequences of international ou,,,,no_abstract
590,10.1108/01437720610713530,Can high performance work systems really lead to better perf,,,,S2_abstract
591,,Internationalization and Performance: The S-curve Hypothesis,,,,no_abstract
592,,SME internationalization and performance: Growth vs. profita,,,,no_abstract
593,10.1142/9781786349699_0008,Export intensity and plant characteristics: What can we lear,,,,no_abstract
595,10.1016/j.jbusres.2005.08.008,International diversification and firm performance in Mexica,,,,no_abstract
599,10.1111/j.1467-8551.2006.00491.x,Economic liberalization and the antecedents of top managemen,,,,S2_abstract
602,10.1108/03074350710748759,The long-run performance of UK IPOs: can it be predicted?,,,,S2_abstract
603,10.1108/03090560710821242,"A review of the foundation, international marketing strategi",,,,no_abstract
604,10.1108/00251740710746033,Human capital and organizational performance: a study of Egy,,,,S2_abstract
605,,PERFORMANCE EFFECTS OF INTERNATIONALIZATION STRATEGIES: A ME,,,,no_abstract
609,,INTRA-REGIONAL SALES AND THE INTERNATIONALIZATION AND PERFOR,,,,no_abstract
610,,INTERNATIONALIZATION OF INDIAN FIRMS: REGIONALIZATION PATTER,,,,no_abstract
612,10.1016/j.jwb.2006.11.002,The effect of product diversification strategies on the rela,,,,no_abstract
614,10.1057/palgrave.jibs.8400268,Linking FDI motivation and host economy productivity effects,,,,no_abstract
616,10.1016/j.jwb.2007.02.004,International diversification and firm performance: Role of ,,,,no_abstract
617,10.1016/j.ibusrev.2007.01.008,The impact of national culture and communication on exporter,,,,no_abstract
618,10.1057/palgrave.abm.9200228,"International expansion path, speed, product diversification",,,,no_abstract
621,,Does training facilitate SME's performance?,,816,,S2_abstract
629,10.1111/j.1540-5982.2008.00480.x,Overseas business costs and firm export performance,,,,no_abstract
630,10.1007/s11187-008-9109-y,The export intensity of venture capital backed companies,,,,no_abstract
638,10.1016/j.jwb.2007.11.009,Internationalization and performance of small- and medium-si,,,,no_abstract
640,,International diversification and performance: The mediating,,,,no_abstract
641,,EXPORT BEHAVIOUR IN THE CHILEAN AGRIBUSINESS AND FOOD PROCES,,,,S2_abstract
646,10.1111/j.1467-6451.2008.00363.x,OVERSEAS R&D ACTIVITIES AND HOME PRODUCTIVITY GROWTH: EVIDEN,,,,S2_abstract
648,,Location in Internationalization Strategy: Determinants and ,,,,S2_abstract
649,10.1108/s1474-7979(2009)0000020013,GEOGRAPHIC MARKET DIVERSIFICATION: A PREMIUM OR DISCOUNT IN ,,,,S2_abstract
650,10.1080/13602380701668700,Technological intensities and economic performance: a study ,,,,S2_abstract
655,,Learning-by-Exporting Revisited: The Role of Intensity and P,,,,no_abstract
661,,FLEXIBILITY IN INTERNATIONALIZATION: IS IT VALUABLE DURING A,,,,S2_abstract
662,,INNOVATIVENESS AND INTERNATIONAL OPERATIONS: CASE OF RUSSIAN,,,,S2_abstract
663,10.1111/j.1467-8551.2007.00558.x,"International Diversification, Business Group Affiliation an",,,,no_abstract
670,10.1016/j.emj.2009.04.011,The moderating effects of home region orientation on R&D inv,,,,no_abstract
676,,The M Curve: The Performance of Born-Regional Firms From Kor,,,,S2_abstract
678,10.1504/ijbe.2010.037597,Internationalisation and global competitive advantage: impli,,115,,S2_abstract
684,,A MULTILEVEL APPROACH TO UNDERSTANDING THE MULTINATIONALITY-,,,,no_abstract
686,10.1111/j.1540-6520.2009.00365.x,The Impact of Interorganizational Imitation on New Venture I,,,,no_abstract
690,10.1016/j.intacc.2010.01.003,What drives cross-segment diversity in returns and risks? Ev,,,,S2_abstract
692,,Top Management Team Internationalization and Firm Performanc,,,,no_abstract
694,10.2139/ssrn.959408,The returns to exporting: evidence from UK firms,,,,S2_abstract
699,,THE PERFORMANCE IMPLICATIONS OF INTRA- AND INTER-REGIONAL GE,,,,S2_abstract
701,,"Internationalization, resource allocation and firm performan",,,,no_abstract
707,10.1111/j.1467-8551.2009.00634.x,Knowledge Management and Balanced Scorecard Outcomes: Explor,,,,S2_abstract
709,,The Response of MNCs to Radical Systemic Change in a Transit,,,,S2_abstract
712,10.1108/09555341111158100,Does market context impact payoffs to internationalization?,,,,S2_abstract
714,,Is there new evidence to show that product and international,,,,no_abstract
716,,The early and rapid internationalization of Asian emerging M,,115,,S2_abstract
717,,The internationalization of Indian SMEs in B-to-B markets,,,,S2_abstract
718,,The Internationalization of Iceland's Financial Sector,,,,no_abstract
721,,Internationalization and financial performance in the global,,,,no_abstract
725,,"Internationalization, intangible assets and Taiwanese SMEs' ",,,,no_abstract
727,10.1016/j.jinteco.2010.12.004,Credit constraints and firm export: Microeconomic evidence f,,,,no_abstract
728,10.1057/abm.2010.32,The effect of multinationality on firm performance: An exami,,,,no_abstract
730,10.1016/j.ibusrev.2010.07.006,The impact of international influence on microbanks' perform,,,,no_abstract
739,10.1002/gsj.5,THE RELATIONSHIP BETWEEN INTERNATIONAL DIVERSIFICATION AND F,,,,no_abstract
750,10.1016/j.ibusrev.2010.10.003,Linking market orientation to international market selection,,,,no_abstract
755,,Country and firm level factors in international retail expan,,,,S2_abstract
757,10.1080/08841241.2012.738716,Antecedents to the export market orientation of Hungarian hi,,,,no_abstract
764,10.1080/09537325.2012.674672,"Organisational learning capability, product innovation perfo",,,,no_abstract
765,,Multinationality-Performance Relationship A Meta-analysis,,,,no_abstract
767,,Perceived benefits and barriers to export involvement: Insig,,,,S2_abstract
769,,Diversification and firm performance in China,,,,S2_abstract
774,,The impact of geographic diversification on export performan,,,,no_abstract
776,10.5172/jmo.2012.18.1.16,"Successor characteristics, change in the degree of firm inte",,,,no_abstract
780,10.1002/gsj.1031,THE ROLE OF TERRITORIAL COVERAGE AND PRODUCT DIVERSIFICATION,,,,no_abstract
781,,THE ROLE OF CONTEXT IN THE MULTINATIONALITY-PERFORMANCE RELA,,,,no_abstract
789,,THE COMPETITIVENESS OF EXPORTERS FROM CROATIAN MANUFACTURING,,,,no_abstract
793,,The impact of internationalization on performance and innova,,,,no_abstract
800,,International expansion and firm performance in emerging mar,,,,no_abstract
804,10.1108/s1064-4857(2011)0000015015,THE BORN GLOBAL ILLUSION AND THE REGIONAL NATURE OF INTERNAT,,,,S2_abstract
805,,DEGREE OF INTERNATIONALIZATION IN LOGISTICS SECTOR AND STRAT,,,,no_abstract
806,,AN INVESTIGATION INTO MEDIUM-SIZED MULTINATIONAL ENTERPRISES,,,,S2_abstract
810,,The M Curve and the multinationality-performance relationshi,,,,no_abstract
811,10.1108/igdr-12-2012-0050,Graduating to globalisation: a study of Southern multination,,,,S2_abstract
813,,The internet as an alternative path to internationalization?,,,,S2_abstract
818,10.1108/dlo.2013.08127caa.012,Learning by exporting: Lessons from high-technology SMEs,,,,no_abstract
824,10.1177/0149206311398135,Geographic and Product Diversification in Charitable Organiz,,,,S2_abstract
828,,A Comparative Study of Technology and Industry Clusters of S,,,,S2_abstract
831,,Export Strategies and Performance of Small and Medium-sized ,,,,no_abstract
835,,Family Management and Internationalization: The Impact on Fi,,,,no_abstract
839,10.1504/ejim.2013.052834,Internationalisation and firm performance: state of empirica,,,,no_abstract
840,10.1007/s10290-012-0145-y,Using export market performance to evaluate regional prefere,,,,no_abstract
845,10.1007/s11187-011-9395-7,The effect of institutional quality on firm export performan,,,,no_abstract
847,10.1162/asep_a_00206,Foreign Entry and Profitability of Domestic Firms: Evidence ,,,,S2_abstract
849,10.1057/jibs.2013.21,Liability of country foreignness and liability of regional f,,,,no_abstract
861,10.1108/ijchm-10-2012-0185,Determinants of involuntary cross-listing: US restaurant com,,,,S2_abstract
866,10.1007/s11575-013-0181-4,"FDI Structure, Investment Specificity, and Multinationality ",,,,no_abstract
869,,Export Performance Clusters of the Hungarian Enterprises: Wh,,,,no_abstract
874,,The Influence of Firm Characteristics and Export Performance,,,,no_abstract
878,10.1108/apjml-11-2012-0119,Export performance: multiple predictors and multiple measure,,,,no_abstract
879,10.1108/jsbed-10-2013-0145,"Electronic commerce adoption, entrepreneurial orientation an",,55,,S2_abstract
882,10.1108/ebr-02-2013-0030,Is more always better? Risk trade-offs among internationaliz,,210,,S2_abstract
889,10.1016/j.jwb.2013.10.001,Earliness of internationalization and performance outcomes: ,,,,no_abstract
890,10.1111/1467-8551.12019,A Regional Perspective on Multinational Expansion Strategies,,,,S2_abstract
892,,Explaining Export Performance in the Spanish Defense Industr,,,,no_abstract
893,10.1080/09654313.2012.741570,How Do Local Knowledge Spillovers and Experience Affect Expo,,,,no_abstract
900,,The impact of MNE cultural diversity on the internationaliza,,,,no_abstract
905,,A synergy effect of internationalization and firm size on pe,,,,no_abstract
906,10.3846/20294913.2013.869513,"OWNERSHIP, TECHNOLOGICAL CAPABILITIES AND EXPORTS OF GARMENT",,,,S2_abstract
913,10.1016/j.ijhm.2014.02.001,International expansion of US full-service restaurants: Posi,,,,no_abstract
915,10.1177/0894486513491588,An Empirical Analysis of the Effect of Internationalization ,,,,no_abstract
918,10.1177/0266242613497744,Small and medium-sized enterprise internationalisation strat,,,,no_abstract
920,10.1016/j.ibusrev.2013.09.003,Spillovers through backward linkages and the export performa,,,,no_abstract
921,10.1016/j.worlddev.2014.02.006,Diaspora Investments and Firm Export Performance in Selected,,,,no_abstract
955,10.1504/ejim.2015.069163,Standardisation and adaptation of firms' export marketing st,,115,,S2_abstract
956,10.1108/jkm-04-2014-0167,Exploring different cultural configurations: how do they aff,,,,S2_abstract
963,10.1111/emre.12033,Bank Foreign Affiliate Performance in the Face of Pervasive ,,,,S2_abstract
980,,Internationalization pathways and the performance of SMEs,,,,no_abstract
984,10.1162/asep_a_00356,What Determines Small Champions' Export Performance? Evidenc,,,,no_abstract
990,,INTERNATIONALIZATION STRATEGY AND FIRM PERFORMANCE: ESTIMATI,,,,no_abstract
994,10.1111/emre.12050,Start-ups' Internationalization: The Impact of Business Owne,,,,S2_abstract
1002,,Effect of export experience and market scope strategy on exp,,,,no_abstract
1008,10.1080/13547860.2015.1054169,"Processing trade, export intensity, and input trade liberali",,,,no_abstract
1011,10.1108/s1745-886220140000009006,NEW ANALYSIS OF MULTINATIONAL ENTERPRISES AND THEIR LINKAGES,,,,S2_abstract
1012,10.1007/s10290-015-0224-y,"Foreign market experience, learning by hiring and firm expor",,,,no_abstract
1013,10.1007/s40821-015-0030-4,Innovation and export performance: do young and mature innov,,,,no_abstract
1014,,A PROFILE OF THE ITALIAN MULTINATIONAL FIRMS,,,,S2_abstract
1032,10.5018/economics-ejournal.ja.2015-38,Imported Inputs and Egyptian Exports: Exploring the Links,,,,S2_abstract
1036,10.1002/tie.21722,Are Firms in Developing Countries in Spider Webs or Iron Cag,,,,S2_abstract
1041,10.1177/0266242614539364,Cultural intelligence and export performance of small and me,,,,no_abstract
1044,10.1007/s11365-014-0328-1,Unpacking the relationship between young ventures' internati,,,,no_abstract
1058,10.1016/j.mulfin.2015.12.001,Short- and long-run effects of internationalization and R&D ,,,,no_abstract
1060,,Product quality and firm heterogeneity in international trad,,,,S2_abstract
1061,10.1080/00036846.2015.1122733,"Interrelationship among foreign presence, domestic sales and",,,,no_abstract
1064,10.1002/gsj.1117,THE EFFECTS OF HOME COUNTRY POLITICAL AND LEGAL INSTITUTIONS,,,,S2_abstract
1073,10.1108/cms-12-2015-0297,A reversal theory in internationalization: case of Korean je,,,,S2_abstract
1081,10.1016/j.indmarman.2016.01.006,"Export intensity, scope, and destinations: Evidence from Bra",,,,no_abstract
1091,10.2139/ssrn.2703930,"Capital investment, internationalization, and firm performan",,,,no_abstract
1092,,The impact of industry characteristics on firms' export inte,,19,,S2_abstract
1099,,Multimarket contact and performance: Evidence from emerging ,,,,S2_abstract
1102,,REPLICATING THE MULTINATIONALITY-PERFORMANCE RELATIONSHIP: I,,,,no_abstract
1110,10.1108/jabs-10-2014-0082,Resource based view of internationalization: evidence from I,,,,S2_abstract
1112,10.7441/joc.2016.04.08,What Drives International Competitiveness? An Empirical Test,,,,S2_abstract
1115,10.1007/s10100-015-0408-5,The effects of top management team composition on SME export,,,,no_abstract
1119,10.1002/gsj.1140,"CATEGORIZING THE LIABILITY OF FOREIGNNESS: OWNERSHIP, LOCATI",,,,S2_abstract
1128,,International diversification and firm performance: a four-s,,,,no_abstract
1129,10.1108/mbr-08-2015-0037,Intensity and diversity of internationalization among small ,,,,S2_abstract
1135,10.1111/1468-0106.12206,"Market Efficiency, Heterogeneous Trade Costs and Export-Only",,,,S2_abstract
1137,,Working capital management practices in India: survey eviden,,,,S2_abstract
1147,10.1108/ribs-01-2014-0016,International diversification and firm's value: evidence fro,,,,S2_abstract
1148,10.1108/cg-05-2016-0110,Financial dimension of internationalization: serving two mas,,,,no_abstract
1160,10.1057/s41291-017-0018-2,Innovation strategy and export intensity of Chinese SMEs: th,,,,no_abstract
1161,10.1287/isre.2017.0689,"Information Technology, Revenues, and Profits: Exploring the",,,,S2_abstract
1166,,Linking Key Performance Indicators to New International Vent,,,,S2_abstract
1177,10.1108/apjba-12-2016-0113,The impact of within-country and within-firm factors on Japa,,,,S2_abstract
1184,10.1108/ribs-03-2017-0020,Failure processes of exporting firms: evidence from France,,,,S2_abstract
1189,10.1016/j.ibusrev.2017.04.004,How personal and organizational drivers impact on SME intern,,,,no_abstract
1191,10.1108/s1745-886220160000011007,NEW FACTS ABOUT BRIC MULTINATIONALS: FROM MACRO TO MICRO EVI,,,,S2_abstract
1199,10.29042/2017-2141-2149,Examining drivers of e-commerce marketing capabilities and t,,,,no_abstract
1202,,The effects of R&D intensity and internationalization on the,,,,no_abstract
1204,10.1111/twec.12530,The great trade collapse and the Spanish export miracle: Fir,,,,S2_abstract
1206,10.1080/09720502.2017.1382199,Analysis on the factors of Chinese manufacturing enterprises,,,,S2_abstract
1210,10.1108/ribs-06-2017-0050,Export promotion programmes for assisting SMEs,,,,S2_abstract
1211,10.1057/s41291-018-0036-8,Internationalization and performance of Korean SMEs: the mod,,,,no_abstract
1216,,Effects of the use of competitiveness as a strategy on expor,,,,S2_abstract
1219,10.1002/tie.21956,Foreign subsidiaries' status: Distinctive determinants and i,,,,S2_abstract
1226,10.15678/eber.2018.060203,"Export Intensity, Geographic Diversification and the Role of",,,,no_abstract
1229,,"Process and product innovations, multi-product status and ex",,,,no_abstract
1232,,International Entrepreneurship: A Meta-Analysis on the Inter,,,,no_abstract
1233,10.1108/jabs-06-2016-0082,Does guanxi influence product performance and customer loyal,,212,,S2_abstract
1236,10.1111/emre.12144,Firm Heterogeneity and Performance in a Turbulent Economic E,,,,S2_abstract
1238,10.1108/jrme-03-2016-0005,SMEs' marketing performance: the mediating role of market en,,,,S2_abstract
1239,10.1108/ebr-07-2016-0099,International new ventures and firm performance: evidence fr,,,,no_abstract
1242,10.1007/978-981-10-4536-3_12,Export Performance of SMEs in the Rwandan Mining Sector: Cha,,,,no_abstract
1250,,From intangible resources to export performance: Exploring t,,,,no_abstract
1252,,Firm internationalization and performance: Evidence for desi,,,,no_abstract
1255,10.1002/bse.2044,Signaling good by doing good: How does environmental corpora,,,,S2_abstract
1256,,"Internationalization and performance: Degree, duration, and ",,,,no_abstract
1258,10.1177/0266242618775169,Disentangling the effects of post-entry speed of internation,,,,no_abstract
1260,10.1016/j.jbusres.2018.02.025,International diversification and firm performance in the po,,,,no_abstract
1275,10.1007/s11575-018-0358-y,The Impact of Managers' Global Orientation on SME Export and,,,,no_abstract
1280,10.1108/ijoa-04-2017-1149,Corporate diversification and firm performance: an empirical,,,,S2_abstract
1287,10.1177/1548051817750535,Board Gender Diversity in the STEM&F Sectors: The Critical M,,,,S2_abstract
1288,10.1108/jkm-07-2017-0267,Key drivers of SMEs export performance: the mediating effect,,,,no_abstract
1294,10.1177/1042258718795318,"Slack, Innovation, and Export Intensity: Implications for Sm",,,,S2_abstract
1299,10.1080/00472336.2017.1346697,Huawei and ZTE in Malaysia: The Localisation of Chinese Tran,,,,S2_abstract
1302,,International e-commerce for fashion products: what is the r,,,,no_abstract
1304,,Effects of human capital on the relationship between export ,,,,S2_abstract
1309,,SME international performance in Latin America The role of e,,,,no_abstract
1310,,Internationalization and performance of Indian born globals ,,,,no_abstract
1318,10.1002/bse.2228,Environmental innovation inertia: Analyzing the business cir,,,,S2_abstract
1328,10.1002/tie.21991,Geographic export diversification: Determinants and their li,,,,no_abstract
1333,10.1108/ijchm-07-2017-0415,Role of resource slack in rapid international expansion of r,,,,S2_abstract
1341,10.3846/jbem.2019.6928,INTER-RELATIONSHIP BETWEEN FIRM GROWTH AND PROFITABILITY IN ,,,,S2_abstract
1350,10.1080/09638199.2019.1603319,Human capital and exports: A micro-level analysis of transit,,,,S2_abstract
1358,10.1177/0973174119839878,International Trade and Productivity Growth in Indian Indust,,,,S2_abstract
1364,10.1177/2158244019858444,Financial Support and Growth of Township and Village Enterpr,,,,S2_abstract
1373,,Effect of Marketing Strategies on Export Performance of Agri,,,,no_abstract
1379,10.2139/ssrn.2795139,Some twins are not alike: FDI premia in the former Soviet st,,,,S2_abstract
1383,10.1080/09585192.2017.1359793,Internationalization of Chinese banking and financial instit,,,,no_abstract
1390,,Family culture and organisational systems as antecedents of ,,,,S2_abstract
1391,10.1002/gsj.1183,Relationship between international experience and innovation,,,,no_abstract
1397,10.1142/s219456591950009x,"PERFORMANCE OF INDIAN CEMENT INDUSTRY: DRIVERS, MODELS AND E",,,,S2_abstract
1401,10.1177/1042258718779586,African Business Groups: How Does Group Affiliation Improve ,,,,S2_abstract
1402,10.1080/00036846.2019.1659501,The impact of OFDI on the performance of Chinese firms along,,,,no_abstract
1403,10.1111/twec.12848,"Bank credit, public financial incentives, tax financial ince",,,,no_abstract
1408,10.35611/jkt.2019.23.3.1,Overseas Subsidiaries and the Productivity of Two-way Tradin,,,,S2_abstract
