batch_no,seq,year,authors,title,journal,link,icrv,dpl,extraction_priority,r_reported,r_type,sample_n,converted_r,nonlinear,turning_point,notes,ready_for_r
13,2246,2026,"Lukason, Oliver; Vissak, Tiia",Ceasing Export Activities: A Dynamic Analysis of Pre-Exit Financial and Internat,INFORMATION,https://doi.org/10.3390/info17010045,,3,A_DOI,,,,,,,,0
14,2248,2026,"Antenozio, Ludovica; Marques, Pilar; Bik",Digital orientation and performance in innovative SMEs: exploring the (curvi)lin,TECHNOVATION,https://doi.org/10.1016/j.technovation.2026.103478,1,3,A_DOI,,,,,,,,0
15,2249,2026,"Lisboa, Ana Catarina Cadima; Skarmeas, D",Juggling Markets and Products: How Does Ambidexterity Impact Export Performance?,JOURNAL OF INTERNATIONAL MARKETING,https://doi.org/10.1177/1069031x251408340,,3,A_DOI,,,,,,,,0
16,2252,2026,"Nahar, Sharmin; Alam, Muntasir",Technology-Enabled Cross-Border Entrepreneurship: The Role of Digital Platforms ,THUNDERBIRD INTERNATIONAL BUSINESS REVIE,https://doi.org/10.1002/tie.70093,1,3,A_DOI,,,,,,,,0
17,2260,2026,"Xu, Miao; Lu, Bing","The data-driven decision-making, sustainable value creation, and international f",PLOS ONE,https://doi.org/10.1371/journal.pone.0340731,,3,A_DOI,,,,,,,,
18,2264,2026,"Cattaruzzo, Sebastiano; Coro, Giancarlo;",Technological complexity and global capabilities in SMEs. A survey in an Italian,INDUSTRY AND INNOVATION,https://doi.org/10.1080/13662716.2026.2637174,1,3,A_DOI,,,,,,,,0
19,2276,2026,"Yu, Xiaoyuan; He, Hua; Dadashzade, Gulmi",The carbon cost of export-oriented growth: Firm-level evidence on embedded carbo,ENERGY STRATEGY REVIEWS,https://doi.org/10.1016/j.esr.2026.102215,2,3,A_DOI,,,,,,,,0
20,2280,2026,Zhang X.,Corporate performance effects of digital empowerment under the Belt and Road Ini,International Review of Economics and Fi,https://doi.org/10.1016/j.iref.2026.105315,2,3,A_DOI,,,,,,,,0
21,2282,2026,Torrent-Sellens J.,"Digital Transformation, Internationalization and Productivity in Small and Mediu",Journal of the Knowledge Economy,https://doi.org/10.1007/s13132-026-03199-w,1,3,A_DOI,,,,,,,,0
22,2284,2026,Liu R.R.,Early Internationalization in Family and Non-family Firms: Performance Implicati,Management International Review,https://doi.org/10.1007/s11575-026-00618-7,,3,A_DOI,,,,,,,,0
23,2285,2026,Cattaruzzo S.,"Robots, Firms, and Regions: Explaining Spanish Manufacturing Firms’ Productivity",Journal of the Knowledge Economy,https://doi.org/10.1007/s13132-026-03261-7,1,3,A_DOI,,,,,,,,0
24,179,2025,"Martos-Pedrero, Antonio; Cortes-Garcia, ","Internationalization, innovation, and resilience: Financial performance of agric",JOURNAL OF RURAL STUDIES,https://doi.org/10.1016/j.jrurstud.2025.103682,1,3,A_DOI,,,,,,,,NO
25,176,2025,"Anggara, Ali Akbar; Aryoko, Yudhistira P","Does Maintaining Resources, Diversification, and Internationalization Matter for",SUSTAINABILITY,https://doi.org/10.3390/su17041576,2,3,A_DOI,,,,,,,,NO
26,182,2025,"Nguyen, Ngoc Minh; Nguyen, Huong Thi Lie",Effects of internationalization on supply chain agility and business performance,JOURNAL OF GLOBAL OPERATIONS AND STRATEG,https://doi.org/10.1108/jgoss-10-2024-0102,2,3,A_DOI,,,,,,,,NO
27,463,2025,"Sousa, Carlos M. P.; Tsinopoulos, Christ",Finding the sweet spot: effects of exporting on the relationship between R&D inv,INTERNATIONAL MARKETING REVIEW,https://doi.org/10.1108/imr-02-2024-0039,,3,A_DOI,,,,,,,,NO
28,181,2025,"Bukalska, Elzbieta; Czerniak, Jakub; Flo",The Impact of Internationalization on Firm Performance of High-Tech Companies in,INZINERINE EKONOMIKA-ENGINEERING ECONOMI,https://doi.org/10.5755/j01.ee.36.3.31403,3,3,A_DOI,,,,,,,,NO
29,462,2025,"Shershunovich, Yauheniya; Mirzabaev, Ali","Clean, competitive, and productive? The impact of environment-friendly technolog",NATURAL RESOURCES FORUM,https://doi.org/10.1111/1477-8947.12525,,3,A_DOI,,,,,,,,NO
30,464,2025,"Chiao, Yu-Ching; Chang, Yu-Chen; Lin, Ch","Bribery, local network, and local performance among multinational corporations: ",JOURNAL OF BUSINESS & INDUSTRIAL MARKETI,https://doi.org/10.1108/jbim-04-2024-0284,1,3,A_DOI,,,,,,,,NO
31,465,2025,"Geldres-Weiss, Valeska V.; Guerrero-Stua","Firm-Level Carbon Productivity, Home Country Environmental Performance, and Firm",SUSTAINABILITY,https://doi.org/10.3390/su17125381,,3,A_DOI,,,,,,,,NO
32,2081,2025,"Chiao, Yu-Ching; Chang, Yu-Chen; Hsu, Yi",Gender diversity in top management team and corporate social responsibility perf,GENDER IN MANAGEMENT,https://doi.org/10.1108/gm-01-2024-0033,,3,A_DOI,,,,,,,,0
33,2090,2025,"Sun, Kai; Kumbhakar, Subal C.; Lien, Gud",Productivity and growth decomposition: a novel single-index smooth-coefficient s,EUROPEAN REVIEW OF AGRICULTURAL ECONOMIC,https://doi.org/10.1093/erae/jbae024,1,3,A_DOI,,,,,,,,0
34,2093,2025,"Tinits, Priit; Yi, Jingtao; Fey, Carl F.",Government R&D support's effects on export performance via innovation: An analys,INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1016/j.ibusrev.2024.102345,,3,A_DOI,,,,,,,,0
35,2101,2025,"Frey, Rainer; Goldbach, Stefan",Internationalisation as a boost for many firms: evidence from Germany,REVIEW OF WORLD ECONOMICS,https://doi.org/10.1007/s10290-024-00567-z,1,3,A_DOI,,,,,,,,
36,2109,2025,"Jalali, Hossein S.",Reframing government support for SMEs' performance in international market: the ,ASIA-PACIFIC JOURNAL OF BUSINESS ADMINIS,https://doi.org/10.1108/apjba-11-2024-0621,0,3,A_DOI,,,,,,,,0
37,2111,2025,"Abubakar, Mukhtar Salisu; Rahim, Norhuda",Learning Orientation and Export Performance in Nigeria: The Moderating Effect of,GADJAH MADA INTERNATIONAL JOURNAL OF BUS,https://doi.org/10.22146/gamaijb.74896,3,3,A_DOI,,,,,,,,0
38,2113,2025,"Garrab, Mehdi Younes","Dynamic capabilities, ordinary capabilities and international intensity contribu",REVIEW OF INTERNATIONAL BUSINESS AND STR,https://doi.org/10.1108/ribs-09-2023-0102,,3,A_DOI,,,,,,,,
39,2115,2025,"Ul Ain, Qurat; Javaid, Hafiz Mustansar; ",Navigating international waters: the board's role in enhancing intellectual capi,INTERNATIONAL JOURNAL OF EMERGING MARKET,https://doi.org/10.1108/ijoem-06-2024-0944,2,3,A_DOI,,,,,,,,
40,2116,2025,"Zhang, Hongmei; Xing, Mu; Chen, Dong",Can the Succession Plan for Family Business Achieve Social Employment Stability?,ECONOMIES,https://doi.org/10.3390/economies13010005,2,3,A_DOI,,,,,,,,
41,2117,2025,"Kaur, Navjot; Singh, Balwinder",Unveiling Determinants of Resource Allocation to R&D and Advertising: Insights f,GLOBAL BUSINESS REVIEW,https://doi.org/10.1177/09721509241308023,3,3,A_DOI,,,,,,,,0
42,2121,2025,"Avenyo, Elvis Korku; Tregenna, Fiona",'Learning to Export' and 'Learning By Exporting': Revisiting the Relationship Be,AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAI,https://doi.org/10.1111/1467-8268.70001,,3,A_DOI,,,,,,,,0
43,2122,2025,"Szwajca, Danuta; Rydzewska, Alina",Effects and Determinants of Implementing Digital Customer Service Tools in Polis,SUSTAINABILITY,https://doi.org/10.3390/su17031022,1,3,A_DOI,,,,,,,,
44,2124,2025,"Pedrazzoli, Agustin; Peralta, Ignacio Al",Financial accumulation in non-financial corporations: a firm-level assessment fo,SOCIO-ECONOMIC REVIEW,https://doi.org/10.1093/ser/mwaf006,0,3,A_DOI,,,,,,,,
45,2128,2025,"Capelleras, Joan-Lluis; Martin-Sanchez, ",The curvilinear relationship between digitalization and export propensity: The r,TECHNOLOGICAL FORECASTING AND SOCIAL CHA,https://doi.org/10.1016/j.techfore.2025.124043,0,3,A_DOI,,,,,,,,0
46,2133,2025,"Zhou, Hua; Zhang, Xiaodong; Yang, Lun",Balancing export intensity and innovation: Uncovering the inverted-U relationshi,ECONOMIC ANALYSIS AND POLICY,https://doi.org/10.1016/j.eap.2025.02.028,2,3,A_DOI,,,,,,,,0
47,2141,2025,"Wang, Xiaozhuo; Yang, Guang",Does being embedded in RTA networks promote firm productivity? Evidence from Chi,INTERNATIONAL REVIEW OF ECONOMICS & FINA,https://doi.org/10.1016/j.iref.2025.103973,2,3,A_DOI,,,,,,,,0
48,2144,2025,"Edeh, Jude; Olarewaju, Adeniyi D.; Kusi,",What drives SME export intensity in transition economies? The role of infrastruc,TECHNOLOGICAL FORECASTING AND SOCIAL CHA,https://doi.org/10.1016/j.techfore.2025.124123,0,3,A_DOI,,,,,,,,0
49,2153,2025,"Csurilla, Gergely; Bakucs, Zoltan; Ferto","Wine, markups, and export behavior: Evidence from Hungary",JOURNAL OF WINE ECONOMICS,https://doi.org/10.1017/jwe.2025.7,2,3,A_DOI,,,,,,,,0
50,2175,2025,"Mansouri, Samy; Kaswengi, Joseph",Linking Dynamic Capabilities to Export Performance in Africa: The Moderating Rol,THUNDERBIRD INTERNATIONAL BUSINESS REVIE,https://doi.org/10.1002/tie.70001,,3,A_DOI,,,,,,,,0
51,2177,2025,"Bataineh, Mohammad Jamal; Sanchez-Seller","Export intensity, intellectual property and technology development as drivers fo",EUROPEAN JOURNAL OF INTERNATIONAL MANAGE,https://doi.org/10.1504/ejim.2025.146843,,3,A_DOI,,,,,,,,0
52,2179,2025,"Sharma, Ruchita; Sharma, Ruchi",A firm-level analysis of the impact of foreign direct investment in research and,TRANSNATIONAL CORPORATIONS REVIEW,https://doi.org/10.1016/j.tncr.2025.200126,3,3,A_DOI,,,,,,,,0
53,2182,2025,"Popli, Manish; Raithatha, Mehul; Gaur, A","Speed of Institutional Reforms, Competitive Dynamics, and Cross-border Acquisiti",BRITISH JOURNAL OF MANAGEMENT,https://doi.org/10.1111/1467-8551.70001,0,3,A_DOI,,,,,,,,0
54,2183,2025,"Bose, Tarun Kanti; Orni, Sadia Akbor; Mo",Transaction Cost and Performance of Born Globals: The Role of Transaction Cost I,THUNDERBIRD INTERNATIONAL BUSINESS REVIE,https://doi.org/10.1002/tie.70005,0,3,A_DOI,,,,,,,,
55,2185,2025,"Miroshnychenko, Ivan; Ardito, Lorenzo; C",Old but Sold? Innovation Through Tradition Strategy for Export and the Role of F,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,https://doi.org/10.1111/jpim.12796,,3,A_DOI,,,,,,,,0
56,2199,2025,"Alsahlawi, Rawan; Fifield, Suzanne; Dunn",Determinants of risk reporting practices in Saudi Arabia: an institutional persp,JOURNAL OF ACCOUNTING IN EMERGING ECONOM,https://doi.org/10.1108/jaee-01-2025-0028,4,3,A_DOI,,,,,,,,
57,2219,2025,"Gao, Qiuling; Zhang, Zhaoyi; Bao, Xinjie",International ambidexterity and innovation performance of EMNEs: the moderating ,CHINESE MANAGEMENT STUDIES,https://doi.org/10.1108/cms-09-2024-0683,2,3,A_DOI,,,,,,,,0
58,2221,2025,"Rehman, Saif; Rachid, Alami; Naseem, Abi",Is the grass greener on the other side? The role of Western directors strategy i,COGENT BUSINESS & MANAGEMENT,https://doi.org/10.1080/23311975.2025.2576281,0,3,A_DOI,,,,,,,,
59,2228,2025,"Shahbazi, Kiumars",Does financial development contribute to the nonlinear relationship between inno,COMPETITIVENESS REVIEW,https://doi.org/10.1108/cr-04-2024-0074,,3,A_DOI,,,,,,,,0
60,2234,2025,"Danta, Subal; Rath, Badri Narayan",The Determinants of Information Communication Technology Adoption in the Case of,GLOBAL BUSINESS REVIEW,https://doi.org/10.1177/09721509251399758,3,3,A_DOI,,,,,,,,0
61,2235,2025,"Goel, Rohit; Sengupta, Swapnanil; Das, U",Corporate Foreign Exchange Risk in India: Firm-level Evidence and Some Policy Im,MARGIN-JOURNAL OF APPLIED ECONOMIC RESEA,https://doi.org/10.1177/00252921251401022,3,3,A_DOI,,,,,,,,0
62,2237,2025,"Cheng, Cong; Chen, Linyi",Profitability and CSR: Inconsistent performance feedback and OFDI location choic,JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1016/j.intman.2025.101308,,3,A_DOI,,,,,,,,0
63,2287,2025,Reddy K.,"DIGITALIZATION, FIRM PERFORMANCE AND INTERNATIONALIZATION OF MICROFIRMS IN INDIA",Asia Pacific Sustainable Development Jou,https://doi.org/10.18356/26178419-32-2-5,3,3,A_DOI,,,,,,,,0
64,2288,2025,Lukason O.,Being (Not) Successful in Internationalisation After Receiving Export Support: W,Information Switzerland,https://doi.org/10.3390/info16070544,,3,A_DOI,,,,,,,,0
65,2289,2025,Galvis Ciro J.C.,Internationalization and financial performance in Colombian firms,Revista De Metodos Cuantitativos Para La,https://doi.org/10.46661/rev.metodoscuant.econ.empresa.10640,2,3,A_DOI,,,,,,,,0
66,2290,2025,Radović Marković M.M.,Gender Perspectives on SME International Trade and Revenue in the Digital Era: E,Journal of Women S Entrepreneurship and ,https://doi.org/10.28934/jwee25.12.pp198-216,2,3,A_DOI,,,,,,,,0
67,2291,2025,Heriqbaldi U.,"Export promotion programs and firm performance: Linking knowledge, commitment, a",Journal of Open Innovation Technology Ma,https://doi.org/10.1016/j.joitmc.2025.100479,,3,A_DOI,,,,,,,,0
68,2292,2025,Huang J.,The Impact of Digital Technology Adoption and Internationalization on Manufactur,International Journal of Economics and M,https://doi.org/10.47836/ijeam.19.2.03,2,3,A_DOI,,,,,,,,0
69,533,2024,"Srividhya, M.; Vidya, C. T.",Internationalization at Inception: Insights from the Indian Textile Industry's B,JOURNAL OF ECONOMIC INTEGRATION,https://doi.org/10.11130/jei.2024033,3,2,A_DOI,,,,,,,,NO
70,193,2024,"Amin, Ali; Ali, Rizwan; Rehman, Ramiz Ur",Effects of female CEO and female CFO on internationalization and firm performanc,CORPORATE GOVERNANCE-THE INTERNATIONAL J,https://doi.org/10.1108/cg-12-2022-0512,0,3,A_DOI,,,,,,,,NO
71,195,2024,"Arbelo, Antonio; Arbelo-Perez, Marta; Pe",Internationalization and individual firm performance: a resource-based view,EURASIAN BUSINESS REVIEW,https://doi.org/10.1007/s40821-024-00276-5,0,3,A_DOI,,,,,,,,NO
72,196,2024,"Carchano, Marcos; Carrasco, Inmaculada; ",Analysis the nexus between internationalization and financial performance in win,CORPORATE SOCIAL RESPONSIBILITY AND ENVI,https://doi.org/10.1002/csr.2894,0,3,A_DOI,,,,,,,,NO
73,466,2024,"Idris, Bochra; Saridakis, George; George",Exporting is a team sport: the link between management training and performance ,INTERNATIONAL JOURNAL OF MANPOWER,https://doi.org/10.1108/ijm-03-2023-0150,,3,A_DOI,,,,,,,,NO
74,1767,2024,"Forte, Rosa Portela; Carvalho, Sergio",Do domestic market characteristics influence firms' export intensity?,EUROMED JOURNAL OF BUSINESS,https://doi.org/10.1108/emjb-09-2021-0129,0,3,A_DOI,,,,,,,,0
75,1860,2024,"Zheng, Xian; Deng, Jiawei; Song, Xiangna","Examining the nonlinear relationships of corporate social responsibility, innova",ENGINEERING CONSTRUCTION AND ARCHITECTUR,https://doi.org/10.1108/ecam-03-2022-0286,2,3,A_DOI,,,,,,,,0
76,1921,2024,"Gomez-Sanchez, Andres Mauricio; Castille",On the Direct and Indirect Effects of ICT on SMEs Export Performance: Evidence f,JOURNAL OF THE KNOWLEDGE ECONOMY,https://doi.org/10.1007/s13132-023-01378-7,2,3,A_DOI,,,,,,,,0
77,1962,2024,"Kalasin, Kiattichai",Strategic divestment of emerging market firms: the influence of returnee manager,JOURNAL OF GLOBAL MOBILITY-THE HOME OF E,https://doi.org/10.1108/jgm-04-2023-0029,0,3,A_DOI,,,,,,,,
78,1964,2024,"Koval, Mariia; Iurkov, Viacheslav; Benit",The interplay of international alliance and subsidiary portfolios: Implications ,JOURNAL OF WORLD BUSINESS,https://doi.org/10.1016/j.jwb.2023.101500,,3,A_DOI,,,,,,,,0
79,1967,2024,"Nguyen, Dao T. H.; Kokko, Ari; Nguyen, T",Multinational enterprises and local firms' export market entry: A panel data ana,AGRIBUSINESS,https://doi.org/10.1002/agr.21872,3,3,A_DOI,,,,,,,,0
80,1985,2024,"Batsakis, Georgios; Mohr, Alexander; Kon",The Effect of Foreign Divestment on Subsequent Firm Performance: The Moderating ,BRITISH JOURNAL OF MANAGEMENT,https://doi.org/10.1111/1467-8551.12786,1,3,A_DOI,,,,,,,,0
81,2000,2024,"Abdi, Majid; Aulakh, Preet S.; Ma, Ziche",Exploratory Search and International Performance: When Do Local Alliances Matter,JOURNAL OF INTERNATIONAL MARKETING,https://doi.org/10.1177/1069031x231216409,0,3,A_DOI,,,,,,,,0
82,2008,2024,"Varga, Anna Roza; Sipos, Norbert; Rideg,",The comparison of RBV-based competitiveness of Hungarian family-owned and non-fa,COMPETITIVENESS REVIEW,https://doi.org/10.1108/cr-02-2023-0017,1,3,A_DOI,,,,,,,,
83,2013,2024,"Hassen, Nesredin Temam; Lema, Mesfin; Ne",Financial and marketing approach to export performance: the mediation role of pr,COGENT BUSINESS & MANAGEMENT,https://doi.org/10.1080/23311975.2024.2315658,,3,A_DOI,,,,,,,,0
84,2015,2024,"Hutauruk, Martinus Robert",The effect of R&D expenditures on firm value with firm size moderation in an Ind,COGENT BUSINESS & MANAGEMENT,https://doi.org/10.1080/23311975.2024.2317448,3,3,A_DOI,,,,,,,,
85,2020,2024,"Godbole, Madhura; R. L., Manogna",Does internationalization and board diversity affect family firms&apos; sustaina,BUSINESS STRATEGY AND DEVELOPMENT,https://doi.org/10.1002/bsd2.365,0,3,A_DOI,,,,,,,,0
86,2028,2024,"Bhattacharyya, Som Sekhar; Nemana, Prave","Effect of Demonetization on Advertising, Research & Development and Human Resour",VISION-THE JOURNAL OF BUSINESS PERSPECTI,https://doi.org/10.1177/09722629211042437,3,3,A_DOI,,,,,,,,
87,2039,2024,"Askarzadeh, Alireza; Kanaanitorshizi, Mo",International Diversification and Stock-Price Crash Risk,INTERNATIONAL JOURNAL OF FINANCIAL STUDI,https://doi.org/10.3390/ijfs12020047,0,3,A_DOI,,,,,,,,
88,2041,2024,"Onjewu, Adah-Kole Emmanuel; Nyuur, Richa","Foreign Ownership, Board of Directors, and Environmental Commitment in European ",THUNDERBIRD INTERNATIONAL BUSINESS REVIE,https://doi.org/10.1002/tie.22396,0,3,A_DOI,,,,,,,,0
89,2046,2024,"Panicker, Vidya Sukumara; Georgiadou, El",Generous to a fault: Differential impact of CSR investments on financial gains i,JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1016/j.intman.2024.101142,3,3,A_DOI,,,,,,,,0
90,2049,2024,"Navaia, Eurico; Moreira, Antonio; Ribau,",The mediating roles of cost leadership and cost focus strategies on innovation c,COGENT BUSINESS & MANAGEMENT,https://doi.org/10.1080/23311975.2024.2375410,,3,A_DOI,,,,,,,,0
91,2053,2024,"Lages, Luis Filipe; Silva, Graca Miranda","Balancing people, planet and profit: export strategies for sustainable value cre",SUSTAINABILITY ACCOUNTING MANAGEMENT AND,https://doi.org/10.1108/sampj-09-2023-0687,,3,A_DOI,,,,,,,,0
92,2056,2024,"Sommeno, Tigist Woldetsadik; Mersland, R",The impact of liability of foreignness on performance in hybrid organizations,JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1016/j.intman.2024.101133,,3,A_DOI,,,,,,,,0
93,2060,2024,"Shen, Suqin; Venaik, Sunil; Liesch, Pete",A novel model linking UN SDGs with international experience and firm performance,INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1016/j.ibusrev.2023.102170,,3,A_DOI,,,,,,,,0
94,2065,2024,"Jalali, Hossein S.",Trade policy revisited: how government support initiatives affect international ,REVIEW OF INTERNATIONAL BUSINESS AND STR,https://doi.org/10.1108/ribs-02-2024-0015,,3,A_DOI,,,,,,,,0
95,2066,2024,"Ding, Sasa; Liu, Yajun; Huang, Yi",Is OFDI persistence beneficial for firms' performance? Evidence from Chinese fir,BALTIC JOURNAL OF MANAGEMENT,https://doi.org/10.1108/bjm-02-2024-0058,2,3,A_DOI,,,,,,,,0
96,2068,2024,"Kuzey, Cemil; Gerged, Ali Meftah; Uyar, ",Rethinking board structures in the age of multinational corporations: A global i,JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1016/j.intman.2024.101175,0,3,A_DOI,,,,,,,,
97,2074,2024,"Chung, Henry F. L.; Ho, Mia Hsiao-Wen","The effect of standardized advertising, managerial ties and born global orientat",JOURNAL OF BUSINESS & INDUSTRIAL MARKETI,https://doi.org/10.1108/jbim-12-2023-0761,,3,A_DOI,,,,,,,,0
98,2118,2024,"Pham, Thuy-Dzung T.; Vo, Thi Huong Giang",Diverse Leadership and Firm Success: The Role of Top Management Socialisation,MARKETING AND MANAGEMENT OF INNOVATIONS,https://doi.org/10.21272/mmi.2024.4-08,,3,A_DOI,,,,,,,,
99,2146,2024,"Civelek, Mehmet",The Importance of Resource-based View Related Abilities and Financial Performanc,JOURNAL OF MEHMET AKIF ERSOY UNIVERSITY ,https://doi.org/10.30798/makuiibf.1510554,,3,A_DOI,,,,,,,,
100,2297,2024,Wudu A.,Industry clusters and firm performance: Evidence from the leather product indust,Heliyon,https://doi.org/10.1016/j.heliyon.2024.e39486,,3,A_DOI,,,,,,,,0
101,2304,2024,Soesetio Y.,Mediating role of competitiveness between process innovation and financial perfo,International Journal of Applied Economi,https://doi.org/10.33094/ijaefa.v18i1.1362,,3,A_DOI,,,,,,,,0
102,2305,2024,Huimin C.,Impact of Specific Intangible Assets on Firm Internationalization and Performanc,Journal of Management and Business Resea,https://doi.org/10.6504/jmbr.202412_41(4).0004,,3,A_DOI,,,,,,,,0
103,2306,2024,Fayyaz U.E.R.,Role of technology director in boosting internationalisation and performance: an,International Journal of Business Govern,https://doi.org/10.1504/ijbge.2024.141806,0,3,A_DOI,,,,,,,,0
104,2307,2024,Hussain W.,"ESG disclosure, firm internationalization, and firm financial performance: Evide",Journal of International Studies,https://doi.org/10.14254/2071-8330.2024/17-2/13,0,3,A_DOI,,,,,,,,0
105,2308,2024,Chen M.,Analysis of Executive Compensation Management Strategies of Multinational Enterp,Applied Mathematics and Nonlinear Scienc,https://doi.org/10.2478/amns-2024-1203,,3,A_DOI,,,,,,,,
106,468,2023,"Heriqbaldi, Unggul; Jayadi, Achmad; Erla","Survey data on organizational resources and capabilities, export marketing strat",DATA IN BRIEF,https://doi.org/10.1016/j.dib.2023.109112,2,3,A_DOI,,,,,,,,NO
107,216,2023,"Luu, Tien Dung; Trinh, Lan Anh; Nguyen, ",Degree of internationalisation and firm performance: the flattening role of orga,REVIEW OF INTERNATIONAL BUSINESS AND STR,https://doi.org/10.1108/ribs-03-2022-0030,0,3,A_DOI,,,,,,,,NO
108,219,2023,"Park, Sang-Bum",Internationalization and firm performance: moderating role of multi-stakeholder ,MULTINATIONAL BUSINESS REVIEW,https://doi.org/10.1108/mbr-10-2022-0168,0,3,A_DOI,,,,,,,,NO
109,1579,2023,"Lee, Youngwoo; Hemmert, Martin",Performance implications of combining innovation and internationalization for Ko,ASIAN BUSINESS & MANAGEMENT,https://doi.org/10.1057/s41291-020-00144-w,1,3,A_DOI,,,,,,,,0
110,1650,2023,"Singal, Ajay Kumar; Ahsan, Faisal Mohamm",The relationship between cross-border acquisitions and R&D investments by Indian,INTERNATIONAL JOURNAL OF EMERGING MARKET,https://doi.org/10.1108/ijoem-08-2020-0913,3,3,A_DOI,,,,,,,,
111,1680,2023,"Fang, Xiuyuan; Jiang, Marshall S.; Li, Y",Intangible resources and firms' innovation performance: empirical evidence from ,EUROPEAN JOURNAL OF INNOVATION MANAGEMEN,https://doi.org/10.1108/ejim-04-2021-0197,2,3,A_DOI,,,,,,,,0
112,1686,2023,"Machado, Marcelo Andre; Bischoff, Vivian",The use and knowledge of export promotion programs in the early internationaliza,INTERNATIONAL JOURNAL OF EMERGING MARKET,https://doi.org/10.1108/ijoem-09-2020-1114,2,3,A_DOI,,,,,,,,0
113,1688,2023,"Shakil, Mohammad Hassan; Wahab, Nor Shai","Top management team heterogeneity, corporate social responsibility and firm risk",JOURNAL OF FINANCIAL REPORTING AND ACCOU,https://doi.org/10.1108/jfra-02-2021-0036,2,3,A_DOI,,,,,,,,
114,1722,2023,"Jafari, Yaghoob; Koppenberg, Maximilian;",Markups and export behavior: Firm-level evidence from the French food processing,AMERICAN JOURNAL OF AGRICULTURAL ECONOMI,https://doi.org/10.1111/ajae.12292,1,3,A_DOI,,,,,,,,0
