seq,doi,title,year,s2_pdf_url,s2_found,error
2330,10.1007/s40171-022-00308-x,Comparing Developed and Emerging Countries Exporting Performance: Does Strategic,2022,,False,
2335,10.1177/00194662211063574,What Determines Profitability in the Indian Automobile Industry?,2022,,False,
2336,10.1504/jgba.2022.127205,Internationalisation and the performance of German firms,2022,,False,not_found
473,10.1111/jifm.12134,Exploring nonlinear linkage between profitability and leverage: US multinational,2021,,False,
471,10.1057/s41267-020-00360-8,No place like home: The effect of exporting to the country of origin on the fina,2021,,False,
472,10.1016/j.jbusres.2021.02.026,Export status and SME productivity: Learning-to-export versus learning-by-export,2021,https://eprints.whiterose.ac.uk/171181/1/Gkypali%20Love%20and%20Roper%20final.pdf,True,
1539,10.1177/1938965520958703,The Effect of Internationalization on Firm Performance: A Moderating Role of Het,2021,https://scholarsphere.psu.edu/resources/2823e7e9-6fc8-4b2b-b558-382c78654183,True,
1544,10.1108/mf-04-2020-0162,Debt-performance relationship and firms' international trade activities,2021,,False,
1558,10.1108/jadee-07-2020-0156,Innovation and firm growth in agricultural inputs industry: empirical evidence f,2021,,False,
1563,10.1002/bse.2693,Environmental policies and financial performance: stock market reaction to firms,2021,,False,
1603,10.1108/ijis-07-2020-0104,Does investment in innovation impact firm performance in emerging economies? An ,2021,,False,
1625,10.1057/s41267-021-00429-y,The dynamic process of pro-market reforms and foreign affiliate performance: Whe,2021,,False,
1626,10.1080/19186444.2021.1908791,Modelling two-way relationship between innovation and internationalisation: does,2021,,False,
1647,10.1108/ejm-04-2019-0309,"International competitive strategies, organizational learning and export perform",2021,,False,
1654,10.1504/ejim.2021.116703,Riding the storm out: the short- and long-term effects of export promotion on fi,2021,,False,not_found
1675,10.1504/ejim.2021.117522,Testing critical levels in product and geographic diversification: a structural ,2021,,False,not_found
1709,10.35611/jkt.2021.25.7.1,Degree of Internationalization and Performance of High-tech Small and Medium-siz,2021,,False,
2347,10.1016/j.jbvi.2020.e00210,Unpacking the age at initial internationalization-performance relationship: A me,2021,,False,
2349,10.1017/mor.2020.39,Performance Effects of Internationalization: Contingency Theory Analysis of Russ,2021,,False,
2353,10.1504/ijbir.2021.116382,The effect of innovation on the financial performance and export intensity of fi,2021,,False,not_found
2355,10.33403/rigeo.800652,Global Trading of Electronic Component in Indonesia Manufacturing Industry,2021,,False,not_found
1402,10.1080/00036846.2019.1659501,The impact of OFDI on the performance of Chinese firms along the 'Belt and Road',2020,,False,
1403,10.1111/twec.12848,"Bank credit, public financial incentives, tax financial incentives and export pe",2020,,False,
1446,10.1016/j.ribaf.2019.101099,Do foreign investments increase firm value and firm performance? Evidence from J,2020,,False,
1454,10.1108/md-01-2018-0104,The effect of inter- and intra-regional geographic diversification strategies on,2020,,False,
1469,10.1108/mbr-09-2019-0104,Foreign venture capital firms and internationalization of ventures,2020,,False,
1475,10.1080/19761597.2020.1726781,Dynamic process: international diversification and innovation performance from e,2020,,False,
1478,10.1016/j.jhtm.2020.01.002,"Family involvement, internationalisation and performance: An empirical study of ",2020,https://rua.ua.es/dspace/bitstream/10045/102150/5/2020_Rienda_etal_JHospitalityTourManag_revised.pdf,True,
1505,10.1016/j.ijhm.2020.102461,The relationship between board diversity and firm performance in the lodging ind,2020,,False,
1506,10.1108/ijse-03-2019-0198,Human capital and export performance of small and medium enterprises in Pakistan,2020,,False,
1590,10.1016/j.intman.2020.100779,Modelling the effects of institutional support and international knowledge on co,2020,,False,
1629,10.1177/0972262920955007,Automotive Components Industry and Profitability Factors: Evidence from India,2020,,False,
1697,10.1007/s40812-020-00156-9,"Investments, export entry and export intensity in small manufacturing firms",2020,,False,
2364,10.1504/ijgsb.2020.109154,Internationalisation strategies and firms' performance. A co-evolutionary study ,2020,,False,
2368,10.31838/jcr.07.11.94,A region-wise analysis of export performance of msme sector in India and its det,2020,,False,not_found
479,10.1111/twec.12807,Detecting learning-by-exporting effects on firms' productivity distribution by a,2019,,False,
1328,10.1002/tie.21991,Geographic export diversification: Determinants and their link with export perfo,2019,,False,
1391,10.1002/gsj.1183,Relationship between international experience and innovation performance: The im,2019,,False,
1397,10.1142/s219456591950009x,"PERFORMANCE OF INDIAN CEMENT INDUSTRY: DRIVERS, MODELS AND EMPIRICS",2019,,False,
1401,10.1177/1042258718779586,African Business Groups: How Does Group Affiliation Improve SMEs' Export Intensi,2019,,False,
1425,10.1108/mbr-09-2018-0061,Impacts of dynamic managerial capability and international opportunity identific,2019,http://shura.shu.ac.uk/25047/9/Mostafiz-ImpactsDynamicManagerial%28AM%29.pdf,True,
1428,10.1016/j.intman.2019.100687,The effects of international diversification on the link between product diversi,2019,,False,
1474,10.35611/jkt.2019.23.7.156,The Effects of International Entrepreneurial Orientation and Entrepreneurial Act,2019,,False,
1501,10.1108/igdr-10-2018-0108,Trade liberalization and productivity of Indian manufacturing firms,2019,,False,
2379,10.15722/jds.17.07.201907.45,Does multinationality matter the firm performance?,2019,,False,not_found
480,10.1016/j.qref.2017.11.015,"Exporting, access of foreign technology, and firms' performance: Searching the l",2018,,False,
1204,10.1111/twec.12530,The great trade collapse and the Spanish export miracle: Firm-level evidence fro,2018,https://www.econstor.eu/bitstream/10419/118601/1/826814786.pdf,True,
1210,10.1108/ribs-06-2017-0050,Export promotion programmes for assisting SMEs,2018,,False,
1211,10.1057/s41291-018-0036-8,Internationalization and performance of Korean SMEs: the moderating role of comp,2018,,False,
1219,10.1002/tie.21956,Foreign subsidiaries' status: Distinctive determinants and implications for subs,2018,,False,
1233,10.1108/jabs-06-2016-0082,Does guanxi influence product performance and customer loyalty?,2018,,False,
1236,10.1111/emre.12144,Firm Heterogeneity and Performance in a Turbulent Economic Environment: Evidence,2018,http://eprints.whiterose.ac.uk/124794/7/EMR%202FULL.pdf,True,
1238,10.1108/jrme-03-2016-0005,SMEs' marketing performance: the mediating role of market entry capability,2018,,False,
1239,10.1108/ebr-07-2016-0099,International new ventures and firm performance: evidence from India,2018,,False,
1255,10.1002/bse.2044,Signaling good by doing good: How does environmental corporate social responsibi,2018,,False,
1260,10.1016/j.jbusres.2018.02.025,International diversification and firm performance in the post-acquisition perio,2018,http://repository.essex.ac.uk/21647/1/JBR%20paper%202nd%20RR%20final-proofread-13-2-18.pdf,True,
1275,10.1007/s11575-018-0358-y,The Impact of Managers' Global Orientation on SME Export and Economic Performanc,2018,,False,
1280,10.1108/ijoa-04-2017-1149,Corporate diversification and firm performance: an empirical investigation of ca,2018,,False,
1288,10.1108/jkm-07-2017-0267,Key drivers of SMEs export performance: the mediating effect of competitive adva,2018,,False,
1294,10.1177/1042258718795318,"Slack, Innovation, and Export Intensity: Implications for Small- and Medium-Size",2018,,False,
1318,10.1002/bse.2228,Environmental innovation inertia: Analyzing the business circumstances for envir,2018,,False,
2386,10.1080/10599231.2018.1525248,International Export Orientation and Firm’s Performance: Evidence from Enterpris,2018,,False,
2388,10.1016/j.inteco.2017.10.006,Productivity and wage premiums: Evidence from Vietnamese ordinary and processing,2018,,False,
482,10.1177/0149206315573998,A Multimediation Model of Learning by Exporting: Analysis of Export-Induced Prod,2017,,False,
483,10.1504/ijbe.2017.10006208,"Distances, multinational organisational learning, and firm performance: a new pe",2017,,False,
1135,10.1111/1468-0106.12206,"Market Efficiency, Heterogeneous Trade Costs and Export-Only Firms",2017,,False,
1148,10.1108/cg-05-2016-0110,Financial dimension of internationalization: serving two masters,2017,,False,
1160,10.1057/s41291-017-0018-2,Innovation strategy and export intensity of Chinese SMEs: the moderating role of,2017,,False,
1161,10.1287/isre.2017.0689,"Information Technology, Revenues, and Profits: Exploring the Role of Foreign and",2017,https://figshare.com/articles/journal_contribution/Information_technology_revenues_and_profits_Exploring_the_role_of_foreign_and_domestic_operations/10753292/1/files/19264415.pdf,True,
1184,10.1108/ribs-03-2017-0020,Failure processes of exporting firms: evidence from France,2017,,False,
1189,10.1016/j.ibusrev.2017.04.004,How personal and organizational drivers impact on SME international performance:,2017,,False,
1191,10.1108/s1745-886220160000011007,NEW FACTS ABOUT BRIC MULTINATIONALS: FROM MACRO TO MICRO EVIDENCE,2017,,False,
1206,10.1080/09720502.2017.1382199,Analysis on the factors of Chinese manufacturing enterprises' direct investment ,2017,,False,
1242,10.1007/978-981-10-4536-3_12,Export Performance of SMEs in the Rwandan Mining Sector: Challenges and Prospect,2017,,False,
1299,10.1080/00472336.2017.1346697,Huawei and ZTE in Malaysia: The Localisation of Chinese Transnational Enterprise,2017,,False,
2395,10.1016/j.inteco.2017.06.004,Internationalization modes and productivity of Italian manufacturing: Some firm-,2017,,False,
2401,10.1177/0007650315576133,The Influence of International Scope on the Relationship Between Patented Enviro,2017,,False,
2404,10.1504/ijgsb.2017.089900,Financial structure effects on export intensity and diversification: The case of,2017,,False,not_found
1041,10.1177/0266242614539364,Cultural intelligence and export performance of small and medium enterprises in ,2016,,False,
1044,10.1007/s11365-014-0328-1,Unpacking the relationship between young ventures' international learning effort,2016,,False,
1058,10.1016/j.mulfin.2015.12.001,Short- and long-run effects of internationalization and R&D intensity on firm pe,2016,,False,
1061,10.1080/00036846.2015.1122733,"Interrelationship among foreign presence, domestic sales and export intensity in",2016,https://researchonline.jcu.edu.au/44055/11/44055%20Sun%20et%20al%202016.pdf,True,
1064,10.1002/gsj.1117,THE EFFECTS OF HOME COUNTRY POLITICAL AND LEGAL INSTITUTIONS ON FIRMS' GEOGRAPHI,2016,,False,
1081,10.1016/j.indmarman.2016.01.006,"Export intensity, scope, and destinations: Evidence from Brazil",2016,,False,
1115,10.1007/s10100-015-0408-5,The effects of top management team composition on SME export performance: an upp,2016,,False,
1119,10.1002/gsj.1140,"CATEGORIZING THE LIABILITY OF FOREIGNNESS: OWNERSHIP, LOCATION, AND INTERNALIZAT",2016,,False,
1129,10.1108/mbr-08-2015-0037,Intensity and diversity of internationalization among small and medium-sized exp,2016,,False,
1147,10.1108/ribs-01-2014-0016,International diversification and firm's value: evidence from developing nations,2016,http://psasir.upm.edu.my/id/eprint/34238/1/International%20diversification%20and%20firm%27s%20value%20evidence%20from%20developing%20nations.pdf,True,
2410,10.1108/s1571-502720160000029006,The consequences of DE-internationalization: Empirical evidence from Belgium,2016,,False,
2414,10.1504/ijbg.2016.078407,Internationalisation and performance of SMEs: Exploring the moderating effects o,2016,,False,
2415,10.1108/s1569-376720160000017020,Do sectoral and locational factors of Foreign Direct Investment from emerging co,2016,,False,
484,10.1355/ae32-1e,Does Exporting Spur Firm Productivity? Evidence from Vietnam,2015,,False,not_found
955,10.1504/ejim.2015.069163,Standardisation and adaptation of firms' export marketing strategies in familiar,2015,,False,
956,10.1108/jkm-04-2014-0167,Exploring different cultural configurations: how do they affect subsidiaries' kn,2015,,False,
984,10.1162/asep_a_00356,What Determines Small Champions' Export Performance? Evidence from Korea Firm-Le,2015,,False,
994,10.1111/emre.12050,Start-ups' Internationalization: The Impact of Business Owners' Management Exper,2015,,False,
1008,10.1080/13547860.2015.1054169,"Processing trade, export intensity, and input trade liberalization: evidence fro",2015,,False,
1012,10.1007/s10290-015-0224-y,"Foreign market experience, learning by hiring and firm export performance",2015,http://www.mtk.ut.ee/sites/default/files/mtk/RePEc/mtk/febpdf/febawb95.pdf,True,
1013,10.1007/s40821-015-0030-4,Innovation and export performance: do young and mature innovative firms differ?,2015,,False,
2418,10.1108/jbim-05-2012-0091,Influence of internationalization orientation on export performance: in the pers,2015,,False,
2420,10.1108/s1571-502720150000028013,Sources of competitiveness and multinationality: Emerging market firms in the el,2015,,False,
878,10.1108/apjml-11-2012-0119,Export performance: multiple predictors and multiple measures approach,2014,,False,
882,10.1108/ebr-02-2013-0030,Is more always better? Risk trade-offs among internationalizing new ventures,2014,,False,
889,10.1016/j.jwb.2013.10.001,Earliness of internationalization and performance outcomes: Exploring the modera,2014,,False,
890,10.1111/1467-8551.12019,A Regional Perspective on Multinational Expansion Strategies: Reconsidering the ,2014,,False,
893,10.1080/09654313.2012.741570,How Do Local Knowledge Spillovers and Experience Affect Export Performance?,2014,,False,
913,10.1016/j.ijhm.2014.02.001,International expansion of US full-service restaurants: Positive and increasing ,2014,,False,
915,10.1177/0894486513491588,An Empirical Analysis of the Effect of Internationalization on the Performance o,2014,,False,
918,10.1177/0266242613497744,Small and medium-sized enterprise internationalisation strategy and performance ,2014,,False,
921,10.1016/j.worlddev.2014.02.006,Diaspora Investments and Firm Export Performance in Selected Sub-Saharan African,2014,,False,
963,10.1111/emre.12033,Bank Foreign Affiliate Performance in the Face of Pervasive and Arbitrary Corrup,2014,,False,
1011,10.1108/s1745-886220140000009006,NEW ANALYSIS OF MULTINATIONAL ENTERPRISES AND THEIR LINKAGES WITH MARKETS AND IN,2014,,False,
2423,10.1002/tie.21649,Do Foreign Firms in China Incur a Liability of Foreignness? The Local Chinese Fi,2014,https://espace.curtin.edu.au/bitstream/20.500.11937/33253/2/193747_193747.pdf,True,
2427,10.1504/ijpm.2014.064972,Profitable SME internationalisation: The influence of cross-relational and relat,2014,,False,
2430,10.3280/poli2014-002006,Agglomeration of exporters and productivity spillovers: Firm-level evidence from,2014,,False,
818,10.1108/dlo.2013.08127caa.012,Learning by exporting: Lessons from high-technology SMEs,2013,,False,not_found
824,10.1177/0149206311398135,Geographic and Product Diversification in Charitable Organizations,2013,http://hdl.handle.net/10397/9393,True,
839,10.1504/ejim.2013.052834,Internationalisation and firm performance: state of empirical research efforts a,2013,,False,
845,10.1007/s11187-011-9395-7,The effect of institutional quality on firm export performance in emerging econo,2013,http://hdl.handle.net/10.1007/s11187-011-9395-7,True,
847,10.1162/asep_a_00206,Foreign Entry and Profitability of Domestic Firms: Evidence from China,2013,,False,
849,10.1057/jibs.2013.21,Liability of country foreignness and liability of regional foreignness: Their ef,2013,,False,
866,10.1007/s11575-013-0181-4,"FDI Structure, Investment Specificity, and Multinationality Value under Host Mar",2013,,False,
2433,10.1016/j.jbusres.2013.05.041,Internationalization and performance: A contextual analysis of Indian firms,2013,,False,
2436,10.1007/s11575-013-0180-5,Multinational Performance and the Geography of FDI: Evidence from 46 Countries,2013,,False,
2438,10.1108/ijcoma-03-2013-0029,Firm internationalization and IPO firm performance: The moderating effects of fi,2013,,False,
489,10.1016/j.ibusrev.2011.02.005,Multinational risk and performance outcomes: Effects of knowledge intensity and ,2012,,False,
490,10.1111/j.2042-5805.2012.01045.x,WHY DO MULTINATIONAL FIRMS EXIST? A THEORY NOTE ABOUT THE EFFECT OF MULTINATIONA,2012,,False,
757,10.1080/08841241.2012.738716,Antecedents to the export market orientation of Hungarian higher education insti,2012,,False,
776,10.5172/jmo.2012.18.1.16,"Successor characteristics, change in the degree of firm internationalization, an",2012,,False,
780,10.1002/gsj.1031,THE ROLE OF TERRITORIAL COVERAGE AND PRODUCT DIVERSIFICATION IN THE MULTINATIONA,2012,,False,
2453,10.1504/ijatm.2012.050362,The relationship between internationalisation and firm performance in the global,2012,,False,
712,10.1108/09555341111158100,Does market context impact payoffs to internationalization?,2011,,False,
728,10.1057/abm.2010.32,The effect of multinationality on firm performance: An examination of Japanese s,2011,,False,
739,10.1002/gsj.5,THE RELATIONSHIP BETWEEN INTERNATIONAL DIVERSIFICATION AND FIRM PERFORMANCE: WHY,2011,,False,
804,10.1108/s1064-4857(2011)0000015015,THE BORN GLOBAL ILLUSION AND THE REGIONAL NATURE OF INTERNATIONAL BUSINESS,2011,,False,
2461,10.1016/j.intman.2010.12.004,The internationalization and performance of a firm: Moderating effect of a firm',2011,,False,
678,10.1504/ijbe.2010.037597,Internationalisation and global competitive advantage: implications for Asian em,2010,,False,
707,10.1111/j.1467-8551.2009.00634.x,Knowledge Management and Balanced Scorecard Outcomes: Exploring the Importance o,2010,,False,
2474,10.1111/j.1467-9701.2009.01188.x,Exporting and environmental performance: A firm-level productivity analysis,2010,,False,
494,10.1016/j.ijhm.2009.04.002,Impact of brand recognition and brand reputation on firm performance: US-based m,2009,,False,
650,10.1080/13602380701668700,Technological intensities and economic performance: a study of foreign and local,2009,,False,
663,10.1111/j.1467-8551.2007.00558.x,"International Diversification, Business Group Affiliation and Firm Performance: ",2009,,False,
670,10.1016/j.emj.2009.04.011,The moderating effects of home region orientation on R&D investment and internat,2009,,False,
2475,10.1016/j.intman.2008.10.002,Causal analysis of the internationalization and performance relationship based o,2009,,False,
629,10.1111/j.1540-5982.2008.00480.x,Overseas business costs and firm export performance,2008,,False,
630,10.1007/s11187-008-9109-y,The export intensity of venture capital backed companies,2008,,False,
638,10.1016/j.jwb.2007.11.009,Internationalization and performance of small- and medium-sized enterprises,2008,,False,
2490,10.1016/j.omega.2006.06.004,Internationalization and performance: The moderating effects of organizational l,2008,,False,
603,10.1108/03090560710821242,"A review of the foundation, international marketing strategies, and performance ",2007,,False,
604,10.1108/00251740710746033,Human capital and organizational performance: a study of Egyptian software compa,2007,,False,
612,10.1016/j.jwb.2006.11.002,The effect of product diversification strategies on the relationship between int,2007,,False,
616,10.1016/j.jwb.2007.02.004,International diversification and firm performance: Role of information technolo,2007,,False,
617,10.1016/j.ibusrev.2007.01.008,The impact of national culture and communication on exporter-distributor relatio,2007,,False,
618,10.1057/palgrave.abm.9200228,"International expansion path, speed, product diversification and performance amo",2007,,False,
2491,10.1016/j.jwb.2007.06.003,Nature of the relationship between international expansion and performance: The ,2007,,False,
2495,10.1007/s11575-007-0021-5,An exploration of the relationship between country of origin (COE) and the inter,2007,,False,
590,10.1108/01437720610713530,Can high performance work systems really lead to better performance?,2006,,False,
593,10.1142/9781786349699_0008,Export intensity and plant characteristics: What can we learn from quantile regr,2006,,False,not_found
595,10.1016/j.jbusres.2005.08.008,International diversification and firm performance in Mexican firms: A curviline,2006,,False,
599,10.1111/j.1467-8551.2006.00491.x,Economic liberalization and the antecedents of top management teams:: Evidence f,2006,,False,
2499,10.1300/j037v16n01_05,Profitability of rapid internationalization: The relationship between internatio,2006,,False,
2500,10.1300/j037v16n01_07,Internationalization and performance: Evidence from spanish firms,2006,,False,
2503,10.1300/j482v11n02_05,Does globalizationaffect multinational corporation performance? evidence from de,2006,,False,
2505,10.1300/j482v10n04_02,Corporate performance implications of multinationality: The role of firm specifi,2006,,False,
582,10.1108/1525383x200500003,"Entrepreneurial Strategic Posture, International Diversifi cation, and Firm Perf",2005,,False,
584,10.1080/00128775.2005.11041104,Eastern Germany in the process of catching up - The role of foreign and West Ger,2005,,False,
585,10.1080/00220380500092721,Determinants of efficiency in least developed countries: Further evidence from N,2005,,False,
573,10.1016/j.jm.2004.02.001,The effects of top management team pay and firm internationalization on MNC perf,2004,,False,
2513,10.1007/s10663-004-1419-y,Concentration and multinationality in European manufacturing: What's the effect ,2004,,False,
2514,10.1111/j.0950-0804.2004.00228.x,How domestic and foreign firms differ and why does it matter?,2004,https://research.wu.ac.at/files/18958642/document.pdf,True,
2515,10.1111/j.1467-9396.2004.00473.x,"Entry, expansion, and intensity in the US export boom, 1987-1992",2004,https://www2.census.gov/ces/wp/2001/CES-WP-01-09.pdf,True,
2518,10.1016/j.ibusrev.2003.05.003,"Empirical approach to the sequential relationships between firm strategy, export",2004,,False,
497,10.1002/smj.357,Geographic scope and multinational enterprise performance,2003,,False,
561,10.1057/palgrave.jibs.8400003,A three-stage theory of international expansion: the link between multinationali,2003,,False,
567,10.1057/palgrave.jibs.8400036,The relationship between international diversification and performance in servic,2003,,False,
556,10.1057/palgrave.jibs.8491006,Multinationality and firm performance: The moderating role of R&D and marketing ,2002,,False,
558,10.2307/3872477,How do large depreciations affect firm performance?,2002,,False,not_found
560,10.1016/s0148-2963(00)00153-3,"Multinationality, global market diversification and profitability among the larg",2002,,False,
2525,10.1016/s0883-9026(01)00080-5,"Multinationality, product diversification, and profitability of emerging US smal",2002,,False,
2527,10.1016/s0897-3660(02)15016-1,"Profitability, multinationality and the investment opportunity set",2002,,False,
2528,10.1016/s1062-9769(00)00076-4,The evidence from Canadian firms on multinational diversification and performanc,2001,,False,
2529,10.1016/s1474-7979(01)11020-3,Firm internationalization and economic performance: A conceptual synthesis and a,2001,,False,
2532,10.2307/1556420,"International expansion by new venture firms: International diversity, mode of m",2000,,False,
2533,10.1556/aoecon.51.2000-2001.3.4,Foreign capital and economic development in Hungary,2000,http://real.mtak.hu/47193/1/aoecon.51.2000-2001.3.4.pdf,True,
2534,10.1016/s0148-2963(98)00074-5,The impact of internationalization on the diversification-performance relationsh,2000,,False,
545,10.1068/a310735,Innovation and profitability of global food firms. Testing for differences in th,1999,,False,
2537,10.1108/03074359910766325,"Multinationality, profitability and firm value",1999,,False,
2539,10.1080/13562579908721791,"Globalising capital, localising labour? The discursive manipulation of scale in ",1999,,False,
