seq,doi,title,status,converted_r,conversion_formula,sample_size_n,t_value,p_value,effect_direction,curve_type,notes
310,10.3846/16111699.2012.720600,"Internationalisation, cultural distance and countr",NOT_FOUND,,not_found,403,,,+,nonlinear,No direct I→P relationship coefficient reported
461,10.1108/mbr-04-2025-0104,"The performance effects of ""added cultural distanc",NOT_FOUND,,not_found,109,,,+,inverted_u,No direct internationalization → firm performance coefficient reported
462,10.1111/1477-8947.12525,"Clean, competitive, and productive? The impact of ",NO_PDF,,,,,,,,PDF not in dir and no OA URL
466,10.1108/ijm-03-2023-0150,Exporting is a team sport: the link between manage,NOT_FOUND,,not_found,,,,,unknown,No direct internationalization → firm performance relationship found
209,10.1177/21582440241229561,Internationalization and Organizational Resilience,NO_PDF,,,,,,,,PDF not in dir and no OA URL
614,10.1057/palgrave.jibs.8400268,Linking FDI motivation and host economy productivi,NO_PDF,,,,,,,,PDF not in dir and no OA URL
686,10.1111/j.1540-6520.2009.00365.x,The Impact of Interorganizational Imitation on New,NO_PDF,,,,,,,,PDF not in dir and no OA URL
824,10.1177/0149206311398135,Geographic and Product Diversification in Charitab,NO_PDF,,,,,,,,PDF not in dir and no OA URL
845,10.1007/s11187-011-9395-7,The effect of institutional quality on firm export,NO_PDF,,,,,,,,PDF not in dir and no OA URL
906,10.3846/20294913.2013.869513,"OWNERSHIP, TECHNOLOGICAL CAPABILITIES AND EXPORTS ",NOT_FOUND,,not_found,,,,,unknown,No internationalization → firm performance relationship found
1012,10.1007/s10290-015-0224-y,"Foreign market experience, learning by hiring and ",NO_PDF,,,,,,,,PDF not in dir and no OA URL
1032,10.5018/economics-ejournal.ja.2015-38,Imported Inputs and Egyptian Exports: Exploring th,NO_PDF,,,,,,,,PDF not in dir and no OA URL
1036,10.1002/tie.21722,Are Firms in Developing Countries in Spider Webs o,NO_PDF,,,,,,,,PDF not in dir and no OA URL
1049,10.7202/1036613ar,. Maximizing the Benefits of Internationalization:,NO_PDF,,,,,,,,PDF not in dir and no OA URL
1061,10.1080/00036846.2015.1122733,"Interrelationship among foreign presence, domestic",NOT_FOUND,,not_found,,,,,unknown,No direct internationalization → firm performance relationship found
1147,10.1108/ribs-01-2014-0016,International diversification and firm's value: ev,NOT_FOUND,,not_found,,,,+,unknown,No specific coefficient or correlation reported for internationalization → firm performance relationship
1226,10.15678/eber.2018.060203,"Export Intensity, Geographic Diversification and t",NOT_FOUND,,not_found,,,,->,unknown,No internationalization → firm performance relationship found
1258,10.1177/0266242618775169,Disentangling the effects of post-entry speed of i,NO_PDF,,,,,,,,PDF not in dir and no OA URL
1260,10.1016/j.jbusres.2018.02.025,International diversification and firm performance,NOT_FOUND,,not_found,164,,,,unknown,No direct internationalization → firm performance relationship coefficient reported
1358,10.1177/0973174119839878,International Trade and Productivity Growth in Ind,NO_PDF,,,,,,,,PDF not in dir and no OA URL
1429,10.1016/j.heliyon.2019.e02664,"Geographical diversification, firm size and profit",NO_PDF,,,,,,,,PDF not in dir and no OA URL
1433,10.1111/twec.12892,"Trading activities, productivity and markups: Evid",NO_PDF,,,,,,,,PDF not in dir and no OA URL
1434,10.13106/jafeb.2019.vol6.no4.37,Export Performance and Stock Return: A Case of Fis,NO_PDF,,,,,,,,PDF not in dir and no OA URL
1435,10.1016/j.gfj.2018.02.001,Foreign acquisitions and firm performance: The mod,NOT_FOUND,,not_found,94419,,,-,unknown,No specific regression coefficient or correlation reported for internationalization → firm performance relationship
1478,10.1016/j.jhtm.2020.01.002,"Family involvement, internationalisation and perfo",NO_PDF,,,,,,,,PDF not in dir and no OA URL
