seq,title,authors,year,journal,doi,icrv,dpl,fp_type,google_scholar,openalex_search,notes_for_extractor
436,"Innovation, Exports and Technical Efficiency in Spain","Angeles Diaz-Mayans, M.; Sanchez-Perez, Rosario",2014,"DESIGN A PATTERN OF SUSTAINABLE GROWTH: INNOVATION, EDUCATION, ENERGY AND ENVIRONMENT",,1,3,,https://scholar.google.com/scholar?q=Innovation%2C%20Exports%20and%20Technical%20Efficiency%20in%20Spain,https://openalex.org/works?search=Innovation%2C%20Exports%20and%20Technical%20Efficiency%20in%20Spain,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
424,Performance implications of internationalization strategies for Chinese MNCs,"Yuan, Lin; Pangarkar, Nitin",2015,INTERNATIONAL JOURNAL OF EMERGING MARKETS,,2,3,TBD,https://scholar.google.com/scholar?q=Performance%20implications%20of%20internationalization%20strategies%20for%20Chinese%20MNCs,https://openalex.org/works?search=Performance%20implications%20of%20internationalization%20strategies%20for%20Chinese%20MNCs,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
145,Spatial relativism in multinationality and performance research,"Kelley, Keith J.",2016,AMERICAN JOURNAL OF BUSINESS,,1,3,TBD,https://scholar.google.com/scholar?q=Spatial%20relativism%20in%20multinationality%20and%20performance%20research,https://openalex.org/works?search=Spatial%20relativism%20in%20multinationality%20and%20performance%20research,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
423,The diversity of the top management team and the survival and success of international companies: The case of Spanish companies with foreign direct investment in China,"Ninerola, Angels; Beatriz Hernandez-Lara, Ana; Victoria Sanchez-Rebull, Maria",2016,REVISTA INTERNACIONAL DE ORGANIZACIONES,,2,3,SURV,https://scholar.google.com/scholar?q=The%20diversity%20of%20the%20top%20management%20team%20and%20the%20survival%20and%20success%20of%20international%20companies%3A%20The%20case%20of%20Spanish%20companies%20with%20foreign%20direct%20investment%20in%20China,https://openalex.org/works?search=The%20diversity%20of%20the%20top%20management%20team%20and%20the%20survival%20and%20success%20of%20international%20companies%3A%20The%20case%20of%20Spanish%20companies%20with%20foreign%20direct%20investment%20in%20China,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
141,"Multinationality, R&D and productivity: Evidence from the top R&D investors worldwide","Castellani, Davide; Montresor, Sandro; Schubert, Torben; Vezzani, Antonio",2017,INTERNATIONAL BUSINESS REVIEW,,MX,3,Productivity,https://scholar.google.com/scholar?q=Multinationality%2C%20R%26D%20and%20productivity%3A%20Evidence%20from%20the%20top%20R%26D%20investors%20worldwide,https://openalex.org/works?search=Multinationality%2C%20R%26D%20and%20productivity%3A%20Evidence%20from%20the%20top%20R%26D%20investors%20worldwide,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
411,Rapid internationalization and long-term performance: The knowledge link,"Garcia-Garcia, Raquel; Garcia-Canal, Esteban; Guillen, Mauro F.",2017,JOURNAL OF WORLD BUSINESS,,I,3,TBD,https://scholar.google.com/scholar?q=Rapid%20internationalization%20and%20long-term%20performance%3A%20The%20knowledge%20link,https://openalex.org/works?search=Rapid%20internationalization%20and%20long-term%20performance%3A%20The%20knowledge%20link,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
400,"Exploring the Relationship Between Internationalization Stage, Innovation, and Performance: The Case of Spanish Companies","Freixanet, Joan; Churakova, Iya",2018,INTERNATIONAL JOURNAL OF BUSINESS,,1,3,TBD,https://scholar.google.com/scholar?q=Exploring%20the%20Relationship%20Between%20Internationalization%20Stage%2C%20Innovation%2C%20and%20Performance%3A%20The%20Case%20of%20Spanish%20Companies,https://openalex.org/works?search=Exploring%20the%20Relationship%20Between%20Internationalization%20Stage%2C%20Innovation%2C%20and%20Performance%3A%20The%20Case%20of%20Spanish%20Companies,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
402,SMEs Performance and Internationalization: A Traditional Industry Approach,"Madaleno, Mara; Varum, Celeste Amorim; Horta, Isabel",2018,ANNALS OF ECONOMICS AND FINANCE,,MX,3,ACC,https://scholar.google.com/scholar?q=SMEs%20Performance%20and%20Internationalization%3A%20A%20Traditional%20Industry%20Approach,https://openalex.org/works?search=SMEs%20Performance%20and%20Internationalization%3A%20A%20Traditional%20Industry%20Approach,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
507,Firm Size and Performance with special reference to Multinational Pharmaceutical Firms,"Sophia, S. Felix; Gayathri, J.",2018,PACIFIC BUSINESS REVIEW INTERNATIONAL,,MX,3,TBD,https://scholar.google.com/scholar?q=Firm%20Size%20and%20Performance%20with%20special%20reference%20to%20Multinational%20Pharmaceutical%20Firms,https://openalex.org/works?search=Firm%20Size%20and%20Performance%20with%20special%20reference%20to%20Multinational%20Pharmaceutical%20Firms,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
506,How internationalization affects firms' growth in the MENA region? A quantile regression approach,"Ben Slimane, Mehdi; Baghdadi, Leila",2019,ECONOMICS BULLETIN,,MX,3,GROW,https://scholar.google.com/scholar?q=How%20internationalization%20affects%20firms%27%20growth%20in%20the%20MENA%20region%3F%20A%20quantile%20regression%20approach,https://openalex.org/works?search=How%20internationalization%20affects%20firms%27%20growth%20in%20the%20MENA%20region%3F%20A%20quantile%20regression%20approach,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
388,"Innovation, internationalisation and the performance of microbusinesses","Henley, Andrew; Son, Meng",2020,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,,I,3,TBD,https://scholar.google.com/scholar?q=Innovation%2C%20internationalisation%20and%20the%20performance%20of%20microbusinesses,https://openalex.org/works?search=Innovation%2C%20internationalisation%20and%20the%20performance%20of%20microbusinesses,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
139,Sector productivity and geographical diversification as export enhancing factors: the case of Portugal,"Andre, Nuno Miguel Queimado",2021,INTERNATIONAL JOURNAL OF BUSINESS ENVIRONMENT,,I,3,Productivity,https://scholar.google.com/scholar?q=Sector%20productivity%20and%20geographical%20diversification%20as%20export%20enhancing%20factors%3A%20the%20case%20of%20Portugal,https://openalex.org/works?search=Sector%20productivity%20and%20geographical%20diversification%20as%20export%20enhancing%20factors%3A%20the%20case%20of%20Portugal,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
376,Firm resources and internationalisation performance,"Capar, Nejat",2022,JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT,,MX,3,TBD,https://scholar.google.com/scholar?q=Firm%20resources%20and%20internationalisation%20performance,https://openalex.org/works?search=Firm%20resources%20and%20internationalisation%20performance,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
369,Does internationalization matter for corporate social performance of Chinese firms?,"Wu, Renhong; Kim, Minho",2023,JOURNAL OF CORPORATE ACCOUNTING AND FINANCE,,2,3,TBD,https://scholar.google.com/scholar?q=Does%20internationalization%20matter%20for%20corporate%20social%20performance%20of%20Chinese%20firms%3F,https://openalex.org/works?search=Does%20internationalization%20matter%20for%20corporate%20social%20performance%20of%20Chinese%20firms%3F,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
366,THE MODERATING EFFECT OF WOMEN MANAGERS IN THE INTERNATIONALISATION AND INTELLECTUAL CAPITAL-PERFORMANCE RELATIONSHIP,"Andreu, Rosario; Rienda, Laura; Ruiz-Fernandez, Lorena",2024,TRANSFORMATIONS IN BUSINESS & ECONOMICS,,I,3,TBD,https://scholar.google.com/scholar?q=THE%20MODERATING%20EFFECT%20OF%20WOMEN%20MANAGERS%20IN%20THE%20INTERNATIONALISATION%20AND%20INTELLECTUAL%20CAPITAL-PERFORMANCE%20RELATIONSHIP,https://openalex.org/works?search=THE%20MODERATING%20EFFECT%20OF%20WOMEN%20MANAGERS%20IN%20THE%20INTERNATIONALISATION%20AND%20INTELLECTUAL%20CAPITAL-PERFORMANCE%20RELATIONSHIP,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
367,The Synergy Effect of Internationalization and R&D Intensity on Firm Performance in Korea: A Perspective Based on Knowledge- Based Theory,"Wang, Junlin; Kim, Minho; Zhang, Chenyu",2024,JOURNAL OF KOREA TRADE,,1,3,firm_performance,https://scholar.google.com/scholar?q=The%20Synergy%20Effect%20of%20Internationalization%20and%20R%26D%20Intensity%20on%20Firm%20Performance%20in%20Korea%3A%20A%20Perspective%20Based%20on%20Knowledge-%20Based%20Theory,https://openalex.org/works?search=The%20Synergy%20Effect%20of%20Internationalization%20and%20R%26D%20Intensity%20on%20Firm%20Performance%20in%20Korea%3A%20A%20Perspective%20Based%20on%20Knowledge-%20Based%20Theory,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type
