priority_rank,seq,doi_status,icrv,year,authors,title,journal,doi,prescreen_reason,dpl,fp_type
95,269,DOI,2,2019,"Idris, Aida; Saad, Mohd Najib",The Relative Effects of Entrepreneurial Characteristics and Government Support on the Internationalisation and Performance of Malaysian SMEs,SOUTH EAST ASIAN JOURNAL OF MANAGEMENT,10.21002/seam.v13i1.10757,INCL:internationalization,3,TBD
96,286,DOI,2,2018,"Hien Thi Ngoc Huynh; Nguyen, Phuong V.; Tran, Khoa T.",Internationalization and Performance of Vietnamese Manufacturing Firms: Does Organizational Slack Matter?,ADMINISTRATIVE SCIENCES,10.3390/admsci8040064,INCL:internationalization,3,TBD
97,295,DOI,2,2017,"Xu, Xin; Xia, Yun; Li, Chuntao",lInfluence of Chinese entrepreneurial companies' internationalization on independent innovation: Input incentive effect and efficiency improvement effect,CHINA JOURNAL OF ACCOUNTING RESEARCH,10.1016/j.cjar.2017.05.001,INCL:internationalization,3,Efficiency
98,299,DOI,2,2016,"Wu, Jie; Wang, Chengqi; Hong, Junjie; Piperopoulos, Panagiotis; Zhuo, Shuaihe",Internationalization and innovation performance of emerging market enterprises: The role of host-country institutional development,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2015.09.002,INCL:internationalization,3,TBD
99,301,DOI,2,2016,"Chin, Tachia; Tsai, Sang-Bing; Fang, Kai; Zhu, Wenzhong; Yang, Dongjin; Liu, Ren-huai; Tsuei, Richard Ting Chang",EO-Performance relationships in Reverse Internationalization by Chinese Global Startup OEMs: Social Networks and Strategic Flexibility,PLOS ONE,10.1371/journal.pone.0162175,INCL:internationalization,3,TBD
100,303,DOI,2,2016,"Zhao, Hongxin (John); Ma, Jieqiong (Jeccy)","Founding Environment, Inward Internationalization, and Firm Performance: Evidence from Chinese Private Enterprises",JOURNAL OF EAST-WEST BUSINESS,10.1080/10669868.2016.1215667,INCL:internationalization|firm-performance,3,firm_performance
101,308,DOI,2,2015,"Faroque, Anisur R.; Takahashi, Yoshi",Export marketing assistance and early internationalizing firm performance Does export commitment matter?,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS,10.1108/apjml-03-2014-0045,INCL:internationalization|firm-performance,3,firm_performance
102,313,DOI,2,2015,"Lu, Jane Wenzhen; Liang, Xueji; Shan, Mengmeng; Liang, Xiaoya",Internationalization and Performance of Chinese Family Firms: The Moderating Role of Corporate Governance,MANAGEMENT AND ORGANIZATION REVIEW,10.1017/mor.2015.32,INCL:internationalization,3,TBD
103,320,DOI,2,2014,"Lyles, Marjorie; Li, Dan; Yan, Haifeng",Chinese Outward Foreign Direct Investment Performance: The Role of Learning,MANAGEMENT AND ORGANIZATION REVIEW,10.1017/s1740877600004381,INCL:FDI,3,TBD
104,325,DOI,2,2013,"Xiao, Simon Shufeng; Jeong, Insik; Moon, Jon Jungbien; Chung, Chris Changwha; Chung, Jaiho",Internationalization and Performance of Firms in China: Moderating Effects of Governance Structure and the Degree of Centralized Control,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2012.12.003,INCL:internationalization,3,TBD
105,342,DOI,2,2009,"Vaatanen, Juha; Podmetina, Daria; Pillania, Rajesh K.",Internationalization and Company Performance: A Study of Emerging Russian Multinationals,MULTINATIONAL BUSINESS REVIEW,10.1108/1525383x200900014,INCL:internationalization|MNE,2,TBD
106,344,DOI,2,2008,"Chiao, Yu-Ching; Yu, Chow-Ming Joseph; Li, Peng-Yu; Chen, Yi-Chuan","Subsidiary size, internationalization, product diversification, and performance in an emerging market",INTERNATIONAL MARKETING REVIEW,10.1108/02651330810915556,INCL:internationalization,2,TBD
107,460,DOI,2,2026,"Cooper, Russell; Gong, Guan; Hu, Guanliang; Yan, Ping","Exporting Like China: Productivity, Market Demand, and Labor Frictions",INTERNATIONAL ECONOMIC REVIEW,10.1111/iere.70042,INCL:exporter|export-productivity,3,Productivity
108,468,DOI,2,2023,"Heriqbaldi, Unggul; Jayadi, Achmad; Erlando, Angga; Samudro, Bhimo Rizky; Widodo, Wahyu; Esquivias, Miguel Angel","Survey data on organizational resources and capabilities, export marketing strategy, export competitiveness, and firm performance in exporting firms in Indonesia",DATA IN BRIEF,10.1016/j.dib.2023.109112,INCL:exporter|firm-performance,3,firm_performance
109,469,DOI,2,2023,"Venugopal, Ajith; Al-Shammari, Marwan; Thotapalli, Prasad M. V.; Fuad, Mohammad",Liabilities of origin and its influence on firm's corporate social performance? A study of emerging market multinational corporations,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.22354,INCL:MNE,3,TBD
110,475,DOI,2,2020,"Yu, Ying; Hu, Xiaoling; Wang, Yong; Ward, Philippa",A Patulous Progress: International Entrepreneurship Effects on Chinese Born-Global Firm Performance,SUSTAINABILITY,10.3390/su12145508,INCL:firm-performance,3,firm_performance
111,476,DOI,2,2020,"Revindo, Mohamad Dian; Gan, Christopher; Alta, Aditya",Do Export Activities Improve Small Firm Performance? Evidence from Indonesia,SOUTH EAST ASIAN JOURNAL OF MANAGEMENT,10.21002/seam.v14i2.11771,INCL:firm-performance,3,firm_performance
112,480,DOI,2,2018,"Sharma, Chandan","Exporting, access of foreign technology, and firms' performance: Searching the link in Indian manufacturing",QUARTERLY REVIEW OF ECONOMICS AND FINANCE,10.1016/j.qref.2017.11.015,INCL:exporting→firms-performance-india,3,TBD
113,484,DOI,2,2015,Thi Thu Tra Pham,Does Exporting Spur Firm Productivity? Evidence from Vietnam,JOURNAL OF SOUTHEAST ASIAN ECONOMIES,10.1355/ae32-1e,INCL:exporter|export-productivity,3,Productivity
114,496,DOI,2,2007,"Filatotchev, Igor; Isachenkova, Natalia; Mickiewicz, Tomasz","Corporate governance, managers' independence, exporting, and performance of firms in transition economies",EMERGING MARKETS FINANCE AND TRADE,10.2753/ree1540-496x430504,INCL:exporting→performance-transition-economy,2,TBD
115,24,DOI,1,2024,"Bigos, Krystian; Michalik, Adam",Intellectual capital and new ventures early internationalization: Firm-level analysis of Austrian SMEs,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2024.120410,INCL:internationalization,3,
116,48,DOI,1,2021,"Crick, James M.; Crick, Dave",Internationalizing the Coopetition Construct: Quadratic Effects on Financial Performance Under Different Degrees of Export Intensity and an Export Geographical Scope,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x20988260,INCL:internationalization|financial-perf,3,financial_perf
117,60,DOI,1,2020,"Haapanen, Lauri; Hurmelinna-Laukkanen, Pia; Puumalainen, Kaisu",When strategic consensus matters: dynamic managerial capabilities and firm internationalization as seen by TMT,CROSS CULTURAL & STRATEGIC MANAGEMENT,10.1108/ccsm-09-2018-0134,INCL:internationalization,3,
118,61,DOI,1,2020,"Petrou, Andreas P.; Hadjielias, Elias; Thanos, Ioannis C.; Dimitratos, Pavlos","Strategic decision-making processes, international environmental munificence and the accelerated internationalization of SMEs",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2020.101735,INCL:internationalization,3,
119,67,DOI,1,2019,"Genc, Ebru; Dayan, Mumin; Genc, Omer Faruk",The impact of SME internationalization on innovation: The mediating role of market and entrepreneurial orientation,INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2019.01.008,INCL:internationalization,3,
120,73,DOI,1,2018,"Rajnoha, Rastislav; Merkova, Martina; Dobrovic, Jan; Rozsa, Zoltan",BUSINESS PERFORMANCE MANAGEMENT AND FDI: KEY DIFFERENCES BETWEEN FOREIGN AND DOMESTIC-OWNED FIRMS - A CASE OF SLOVAKIA,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/jbem.2018.1538,INCL:FDI,3,
121,82,DOI,1,2017,"Burlina, Chiara",Local Externalities and Firm Internationalisation,TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,10.1111/tesg.12224,INCL:internationalization,3,
122,90,DOI,1,2016,"Boehe, Dirk Michael; Jimenez, Alfredo",How does the geographic export diversification-performance relationship vary at different levels of export intensity?,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2016.03.011,INCL:export-diversification→firm-performance,3,TBD
123,97,DOI,1,2016,"Galdeano-Gomez, Emilio; Perez-Mesa, Juan C.; Aznar-Sanchez, Jose A.",INTERNATIONALISATION OF SMES AND SIMULTANEOUS STRATEGIES OF COOPERATION AND COMPETITION: AN EXPLORATORY ANALYSIS,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2014.959040,INCL:internationalization,3,
124,117,DOI,1,2013,"Raymond, Louis; St-Pierre, Josee",Strategic capability configurations for the internationalization of SMEs: A study in equifinality,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,10.1177/0266242610391325,INCL:internationalization,3,
125,123,DOI,1,2012,"Ganotakis, Panagiotis; Love, James H.","Export propensity, export intensity and firm performance: The role of the entrepreneurial founding team",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/jibs.2012.16,INCL:export-intensity|firm-performance,3,firm_performance
126,127,DOI,1,2012,"Monreal-Perez, Joaquin; Aragon-Sanchez, Antonio; Sanchez-Marin, Gregorio",A longitudinal study of the relationship between export activity and innovation in the Spanish firm: The moderating role of productivity,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2011.09.010,INCL:export-productivity,3,LAB
127,130,DOI,1,2011,"Abor, Joshua",Do Export Status and Export Intensity Increase Firm Performance?,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.20386,INCL:firm-performance,3,firm_performance
128,137,DOI,1,2002,"Castellani, D",Export behavior and productivity growth: Evidence from Italian manufacturing firms,WELTWIRTSCHAFTLICHES ARCHIV-REVIEW OF WORLD ECONOMICS,10.1007/bf02707654,INCL:export-productivity,2,LAB
129,175,DOI,1,2025,"Mostafiz, Md Imtiaz; Ahmed, Farhad Uddin; Tardios, Janja; Hughes, Paul; Tarba, Shlomo Y.",Configuring international entrepreneurial orientation and dynamic internationalization capability to predict international performance,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2024.102275,INCL:internationalization,3,TBD
130,192,DOI,1,2024,"Johanson, Martin; Oliveira, Luis",The Performance of Decision-Making Strategies in SME Internationalization: The Role of Host Market's Institutional Development,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-024-00534-8,INCL:internationalization,3,TBD
131,200,DOI,1,2024,"Soesetio, Yuli; Siswanto, Ely; Subagyo, Muhammad; Fuad, Muhammad; Rudiningtyas, Dyah Arini; Astutik, Siti",The role of internationalisation in moderating the impact of ESG disclosure on financial performance,ECONOMICS AND BUSINESS REVIEW,10.18559/ebr.2024.3.1217,INCL:internationalization|financial-perf,3,financial_perf
132,202,DOI,1,2024,"Dallocchio, Maurizio; Lambri, Marcello; Sironi, Emiliano; Teti, Emanuele",The Role of Digitalization in Cross-Border E-Commerce Performance of Italian SMEs,SUSTAINABILITY,10.3390/su16020508,INCL:cross-border-e-commerce→firm-performance,3,
133,206,DOI,1,2024,"Khasanov, Shokhrukh; Hiwatari, Masato",Firm productivity and manufacturing exports in transition economies: An institutional and trade geography perspective,INTERNATIONAL ECONOMICS AND ECONOMIC POLICY,10.1007/s10368-024-00629-5,INCL:export-productivity,3,LAB
134,210,DOI,1,2023,"Barbosa, Natalia","Outward Foreign Direct Investment, Restructuring and Performance Upgrading: Firm-level Evidence from Portugal",GLOBAL BUSINESS REVIEW,10.1177/0972150920916035,INCL:FDI,3,TBD
135,233,DOI,1,2022,"Singh, Rashmeet; Chandrashekar, Deepak; Hillemane, Bala Subrahmanya Mungila; Sukumar, Arun; Jafari-Sadeghi, Vahid",Network cooperation and economic performance of SMEs: Direct and mediating impacts of innovation and internationalisation,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2022.04.032,INCL:internationalization,3,TBD
136,256,DOI,1,2020,"Gerschewski, Stephan; Evers, Natasha; Anh Tuan Nguyen; Froese, Fabian Jintae",Trade Shows and SME Internationalisation: Networking for Performance,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-020-00421-y,INCL:internationalization,3,TBD
137,275,DOI,1,2019,"Serrano, Javier; Myro, Rafael","From domestic to exporter, what happens? Evidence for Spanish manufacturing firms",STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,10.1016/j.strueco.2019.01.005,INCL:domestic-to-exporter→productivity-outcomes,3,
138,276,DOI,1,2018,"Barzotto, Mariachiara; Mariotti, Ilaria",Inward FDI and Skilled Labour Force in Veneto Industrial Districts,AGGLOMERATION AND FIRM PERFORMANCE,10.1007/978-3-319-90575-4_5,INCL:FDI|firm-performance,3,firm_performance
139,285,DOI,1,2018,"Symeou, Pavlos C.; Zyglidopoulos, Stelios; Williamson, Peter",Internationalization as a driver of the corporate social performance of extractive industry firms,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2017.07.004,INCL:internationalization,3,TBD
140,289,DOI,1,2018,"Cordon Lagares, Encarnacion; Garcia Ordaz, Felix; Garcia del Hoyo, Juan Jose","Innovation, environmental commitment, internationalization and sustainability: A survival analysis of Spanish marine aquaculture firms",OCEAN & COASTAL MANAGEMENT,10.1016/j.ocecoaman.2017.10.024,INCL:internationalization,3,SURV
141,300,DOI,1,2016,"Miller, Stewart R.; Lavie, Dovev; Delios, Andrew","International intensity, diversity, and distance: Unpacking the internationalization-performance relationship",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2015.12.003,INCL:internationalization,3,TBD
142,305,DOI,1,2016,"Neves, Alexandre; Teixeira, Aurora A. C.; Silva, Sandra T.",Exports-R&D investment complementarity and economic performance of firms located in Portugal,INVESTIGACION ECONOMICA,10.1016/j.inveco.2016.03.004,INCL:exports+R&D→economic-performance,3,
143,314,DOI,1,2015,"Buigues, Pierre-Andre; Lacoste, Denis; Lavigne, Stephanie",When over internationalized companies reduce their international footprint,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2015.04.006,INCL:internationalization,3,
144,316,DOI,1,2014,"Yeoh, Poh-Lin","Internationalization and Performance Outcomes of Entrepreneurial Family SMEs: The Role of Outside CEOs, Technology Sourcing, and Innovation",THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.21597,INCL:internationalization,3,TBD
145,319,DOI,1,2014,"Lin, Wen-Ting",How do managers decide on internationalization processes? The role of organizational slack and performance feedback,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2013.08.001,INCL:internationalization,3,TBD
146,322,DOI,1,2014,"Ma, Xufei; Yiu, Daphne W.; Zhou, Nan","Facing global economic crisis: Foreign sales, ownership groups, and corporate value",JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2013.02.002,INCL:foreign-sales→corporate-value,3,
147,324,DOI,1,2013,"Hsu, Wen-Tsung; Chen, Hsiang-Lan; Cheng, Chia-Yi",Internationalization and firm performance of SMEs: The moderating effects of CEO attributes,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2012.06.001,INCL:internationalization|firm-performance,3,firm_performance
148,337,DOI,1,2011,"Leonidou, Leonidas C.; Palihawadana, Dayananda; Theodosiou, Marios","National Export-Promotion Programs as Drivers of Organizational Resources and Capabilities: Effects on Strategy, Competitive Advantage, and Performance",JOURNAL OF INTERNATIONAL MARKETING,10.1108/sd.2011.05627jaa.003,INCL:export-promotion→capabilities-performance,3,
149,339,DOI,1,2011,"Giovannetti, Giorgia; Ricchiuti, Giorgio; Velucchi, Margherita","Size, innovation and internationalization: a survival analysis of Italian firms",APPLIED ECONOMICS,10.1080/00036840802600566,INCL:internationalization,3,SURV
150,463,DOI,1,2025,"Sousa, Carlos M. P.; Tsinopoulos, Christos; Yan, Ji; Benito, Gabriel R. G.",Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2024-0039,INCL:exporting-moderates-R&D→NPD-performance,3,TBD
151,471,DOI,1,2021,"Morgan, Horatio M.; Sui, Sui; Malhotra, Shavin",No place like home: The effect of exporting to the country of origin on the financial performance of immigrant-owned SMEs,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-020-00360-8,INCL:exporter|financial-perf,3,financial_perf
152,477,DOI,1,2019,"Assadinia, Shahin; Boso, Nathaniel; Hultman, Magnus; Robson, Matthew",Do Export Learning Processes Affect Sales Growth in Exporting Activities?,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x19848425,INCL:exporter|sales-growth,3,sales_growth
153,492,DOI,1,2009,"Mauri, Alfredo J.",Influence of MNC Network Configuration Patterns on the Volatility of Firm Performance,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-009-0015-6,INCL:firm-performance,2,firm_performance
154,531,DOI,1,2015,"Schmid, Stefan; Wurster, Dennis J.",Internationalisation of upper echelons in different institutional contexts: top managers in Germany and the UK,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2015.070232,INCL:internationalization,2,TBD
155,250,DOI,2,2021,"Yang, Monica; Ai, Qi",The post-acquisition performance of cross-border mergers and acquisitions conducted by Chinese firms in the high-tech industries: Profitable or innovative?,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.22192,INCL:cross-border-M&A→post-acquisition-performance,3,ACC
156,53,DOI,3,2021,"Rashid, Abdul; Khan, Afaq; Fraz, Ahmad","Effects of Export Orientation, Exchange Rates and Leverage on Firm Productivity: Evidence from Pakistan",GLOBAL BUSINESS REVIEW,10.1177/09721509211056480,INCL:export-productivity,3,LAB
157,352,DOI,3,2005,"Rasiah, Rajah; Gachino, Geoffrey",Are Foreign Firms More Productive and Export- and Technology-intensive than Local Firms in Kenyan Manufacturing?,OXFORD DEVELOPMENT STUDIES,10.1080/13600810500137855,INCL:foreign-firms-vs-local→productivity-comparison,2,
158,181,DOI,3,2025,"Bukalska, Elzbieta; Czerniak, Jakub; Florek, Irmina",The Impact of Internationalization on Firm Performance of High-Tech Companies in Poland in the Context of Covid-19,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,10.5755/j01.ee.36.3.31403,INCL:internationalization|firm-performance,3,firm_performance
159,241,DOI,3,2021,"Srivastava, Mohit; Tyll, Ladislav",The effect of industry-specific networking behaviour on the internationalization performance of Czech SMEs,EUROPEAN BUSINESS REVIEW,10.1108/ebr-10-2019-0244,INCL:internationalization,3,TBD
160,312,DOI,3,2015,"Buchelt, Beata",Performance management in Polish companies internationalizing their market activities,INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,10.1080/09585192.2015.1041758,INCL:internationalization,3,TBD
161,327,DOI,3,2013,"Mazur, Jolanta; Zaborek, Piotr","Exploring links between cooperation, internationalization and profitability: a study of Polish manufacturing companies",INTERNATIONAL JOURNAL OF MANAGEMENT AND ECONOMICS,10.2478/ijme-2014-0020,INCL:internationalization|financial-perf,3,financial_perf
162,335,DOI,3,2011,"Hagemejer, Jan; Kolasa, Marcin",Internationalisation and Economic Performance of Enterprises: Evidence from Polish Firm-level Data,WORLD ECONOMY,10.1111/j.1467-9701.2010.01294.x,INCL:internationalization,3,TBD
163,340,DOI,3,2010,"Musteen, Martina; Francis, John; Datta, Deepak K.",The influence of international networks on internationalization speed and performance: A study of Czech SMEs,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2009.12.003,INCL:internationalization,3,TBD
164,533,DOI,3,2024,"Srividhya, M.; Vidya, C. T.",Internationalization at Inception: Insights from the Indian Textile Industry's Born Globals,JOURNAL OF ECONOMIC INTEGRATION,10.11130/jei.2024033,INCL:internationalization,2,roa
165,3,DOI,MX,2026,"Lemma, Tesfaye; Machokoto, Michael; Mlilo, Mthokozisi",Gender Differences in Enterprise Export Performance: Some International Evidence,WORLD ECONOMY,10.1111/twec.70052,INCL:firm-performance,3,EXP
166,7,DOI,MX,2025,"Le, Minh-Hieu; Lu, Wen-Min","The Moderating Effect of Multinationality on Environmental, Social, and Governance and Efficiency: A Strategic Analysis of Multinational Enterprises",BUSINESS STRATEGY AND THE ENVIRONMENT,10.1002/bse.70126,INCL:MNE,3,Efficiency
167,13,DOI,MX,2025,"Pan, Lipeng; Liu, Shuchun; Li, Yongqing; Teo, Kelvin; Fu, Xiao",Climbing the Global Value Chain: The Role of Cross-Border E-Commerce in SME Internationalization,MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.70005,INCL:internationalization,3,
168,15,DOI,MX,2025,"Han, Mary; Celly, Nikhil",SME Internationalization: Can SMEs Overcome Liabilities of Foreignness and Smallness Through International and Product Diversification?,JOURNAL OF ENTERPRISING CULTURE,10.1142/s0218495825500037,INCL:internationalization,3,
169,17,DOI,MX,2024,"Anwar, Muhammad; Scheffler, Marc Andre; Clauss, Thomas","Digital Capabilities, Their Role in Business Model Innovativeness, and the Internationalization of SMEs",IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,10.1109/tem.2022.3229049,INCL:internationalization,3,
170,19,DOI,MX,2024,"Elbanna, Said; Hsieh, Linda; Child, John; Narooz, Rose; Marinova, Svetla; Puthusserry, Pushyarag; Karmowska, Joanna; Tsai, Terence; Zhang, Yunlu","Foreign market involvement, entry-mode learning potential and SME internationalization outcomes",MANAGEMENT DECISION,10.1108/md-01-2023-0045,INCL:internationalization,3,
171,21,DOI,MX,2024,"Stocker, Miklos; Erdelyi, Adam",The Influence of Perceived Macro Environment on the Competitiveness of Internationalized Medium-Sized and Large Enterprises,ADMINISTRATIVE SCIENCES,10.3390/admsci14060116,INCL:internationalization,3,
172,28,DOI,MX,2023,"Mostafiz, Md Imtiaz; Sambasivan, Murali; Goh, See-Kwong; Ahmad, Paiman",Configuring foreign market knowledge and opportunity recognition capabilities to predict the performance of export-manufacturing firms,KNOWLEDGE MANAGEMENT RESEARCH & PRACTICE,10.1080/14778238.2021.1919573,INCL:foreign-market-knowledge→firm-performance,3,
173,30,DOI,MX,2023,"Forgione, Antonio Fabio; Migliardo, Carlo",The inefficiency of exporting SMEs: Evidence from manufacturing industry,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,10.1080/09638199.2022.2098527,INCL:exporting→firm-efficiency-as-perf-proxy,3,
174,31,DOI,MX,2023,"Masso, Jaan; Vahter, Priit",Joining and exiting the value chain of foreign multinationals and performance of their local suppliers: evidence from interfirm transaction data,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtad004,INCL:MNE,3,
175,36,DOI,MX,2022,"Eckert, Stefan; Koppe, Max; Burkatzki, Eckhard; Eichentopf, Simon; Scharf, Constantin",Economies of Scale: The Rationale Behind the Multinationality-Performance Enigma,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-022-00473-2,INCL:MNE,3,TBD
176,47,DOI,MX,2021,"Ref, Ohad; Gnizy, Itzhak","Resource indivisibility, lumpy costs and the multinationality-performance relationship",INTERNATIONAL MARKETING REVIEW,10.1108/imr-05-2020-0094,INCL:MNE,3,TBD
177,50,DOI,MX,2021,"Vendrell-Herrero, Ferran; Bustinza, Oscar F.; Vaillant, Yancy",Adoption and optimal configuration of smart products: The role of firm internationalization and offer hybridization,INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2021.04.001,INCL:internationalization,3,
178,54,DOI,MX,2020,"Pisani, Niccolo; Garcia-Bernardo, Javier; Heemskerk, Eelke","Does it pay to be a multinational? A large-sample, cross-national replication assessing the multinationality-performance relationship",STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.3087,INCL:MNE,3,TBD
179,55,DOI,MX,2020,"Bandick, Roger","Global sourcing, productivity and export intensity",WORLD ECONOMY,10.1111/twec.12887,INCL:export-productivity,3,Productivity
180,59,DOI,MX,2020,"Handrito, Radityo Putro; Slabbinck, Hendrik; Vanderstraeten, Johanna",Enjoying or refraining from risk? The impact of implicit need for achievement and risk perception on SME internationalization,CROSS CULTURAL & STRATEGIC MANAGEMENT,10.1108/ccsm-03-2019-0068,INCL:internationalization,3,
181,62,DOI,MX,2020,"Sun, Wenbin; Ding, Zhihua; Xu, Xiaobo; Cui, Kacie",Internationalization and firm default risk: The roles of environmental dynamism and marketing capability,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2020.08.027,INCL:internationalization,3,
182,66,DOI,MX,2019,"Chittoor, Raveendra; Aulakh, Preet S.; Ray, Sougata",Microfoundations of firm internationalization: The owner CEO effect,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1193,INCL:internationalization,3,
183,71,DOI,MX,2018,"Mullen, Cormac; Luff, Martha O'Hagan",Alphabet soup: the relationship between multinationality and firm performance,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2018.1556519,INCL:MNE|firm-performance,3,firm_performance
184,74,DOI,MX,2018,"Luo, Xueming; Zheng, Qinqin",How firm internationalization is recognized by outsiders: The response of financial analysts,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2018.04.030,INCL:internationalization,3,
185,78,DOI,MX,2017,"Shin, Joonho; Mendoza, Xavier; Hawkins, Matthew A.; Choi, Changbum",The relationship between multinationality and performance: Knowledge-intensive vs. capital-intensive service micro-multinational enterprises,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2017.02.005,INCL:MNE,3,TBD
186,81,DOI,MX,2017,"Bronzini, Raffaello; D'Ignazio, Alessio",Bank Internationalization and Firm Exports: Evidence from Matched Firm-Bank Data,REVIEW OF INTERNATIONAL ECONOMICS,10.2139/ssrn.2777973,INCL:internationalization,3,
187,91,DOI,MX,2016,"Geleilate, Jose-Mauricio G.; Magnusson, Peter; Parente, Ronaldo C.; Alvarado-Vargas, Marcelo J.",Home Country Institutional Effects on the Multinationality-Performance Relationship: A Comparison Between Emerging and Developed Market Multinationals,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2016.06.001,INCL:MNE,3,TBD
188,101,DOI,MX,2015,"Monreal-Perez, Joaquin; Aragon-Sanchez, Antonio; Sanchez-Marin, Gregorio",DO EXPORT MARKETS SELECT THE MOST INNOVATIVE PRODUCERS? THE MODERATING ROLE OF PRODUCTIVITY,INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,10.1142/s1363919615500309,INCL:export-productivity,3,LAB
189,106,DOI,MX,2015,"Sanfilippo, Marco",FDI from emerging markets and the productivity gap An analysis on affiliates of BRICS EMNEs in Europe,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2014.11.005,INCL:FDI|export-productivity,3,LAB
190,108,DOI,MX,2014,"Kuzey, Cemil; Uyar, Ali; Delen, Dursun",The impact of multinationality on firm value: A comparative analysis of machine learning techniques,DECISION SUPPORT SYSTEMS,10.1016/j.dss.2013.11.001,INCL:MNE,3,TBD
191,114,DOI,MX,2014,"Dutot, Vincent; Bergeron, Francois; Raymond, Louis",Information management for the internationalization of SMEs: An exploratory study based on a strategic alignment perspective,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,10.1016/j.ijinfomgt.2014.06.006,INCL:internationalization,3,
192,115,DOI,MX,2013,"Yildiz, Harun Emre",Performance implications of multinationality: moderating role of foreign market entry mode,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-04-2013-0021,INCL:MNE|entry-mode,3,TBD
193,134,DOI,MX,2010,"Rugman, Alan M.; Oh, Chang Hoon",Does the regional nature of multinationals affect the multinationality and performance relationship?,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.02.012,INCL:MNE,3,TBD
194,135,DOI,MX,2009,"Verbeke, Alain; Brugman, Paul",Triple-testing the quality of multinationality-performance research: An internalization theory perspective,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2009.01.005,INCL:MNE,2,TBD
