id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason,round3_decision,round3_reason,round4_decision,round4_reason,abstract,openalex_id,pdf_url,round5_decision,round5_reason
S0169,Immigrant and native's export benefiting from business collaborations: a global study,"Ashourizadeh, Shayegheh; Saeedikiya, Mehrzad",2023,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2023.128812,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0171,Spillover effects of foreign direct investment on manufacturing exports and imports in Indonesia,"Yasin, Mohammad Zeqi; Esquivias, Miguel Angel",2023,STUDIES IN ECONOMICS AND FINANCE,10.1108/sef-12-2022-0551,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:macro:fdi_spillover:TITLE_ONLY
S0184,In search of markets and technology: the role of cross-border knowledge for domestic productivity,"Arvanitis, Spyros; Seliger, Florian; Woerter, Martin",2023,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtad045,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0194,"Informal institutions, entrepreneurs' political participation, and venture internationalization","Li, Dan; Wei, Li-Qun; Cao, Qing; Chen, Deqiu",2022,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-021-00402-9,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0202,Chairpersons' hubris and internationalization: evidence from emerging market's family business groups,"Agnihotri, Arpita; Bhattacharya, Saurabh",2022,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-10-2020-0196,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0208,Exporting by Private Equity-Backed Portfolio Companies,"Wilson, Nick; Uddin, Moshfique; Wright, Mike",2022,BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.12566,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0211,Internationalization of Large Companies from Central and Eastern Europe or the Birth of New Stars,"Cela, Arjona; Hysa, Eglantina; Voica, Marian Catalin; Panait, Mirela; Manta, Otilia",2022,SUSTAINABILITY,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0212,Does internationalization encourage state-owned enterprises to utilize subsidies to innovate? Evidence from high-tech and automobile manufacturing industries of Chinese listed companies,"Xie, Yu; Boadu, Francis; Tang, Hongjuan",2022,CHINESE MANAGEMENT STUDIES,10.1108/cms-06-2021-0250,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0213,Successful reconfiguration and network evolution within the multinational company,"Valdemarin, Stefano; Mayrhofer, Ulrike",2022,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,10.1108/jocm-12-2020-0367,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0219,The innovation and exports interplay across Africa: Does business environment matter?,"Tandrayen-Ragoobur, Verena",2022,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,10.1080/09638199.2022.2051588,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0231,The U-Shaped Effect and Its Reversal Mechanism of Export and Innovation-Evidence From Chinese Industrial Enterprises,"Cao, Xin; Li, Peng; Fan, Limin; Jiang, Yuan; Huang, Xiaozhi",2022,FRONTIERS IN ECOLOGY AND EVOLUTION,10.3389/fevo.2022.869971,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,Y,SI:curvilinear_I_P:TITLE_ONLY
S0232,Exports and outward FDI as drivers of eco-innovations. An analysis based on Spanish manufacturing firms,"Torrecillas, Celia; Fernandez, Sara",2022,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2022.131243,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:eco_innov_plural:TITLE_ONLY
S0236,"Disaggregating Multinationality: An Empirical Examination of Aggregation, Adaptation, and Arbitrage Activities by U.S. Multinational Corporations","Berry, Heather; Kaul, Aseem",2022,STRATEGY SCIENCE,10.1287/stsc.2022.0158,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0239,Organizational goals and resource allocation to overseas foreign direct investment,"Bai, Tao; Liesch, Peter",2022,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2022.101308,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0240,Organizational learning in SMEs? internationalization: A moderated mediating effect of absorptive capacity,"Kang, Yuanfei; Zhao, Chao; Battisti, Martina",2022,LONG RANGE PLANNING,10.1016/j.lrp.2022.102220,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0247,The role of slack resources and managerial capabilities in early and late internationalization: a configurational approach,"Vuorio, Anna; Faroque, Anisur R.; Kuivalainen, Olli",2022,SMALL ENTERPRISE RESEARCH,10.1080/13215906.2022.2113742,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0261,Early internationalisation of entrepreneurial firms: the role of artificial intelligence enhanced business models,"Arshi, Tahseen Anwer; Rao, Venkoba; Begum, Vazeerjan; Capar, Nejat",2022,JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT,10.1504/jibed.2022.10055241,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0262,The internationalization of new ventures in an emerging economy: The shifting role of industry concentration,"Saiyed, Abrar Ali; Fernhaber, Stephanie A.; Basant, Rakesh; Dhandapani, Karthik",2021,ASIA PACIFIC JOURNAL OF MANAGEMENT,10.1007/s10490-020-09712-2,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0279,Exports of Spanish manufacturing firms and financial constraints,"Manez, Juan A.; Vicente-Chirivella, Oscar",2021,BRQ-BUSINESS RESEARCH QUARTERLY,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:ant:export_financial_constraints:TITLE_ONLY
S0282,How to Increase the Internationalization Capacity of Science & Technology Park Firms: Some Lessons for The Managers,"Imer, Sabahattin Tugrul; Oktem, Mustafa Kemal; Kaskati, Osman Tolga",2021,SOSYOEKONOMI,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0283,Emerging Market Multinational Family Business Groups and the Use of Family Managers in Foreign Subsidiaries,"Chung, Hsi-Mei; Dahms, Sven; Kao, Pao T.",2021,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-021-00437-y,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0302,Information and Communication Technology Adoption Strategies of Emerging Multinationals From India,"Mondal, Arindam; Chakrabarti, Amit Baran",2021,JOURNAL OF GLOBAL INFORMATION MANAGEMENT,10.4018/jgim.20210901.oa9,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0314,Internationalization pathways of Chinese private firms: A closer look at firm-specific advantages,"Driffield, Nigel; Du, Jun; Song, Meng",2021,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2021.100835,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0325,Foreign venture capital firms and internationalization of ventures,"Woo, Heejin",2020,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-09-2019-0104,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0333,Linking governance structure and sustainable operations of Chinese manufacturing firms: The moderating effect of internationalization,"Liu, Tiansen; Liu, He; Zhang, Yufeng; Song, Yazhi; Su, Yi; Zhu, Yue",2020,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2019.119949,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0342,Development of entrepreneurial orientation of export manufacturers from emerging economies,"Rwehumbiza, Deusdedit; Marinov, Marin A.",2020,INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,10.1007/s11365-019-00580-x,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0343,OUTWARD INTERNATIONALISATION OF EMERGING MARKET SMALL AND MEDIUM SIZED ENTERPRISES: CONTRACT MANUFACTURING RELATIONSHIP WITH DEVELOPED MARKET MULTINATIONAL ENTERPRISE(S) AND CAPABILITIES DEVELOPMENT,"Arslan, Ahmad; Naughton, Sean; Tabas, Abdollah Mohammadparast; Puhakka, Vesa",2020,"INTERNATIONAL ENTREPRENEURSHIP IN EMERGING MARKETS: NATURE, DRIVERS, BARRIERS AND DETERMINANTS",10.1108/s2040-724620190000010010,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0364,The interplay between exports and technological collaborations: effects on SME growth,"Teresa Bolivar-Ramos, Maria; Capelleras, Joan-Lluis; Rialp-Criado, Alex; Rialp-Criado, Josep",2020,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,10.1504/ijtm.2020.112156,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,Y,SI:effects_on_growth_exports:TITLE_ONLY
S0372,An Effectual-Causal View of Managerial Decisions in the Internationalization of Indian MNEs,"Dash, Rupanwita; Ranjan, Kumar Rakesh",2019,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2018.09.001,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0374,Gains from multinational competition for cross-border firm acquisition,"Koska, Onur A.",2019,ECONOMICS-THE OPEN ACCESS OPEN-ASSESSMENT E-JOURNAL,10.5018/economics-ejournal.ja.2019-20,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0376,Adapting and sustaining operations in weak institutional environments: A business ecosystem assessment of a Chinese MNE in Central Africa,"Parente, Ronaldo; Rong, Ke; Geleilate, Jose-Mauricio G.; Misati, Everlyne",2019,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-018-0179-z,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0377,Effects of prior market experiences and firm-specific resources on developed economy SMEs' export exit from emerging markets: Complementary or compensatory?,"Sandberg, Susanne; Sui, Sui; Baum, Matthias",2019,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2018.10.014,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0378,The role of international institutional complexity on emerging market multinational companies' innovation,"Wu, Jie; Park, Seung Ho",2019,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1166,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0383,Cross-border acquisitions and family businesses,"Ossorio, Mario",2019,EUROMED JOURNAL OF BUSINESS,10.1108/emjb-05-2018-0033,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0402,Founder non-international experience and venture internationalization,"Domurath, Anne; Patzelt, Holger",2019,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-019-00249-0,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0438,Diffusion of internationalization in business group networks: evidence from India,"Shukla, Dhirendra Mani; Akbar, M.",2018,MANAGEMENT DECISION,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0441,Innovation activities and learning processes in the crisis: evidence from Italian export in manufacturing and services,"Brancati, Raffaele; Marrocu, Emanuela; Romagnoli, Manuel; Usai, Stefano",2018,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtx022,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:innov_activities_learning:TITLE_ONLY
S0446,"Strategic goal accomplishment in export ventures: the role of capabilities, knowledge, and environment","Spyropoulou, Stavroula; Katsikeas, Constantine S.; Skarmeas, Dionysis; Morgan, Neil A.",2018,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,10.1007/s11747-017-0519-8,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0471,Internationalisation and Innovation Intensities of Polish Manufacturing Firms: A Close Nexus?,"Brodzicki, Tomasz",2017,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2017.050106,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:intl_innov_intensity:TITLE_ONLY
S0474,Emerging Market Multinational Companies and Internationalization: The Role of Home Country Urbanization,"Estrin, Saul; Nielsen, Bo B.; Nielsen, Sabina",2017,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2016.11.006,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0483,"MNE internationalization patterns, the roles of knowledge stocks, and the portfolio of MNE subsidiaries","Hutzschenreuter, Thomas; Matt, Tanja",2017,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-017-0105-9,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0499,"Multinationals, technology and regional linkages in Myanmar's clothing industry","Naing, Tin Htoo; Yap, Su-Fei",2016,ASIA PACIFIC BUSINESS REVIEW,10.1080/13602381.2014.990211,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0501,Innovation management of internationalised IT companies in Brazil and Portugal,"Galina, Simone; Carvalho, Luisa; Costa, Teresa",2016,INTERNATIONAL JOURNAL OF KNOWLEDGE-BASED DEVELOPMENT,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:innov_mgmt_intl:TITLE_ONLY
S0503,Internationalisation of family-owned businesses in a geographically remote area,"Moini, Hamid; Kuada, John; Decker, Arnim",2016,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL VENTURING,10.1504/ijev.2016.077621,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0515,What is beneficial for first-time SME-exporters from a transition economy: A diversified or a focused export-strategy?,"Dikova, Desislava; Jaklic, Andreja; Burger, Anze; Kuncic, Aljaz",2016,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2015.05.001,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0538,Institutional effect on born global firms in China: the role of Sun Tzu's <i>The Art of War</i> strategies,"Zhang, Man; Gao, Qian; Wheeler, Jane V.; Kwon, Jungsook",2016,JOURNAL OF ASIA BUSINESS STUDIES,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0551,"Innovation, Internationalization, and the Transnational Corporation","Ietto-Gillies, Grazia",2015,"HANDBOOK OF GLOBAL SCIENCE, TECHNOLOGY, AND INNOVATION",10.1002/9781118739044.ch6,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0568,Globalization and diversification strategy: A managerial perspective,"Bowen, Harry P.; Baker, H. Kent; Powell, Gary E.",2015,SCANDINAVIAN JOURNAL OF MANAGEMENT,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0570,The Effects of Internationalization on Innovation: Firm-Level Evidence for Transition Economies,"Boermans, Martijn Adriaan; Roelfsema, Hein",2015,OPEN ECONOMIES REVIEW,10.1007/s11079-014-9334-8,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,N,HARD:DV:intl_on_innovation:TITLE_ONLY
S0573,Efficiency and exports: Evidence from Southern European companies,"Moral-Pajares, Encarnacion; Mozas-Moral, Adoracion; Bernal-Jurado, Enrique; Jesus Medina-Viruel, Miguel",2015,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2015.01.042,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,Y,SI:efficiency_exports:TITLE_ONLY
S0579,Internationalisation of upper echelons in different institutional contexts: top managers in Germany and the UK,"Schmid, Stefan; Wurster, Dennis J.",2015,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2015.070232,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
S0583,"Political strategies, entrepreneurial overconfidence and foreign direct investment in developing countries","Heidenreich, Stefan; Mohr, Alexander; Puck, Jonas",2015,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2015.03.002,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY
