seq,title,old_decision,new_decision,reason,has_abstract
807,Internationalization of an Islamic investment bank: opportunities and challenges,UNSURE,UNSURE,refine_abs:insufficient,Y
811,Graduating to globalisation: a study of Southern multinationals,UNSURE,UNSURE,refine_abs:insufficient,Y
844,Top management teams and the performance of entrepreneurial firms,UNSURE,UNSURE,refine_abs:insufficient,Y
851,Does board social capital influence chief executive officers' investment decisio,UNSURE,UNSURE,refine_abs:insufficient,Y
852,The determinants of innovation in green supply chains: evidence from an Italian ,UNSURE,UNSURE,refine_abs:insufficient,Y
855,The income elasticity of demand and firm performance of US restaurant companies ,UNSURE,UNSURE,refine_abs:insufficient,Y
857,Internationalization and innovation of firms: evidence and policy,UNSURE,UNSURE,refine_abs:insufficient,Y
864,Firm capabilities and the performance in regional polarization,UNSURE,UNSURE,refine_abs:insufficient,Y
868,Modes of international activities and the innovativeness of firms: an empirical ,UNSURE,UNSURE,refine_abs:insufficient,Y
871,INTERNET MARKETING BENEFITS FOR SOUTH AFRICAN SME OWNER-MANAGERS,UNSURE,UNSURE,refine_abs:insufficient,Y
875,Moderating influence of internal resources on cluster externalities,UNSURE,UNSURE,refine_abs:insufficient,Y
877,Analysis of the profitability of the Spanish business sector with investment pre,UNSURE,UNSURE,refine_abs:insufficient,Y
880,"An explanation of firms' internationalisation modes, blending firm heterogeneity",UNSURE,UNSURE,refine_abs:insufficient,Y
881,The alchemy of family enterprises' internationalisation: dexterous movers or pro,UNSURE,UNSURE,refine_abs:insufficient,Y
883,AN EXPOSITION OF RESOURCE CAPABILITIES FOR SMES IN THE EMERGING MARKETS,UNSURE,UNSURE,refine_abs:insufficient,Y
884,Determinants of engaging in business combinations through partial acquisitions,UNSURE,UNSURE,refine_abs:insufficient,Y
887,"Founder-key leaders, group-level decision teams, and the international expansion",UNSURE,UNSURE,refine_abs:insufficient,Y
901,A national competitiveness-based portfolio approach for international strategic ,UNSURE,UNSURE,refine_abs:insufficient,Y
902,Strategy in family business: Recent findings and future challenges,UNSURE,UNSURE,refine_abs:insufficient,Y
912,Internationalisation of Family Business: The Effect of Ownership and Generation ,UNSURE,UNSURE,refine_abs:insufficient,Y
922,Internationalisation of R&D: A Brief Survey of the Literature,UNSURE,UNSURE,refine_abs:insufficient,Y
925,Contextualization and the advancement of entrepreneurship research,UNSURE,UNSURE,refine_abs:insufficient,Y
931,How can emerging market small and medium-sized enterprises maximise internationa,UNSURE,UNSURE,refine_abs:insufficient,Y
946,The dynamics of regional and global expansion,UNSURE,UNSURE,refine_abs:insufficient,Y
949,Decision-maker characteristics and international decisions for SMEs,UNSURE,N,refine_abs:education_field,Y
950,The impact of gender diversity in foreign subsidiaries' innovation outputs,UNSURE,UNSURE,refine_abs:insufficient,Y
953,The effects of entrepreneurs' socioeconomic status and political characteristics,UNSURE,UNSURE,refine_abs:insufficient,Y
962,The Importance of Strategic Fit Between Host-Home Country Similarity and Explora,UNSURE,UNSURE,refine_abs:insufficient,Y
969,Comparative Analysis of Firms' Participation in National and International Progr,UNSURE,UNSURE,refine_abs:insufficient,Y
974,New insights into dynamic efficiency: the effects of firm factors,UNSURE,UNSURE,refine_abs:insufficient,Y
981,The Distribution of Monopolistic Markups in the Polish Economy,UNSURE,UNSURE,refine_abs:insufficient,Y
983,The returns to foreign R&D,UNSURE,UNSURE,refine_abs:insufficient,Y
988,Factors That Foster Export Commitment: an Empirical Study in Small and Medium-Si,UNSURE,UNSURE,refine_abs:insufficient,Y
991,Business networks and the competitiveness of small manufacturing firms in Sweden,UNSURE,UNSURE,refine_abs:insufficient,Y
993,"Learning, firm age and performance: An investigation of returnee entrepreneurs i",UNSURE,UNSURE,refine_abs:insufficient,Y
998,International Analysis of Venture Capital Programs of Large Corporations and Fin,UNSURE,UNSURE,refine_abs:insufficient,Y
999,Developing Absorptive Capacity through e-Business: The Case of International SME,UNSURE,UNSURE,refine_abs:insufficient,Y
1020,Innovation management of internationalised IT companies in Brazil and Portugal,UNSURE,UNSURE,refine_abs:insufficient,Y
1021,Training practices and organisational performance: A comparative analysis of dom,UNSURE,UNSURE,refine_abs:insufficient,Y
1024,Internationalisation of family-owned businesses in a geographically remote area,UNSURE,N,refine_abs:qualitative,Y
1025,Internet-enabled internationalisation: a review of the empirical literature and ,UNSURE,N,refine_abs:review_type,Y
1027,Towards building internal social network architecture that drives innovation: a ,UNSURE,N,refine_abs:review_type,Y
1028,"Better at home, abroad, or both? How Chinese firms use ambidextrous internationa",UNSURE,N,refine_abs:review_type,Y
1037,Assembling capabilities for innovation: Evidence from New Zealand SMEs,UNSURE,UNSURE,refine_abs:insufficient,Y
1038,"Organizational learning, entrepreneurial orientation, and the role of university",UNSURE,N,refine_abs:education_field,Y
1043,International knowledge spillovers through high-tech imports and R&D of foreign-,UNSURE,UNSURE,refine_abs:insufficient,Y
1046,Effects of Network Capabilities on Firm Performance across Cultures,UNSURE,UNSURE,refine_abs:insufficient,Y
1049,. Maximizing the Benefits of Internationalization: The Moderating Role of Labour,UNSURE,UNSURE,refine_abs:insufficient,Y
1050,"Political Connections, Home Formal Institutions, and Internationalization: Evide",UNSURE,UNSURE,refine_abs:insufficient,Y
1076,SUSTAINABILITY IN RELATIONSHIP MARKETING: AN EXPLORATORY MODEL FOR THE INDUSTRIA,UNSURE,UNSURE,refine_abs:insufficient,Y
1078,Drivers of Global CSR Integration and Local CSR Responsiveness: Evidence from Ch,UNSURE,UNSURE,refine_abs:insufficient,Y
1080,Broadening or jumping? An analysis of the first export market of European Union ,UNSURE,UNSURE,refine_abs:insufficient,Y
1086,IT-enabled Knowledge Management for the Competitive Performance of Manufacturing,UNSURE,UNSURE,refine_abs:insufficient,Y
1101,Innovation and experiential knowledge in firm exports: Applying the initial U-mo,UNSURE,UNSURE,refine_abs:insufficient,Y
1103,Ownership control of foreign affiliates: A property rights theory perspective,UNSURE,UNSURE,refine_abs:insufficient,Y
1106,Entrepreneurial orientation and performance: mediating effects of technology and,UNSURE,UNSURE,refine_abs:insufficient,Y
1108,The internationalization of SMEs in Italy,UNSURE,UNSURE,refine_abs:insufficient,Y
1113,Explaining intermittent exporting: Exit and conditional re-entry in export marke,UNSURE,N,refine_abs:conceptual,Y
1138,INTERNATIONALIZATION STRATEGIES IN OLIGOPOLY WITH HETEROGENEOUS FIRMS,UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
1142,ACQUISITION OR GREENFIELD ENTRY INTO AFRICA? RESPONDING TO INSTITUTIONAL DYNAMIC,UNSURE,UNSURE,refine_abs:insufficient,Y
1146,Determinants Of Productivity Of Ukrainian Firms,UNSURE,UNSURE,refine_abs:insufficient,Y
1156,ANALYSIS OF THE INVESTMENT ACTIVITY IN SOUTH AND CENTRAL EASTERN EUROPE. A COMPA,UNSURE,UNSURE,refine_abs:insufficient,Y
1168,The Internationalisation of Family Firms: the Role of the Ownership Structure an,UNSURE,UNSURE,refine_abs:insufficient,Y
1170,The entrepreneurial influence on winery market performance - a mediation perspec,UNSURE,N,refine_abs:review_type,Y
1172,Are International and Product Diversification Substitutes or Complements? Theore,UNSURE,UNSURE,refine_abs:insufficient,Y
1176,Do firms with more alliance experience outperform others with less? A three-leve,UNSURE,UNSURE,refine_abs:insufficient,Y
1179,"Influence of the lack of a standard definition of ""family business"" on research ",UNSURE,UNSURE,refine_abs:insufficient,Y
1185,Encouraging Internationalization and Entrepreneurial Orientation in Small and Me,UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
1196,Firm Heterogeneity and Trade-Policy Stances <i>Evidence from a Survey of Japanes,UNSURE,UNSURE,refine_abs:insufficient,Y
1209,International and product diversification: Which strategy suits family managers?,UNSURE,N,refine_abs:individual_level,Y
1214,The labour market effects of offshoring of small and medium-sized firms: micro-l,UNSURE,UNSURE,refine_abs:insufficient,Y
1221,The links between firm-level productivity and modes of international expansion o,UNSURE,UNSURE,refine_abs:insufficient,Y
1234,"""One size fits all""? Convergence in international corporate social responsibilit",UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
1235,Testing the self-selection theory in high corruption environments: evidence from,UNSURE,UNSURE,refine_abs:insufficient,Y
1241,Research on Maintenance Method and Upgrade Strategy of Engine Block Production L,UNSURE,UNSURE,refine_abs:insufficient,Y
1251,BUSINESS GROUPS RECONSIDERED: BEYOND PARAGONS AND PARASITES,UNSURE,N,refine_abs:conceptual,Y
1254,Gamification approaches to the early stage of innovation,UNSURE,N,refine_abs:qualitative,Y
1259,When are emerging market multinationals more risk taking?,UNSURE,UNSURE,refine_abs:insufficient,Y
1270,Internationalization and corporate social responsibility in the restaurant indus,UNSURE,UNSURE,refine_abs:insufficient,Y
1274,A STUDY OF THE VALUE OF ICT IN IMPROVING CORPORATE PERFORMANCE: A CORPORATE COMP,UNSURE,UNSURE,refine_abs:insufficient,Y
1278,Foreign participation and internationalization intensity of African enterprises,UNSURE,UNSURE,refine_abs:insufficient,Y
1285,Fostering place-based innovation and internationalization - the new turn in Germ,UNSURE,UNSURE,refine_abs:insufficient,Y
1291,Diffusion of internationalization in business group networks: evidence from Indi,UNSURE,UNSURE,refine_abs:insufficient,Y
1303,Family entrepreneurship and internationalization strategies,UNSURE,UNSURE,refine_abs:insufficient,Y
1308,Exploring market orientation among Chinese small and medium-sized enterprises,UNSURE,UNSURE,refine_abs:insufficient,Y
1312,Innovation and international business,UNSURE,UNSURE,refine_abs:insufficient,Y
1316,Multinationals and sustainable development: Does internationalization develop co,UNSURE,UNSURE,refine_abs:insufficient,Y
1320,Exploring the Strategic Motivation of Internationalisation: Indonesian Contracto,UNSURE,UNSURE,refine_abs:insufficient,Y
1322,Relationship between Corporate Social Responsibility (CSR) and Internationalisat,UNSURE,UNSURE,refine_abs:insufficient,Y
1325,Transition in-and-out of exporting and its impact on employment growth,UNSURE,UNSURE,refine_abs:insufficient,Y
1327,CSR engagement and values in a pre-emerging and emerging country context,UNSURE,UNSURE,refine_abs:insufficient,Y
1329,Application of human resource management's universal model: An examination of pe,UNSURE,N,refine_abs:review_type,Y
1335,"The CEO as a key microfoundation of global strategy: Task demands, CEO origin, a",UNSURE,UNSURE,refine_abs:insufficient,Y
1342,Gains from multinational competition for cross-border firm acquisition,UNSURE,UNSURE,refine_abs:insufficient,Y
1356,THE MEDIATING EFFECT OF HUMAN CAPITAL ON THE RELATIONSHIP BETWEEN STRATEGIC INNO,UNSURE,UNSURE,refine_abs:insufficient,Y
1360,Corporate social responsibility and competitive advantage: A developing country ,UNSURE,UNSURE,refine_abs:insufficient,Y
1361,Antecedents of strategic ambidexterity in the context of internationalisation: a,UNSURE,UNSURE,refine_abs:insufficient,Y
1365,State Ownership and Political Connections,UNSURE,UNSURE,refine_abs:insufficient,Y
1367,Exploring alternative approaches to entrepreneurial exporting: internationalizat,UNSURE,UNSURE,refine_abs:insufficient,Y
1370,Measurement scale of international opportunity identification in early internati,UNSURE,UNSURE,refine_abs:insufficient,Y
1377,Determinants of SMEs' performance: evidence from European countries,UNSURE,UNSURE,refine_abs:insufficient,Y
1379,Some twins are not alike: FDI premia in the former Soviet states,UNSURE,UNSURE,refine_abs:insufficient,Y
1387,Benefits of IT-Enabled Flexibilities for Foreign versus Local Firms in Emerging ,UNSURE,UNSURE,refine_abs:insufficient,Y
1408,Overseas Subsidiaries and the Productivity of Two-way Trading Manufacturers in G,UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
1411,Beauty Is in the Eye of the Beholder: Toward a Contextual Understanding of Compe,UNSURE,N,refine_abs:education_field,Y
1415,Women in the boardroom and corporate social performance: negotiating the double ,UNSURE,N,refine_abs:wrong_outcome,Y
1416,Performance vs. Family Ownership and Management: The Case of Portuguese Wine Fir,UNSURE,UNSURE,refine_abs:insufficient,Y
1417,The Performance of High-Growers and Regional Entrepreneurial Ecosystems: A Resea,UNSURE,UNSURE,refine_abs:insufficient,Y
1420,Does TMT cultural diversity contribute to firm performance and do socialisation ,UNSURE,UNSURE,refine_abs:insufficient,Y
1421,How nation-level background governance conditions shape the economic payoffs of ,UNSURE,N,refine_abs:wrong_outcome,Y
1431,R&D Internationalization and Green Innovation? Evidence from Chinese Resource En,UNSURE,UNSURE,refine_abs:insufficient,Y
1432,Top management team regional diversity and internationalization,UNSURE,UNSURE,refine_abs:insufficient,Y
1436,"Product Newness, Low Competition, Recent Technology, and Export Orientation as P",UNSURE,UNSURE,refine_abs:insufficient,Y
1440,Effect of Internationalisation on Balanced Scorecard among Malaysian Small and M,UNSURE,UNSURE,refine_abs:insufficient,Y
1444,The impact of intellectual capital. organizational capabilities and innovation o,UNSURE,UNSURE,refine_abs:insufficient,Y
1445,The Invisible Hand of Evolutionary Psychology: The Importance of Kinship in Firs,UNSURE,UNSURE,refine_abs:insufficient,Y
1447,Impact of E-Commerce Sales on Profitability and Revenue. The Case of the Manufac,UNSURE,UNSURE,refine_abs:insufficient,Y
1453,"Using the ""best-fit"" approach to investigate the effects of politico-economic an",UNSURE,UNSURE,refine_abs:insufficient,Y
1467,The effect of CEO incentives on deviations from institutional norms in foreign m,UNSURE,UNSURE,refine_abs:insufficient,Y
1473,Downstream offshoring and firm-level employment,UNSURE,UNSURE,refine_abs:insufficient,Y
1476,Entrepreneurial finance and new venture success - the moderating role of governm,UNSURE,UNSURE,refine_abs:insufficient,Y
1483,Examining economic and technology-related barriers of small- and medium-sized en,UNSURE,UNSURE,refine_abs:insufficient,Y
1488,Impact of policy initiatives and collaborative synergy on sustainability and bus,UNSURE,N,refine_abs:wrong_outcome,Y
1493,"Relational ownership, institutional context, and internationalization of state-o",UNSURE,UNSURE,refine_abs:insufficient,Y
1495,The effect of entrepreneurial origin on firms' performance: the case of Portugue,UNSURE,UNSURE,refine_abs:insufficient,Y
1502,The influence of internet marketing capabilities on international market perform,UNSURE,UNSURE,refine_abs:insufficient,Y
1508,OUTWARD INTERNATIONALISATION OF EMERGING MARKET SMALL AND MEDIUM SIZED ENTERPRIS,UNSURE,N,refine_abs:review_type,Y
1509,Corporate innovation and environmental investment: The moderating role of instit,UNSURE,N,refine_abs:wrong_outcome,Y
1516,Sourcing Technological Knowledge Through Foreign Inward Licensing to Boost the P,UNSURE,UNSURE,refine_abs:insufficient,Y
1522,How companies respond to growing research costs: cost control or value creation?,UNSURE,N,refine_abs:qualitative,Y
1524,"Institutional complementarity, firm behavior, and firm heterogeneity: A cross-na",UNSURE,UNSURE,refine_abs:insufficient,Y
1530,Organisational learning as a mediator in the host-home country similarity-intern,UNSURE,UNSURE,refine_abs:insufficient,Y
1534,The competitive efficiency of Costa Rican small and medium-sized businesses: a d,UNSURE,UNSURE,refine_abs:insufficient,Y
1542,The combined effects of product and geographical diversification on performance:,UNSURE,UNSURE,refine_abs:insufficient,Y
1552,"Limiting role of resource dependence: an examination of director interlocks, boa",UNSURE,UNSURE,refine_abs:insufficient,Y
1555,"Human capital readiness and global market orientation in Indonesian Micro-, Smal",UNSURE,UNSURE,refine_abs:insufficient,Y
1557,"Past, ongoing, and future debate on the interplay between internationalization a",UNSURE,UNSURE,refine_abs:insufficient,Y
1567,Women directors and exporting activity: The moderating role of network advice,UNSURE,UNSURE,refine_abs:insufficient,Y
1574,Chief marketing officer and internationalization-a resource-based view,UNSURE,UNSURE,refine_abs:insufficient,Y
1581,Examining the Factors Affecting SME Performance: The Mediating Role of Social Me,UNSURE,UNSURE,refine_abs:insufficient,Y
1587,Measuring innovation effectiveness: a SEM-based cross-lagged analysis,UNSURE,UNSURE,refine_abs:insufficient,Y
1588,Swimming upstream throughout the turmoil: Evidence on firm growth during the gre,UNSURE,UNSURE,refine_abs:insufficient,Y
1591,Innovation drivers of external competitiveness in the great recession,UNSURE,UNSURE,refine_abs:insufficient,Y
1592,Migrant human and political capitals value in entrepreneur enterprise performanc,UNSURE,UNSURE,refine_abs:insufficient,Y
1601,How to Increase the Internationalization Capacity of Science & Technology Park F,UNSURE,N,refine_abs:education_field,Y
1606,Emerging Market Multinational Family Business Groups and the Use of Family Manag,UNSURE,UNSURE,refine_abs:insufficient,Y
1611,Building Multinationals in the Mediterranean: balearic island hotels in the 1990,UNSURE,UNSURE,refine_abs:insufficient,Y
1613,Does one size fit all? CEO profiles and strategic management choices,UNSURE,N,refine_abs:education_field,Y
1615,Reverse innovation transfer in Chinese MNCs: The role of political ties and head,UNSURE,UNSURE,refine_abs:insufficient,Y
1620,Implementation of Stochastic Analysis in Corporate Decision-Making Models,UNSURE,UNSURE,refine_abs:insufficient,Y
1631,Exploring firm-level innovation and productivity in India,UNSURE,UNSURE,refine_abs:insufficient,Y
1636,The impact of market orientation on the performance of MSMEs operating in techno,UNSURE,UNSURE,refine_abs:insufficient,Y
1641,An Investigation of Entrepreneurial SMEs' Network Capability and Social Capital ,UNSURE,UNSURE,refine_abs:insufficient,Y
1642,The Micro-Foundation of Ambidextrous Foreign Direct Investment,UNSURE,UNSURE,refine_abs:insufficient,Y
1643,"Political connection, contract intensity, and OFDI: Evidence from China",UNSURE,UNSURE,refine_abs:insufficient,Y
1645,Is small and medium-sized beautiful? The structure and evolution of family SMEs ,UNSURE,UNSURE,refine_abs:insufficient,Y
1658,Chairpersons' hubris and internationalization: evidence from emerging market's f,UNSURE,N,refine_abs:antecedent,Y
1660,Information and Communication Technology Adoption Strategies of Emerging Multina,UNSURE,UNSURE,refine_abs:insufficient,Y
1662,Efficacy of Marketing in Innovation Processes,UNSURE,UNSURE,refine_abs:insufficient,Y
1665,Internationalization-Innovation Strategy in New Ventures: A Log-linear Analysis,UNSURE,UNSURE,refine_abs:insufficient,Y
1676,Does organizational learning differ in manufacturing and service firms? Evidence,UNSURE,UNSURE,refine_abs:insufficient,Y
1683,Which export channels provide real options to SMEs?,UNSURE,UNSURE,refine_abs:insufficient,Y
1690,Connecting the Dots: Exploring the Knowledge-based Antecedents of SMEs' Profitab,UNSURE,UNSURE,refine_abs:insufficient,Y
1702,Intermediary Management and Employee Corporate Culture Identification Mediation ,UNSURE,UNSURE,refine_abs:insufficient,Y
1703,Sustaining superior international performance: Strategic orientations and dynami,UNSURE,UNSURE,refine_abs:insufficient,Y
1712,CHINESE FOREIGN TRANSACTIONS: WHAT GETS THEM IN TROUBLE?,UNSURE,UNSURE,refine_abs:insufficient,Y
1718,Exploratory and Exploitative Internationalization: Effects of Social Capital Ant,UNSURE,UNSURE,refine_abs:insufficient,Y
1735,The role of human capital in the foreign market performance of US SMEs: does own,UNSURE,UNSURE,refine_abs:insufficient,Y
1736,Leadership in internationalization strategies,UNSURE,Y_WEAK,refine_abs:perf_intl_only(needs_verify),Y
1751,Toward a more in-depth measurement of cultural distance: A re-evaluation of the ,UNSURE,Y,"refine_abs:perf=1,intl=1,quant=1,firm=1",Y
1752,Belt and Road Initiative and OFDI from China: the paradox of home country instit,UNSURE,UNSURE,refine_abs:insufficient,Y
1754,The Influence of Top Management Team Human Capital on Sustainable Business Growt,UNSURE,UNSURE,refine_abs:insufficient,Y
1761,"Raising or folding the bet? Institutional dynamics, family involvement, and the ",UNSURE,UNSURE,refine_abs:insufficient,Y
1769,The internationalization of Australian innovative small-to-medium enterprises ut,UNSURE,N,refine_abs:qualitative,Y
1783,How does firms' broadband adoption affect regional TFP in Italy?,UNSURE,UNSURE,refine_abs:insufficient,Y
1788,The Development of Corporate Entrepreneurship among Emerging Economy SMEs: Insig,UNSURE,N,refine_abs:qualitative,Y
1792,The role of intellectual capital and service agility in banking service provisio,UNSURE,UNSURE,refine_abs:insufficient,Y
1795,How Social Network Influences the Growth of Entrepreneurial Enterprises: Perspec,UNSURE,UNSURE,refine_abs:insufficient,Y
1798,The Impact of Directors' Foreign Experience on Environmental Information Disclos,UNSURE,UNSURE,refine_abs:insufficient,Y
1806,Home country (in)stability and the locational portfolio construction of emerging,UNSURE,UNSURE,refine_abs:insufficient,Y
1807,An empirical analysis of the profitability of backshoring initiatives to Europe,UNSURE,UNSURE,refine_abs:insufficient,Y
1809,The Effect of International Diversification on Sustainable Development: The Medi,UNSURE,N,refine_abs:wrong_outcome,Y
1810,"Government policy, filial piety, and foreign direct investment",UNSURE,UNSURE,refine_abs:insufficient,Y
1814,Staying in or stepping out? Growth strategies of second-generation immigrant ent,UNSURE,N,refine_abs:qualitative,Y
1837,Human Resource Management Practices of Foreign Manufacturing Companies in Bangla,UNSURE,UNSURE,refine_abs:insufficient,Y
1841,International business research: The real challenges are data and theory,UNSURE,UNSURE,refine_abs:insufficient,Y
1844,Reshaping Internationalization Strategy and Control for Global E-Commerce and Di,UNSURE,UNSURE,refine_abs:insufficient,Y
1846,"In pursuit of diversification opportunities, efficiency, and revenue diversifica",UNSURE,UNSURE,refine_abs:insufficient,Y
1847,Determinants factors of the performance of metallurgical companies in Northern P,UNSURE,UNSURE,refine_abs:insufficient,Y
1855,"Technological Innovation, Risk-Taking and Firm Performance-Empirical Evidence fr",UNSURE,UNSURE,refine_abs:insufficient,Y
1858,CEO general work experience and FDI-based internationalization,UNSURE,N,refine_abs:education_field,Y
1861,"Entry, speed and degree of formality for household businesses: an integrated app",UNSURE,UNSURE,refine_abs:insufficient,Y
1864,Is innovativeness influenced by proactiveness and risk- taking? Evidence from Po,UNSURE,UNSURE,refine_abs:insufficient,Y
1874,What explains entrepreneurial start-ups across countries: An integrative model,UNSURE,UNSURE,refine_abs:insufficient,Y
1877,The Moderating Role of Host Investment Environments on the Relationship between ,UNSURE,UNSURE,refine_abs:insufficient,Y
1879,Board gender diversity and the financial performance of Pakistani non-financial ,UNSURE,UNSURE,refine_abs:insufficient,Y
1884,Alibaba and Coupang in the spotlight,UNSURE,UNSURE,refine_abs:insufficient,Y
1885,"The roles of social capital, entrepreneurial orientation and competitive intensi",UNSURE,N,refine_abs:individual_level,Y
1902,Impact of imports from China on Indian manufacturing performance: an analysis of,UNSURE,UNSURE,refine_abs:insufficient,Y
1906,The role of organisational factors and environmental conditions on the success o,UNSURE,UNSURE,refine_abs:insufficient,Y
1913,FDI or International-Trade-Driven Green Growth of 24 Korean Manufacturing Indust,UNSURE,UNSURE,refine_abs:insufficient,Y
