seq,priority,doi_available,source,year,authors,title,journal,doi,icrv,cdai,dpl,doi_type,fp_type,n,r,notes,extraction_status,abstract,prescreen_flag,prescreen_reason,prescreen_icrv,prescreen_doi_type,prescreen_fp_type
27,High,Y,,2023,"Baum, Matthias; Sui, Sui; Malhotra, Shavin",A vicarious learning perspective on the relationship between home-peer performance and export intensity among SMEs,INTERNATIONAL MARKETING REVIEW,10.1108/imr-01-2022-0026,MX,,3,export_ratio,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,N,EXCL-DV:export-intensity-as-DV,,export_ratio,
28,High,Y,,2023,"Mostafiz, Md Imtiaz; Sambasivan, Murali; Goh, See-Kwong; Ahmad, Paiman",Configuring foreign market knowledge and opportunity recognition capabilities to predict the performance of export-manufacturing firms,KNOWLEDGE MANAGEMENT RESEARCH & PRACTICE,10.1080/14778238.2021.1919573,MX,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:foreign-market-knowledge→firm-performance,,,
29,High,Y,,2023,"Miocevic, Dario; Gnizy, Itzhak; Cadogan, John W.",When does export customer responsiveness strategy contribute to export market competitive advantage?,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2022-0043,MX,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL-DV:export-competitiveness-not-firm-perf,,,
30,High,Y,,2023,"Forgione, Antonio Fabio; Migliardo, Carlo",The inefficiency of exporting SMEs: Evidence from manufacturing industry,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,10.1080/09638199.2022.2098527,MX,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:exporting→firm-efficiency-as-perf-proxy,,,
31,High,Y,,2023,"Masso, Jaan; Vahter, Priit",Joining and exiting the value chain of foreign multinationals and performance of their local suppliers: evidence from interfirm transaction data,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtad004,MX,,3,COMP,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:COMP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,,other,
32,High,Y,,2023,"Goldar, Bishwanath","ICT Investment, Adoption of ISO 14000 Certification, and Export Performance in Indian Manufacturing Plants",JOURNAL OF QUANTITATIVE ECONOMICS,10.1007/s40953-023-00350-1,2,L,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:India; doi_type_auto:EXP; fp_type_auto:EXP; cdai_auto:L,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL-DV:ICT+ISO→export-performance,2,,
33,High,Y,,2023,"Pacheco, Luis","Firm certification and export performance: the case of the ""SME Leader"" label",ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,10.1108/arla-05-2023-0073,2,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:journal:Brazil/Latin; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL:antecedent-framing-export-perf,,,
34,High,Y,,2023,"Krishnan, Amal; Mundakkad, Padmaja",Outward FDI and its impact on the parent firm: A case of Indian manufacturing firms,ECONOMICS BULLETIN,10.1007/978-981-97-8999-3_3,2,M,3,FDI,,,,INCLUDE-if-r: Indian GVC firms OFDI→parent firm performance (value-added?); PSM-DID; Krishnan & Mundakkad (2023) SpringerLink ch.3 in book 978-981-97-8999-3. icrv=2(India). Need full text for r/β + N.,UNSURE-FULLTEXT-NEEDED,,Y,INCL:FDI,2,FDI,
35,High,Y,,2022,"Benfratello, L.; Bottasso, A.; Piccardo, C.",'R&D and export performance: exploring heterogeneity along the export intensity distribution',JOURNAL OF INDUSTRIAL AND BUSINESS ECONOMICS,10.1007/s40812-022-00209-1,MX,,3,export_ratio,Export/operational,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,N,EXCL-DV:R&D→export-performance,,export_ratio,
36,High,Y,,2022,"Eckert, Stefan; Koppe, Max; Burkatzki, Eckhard; Eichentopf, Simon; Scharf, Constantin",Economies of Scale: The Rationale Behind the Multinationality-Performance Enigma,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-022-00473-2,MX,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,,other,
37,High,Y,,2022,"Wu, Qinglan; Chen, Guifu; Han, Jing; Wu, Liyan",Does Corporate ESG Performance Improve Export Intensity? Evidence from Chinese Listed Firms,SUSTAINABILITY,10.3390/su142012981,2,L,3,export_ratio,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,N,EXCL:antecedent-framing-export-perf,2,export_ratio,
38,High,Y,,2022,"Buckley, Peter J.; Munjal, Surender; Requejo, Ignacio",How does offshore outsourcing of knowledge-intensive activities affect the exports and financial performance of emerging market firms?,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-022-00511-z,2,,3,,ACC,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:emerging_markets; fp_type_auto:ACC,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:outsourcing→exports-and-financial-perf,2,,financial_perf
39,High,Y,,2022,"Xie, Dongchun; Li, Xiaofeng; Zhou, Di",Does environmental information disclosure increase firm exports?,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2021.12.012,MX,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL-DV:disclosure→exports,,,
40,High,Y,,2022,"Escobar, Octavio; Lamotte, Olivier; Colovic, Ana; Meschi, Pierre-Xavier",Impact of sourcing from the informal economy on the export likelihood and performance of emerging economy firms,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtab068,2,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:emerging_economies,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL-DV:export-likelihood-as-DV,2,,
41,High,Y,,2022,"Hashmi, Hammad Bin Azam; Voinea, Cosmina L.; Ooms, Ward; Caniels, Marjolein C. J.",The Impact of Breakthrough Innovations on the Export Performance of SMEs in Developing Countries: The Moderating Role of Institutional Factors,FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.888697,2,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:developing_countries; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL:wrong-dir-export-perf-DV|antecedent-framing-export-perf,,,
42,High,Y,,2022,"Rakshit, Sandip; Islam, Nazrul; Mondal, Sandeep; Paul, Tripti",Influence of blockchain technology in SME internationalization: Evidence from high-tech SMEs in India,TECHNOVATION,10.1016/j.technovation.2022.102518,2,L,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:India; cdai_auto:L,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,2,other,
43,High,Y,,2022,"Audretsch, David B.; Belitski, Maksim; Chowdhury, Farzana; Desai, Sameeksha","CEO gender, institutional context and firm exports",INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2022.102008,I,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL-DV:gender→firm-exports,,,
44,High,Y,,2022,"Shin, Joonho; Mendoza, Xavier; Choi, Changbum",Do internationalizing business group affiliates perform better after promarket reforms? Evidence from Korean SMEs,ASIA PACIFIC JOURNAL OF MANAGEMENT,10.1007/s10490-021-09751-3,1,H,3,,,,,"INCLUDE-if-r: Korean SME I→P (U-shape for BG affiliates, S-shape for non-affiliates); N=143 SMEs 5yr panel; Shin et al. (2022) APJM v39(2):805-841. icrv=1. Need r from correlation table or β+SE.",UNSURE-FULLTEXT-NEEDED,,Y,INCL:internationalization,1,other,
45,High,Y,,2021,"Yen, I-Fan; Lin, Hsin-Mei",Multinationality and performance effects: an integrated theory of new patterns of multinationality and home political influence,CHINESE MANAGEMENT STUDIES,10.1108/cms-12-2019-0441,2,L,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,2,other,
46,High,Y,,2021,"Mullen, Cormac",'Letters to the editor': the relationship between multinationality and firm performance in emerging markets,TRANSNATIONAL CORPORATIONS REVIEW,10.1080/19186444.2020.1857122,2,,3,COMP,firm_performance,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE|firm-performance,2,other,firm_performance
47,High,Y,,2021,"Ref, Ohad; Gnizy, Itzhak","Resource indivisibility, lumpy costs and the multinationality-performance relationship",INTERNATIONAL MARKETING REVIEW,10.1108/imr-05-2020-0094,MX,,3,COMP,TBD,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed; doi_type_auto:Multinationality / DOI,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:MNE,,other,
48,High,Y,,2021,"Crick, James M.; Crick, Dave",Internationalizing the Coopetition Construct: Quadratic Effects on Financial Performance Under Different Degrees of Export Intensity and an Export Geographical Scope,JOURNAL OF INTERNATIONAL MARKETING,10.1177/1069031x20988260,I,,3,export_ratio,financial_perf,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:title-I+P-confirmed,AUTO-CODED FROM METADATA; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|financial-perf,,export_ratio,financial_perf
49,High,Y,,2021,"Adomako, Samuel; Amankwah-Amoah, Joseph; Tarba, Shlomo Y.; Khan, Zaheer","Perceived corruption, business process digitization, and SMEs' degree of internationalization in sub-Saharan Africa",JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2020.09.065,2,,3,COMP,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Africa; doi_type_auto:COMP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization|DOI,6,DOI,
50,High,Y,,2021,"Vendrell-Herrero, Ferran; Bustinza, Oscar F.; Vaillant, Yancy",Adoption and optimal configuration of smart products: The role of firm internationalization and offer hybridization,INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2021.04.001,MX,,3,,,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:internationalization,,other,
51,High,Y,,2021,"Chung, Henry F. L.; Ho, Mia Hsiao-Wen","International competitive strategies, organizational learning and export performance: a match and mis-match conceptualization",EUROPEAN JOURNAL OF MARKETING,10.1108/ejm-04-2019-0309,1,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; icrv_auto:inferred:title:Europe; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL:wrong-dir-export-perf-DV,,,
52,High,Y,,2021,"Haddoud, Mohamed Yacine; Onjewu, Adah-Kole Emmanuel; Nowinski, Witold",Environmental commitment and innovation as catalysts for export performance in family firms,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/j.techfore.2021.121085,MX,,3,EXP,EXP,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:EXP,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,N,EXCL:wrong-dir-export-perf-DV,,,
53,High,Y,,2021,"Rashid, Abdul; Khan, Afaq; Fraz, Ahmad","Effects of Export Orientation, Exchange Rates and Leverage on Firm Productivity: Evidence from Pakistan",GLOBAL BUSINESS REVIEW,10.1177/09721509211056480,III,L,3,EXP,LAB,NR - extract from sample section/table,NR - full-text/statistical table needed,L2:unsure-resolved-Y; doi_type_auto:EXP; fp_type_auto:LAB; cdai_auto:L,AUTO-CODED FROM UNSURE-RESOLVED TITLE; NEEDS FULL-TEXT VERIFICATION,,Y,INCL:export-productivity,,,
