seq,title,year,journal,doi,extraction_priority,decision,reason,abstract,abstract_source
474,Exploring the exporting-downsizing link: Does the type of export strategy and firm efficiency in foreign markets matter?,2020,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2019.10.074,1_DOI_FIRST,UNSURE,title_insufficient,,
478,Take your time: Examining when green innovation affects financial performance in multinationals,2019,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2019.06.135,1_DOI_FIRST,UNSURE,title_insufficient,,
488,"Learning across geographic space: Pro-market reforms, multinationalization strategy, and profitability",2013,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/jibs.2013.5,1_DOI_FIRST,UNSURE,title_insufficient,,
490,WHY DO MULTINATIONAL FIRMS EXIST? A THEORY NOTE ABOUT THE EFFECT OF MULTINATIONAL EXPANSION ON PERFORMANCE AND RECENT ME,2012,GLOBAL STRATEGY JOURNAL,10.1111/j.2042-5805.2012.01045.x,1_DOI_FIRST,UNSURE,title_insufficient,"This theory note offers a detailed microanalysis of the benefits, costs, and limits to international expansion to explain why multinational firms exist, in response to critiques which ask whether any generalizable theory relationship exists between firm performance and its degree of multinationality. Some even question the validity of the entire multinationality‐performance field. These critiques fly in the face of the fact that multinational firms exist, thrive, increase in number, and are generally regarded as earning superior profits versus their purely domestic counterparts. This note proposes alternative methodological reasons for the seemingly contradictory and confusing results of past empirical studies over 30 years, indicates directions for future research, and calls for a contingent variable approach to empirical studies in the field.",crossref
497,Geographic scope and multinational enterprise performance,2003,STRATEGIC MANAGEMENT JOURNAL,10.1002/smj.357,1_DOI_FIRST,UNSURE,title_insufficient,"Abstract Through an internalization theory lens, an argument is developed to suggest that the traditional concept of geographic scope should be split into two related, but more precise, elements of international asset dispersion and country environment diversity . Subsequently, these new concepts are tested using a structural equation modeling approach on a sample of 580 large multinational enterprises (MNEs). We find that the relationship between economic performance and international asset dispersion is positive, but that country environment diversity is negatively associated with performance, with a positive interaction between them. This study adds to our theoretical understanding of MNEs, and also provides a bridge between the mixed findings of prior research on multinationality by disentangling the unique effects of the latent subcomponents of geographic scope on firm performance. Copyright © 2003 John Wiley &amp; Sons, Ltd.",crossref
526,"Disaggregating Multinationality: An Empirical Examination of Aggregation, Adaptation, and Arbitrage Activities by U.S. M",2022,STRATEGY SCIENCE,10.1287/stsc.2022.0158,1_DOI_FIRST,UNSURE,title_insufficient,"Using Ghemawat’s AAA framework, we distinguish between different types of activities—aggregation, adaptation, and arbitrage—that firms can pursue when operating abroad and empirically examine the distribution and combinations of these activities by U.S. multinationals. Taking a question-based approach, we develop empirical measures of these activities and then examine their prevalence, their correlates, their association with firm performance, and differences across industries in the population of U.S. multinational corporations (MNCs) from 1989 to 2014. Though only a small proportion of U.S. MNCs actively pursue aggregation, adaptation, and arbitrage together, our results show that this combination is most strongly associated with firm performance, especially in industries with high technological intensity. Overall, our study highlights the need to take the heterogeneity of activities MNCs pursue into account when examining multinationality while also providing one of the first large-scale quantitative examinations of the different combinations of Ghemawat’s three approaches to global value creation.",crossref
528,The role of international institutional complexity on emerging market multinational companies' innovation,2019,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1166,1_DOI_FIRST,UNSURE,title_insufficient,"Research Summary This study examines the role of international institutional complexity, which is defined as the scope and multiplicity of institutional dimensions across foreign markets, on emerging market multinational companies’ ( EMMC s) innovation performance. We propose that international institutional complexity provides learning opportunities for EMMC s’ innovation performance but also incurs higher management costs to handle information overload from overextended internationalization. We further propose that the host exposure and the heterogeneity of an EMMC 's top management team ( TMT ) moderate the main effect of international institutional complexity on EMMC innovation. The empirical testing utilizes a longitudinal panel dataset of 7,072 foreign expansion steps by 767 C hinese firms from 2001 and 2010 and offers strong support for the proposed hypotheses. Managerial Summary Despite the emergence of EMMC s over the past 30 years, there is little understanding of how international institutional complexity impacts EMMC s’ innovation capabilities. By analyzing a longitudinal panel dataset of 7,072 foreign expansion steps by 767 C hinese firms from 2001 and 2010, we find that the international institutional complexity of an EMMC has an inverted U ‐shaped impact (first increasing and then decreasing) on its innovation, such that a moderate level of international institutional complexity generates the most innovation output. We also find that TMT host exposure and TMT heterogeneity positively moderate the relationship between international institutional complexity and EMMC s’ innovation performance. Our study contributes to better understanding EMMC s’ international strategies in enhancing their innovation capabilities.",crossref
532,"Political strategies, entrepreneurial overconfidence and foreign direct investment in developing countries",2015,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2015.03.002,1_DOI_FIRST,UNSURE,title_insufficient,,
534,Organizational learning in SMEs? internationalization: A moderated mediating effect of absorptive capacity,2022,LONG RANGE PLANNING,10.1016/j.lrp.2022.102220,1_DOI_FIRST,UNSURE,title_insufficient,,
436,"Innovation, Exports and Technical Efficiency in Spain",2014,"DESIGN A PATTERN OF SUSTAINABLE GROWTH: INNOVATION, EDUCATION, ENERGY AND ENVIRONMENT",,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
499,Born Global Strategies and the Corporate Performance of Korean Firms,2023,JOURNAL OF KOREA TRADE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"Purpose - This paper empirically investigates the relationship between born global strategy and the accounting- and market- based financial performance of Korean firms. Further, this study identifies the characteristics of born global firms (BGs) in comparison with non-BG counterparts in terms of size, R&amp;D, and liability. Design/methodology - Using a database of listed Korean SMEs in the manufacturing sector from 2010 to 2020, this study applies panel generalized least squares (GLS) estimation and logistic regression techniques. Findings - This study finds that BG strategy is negatively related to the firm’s accounting-based financial performance, while it is positively related to the market-based financial performance. This study also finds that BGs have higher sales volume and more total assets compared to their non-BG counterparts. In addition, Korean BGs spend more on R&amp;D, and at the same time have higher liability. Originality/value - BGs, by definition, are firms that are actively penetrating foreign markets from the early stages of their establishment. Previous studies of Korean BGs have tried to identify the determinants of BGs' rapid internationalization and their superior performance. However, most of these studies have utilized either qualitative case- or survey-based analyses with relatively limited numbers of observations. From a different perspective, this study provides more objective evidence by investigating how the BG strategy affects the financial and market performance of firms, and by characterizing BGs in terms of financial data.",openalex
522,Exchange rate movements and the profitability of US multinationals,2000,JOURNAL OF INTERNATIONAL MONEY AND FINANCE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
511,Rethinking the Literature on the Performance of Chinese Multinational Enterprises,2016,MANAGEMENT AND ORGANIZATION REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"ABSTRACT We synthesize the literature on Chinese multinational enterprises (MNEs) and find that much of the prior research is based on as few as a dozen case studies of Chinese firms. They are so case-specific that it has led to a misplaced call for new theories to explain Chinese firms’ internationalization. In an attempt to better relate theory with empirical evidence, we examine the largest 500 Chinese manufacturing firms. We aim to find out the number of Chinese manufacturing firms to be true MNEs by definition, and to examine their financial performance relative to global peers using the financial benchmarking method. We develop our theoretical perspectives from new internalization theory. We find that there are only 49 Chinese manufacturing firms to be true MNEs, whereas the rest are purely domestic firms. Their performance is poor relative to global peers. Chinese MNEs have home country bound firm-specific advantages (FSAs), which are built upon home country-specific advantages (home CSAs). They have not yet developed advanced management capabilities through recombination with host CSAs. Essentially, they acquire foreign firms to increase their sales in domestic market, but they fail to be competitive internationally and to achieve superior performance in overseas operations. Our findings have important strategic implications for managers, public policy makers, and academic research.",openalex
439,In at the Deep End of Firm Internationalization,2013,MANAGEMENT INTERNATIONAL REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
502,Internationalisation path heterogeneity and growth for international new ventures,2021,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
504,Internationalization and failure risk patterns Evidence from young Estonian manufacturing exporters,2019,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
505,MODELLING INTERNATIONALIZATION OF HIGH GROWTH FIRMS: MICRO LEVEL APPROACH,2019,E & M EKONOMIE A MANAGEMENT,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
515,Innovation and internationalization as growth strategies: The role of technological capabilities and appropriability,2011,INTERNATIONAL BUSINESS REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
516,"MNC STRATEGIES, EXOGENOUS SHOCKS, AND PERFORMANCE OUTCOMES",2011,STRATEGIC MANAGEMENT JOURNAL,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
520,A Study on the Born Global Venture Corporation's Characteristics and Performance,2007,JOURNAL OF GLOBAL SCHOLARS OF MARKETING SCIENCE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
535,The impact of business group diversification on emerging market multinationals: Evidence from Latin America,2012,INNOVAR-REVISTA DE CIENCIAS ADMINISTRATIVAS Y SOCIALES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"El presente artículo explora si los beneficios asociados a losgrupos empresariales diversificados en la relación entre scope de operacionesy performance financiero dependen tanto del nivel de desarrollode los países en los que la empresa tiene subsidiarias como de la regióngeográfica donde la empresa concentra sus operaciones. Para testear lashipótesis presentadas, se utilizó un estudio panel con efectos fijos en unamuestra de empresas Latino americanas. Los resultados sugieren que losgrupos empresariales diversificados tienen la capacidad de generar valoren el proceso de internacionalización de sus afiliadas. Sin embargo, estosbeneficios se obtienen básicamente dentro de la región (América) perono están relacionados con el nivel de desarrollo de los países en los quela empresa participa.",openalex
437,Multinational Performance and the Geography of FDI,2013,MANAGEMENT INTERNATIONAL REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
447,"Examining SME performance: the role of innovation, R&D and internationalisation",2011,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL VENTURING,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
452,The risk implications of multinational enterprise,2011,INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"Purpose Multinational structure has been linked to operational flexibilities that can improve corporate adaptability and a knowledge‐based view suggests that multinational resource diversity can facilitate responsive opportunities. The enhanced maneuverability from this can reduce earnings volatility and hence the corporate performance risk. But, the internationalization process may also require irreversible investments that increase corporate exposures and leave the risk implications of multinational enterprize somewhat ambiguous. Hence, the purpose of the paper is to present an empirical study of the implied relationships between the degree of multinationality and various risk measures including downside risk, upside potential, and performance risk. Design/methodology/approach The paper provides a brief literature review, develops hypotheses, and tests them in two‐stage least square regressions on archival data to control for pre‐selection biases. Findings The analyses indicate that multinationality is associated with lower downside risk as well as higher upside potential and leads to reduced performance risk. The study finds no trace of diminishing effects from higher degrees of multinationality. Research limitations/implications The empirical study uses a sample of large US‐based corporations, which could affect the generalizability of results. However, this is consistent with other studies and eases comparability of findings. Practical implications The findings add to the ongoing debate about the risk effects of a multinational corporate structure and confirms that a diverse multinational presence is associated with positive risk outcomes. Originality/value The paper complements a limited number of studies with equivocal results and adopts alternative risk outcome measures. The study extends the industry scope by introducing a comprehensive sample of firms operating in different manufacturing and service businesses.",openalex
503,R&D offshoring and home industry productivity,2019,INDUSTRIAL AND CORPORATE CHANGE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"Abstract Offshoring research and development (R&amp;D) commonly invokes concerns regarding the loss of high value jobs and a hollowing out of technological capabilities, but it can also benefit domestic firms by enabling them to tap into the global technological frontier. We study the effect of R&amp;D offshoring on industrial productivity in the home country using industry-level data for 18 OECD countries over a 26-year period. Simultaneity between productivity and R&amp;D offshoring is addressed by using foreign tax policy as an instrument for offshored R&amp;D. We show that R&amp;D offshoring contributes positively to productivity in the home country, irrespective of the host country destination.",openalex
519,TESTING THE GLOBAL AND REGIONAL STRATEGIES OF MULTINATIONAL ENTERPRISES,2007,REGIONAL ASPECTS OF MULTINATIONALITY AND PERFORMANCE,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"This study compares U.S. firm international strategies between two starkly different industries. We find that firms are more inclined to adopt global strategies in the integrated global industry than in the multidomestic industry. The global strategy does not seem to be effective unless a firm possesses substantial intangible assets. R&amp;D-based intangible assets play a more significant role than marketing-based intangible assets in both the integrated global industry and (to a lesser extent) the multidomestic industry. Additionally, internationalization pace has a positive direct impact, and a negative interaction effect with the global strategy on firm performance in the integrated global industry.",openalex
524,MULTINATIONALS DIVERSIFICATION AND THE RISK-RETURN TRADE-OFF,1993,STRATEGIC MANAGEMENT JOURNAL,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"Abstract This paper advances a theoretical rationale to explain Bowman's paradox (1980) that firms with high returns can have low risk. Here we draw on the rich body of international management research and argue that global market diversification, which provides firms with three distinct options and opportunities over domestic firms, can explain the high return‐low risk profile. We also argue that no strong theoretical rationale exists in support of either related or unrelated product diversification generating such a favorable risk‐return profile. By integrating both the product and the global market dimension of diversification into our analyses and by controlling for the industry effect, this paper sheds new light on the relationship between corporate diversification and the risk‐return tradeoff. The results of this research, which are based on the diversification experiences of 125 multinationals, reveal the strikingly important, though so far overlooked, role that global market diversification plays in the joint management of corporate risk and return. Global market diversification here reflects both the multiplicity of international market areas in which a firm operates and the distribution pattern of a firm's industries across these multiple areas.",openalex
525,Internationalization of Large Companies from Central and Eastern Europe or the Birth of New Stars,2022,SUSTAINABILITY,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
506,How internationalization affects firms' growth in the MENA region? A quantile regression approach,2019,ECONOMICS BULLETIN,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"In this paper, we contribute to the literature by studying the effect of internationalization on the conditional firm growth rate distribution in eight countries from the MENA region. We use four measures of internationalization: exporting status, two-way trade, export intensity and export experience. We use the BEEPS data from the Enterprise Survey of the European Bank for Reconstruction and Development and the World Bank. The main results show that exporting status and export experience play an important role to improve both employment and sales growth in various quantiles. However, two-way trade has an effect on employment growth and export intensity has an effect on lower sales growth quantiles.",openalex
536,GOING GLOBAL - THE USE OF ICT NETWORKS IN RESEARCH-AND-DEVELOPMENT,1995,RESEARCH POLICY,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
539,Problems and remedies of the North Korean Economy: A strategic approach,1996,KOREAN JOURNAL OF DEFENSE ANALYSIS,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
540,The internationalization of Latin American enterprises and market liberalization in the Americas: A vital linkage,1997,JOURNAL OF BUSINESS RESEARCH,10.1016/s0148-2963(96)00113-0,1_DOI_FIRST,UNSURE,title_insufficient,,
541,Development of international competitiveness in industries and individual firms in developing countries: The case of the,1997,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,10.1016/s0925-5273(97)00029-7,1_DOI_FIRST,UNSURE,title_insufficient,,
542,The end of Japanese-style human resource management?,1998,SLOAN MANAGEMENT REVIEW,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
543,Management and ownership effects: Evidence from five countries,1998,STRATEGIC MANAGEMENT JOURNAL,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"Despite the growing recognition in the corporate governance literature that the relationship between ownership concentration and profitability is context dependent, this issue has not yet been subjected to direct empirical investigation using a single cross-national sample. This study empirically examines the ownership concentration–performance relationship across the nations of Canada, France, Germany, the United Kingdom, and the United States. Essentially, we argue that the correlation (if any) between ownership concentration and firm profitability differs across countries in a systematic way determined by the national system of corporate governance. Results indicate that important and statistically significant differences do in fact exist across the countries studied. © 1998 John Wiley & Sons, Ltd.",openalex
544,Internationalization and embeddedness in east-central European transition: The contrasting geographies of inward investm,1998,REGIONAL STUDIES,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
545,Innovation and profitability of global food firms. Testing for differences in the influence of the home base,1999,ENVIRONMENT AND PLANNING A,10.1068/a310735,1_DOI_FIRST,UNSURE,title_insufficient,"In previous research it has been assumed that the performance of enterprises in global markets, especially companies in high-tech sectors, is often associated with the amount of effort devoted to innovation by the home country. In this article I test empirically such assumptions in a low-tech sector, the food and beverage processing industry, with evidence provided by a sample of 4572 foreign patents granted to nationals from major OECD countries over 1969–88 and data on 96 major multinationals. In contrast with most previous research, this study investigates within-industry differences in the impact of the home base. My findings show that the theory is applicable to low-tech sectors. However, the impact of the home country is not homogeneous within industries, and depends on size and international experience of firms. Smaller multinational enterprises and newcomers achieving high profitability tend to be based in countries where the food and beverage national industry is technologically intensive, whereas geography is less crucial to explaining the international performance of very large companies.",crossref
546,Foreign direct investment strategies and firms' capabilities,1999,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,10.1111/j.1430-9134.1999.00251.x,1_DOI_FIRST,UNSURE,title_insufficient,"This paper presents a simple model to analyze the effect of geographically localized spillovers on the internationalization decision of firms. It is shown that, once spatially bounded externalities are taken into account, the standard predictions on the nature and direction of foreign direct investment (FDI) flows may be reversed. We highlight three effects. First, an FDI‐en‐hancing effect: the presence of spillovers increases the profitability of the FDI strategy when the competitive gap between firms is narrow. Second, a dissipation effect: firms may refrain from investing abroad for fear of diffusion of their firm‐specific assets. Third, a sourcing effect: the presence of spillovers may induce a firm to invest abroad, even in the absence of exporting costs.",crossref
547,"Geographic scope, product diversification, and the corporate performance of Japanese firms",1999,STRATEGIC MANAGEMENT JOURNAL,10.1002/(sici)1097-0266(199908)20:8<711::aid-smj41>3.0.co;2-8,1_DOI_FIRST,UNSURE,title_insufficient,,
549,International experience in the executive suite: The path to prosperity?,2000,STRATEGIC MANAGEMENT JOURNAL,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,"Attention is increasingly focused on the potential individual career and firm-level benefits of international experience for upper level executives. This research examines the relationships between CEO international experience, CEO tenure, firm internationalization, succession events, and corporate financial performance. Results indicate a significant interactive effect between CEO tenure and outside succession on CEO international experience. In addition to a relationship with CEO international experience, there are two additional interactive effects in the examination of corporate financial performance: (1) CEO international experience and the degree of firm internationalization, and (2) CEO international experience and CEO succession. These interactive effects are evident in accounting and market indicators of corporate financial performance. Copyright © 2000 John Wiley & Sons, Ltd.",openalex
550,"Technological convergence, globalisation and ownership in the UK computer industry",2000,TECHNOVATION,10.1016/s0166-4972(99)00135-2,1_DOI_FIRST,UNSURE,title_insufficient,,
552,Performance of the selected clusters of small and medium industries in India in the post-reform period - An overview,2001,JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH,,2_NO_DOI_MANUAL,UNSURE,title_insufficient,,
553,Four decades of Groningen production and pricing policies,2001,GEOLOGIE EN MIJNBOUW-NETHERLANDS JOURNAL OF GEOSCIENCES,10.1017/s0016774600022241,1_DOI_FIRST,UNSURE,title_insufficient,"Abstract This paper deals with production and pricing policies for the Groningen gasfield. It will provide an evaluation of the past and a view to its future in a liberalized European gas market. The lifelong production potential and high productivity of the Groningen gasfield is unique. The extremely low-cost field is also unique in the sub-optimal manner in which it has been exploited over the whole of its forty year life to date. Its initial monopolistic situation in the West European energy economy created an opportunity for its development to be limited to production levels, whereby super-normal profits were generated on high value sales at the cost of consumers’ welfare. The breach in the monopoly, through competition from Soviet gas, readily able to undercut Groningen prices, posed a serious threat both to unit values and market expansion. Fortunately, the fortuitous 1973/4 international oil supplies and pricing crisis restored Groningen’s fortunes. Following the upward price adjustments for foreign sales, the stage was set for achieving high company profits and massive government revenues. Dutch society in a broader sense benefited only indirectly through government tax expenditures. Again, energy consumers’ welfare gains were ignored. This remains the essence of the situation, pending agreement on the introduction of the liberalized market to meet EU directives. Currently the Dutch gas regime and policy objectives are being adjusted to the requirements of operating in a liberalized market. These changes recognize: first, the invalidity of the government’s long-held fears for gas scarcity in such a way, that the earlier steps to restrict both foreign and national sales have been abandoned, and second, the need to reinstate Gasunie as an active, rather than a passive, player in the European gas market, in which other participants have subverted Gasunie’s earlier dominance. The second part of the paper will examine, whether and how these changes can be reconci",crossref
