seq,authors,year,title,doi,AI_converted_r,conversion_formula,AI_sample_size_n,effect_direction,fulltext_screening_decision,AI_source_note,VERIFIED_BY_CANDIDATE,VERIFIED_r,DECISION_include
401,"Velez-Calle, Andres; Sanchez-Henriquez, Fernando; Contractor",2018,Internationalization and performance: the role of depth and breadth,10.1108/ARLA-04-2017-0125,-0.14,direct,107,-,Y,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type | MANUAL(Claude PDF): VelezCalle2018 corr depth-ROA=-.14,,,
402,"Madaleno, Mara; Varum, Celeste Amorim; Horta, Isabel",2018,SMEs Performance and Internationalization: A Traditional Industry Approach,,0.1323,direct,150,+,Y,doi; sample_size; effect_size; statistic; performance_measure; intl_operationalization; model_type | MANUAL(Claude PDF): Madaleno2018 corr EV-FP=.1323 (DEA),,,
425,"Siedschlag, Iulia; Zhang, Xiaoheng",2015,Internationalisation of firms and their innovation and productivity,10.1080/10438599.2014.918439,0.078,t_to_r,1330,+,Y,ize; statistic; performance_measure; intl_operationalization; model_type | MANUAL(Claude PDF): Siedschlag&Zhang exporter->labour productivity t~2.86 (unstd OLS),,,
510,"Altomonte, Carlo; Gamba, Simona; Mancusi, Maria Luisa; Vezzu",2016,"R&D investments, financing constraints, exporting and productivity",10.1080/10438599.2015.1076203,0.046,t_to_r,5340,+,Y,easure; intl_operationalization; model_type | ICRV=0 auto-default; verify from full text | MANUAL(Claude PDF): Altomonte2016 EFIGE exporter->TFP coef.044/SE.013,,,
538,"Tallman, S; Li, JT",1996,Effects of international diversity and product diversity on the performance of multinational firms,10.2307/256635,0.19,direct,192,+,Y,source:multi | MANUAL(Claude PDF): Tallman&Li1996 corr country_scope-ROS=.19,,,
578,"Lu, JW; Beamish, PW",2004,International diversification and firm performance: The S-CURVE hypothesis,10.5465/20159604,0.06,direct,1489,+,Y,source:multi | ICRV=0 auto-default; verify from full text | MANUAL(Claude PDF): Lu&Beamish2004 corr intl-ROA=.06,,,
650,"Rasiah, Rajah; Malakolunthu, Asokkumar",2009,Technological intensities and economic performance: a study of foreign and local electronics firms in Malaysia,10.1080/13602380701668700,0.106,t_to_r,110,+,Y,"source:multi | MANUAL(Claude PDF): Rasiah&Malakolunthu2009 X/Y->VA/L t=1.112,df~104",,,
663,"Gaur, Ajai S.; Kumar, Vikas",2009,"International Diversification, Business Group Affiliation and Firm Performance: Empirical Evidence from India",10.1111/j.1467-8551.2007.00558.x,0.343,direct,240,+,Y,source:multi | MANUAL(Claude PDF): Gaur&Kumar2009 corr matrix DOI-ROS=.343,,,
725,"Chiao, Yu-Ching; Yang, Kuo-Pin",2011,"Internationalization, intangible assets and Taiwanese SMEs' performance: Evidence of an Asian newly-industrial",10.5897/AJBM09.225,-0.022,direct,3194,-,Y,source:wos | MANUAL(Claude PDF): Chiao&Yang2011 corr intl-ROS=-.022,,,
728,"Endo, Nobuaki; Ozaki, Toshiya",2011,The effect of multinationality on firm performance: An examination of Japanese service firms,10.1057/abm.2010.32,-0.054,direct,316,-,Y,source:wos | MANUAL(Claude PDF): Endo2011 corr MUL-ROS=-.054,,,
892,"Fonfria, Antonio; Duch-Brown, Nestor",2014,Explaining Export Performance in the Spanish Defense Industry,10.1080/10242694.2013.857460,0.143,t_to_r,2268,mixed,Y,source:multi | MANUAL(Claude PDF): Fonfria&DuchBrown2014 exporter->labor productivity premium t=6.87 (vanishes w/ FE; title=export perf),,,
1032,"Dolores Parra, Maria; Martinez-Zarzoso, Inmaculada",2015,Imported Inputs and Egyptian Exports: Exploring the Links,10.5018/economics-ejournal.ja.2015-38,0.128,t_to_r,1978,+,Y,source:multi | MANUAL(Claude PDF): Parra&MartinezZarzoso2015 Egypt export-premium->TFP coef1.107/SE.194,,,
1147,"Bany-Ariffin, A. N.; Matemilola, Bolaji Tunde; Wahid, Liza; ",2016,International diversification and firm's value: evidence from developing nations,10.1108/ribs-01-2014-0016,0.132,direct,83,+,Y,source:multi | MANUAL(Claude PDF): BanyAriffin2016 intl-div->TobinQ r=.132**,,,
1148,"Lana, Jeferson; Marcon, Rosilene; Bandeira-de-Mello, Rodrigo",2017,Financial dimension of internationalization: serving two masters,10.1108/cg-05-2016-0110,0.038,beta,450,+,Y,"uto-default; verify from full text | MANUAL(Claude PDF): Lana2017 foreign-directors->ROA std beta=.038 p<.01 (financial internationalization, Brazil ~450 firms)",,,
1540,Anh Tu Phan; Thi Bach Yen Tran; Thanh Thuy Lu,2020,The existence of W-shaped relationship between internationalization and firm performance: An empirical study o,10.5267/j.dsl.2020.7.001,-0.011,direct,131,mixed,Y,source:multi | ICRV=0 auto-default; verify from full text | MANUAL(Claude PDF): Phan2020(Cameroon) DOI->ROS bivariate r=-.011 (W-shape); advisor's paper,,,
1996,"Lehenchuk, Serhii; Raboshuk, Alina; Zhyhlei, Iryna; Zakharov",2023,FINANCIAL PERFORMANCE DETERMINANTS OF UKRAINIAN AGRICULTURAL COMPANIES IN THE PRE-WAR PERIOD,10.51599/are.2023.09.04.05,0.118,t_to_r,210,+,Y,"source:multi | MANUAL(Claude PDF): Lehenchuk2023 EXPI->ROA, r approx from p=.0925,df~202",,,
2363,Tu P.A.,2020,The moderating effects of managers’ experience and gender on internationalization and firm performance of manu,10.5267/j.ac.2020.9.006,-0.021,direct,263,-,Y,source:scopus | MANUAL(Claude PDF): TuPA2020 corr DOI-ROS=-.021,,,
2450,Mudambi R.,2012,Multinationality and the performance of IPOs,10.1080/09603107.2011.626396,0.155,t_to_r,194,+,Y,"source:scopus | ICRV=0 auto-default; verify from full text | MANUAL(Claude PDF): Mudambi2012 GSCOPE->IPO ret t=2.16,df~170",,,
2527,Riahi-Belkaoui A.,2002,"Profitability, multinationality and the investment opportunity set",10.1016/s0897-3660(02)15016-1,0.094,t_to_r,600,+,Y,"source:scopus | ICRV=0 auto-default; verify from full text | MANUAL(Claude PDF): RiahiBelkaoui2002 multinat->IOS t=2.358,df~593",,,
2529,Li M.,2001,Firm internationalization and economic performance: A conceptual synthesis and an empirical assessment of the ,10.1016/s1474-7979(01)11020-3,0.1,direct,1684,+,Y,source:scopus | MANUAL(Claude PDF): LiM2001 corr DOI-ROA=.10,,,
