seq,title,year,doi,pdf_url,status,converted_r,n,conversion_formula,notes,error
1061,"Interrelationship among foreign presence, domestic sales and export intensity in Chinese manufacturi",2016,10.1080/00036846.2015.1122733,manifest,NO_R_FOUND,,,none,No convertible statistics found,
1147,International diversification and firm's value: evidence from developing nations,2016,10.1108/ribs-01-2014-0016,manifest,NO_R_FOUND,,,none,No convertible statistic found,
1226,"Export Intensity, Geographic Diversification and the Role of Public Support: The Evidence from Old a",2018,10.15678/eber.2018.060203,manifest,NO_R_FOUND,,,none,No convertible statistic found,
1258,Disentangling the effects of post-entry speed of internationalisation on export performance of INVs,2018,10.1177/0266242618775169,manifest,NO_R_FOUND,,,none,No statistical results reported in the provided text.,
1260,International diversification and firm performance in the post-acquisition period: A resource depend,2018,10.1016/j.jbusres.2018.02.025,manifest,API_ERROR,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ks5v6xavfm4vkmqa9ye8bqza` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 96165, Requested 6137. Please try again in 33m8.928s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
1358,International Trade and Productivity Growth in Indian Industry: Evidence from the Organized Manufact,2019,10.1177/0973174119839878,https://journals.sagepub.com/doi/pdf/10.1177/0973174119839878,NO_PDF,,,,,
1433,"Trading activities, productivity and markups: Evidence for Spanish manufacturing",2020,10.1111/twec.12892,https://roderic.uv.es/bitstreams/c2c597b0-342e-4d8b-8c3c-b0510bc080b6/download,NO_PDF,,,,,
1434,Export Performance and Stock Return: A Case of Fishery Firms Listing in Vietnam Stock Markets,2019,10.13106/jafeb.2019.vol6.no4.37,http://koreascience.or.kr:80/article/JAKO201915658234165.pdf,NO_PDF,,,,,
1478,"Family involvement, internationalisation and performance: An empirical study of the Spanish hotel in",2020,10.1016/j.jhtm.2020.01.002,https://rua.ua.es/dspace/bitstream/10045/102150/5/2020_Rienda_etal_JHospitalityTourManag_revised.pdf,NO_PDF,,,,,
1540,The existence of W-shaped relationship between internationalization and firm performance: An empiric,2020,10.5267/j.dsl.2020.7.001,manifest,API_ERROR,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ks5v6xavfm4vkmqa9ye8bqza` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 96019, Requested 9790. Please try again in 1h23m38.976s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
1550,Global value chains and technology transfer: new evidence from developing countries,2021,10.1007/s10290-020-00398-8,manifest,API_ERROR,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ks5v6xavfm4vkmqa9ye8bqza` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 96015, Requested 6020. Please try again in 29m18.24s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
1551,When Does Corporate Social Performance Pay for International Firms?,2020,10.1177/0007650318816957,https://journals.sagepub.com/doi/pdf/10.1177/0007650318816957,NO_PDF,,,,,
1554,The S-Shaped Relationship Between internationalization and Performance: Empirical Evidence from Laos,2020,10.13106/jafeb.2020.vol7.no11.357,http://koreascience.or.kr:80/article/JAKO202032462596978.pdf,NO_PDF,,,,,
1655,Speed of institutional change and subsidiary performance: The moderating impact of home and host cou,2022,10.1002/gsj.1416,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/gsj.1416,NO_PDF,,,,,
1706,Exporting by Private Equity-Backed Portfolio Companies,2022,10.1111/1467-8551.12566,manifest,API_ERROR,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ks5v6xavfm4vkmqa9ye8bqza` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 95835, Requested 6387. Please try again in 31m59.808s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
1721,Eyes open and hands on: market knowledge and marketing capabilities in export markets,2022,10.1108/imr-01-2021-0003,http://nrl.northumbria.ac.uk/id/eprint/48154/1/Full%20Paper_October-11-2021%20IMR%20Revised.pdf,NO_PDF,,,,,
1722,Markups and export behavior: Firm-level evidence from the French food processing industry,2023,10.1111/ajae.12292,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ajae.12292,NO_PDF,,,,,
1767,Do domestic market characteristics influence firms' export intensity?,2024,10.1108/emjb-09-2021-0129,https://www.emerald.com/insight/content/doi/10.1108/EMJB-09-2021-0129/full/pdf?title=do-domestic-market-characteristics-influence-firms-export-intensity,NO_PDF,,,,,
1790,"The Relationship Between Timing, Speed, and Performance in Foreign Market Network Entry",2022,10.1007/s11575-022-00470-5,manifest,API_ERROR,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ks5v6xavfm4vkmqa9ye8bqza` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 95722, Requested 6864. Please try again in 37m14.304s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
1888,The Relationship Between Export Market Orientation and Firm Performance: A Meta-Analysis of Main and,2023,10.22146/gamaijb.65565,manifest,API_ERROR,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ks5v6xavfm4vkmqa9ye8bqza` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 95714, Requested 6501. Please try again in 31m53.76s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
1892,Slack Resources and Export Intensity: New Empirical Evidence from Vietnam,2023,10.3390/economies11020068,https://www.mdpi.com/2227-7099/11/2/68/pdf?version=1676599854,NO_PDF,,,,,
1894,How Organizational Resources and Managerial Features Affect Business Performance: An Analysis in the,2023,10.3390/su15043522,https://www.mdpi.com/2071-1050/15/4/3522/pdf?version=1676382979,NO_PDF,,,,,
1921,On the Direct and Indirect Effects of ICT on SMEs Export Performance: Evidence from Colombian Manufa,2024,10.1007/s13132-023-01378-7,manifest,API_ERROR,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ks5v6xavfm4vkmqa9ye8bqza` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 95707, Requested 7016. Please try again in 39m12.672s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
1964,The interplay of international alliance and subsidiary portfolios: Implications for firms' innovatio,2024,10.1016/j.jwb.2023.101500,https://www.sciencedirect.com/science/article/am/pii/S1090951623000755,NO_PDF,,,,,
1985,The Effect of Foreign Divestment on Subsequent Firm Performance: The Moderating Role of Spatial and ,2024,10.1111/1467-8551.12786,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8551.12786,NO_PDF,,,,,
1996,FINANCIAL PERFORMANCE DETERMINANTS OF UKRAINIAN AGRICULTURAL COMPANIES IN THE PRE-WAR PERIOD,2023,10.51599/are.2023.09.04.05,manifest,API_ERROR,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ks5v6xavfm4vkmqa9ye8bqza` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 95701, Requested 7207. Please try again in 41m52.512s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
2013,Financial and marketing approach to export performance: the mediation role of promotion and research,2024,10.1080/23311975.2024.2315658,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2024.2315658?download=true,NO_PDF,,,,,
2020,Does internationalization and board diversity affect family firms&apos; sustainable performance? Emp,2024,10.1002/bsd2.365,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bsd2.365,NO_PDF,,,,,
2025,Does industry experience positively moderate the quadratic relationship between coopetition and fina,2023,10.1504/ijesb.2020.10032033,manifest,API_ERROR,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ks5v6xavfm4vkmqa9ye8bqza` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 95695, Requested 7088. Please try again in 40m4.512s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
2041,"Foreign Ownership, Board of Directors, and Environmental Commitment in European International New Ve",2024,10.1002/tie.22396,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.22396,NO_PDF,,,,,
2049,The mediating roles of cost leadership and cost focus strategies on innovation capabilities and expo,2024,10.1080/23311975.2024.2375410,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2024.2375410?needAccess=true,NO_PDF,,,,,
2053,"Balancing people, planet and profit: export strategies for sustainable value creation",2024,10.1108/sampj-09-2023-0687,https://run.unl.pt/bitstream/10362/182345/1/Lages_et_al_2024_SAMPJ.pdf,NO_PDF,,,,,
2111,Learning Orientation and Export Performance in Nigeria: The Moderating Effect of Export Knowledge,2025,10.22146/gamaijb.74896,manifest,API_ERROR,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ks5v6xavfm4vkmqa9ye8bqza` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 95579, Requested 6698. Please try again in 32m47.328s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
2121,'Learning to Export' and 'Learning By Exporting': Revisiting the Relationship Between Innovation and,2025,10.1111/1467-8268.70001,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1467-8268.70001,NO_PDF,,,,,
2149,"Corporate ESG Performance, Ownership Structure and Export Intensity: Evidence From Chinese Listed Co",2026,10.1002/ijfe.3167,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijfe.3167,NO_PDF,,,,,
2153,"Wine, markups, and export behavior: Evidence from Hungary",2025,10.1017/jwe.2025.7,manifest,API_ERROR,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ks5v6xavfm4vkmqa9ye8bqza` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 95572, Requested 11527. Please try again in 1h42m13.536s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
2175,Linking Dynamic Capabilities to Export Performance in Africa: The Moderating Roles of Institutional ,2025,10.1002/tie.70001,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/tie.70001,NO_PDF,,,,,
2246,Ceasing Export Activities: A Dynamic Analysis of Pre-Exit Financial and Internationalization Predict,2026,10.3390/info17010045,https://www.mdpi.com/2078-2489/17/1/45/pdf?version=1767522743,NO_PDF,,,,,
2282,"Digital Transformation, Internationalization and Productivity in Small and Medium-Sized Enterprises:",2026,10.1007/s13132-026-03199-w,manifest,API_ERROR,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ks5v6xavfm4vkmqa9ye8bqza` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 95566, Requested 6555. Please try again in 30m32.543999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
