STT,seq,year,authors,title,journal,link,ICRV,DPL,r_bao_cao,loai_r,n_mau,r_doi_chieu,phi_tuyen,turning_point,ghi_chu
26,182,2025,"Nguyen, Ngoc Minh; Nguyen, Huong Thi Lien; Mai, Cu",Effects of internationalization on supply chain agility and business performance of manufacturing firms in Vietnam,JOURNAL OF GLOBAL OPERATIONS AND STRATEGIC SOURCIN,https://doi.org/10.1108/jgoss-10-2024-0102,2,3,,,,,,,
27,463,2025,"Sousa, Carlos M. P.; Tsinopoulos, Christos; Yan, J",Finding the sweet spot: effects of exporting on the relationship between R&D investment and NPD performance,INTERNATIONAL MARKETING REVIEW,https://doi.org/10.1108/imr-02-2024-0039,?,3,,,,,,,
28,181,2025,"Bukalska, Elzbieta; Czerniak, Jakub; Florek, Irmin",The Impact of Internationalization on Firm Performance of High-Tech Companies in Poland in the Context of Covid-19,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,https://doi.org/10.5755/j01.ee.36.3.31403,3,3,,,,,,,
29,462,2025,"Shershunovich, Yauheniya; Mirzabaev, Alisher","Clean, competitive, and productive? The impact of environment-friendly technologies on exporting and productivity of the manufacturing companies in Belarus",NATURAL RESOURCES FORUM,https://doi.org/10.1111/1477-8947.12525,?,3,,,,,,,
30,464,2025,"Chiao, Yu-Ching; Chang, Yu-Chen; Lin, Chun-Chien","Bribery, local network, and local performance among multinational corporations: a moderated mediation model of informal competition",JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,https://doi.org/10.1108/jbim-04-2024-0284,1,3,,,,,,,
31,465,2025,"Geldres-Weiss, Valeska V.; Guerrero-Stuardo, Pedro","Firm-Level Carbon Productivity, Home Country Environmental Performance, and Firm Performance in the Exporting Meat Industry",SUSTAINABILITY,https://doi.org/10.3390/su17125381,?,3,,,,,,,
32,2081,2025,"Chiao, Yu-Ching; Chang, Yu-Chen; Hsu, Yi-Jung; Lu,",Gender diversity in top management team and corporate social responsibility performance: examining the moderating nature of TMT international experience,GENDER IN MANAGEMENT,https://doi.org/10.1108/gm-01-2024-0033,?,3,,,,,,,
33,2090,2025,"Sun, Kai; Kumbhakar, Subal C.; Lien, Gudbrand",Productivity and growth decomposition: a novel single-index smooth-coefficient stochastic frontier approach,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,https://doi.org/10.1093/erae/jbae024,1,3,,,,,,,
34,2093,2025,"Tinits, Priit; Yi, Jingtao; Fey, Carl F.; Meng, Sh",Government R&D support's effects on export performance via innovation: An analysis of organizational motivators as moderators,INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1016/j.ibusrev.2024.102345,?,3,,,,,,,
35,2101,2025,"Frey, Rainer; Goldbach, Stefan",Internationalisation as a boost for many firms: evidence from Germany,REVIEW OF WORLD ECONOMICS,https://doi.org/10.1007/s10290-024-00567-z,1,3,,,,,,,
36,2109,2025,"Jalali, Hossein S.",Reframing government support for SMEs' performance in international market: the critical role of institutional context,ASIA-PACIFIC JOURNAL OF BUSINESS ADMINISTRATION,https://doi.org/10.1108/apjba-11-2024-0621,0,3,,,,,,,
37,2111,2025,"Abubakar, Mukhtar Salisu; Rahim, Norhuda Abdul; Yu",Learning Orientation and Export Performance in Nigeria: The Moderating Effect of Export Knowledge,GADJAH MADA INTERNATIONAL JOURNAL OF BUSINESS,https://doi.org/10.22146/gamaijb.74896,3,3,,,,,,,
38,2113,2025,"Garrab, Mehdi Younes","Dynamic capabilities, ordinary capabilities and international intensity contributions to performance",REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,https://doi.org/10.1108/ribs-09-2023-0102,?,3,,,,,,,
39,2115,2025,"Ul Ain, Qurat; Javaid, Hafiz Mustansar; Cafaro, Em",Navigating international waters: the board's role in enhancing intellectual capital efficiency,INTERNATIONAL JOURNAL OF EMERGING MARKETS,https://doi.org/10.1108/ijoem-06-2024-0944,2,3,,,,,,,
40,2116,2025,"Zhang, Hongmei; Xing, Mu; Chen, Dong",Can the Succession Plan for Family Business Achieve Social Employment Stability? An Analysis from the Perspective of Entrepreneurs,ECONOMIES,https://doi.org/10.3390/economies13010005,2,3,,,,,,,
41,2117,2025,"Kaur, Navjot; Singh, Balwinder",Unveiling Determinants of Resource Allocation to R&D and Advertising: Insights from Indian Manufacturing Companies,GLOBAL BUSINESS REVIEW,https://doi.org/10.1177/09721509241308023,3,3,,,,,,,
42,2121,2025,"Avenyo, Elvis Korku; Tregenna, Fiona",'Learning to Export' and 'Learning By Exporting': Revisiting the Relationship Between Innovation and Exports in African Firms,AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVE,https://doi.org/10.1111/1467-8268.70001,?,3,,,,,,,
43,2122,2025,"Szwajca, Danuta; Rydzewska, Alina",Effects and Determinants of Implementing Digital Customer Service Tools in Polish SMEs,SUSTAINABILITY,https://doi.org/10.3390/su17031022,1,3,,,,,,,
44,2124,2025,"Pedrazzoli, Agustin; Peralta, Ignacio Alvarez; Ben",Financial accumulation in non-financial corporations: a firm-level assessment for the OECD,SOCIO-ECONOMIC REVIEW,https://doi.org/10.1093/ser/mwaf006,0,3,,,,,,,
45,2128,2025,"Capelleras, Joan-Lluis; Martin-Sanchez, Victor; Zh",The curvilinear relationship between digitalization and export propensity: The role of home country corruption in emerging economies,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,https://doi.org/10.1016/j.techfore.2025.124043,0,3,,,,,,,
46,2133,2025,"Zhou, Hua; Zhang, Xiaodong; Yang, Lun",Balancing export intensity and innovation: Uncovering the inverted-U relationship in Chinese manufacturing firms,ECONOMIC ANALYSIS AND POLICY,https://doi.org/10.1016/j.eap.2025.02.028,2,3,,,,,,,
47,2141,2025,"Wang, Xiaozhuo; Yang, Guang",Does being embedded in RTA networks promote firm productivity? Evidence from Chinese firms,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,https://doi.org/10.1016/j.iref.2025.103973,2,3,,,,,,,
48,2144,2025,"Edeh, Jude; Olarewaju, Adeniyi D.; Kusi, Samuel Ya","What drives SME export intensity in transition economies? The role of infrastructure, digitalisation and innovation capabilities",TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,https://doi.org/10.1016/j.techfore.2025.124123,0,3,,,,,,,
49,2153,2025,"Csurilla, Gergely; Bakucs, Zoltan; Ferto, Imre","Wine, markups, and export behavior: Evidence from Hungary",JOURNAL OF WINE ECONOMICS,https://doi.org/10.1017/jwe.2025.7,2,3,,,,,,,
50,2175,2025,"Mansouri, Samy; Kaswengi, Joseph","Linking Dynamic Capabilities to Export Performance in Africa: The Moderating Roles of Institutional Support, Sociopolitical Context, and Perceived Corruption",THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1002/tie.70001,?,3,,,,,,,
51,2177,2025,"Bataineh, Mohammad Jamal; Sanchez-Sellero, Pedro","Export intensity, intellectual property and technology development as drivers for green innovations",EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1504/ejim.2025.146843,?,3,,,,,,,
52,2179,2025,"Sharma, Ruchita; Sharma, Ruchi",A firm-level analysis of the impact of foreign direct investment in research and development on the innovation output of Indian firms,TRANSNATIONAL CORPORATIONS REVIEW,https://doi.org/10.1016/j.tncr.2025.200126,3,3,,,,,,,
53,2182,2025,"Popli, Manish; Raithatha, Mehul; Gaur, Ajai","Speed of Institutional Reforms, Competitive Dynamics, and Cross-border Acquisitions: Evidence from Emerging Economies",BRITISH JOURNAL OF MANAGEMENT,https://doi.org/10.1111/1467-8551.70001,0,3,,,,,,,
54,2183,2025,"Bose, Tarun Kanti; Orni, Sadia Akbor; Moser, Roger",Transaction Cost and Performance of Born Globals: The Role of Transaction Cost Institutionalism: An Emerging Economy Context,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1002/tie.70005,0,3,,,,,,,
55,2185,2025,"Miroshnychenko, Ivan; Ardito, Lorenzo; Capolupo, P",Old but Sold? Innovation Through Tradition Strategy for Export and the Role of Family Involvement,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,https://doi.org/10.1111/jpim.12796,?,3,,,,,,,
56,2199,2025,"Alsahlawi, Rawan; Fifield, Suzanne; Dunne, Theresa",Determinants of risk reporting practices in Saudi Arabia: an institutional perspective,JOURNAL OF ACCOUNTING IN EMERGING ECONOMIES,https://doi.org/10.1108/jaee-01-2025-0028,4,3,,,,,,,
57,2219,2025,"Gao, Qiuling; Zhang, Zhaoyi; Bao, Xinjie; Zhuang, ",International ambidexterity and innovation performance of EMNEs: the moderating role of dynamic-static resource interaction,CHINESE MANAGEMENT STUDIES,https://doi.org/10.1108/cms-09-2024-0683,2,3,,,,,,,
58,2221,2025,"Rehman, Saif; Rachid, Alami; Naseem, Abidi",Is the grass greener on the other side? The role of Western directors strategy in Asian firms,COGENT BUSINESS & MANAGEMENT,https://doi.org/10.1080/23311975.2025.2576281,0,3,,,,,,,
59,2228,2025,"Shahbazi, Kiumars",Does financial development contribute to the nonlinear relationship between innovation and export diversification?,COMPETITIVENESS REVIEW,https://doi.org/10.1108/cr-04-2024-0074,?,3,,,,,,,
60,2234,2025,"Danta, Subal; Rath, Badri Narayan",The Determinants of Information Communication Technology Adoption in the Case of Indian Manufacturing Sector,GLOBAL BUSINESS REVIEW,https://doi.org/10.1177/09721509251399758,3,3,,,,,,,
61,2235,2025,"Goel, Rohit; Sengupta, Swapnanil; Das, Udaibir Sar",Corporate Foreign Exchange Risk in India: Firm-level Evidence and Some Policy Implications,MARGIN-JOURNAL OF APPLIED ECONOMIC RESEARCH,https://doi.org/10.1177/00252921251401022,3,3,,,,,,,
62,2237,2025,"Cheng, Cong; Chen, Linyi",Profitability and CSR: Inconsistent performance feedback and OFDI location choices for firms in emerging countries,JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1016/j.intman.2025.101308,?,3,,,,,,,
63,2287,2025,Reddy K.,"DIGITALIZATION, FIRM PERFORMANCE AND INTERNATIONALIZATION OF MICROFIRMS IN INDIA",Asia Pacific Sustainable Development Journal,https://doi.org/10.18356/26178419-32-2-5,3,3,,,,,,,
64,2288,2025,Lukason O.,Being (Not) Successful in Internationalisation After Receiving Export Support: Which Predictors Are Able to Forecast It and How Accurately?,Information Switzerland,https://doi.org/10.3390/info16070544,?,3,,,,,,,
65,2289,2025,Galvis Ciro J.C.,Internationalization and financial performance in Colombian firms,Revista De Metodos Cuantitativos Para La Economia ,https://doi.org/10.46661/rev.metodoscuant.econ.empresa.10640,2,3,,,,,,,
66,2290,2025,Radović Marković M.M.,Gender Perspectives on SME International Trade and Revenue in the Digital Era: Evidence from Serbia,Journal of Women S Entrepreneurship and Education,https://doi.org/10.28934/jwee25.12.pp198-216,2,3,,,,,,,
67,2291,2025,Heriqbaldi U.,"Export promotion programs and firm performance: Linking knowledge, commitment, and market strategy to enhance competitiveness",Journal of Open Innovation Technology Market and C,https://doi.org/10.1016/j.joitmc.2025.100479,?,3,,,,,,,
68,2292,2025,Huang J.,The Impact of Digital Technology Adoption and Internationalization on Manufacturing Firms’ Performance in China,International Journal of Economics and Management,https://doi.org/10.47836/ijeam.19.2.03,2,3,,,,,,,
69,533,2024,"Srividhya, M.; Vidya, C. T.",Internationalization at Inception: Insights from the Indian Textile Industry's Born Globals,JOURNAL OF ECONOMIC INTEGRATION,https://doi.org/10.11130/jei.2024033,3,2,,,,,,,
70,193,2024,"Amin, Ali; Ali, Rizwan; Rehman, Ramiz Ur",Effects of female CEO and female CFO on internationalization and firm performance,CORPORATE GOVERNANCE-THE INTERNATIONAL JOURNAL OF ,https://doi.org/10.1108/cg-12-2022-0512,0,3,,,,,,,
71,195,2024,"Arbelo, Antonio; Arbelo-Perez, Marta; Perez-Gomez,",Internationalization and individual firm performance: a resource-based view,EURASIAN BUSINESS REVIEW,https://doi.org/10.1007/s40821-024-00276-5,0,3,,,,,,,
72,196,2024,"Carchano, Marcos; Carrasco, Inmaculada; Gonzalez, ",Analysis the nexus between internationalization and financial performance in wine industry: The effect of proactive environmental strategy and eco-innovation,CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL ,https://doi.org/10.1002/csr.2894,0,3,,,,,,,
73,466,2024,"Idris, Bochra; Saridakis, George; Georgellis, Yann",Exporting is a team sport: the link between management training and performance in SMEs,INTERNATIONAL JOURNAL OF MANPOWER,https://doi.org/10.1108/ijm-03-2023-0150,?,3,,,,,,,
74,1767,2024,"Forte, Rosa Portela; Carvalho, Sergio",Do domestic market characteristics influence firms' export intensity?,EUROMED JOURNAL OF BUSINESS,https://doi.org/10.1108/emjb-09-2021-0129,0,3,,,,,,,
75,1860,2024,"Zheng, Xian; Deng, Jiawei; Song, Xiangnan; Ye, Men","Examining the nonlinear relationships of corporate social responsibility, innovation and construction firm performance: the moderating role of construction firms' competitive position",ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEM,https://doi.org/10.1108/ecam-03-2022-0286,2,3,,,,,,,
76,1921,2024,"Gomez-Sanchez, Andres Mauricio; Castillejo, Juan M",On the Direct and Indirect Effects of ICT on SMEs Export Performance: Evidence from Colombian Manufacturing,JOURNAL OF THE KNOWLEDGE ECONOMY,https://doi.org/10.1007/s13132-023-01378-7,2,3,,,,,,,
77,1962,2024,"Kalasin, Kiattichai",Strategic divestment of emerging market firms: the influence of returnee managers and CEO characteristics,JOURNAL OF GLOBAL MOBILITY-THE HOME OF EXPATRIATE ,https://doi.org/10.1108/jgm-04-2023-0029,0,3,,,,,,,
78,1964,2024,"Koval, Mariia; Iurkov, Viacheslav; Benito, Gabriel",The interplay of international alliance and subsidiary portfolios: Implications for firms' innovation and financial performance,JOURNAL OF WORLD BUSINESS,https://doi.org/10.1016/j.jwb.2023.101500,?,3,,,,,,,
79,1967,2024,"Nguyen, Dao T. H.; Kokko, Ari; Nguyen, Thong T.",Multinational enterprises and local firms' export market entry: A panel data analysis of Vietnam's food processing industry,AGRIBUSINESS,https://doi.org/10.1002/agr.21872,3,3,,,,,,,
80,1985,2024,"Batsakis, Georgios; Mohr, Alexander; Konara, Palit",The Effect of Foreign Divestment on Subsequent Firm Performance: The Moderating Role of Spatial and Temporal Dispersion of Prior Divestment Experience,BRITISH JOURNAL OF MANAGEMENT,https://doi.org/10.1111/1467-8551.12786,1,3,,,,,,,
81,2000,2024,"Abdi, Majid; Aulakh, Preet S.; Ma, Zicheng",Exploratory Search and International Performance: When Do Local Alliances Matter?,JOURNAL OF INTERNATIONAL MARKETING,https://doi.org/10.1177/1069031x231216409,0,3,,,,,,,
82,2008,2024,"Varga, Anna Roza; Sipos, Norbert; Rideg, Andras; L",The comparison of RBV-based competitiveness of Hungarian family-owned and non-family-owned SMEs,COMPETITIVENESS REVIEW,https://doi.org/10.1108/cr-02-2023-0017,1,3,,,,,,,
83,2013,2024,"Hassen, Nesredin Temam; Lema, Mesfin; Nemera, Geme",Financial and marketing approach to export performance: the mediation role of promotion and research and development,COGENT BUSINESS & MANAGEMENT,https://doi.org/10.1080/23311975.2024.2315658,?,3,,,,,,,
84,2015,2024,"Hutauruk, Martinus Robert",The effect of R&D expenditures on firm value with firm size moderation in an Indonesia palm oil company,COGENT BUSINESS & MANAGEMENT,https://doi.org/10.1080/23311975.2024.2317448,3,3,,,,,,,
85,2020,2024,"Godbole, Madhura; R. L., Manogna",Does internationalization and board diversity affect family firms&apos; sustainable performance? Empirical evidence from an emerging economy,BUSINESS STRATEGY AND DEVELOPMENT,https://doi.org/10.1002/bsd2.365,0,3,,,,,,,
86,2028,2024,"Bhattacharyya, Som Sekhar; Nemana, Praveen","Effect of Demonetization on Advertising, Research & Development and Human Resource Intensities and its Impact on Firm's Performance",VISION-THE JOURNAL OF BUSINESS PERSPECTIVE,https://doi.org/10.1177/09722629211042437,3,3,,,,,,,
87,2039,2024,"Askarzadeh, Alireza; Kanaanitorshizi, Mostafa; Tab",International Diversification and Stock-Price Crash Risk,INTERNATIONAL JOURNAL OF FINANCIAL STUDIES,https://doi.org/10.3390/ijfs12020047,0,3,,,,,,,
88,2041,2024,"Onjewu, Adah-Kole Emmanuel; Nyuur, Richard B.; Ama","Foreign Ownership, Board of Directors, and Environmental Commitment in European International New Ventures",THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1002/tie.22396,0,3,,,,,,,
89,2046,2024,"Panicker, Vidya Sukumara; Georgiadou, Elena; Hodgk",Generous to a fault: Differential impact of CSR investments on financial gains in Indian market multinationals,JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1016/j.intman.2024.101142,3,3,,,,,,,
90,2049,2024,"Navaia, Eurico; Moreira, Antonio; Ribau, Claudia",The mediating roles of cost leadership and cost focus strategies on innovation capabilities and export performance. Results from an emerging country,COGENT BUSINESS & MANAGEMENT,https://doi.org/10.1080/23311975.2024.2375410,?,3,,,,,,,
91,2053,2024,"Lages, Luis Filipe; Silva, Graca Miranda; Canhoto,","Balancing people, planet and profit: export strategies for sustainable value creation",SUSTAINABILITY ACCOUNTING MANAGEMENT AND POLICY JO,https://doi.org/10.1108/sampj-09-2023-0687,?,3,,,,,,,
92,2056,2024,"Sommeno, Tigist Woldetsadik; Mersland, Roy; Randoy",The impact of liability of foreignness on performance in hybrid organizations,JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1016/j.intman.2024.101133,?,3,,,,,,,
93,2060,2024,"Shen, Suqin; Venaik, Sunil; Liesch, Peter",A novel model linking UN SDGs with international experience and firm performance,INTERNATIONAL BUSINESS REVIEW,https://doi.org/10.1016/j.ibusrev.2023.102170,?,3,,,,,,,
94,2065,2024,"Jalali, Hossein S.",Trade policy revisited: how government support initiatives affect international performance in SMEs?,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,https://doi.org/10.1108/ribs-02-2024-0015,?,3,,,,,,,
95,2066,2024,"Ding, Sasa; Liu, Yajun; Huang, Yi",Is OFDI persistence beneficial for firms' performance? Evidence from Chinese firms,BALTIC JOURNAL OF MANAGEMENT,https://doi.org/10.1108/bjm-02-2024-0058,2,3,,,,,,,
96,2068,2024,"Kuzey, Cemil; Gerged, Ali Meftah; Uyar, Ali; Karam",Rethinking board structures in the age of multinational corporations: A global investigation,JOURNAL OF INTERNATIONAL MANAGEMENT,https://doi.org/10.1016/j.intman.2024.101175,0,3,,,,,,,
97,2074,2024,"Chung, Henry F. L.; Ho, Mia Hsiao-Wen","The effect of standardized advertising, managerial ties and born global orientation on export performance",JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,https://doi.org/10.1108/jbim-12-2023-0761,?,3,,,,,,,
98,2118,2024,"Pham, Thuy-Dzung T.; Vo, Thi Huong Giang; Nguyen, ",Diverse Leadership and Firm Success: The Role of Top Management Socialisation,MARKETING AND MANAGEMENT OF INNOVATIONS,https://doi.org/10.21272/mmi.2024.4-08,?,3,,,,,,,
99,2146,2024,"Civelek, Mehmet",The Importance of Resource-based View Related Abilities and Financial Performance of SMEs for Their Sustainable Practices,JOURNAL OF MEHMET AKIF ERSOY UNIVERSITY ECONOMICS ,https://doi.org/10.30798/makuiibf.1510554,?,3,,,,,,,
100,2297,2024,Wudu A.,Industry clusters and firm performance: Evidence from the leather product industry in Addis Ababa,Heliyon,https://doi.org/10.1016/j.heliyon.2024.e39486,?,3,,,,,,,
101,2304,2024,Soesetio Y.,Mediating role of competitiveness between process innovation and financial performance: Internationalization moderation,International Journal of Applied Economics Finance,https://doi.org/10.33094/ijaefa.v18i1.1362,?,3,,,,,,,
102,2305,2024,Huimin C.,Impact of Specific Intangible Assets on Firm Internationalization and Performance,Journal of Management and Business Research,https://doi.org/10.6504/jmbr.202412_41(4).0004,?,3,,,,,,,
103,2306,2024,Fayyaz U.E.R.,Role of technology director in boosting internationalisation and performance: an evidence from EU sustainable firms,International Journal of Business Governance and E,https://doi.org/10.1504/ijbge.2024.141806,0,3,,,,,,,
104,2307,2024,Hussain W.,"ESG disclosure, firm internationalization, and firm financial performance: Evidence from Asia-Pacific",Journal of International Studies,https://doi.org/10.14254/2071-8330.2024/17-2/13,0,3,,,,,,,
105,2308,2024,Chen M.,Analysis of Executive Compensation Management Strategies of Multinational Enterprises in the Context of RMB Internationalization,Applied Mathematics and Nonlinear Sciences,https://doi.org/10.2478/amns-2024-1203,?,3,,,,,,,
106,468,2023,"Heriqbaldi, Unggul; Jayadi, Achmad; Erlando, Angga","Survey data on organizational resources and capabilities, export marketing strategy, export competitiveness, and firm performance in exporting firms in Indonesia",DATA IN BRIEF,https://doi.org/10.1016/j.dib.2023.109112,2,3,,,,,,,
107,216,2023,"Luu, Tien Dung; Trinh, Lan Anh; Nguyen, Thanh Phuo",Degree of internationalisation and firm performance: the flattening role of organisational slack resources,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,https://doi.org/10.1108/ribs-03-2022-0030,0,3,,,,,,,
108,219,2023,"Park, Sang-Bum",Internationalization and firm performance: moderating role of multi-stakeholder initiatives,MULTINATIONAL BUSINESS REVIEW,https://doi.org/10.1108/mbr-10-2022-0168,0,3,,,,,,,
109,1579,2023,"Lee, Youngwoo; Hemmert, Martin",Performance implications of combining innovation and internationalization for Korean small- and medium-sized manufacturing firms: an exploration-exploitation perspective,ASIAN BUSINESS & MANAGEMENT,https://doi.org/10.1057/s41291-020-00144-w,1,3,,,,,,,
