id,title,authors,year,journal,doi,screen_decision,screen_reason,round2_decision,round2_reason,round3_decision,round3_reason,round4_decision,round4_reason,abstract,openalex_id,pdf_url,round5_decision,round5_reason,round6_decision,round6_reason,round6_decision,round6_reason
S0212,Does internationalization encourage state-owned enterprises to utilize subsidies to innovate? Evidence from high-tech and automobile manufacturing industries of Chinese listed companies,"Xie, Yu; Boadu, Francis; Tang, Hongjuan",2022,CHINESE MANAGEMENT STUDIES,10.1108/cms-06-2021-0250,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,SOE_subsidies_not_performance_DV,N,SOE_subsidies_not_performance_DV
S0213,Successful reconfiguration and network evolution within the multinational company,"Valdemarin, Stefano; Mayrhofer, Ulrike",2022,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,10.1108/jocm-12-2020-0367,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,network_evolution_process_not_IP,N,network_evolution_process_not_IP
S0239,Organizational goals and resource allocation to overseas foreign direct investment,"Bai, Tao; Liesch, Peter",2022,JOURNAL OF WORLD BUSINESS,10.1016/j.jwb.2022.101308,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,organizational_goals_FDI_resource_allocation_not_IP,N,organizational_goals_FDI_resource_allocation_not_IP
S0247,The role of slack resources and managerial capabilities in early and late internationalization: a configurational approach,"Vuorio, Anna; Faroque, Anisur R.; Kuivalainen, Olli",2022,SMALL ENTERPRISE RESEARCH,10.1080/13215906.2022.2113742,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,slack_resources_timing_antecedent,N,slack_resources_timing_antecedent
S0261,Early internationalisation of entrepreneurial firms: the role of artificial intelligence enhanced business models,"Arshi, Tahseen Anwer; Rao, Venkoba; Begum, Vazeerjan; Capar, Nejat",2022,JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT,10.1504/jibed.2022.10055241,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,AI_early_internationalization_process,N,AI_early_internationalization_process
S0262,The internationalization of new ventures in an emerging economy: The shifting role of industry concentration,"Saiyed, Abrar Ali; Fernhaber, Stephanie A.; Basant, Rakesh; Dhandapani, Karthik",2021,ASIA PACIFIC JOURNAL OF MANAGEMENT,10.1007/s10490-020-09712-2,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,social_capital_new_venture_I_antecedent,N,social_capital_new_venture_I_antecedent
S0282,How to Increase the Internationalization Capacity of Science & Technology Park Firms: Some Lessons for The Managers,"Imer, Sabahattin Tugrul; Oktem, Mustafa Kemal; Kaskati, Osman Tolga",2021,SOSYOEKONOMI,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,internationalization_capacity_antecedent,N,internationalization_capacity_antecedent
S0283,Emerging Market Multinational Family Business Groups and the Use of Family Managers in Foreign Subsidiaries,"Chung, Hsi-Mei; Dahms, Sven; Kao, Pao T.",2021,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-021-00437-y,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,family_managers_subsidiary_HR_governance,N,family_managers_subsidiary_HR_governance
S0302,Information and Communication Technology Adoption Strategies of Emerging Multinationals From India,"Mondal, Arindam; Chakrabarti, Amit Baran",2021,JOURNAL OF GLOBAL INFORMATION MANAGEMENT,10.4018/jgim.20210901.oa9,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,ICT_adoption_strategy_not_IP,N,ICT_adoption_strategy_not_IP
S0314,Internationalization pathways of Chinese private firms: A closer look at firm-specific advantages,"Driffield, Nigel; Du, Jun; Song, Meng",2021,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2021.100835,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,internationalization_pathways_process,N,internationalization_pathways_process
S0325,Foreign venture capital firms and internationalization of ventures,"Woo, Heejin",2020,MULTINATIONAL BUSINESS REVIEW,10.1108/mbr-09-2019-0104,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,foreign_VC_antecedent_of_I,N,foreign_VC_antecedent_of_I
S0333,Linking governance structure and sustainable operations of Chinese manufacturing firms: The moderating effect of internationalization,"Liu, Tiansen; Liu, He; Zhang, Yufeng; Song, Yazhi; Su, Yi; Zhu, Yue",2020,JOURNAL OF CLEANER PRODUCTION,10.1016/j.jclepro.2019.119949,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,governance_sustainable_ops_not_IP,N,governance_sustainable_ops_not_IP
S0372,An Effectual-Causal View of Managerial Decisions in the Internationalization of Indian MNEs,"Dash, Rupanwita; Ranjan, Kumar Rakesh",2019,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2018.09.001,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,effectual_causal_decision_making_process,N,effectual_causal_decision_making_process
S0376,Adapting and sustaining operations in weak institutional environments: A business ecosystem assessment of a Chinese MNE in Central Africa,"Parente, Ronaldo; Rong, Ke; Geleilate, Jose-Mauricio G.; Misati, Everlyne",2019,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-018-0179-z,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,business_model_weak_institutions_adaptation,N,business_model_weak_institutions_adaptation
S0402,Founder non-international experience and venture internationalization,"Domurath, Anne; Patzelt, Holger",2019,JOURNAL OF INTERNATIONAL ENTREPRENEURSHIP,10.1007/s10843-019-00249-0,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,founder_experience_antecedent_of_I,N,founder_experience_antecedent_of_I
S0438,Diffusion of internationalization in business group networks: evidence from India,"Shukla, Dhirendra Mani; Akbar, M.",2018,MANAGEMENT DECISION,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,BG_network_internationalization_diffusion_process,N,BG_network_internationalization_diffusion_process
S0474,Emerging Market Multinational Companies and Internationalization: The Role of Home Country Urbanization,"Estrin, Saul; Nielsen, Bo B.; Nielsen, Sabina",2017,JOURNAL OF INTERNATIONAL MANAGEMENT,10.1016/j.intman.2016.11.006,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,home_country_effects_EMNE_I_antecedent,N,home_country_effects_EMNE_I_antecedent
S0503,Internationalisation of family-owned businesses in a geographically remote area,"Moini, Hamid; Kuada, John; Decker, Arnim",2016,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL VENTURING,10.1504/ijev.2016.077621,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,family_business_remote_area_process,N,family_business_remote_area_process
S0538,Institutional effect on born global firms in China: the role of Sun Tzu's <i>The Art of War</i> strategies,"Zhang, Man; Gao, Qian; Wheeler, Jane V.; Kwon, Jungsook",2016,JOURNAL OF ASIA BUSINESS STUDIES,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,institutional_SunTzu_born_global_antecedent,N,institutional_SunTzu_born_global_antecedent
S0551,"Innovation, Internationalization, and the Transnational Corporation","Ietto-Gillies, Grazia",2015,"HANDBOOK OF GLOBAL SCIENCE, TECHNOLOGY, AND INNOVATION",10.1002/9781118739044.ch6,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,book_chapter_not_peer_reviewed_journal,N,book_chapter_not_peer_reviewed_journal
S0568,Globalization and diversification strategy: A managerial perspective,"Bowen, Harry P.; Baker, H. Kent; Powell, Gary E.",2015,SCANDINAVIAN JOURNAL OF MANAGEMENT,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,globalization_diversification_managerial_perspective_qualitative,N,globalization_diversification_managerial_perspective_qualitative
S0599,"An explanation of firms' internationalisation modes, blending firm heterogeneity and spatial agglomeration: microevidence from Italy","Cainelli, Giulio; Di Maria, Eleonora; Ganau, Roberto",2014,ENVIRONMENT AND PLANNING A-ECONOMY AND SPACE,10.1068/a4690,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,internationalization_modes_determinants_not_IP,N,internationalization_modes_determinants_not_IP
S0603,A Regional Perspective on Multinational Expansion Strategies: Reconsidering the Three-stage Paradigm,"Oh, Chang Hoon; Contractor, Farok",2014,BRITISH JOURNAL OF MANAGEMENT,10.1111/1467-8551.12019,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,regional_expansion_scope_pace_rhythm_process,N,regional_expansion_scope_pace_rhythm_process
S0618,The influence of political risk on the scope of internationalization of regulated companies: Insights from a Spanish sample,"Jimenez, Alfredo; Luis-Rico, Isabel; Benito-Osorio, Diana",2014,JOURNAL OF WORLD BUSINESS,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,political_risk_scope_of_I_antecedent,N,political_risk_scope_of_I_antecedent
S0621,"Innovativeness, offshoring and black economy decisions. Evidence from Italian manufacturing firms","Amendolagine, Vito; Capolupo, Rosa; Ferri, Giovanni",2014,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2014.03.011,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,offshoring_black_economy_not_IP,N,offshoring_black_economy_not_IP
S0622,"How do business groups' small world networks effect diversification, innovation, and internationalization?","Chen, Ying-Yu; Jaw, Yi-Long",2014,ASIA PACIFIC JOURNAL OF MANAGEMENT,10.1007/s10490-014-9385-9,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,BG_networks_diversification_I_antecedent,N,BG_networks_diversification_I_antecedent
S0631,Exports and FDI motivations: Empirical evidence from US foreign subsidiaries,"Franco, Chiara",2013,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2012.02.002,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,FDI_motivations_antecedents,N,FDI_motivations_antecedents
S0644,The role of corporations in economic development: Albania on its way to internationalisation,"Prasnikar, Janez; Memaj, Fatmir; Redek, Tjasa; Voje, Damjan",2013,POST-COMMUNIST ECONOMIES,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,Albania_macro_country_level,N,Albania_macro_country_level
S0716,The local/global integration of MNC subsidiaries and their technological behaviour: Argentina in the late 1990s,"Marin, Anabel; Bell, Martin",2010,RESEARCH POLICY,10.1016/j.respol.2010.04.002,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,subsidiary_integration_tech_behavior_not_IP,N,subsidiary_integration_tech_behavior_not_IP
S0747,The agricultural machinery industry in Argentina: from restructuring to internationalization?,"Garcia, Graciela M. C.",2008,CEPAL REVIEW,,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,Argentina_industry_restructuring_macro,N,Argentina_industry_restructuring_macro
S0754,Real options in multinational corporations: organizational challenges and risk implications,"Tong, Tony W.; Reuer, Jeffrey J.",2007,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/palgrave.jibs.8400260,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,real_options_MNC_strategic_not_IP,N,real_options_MNC_strategic_not_IP
S0765,"Globalisation, international configurations and strategic implications: The case of retailing","Leknes, HM; Carr, C",2004,LONG RANGE PLANNING,10.1016/j.lrp.2003.11.005,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,South_Korea_globalization_case_study,N,South_Korea_globalization_case_study
S0768,Internationalization of private firms: environmental turbulence and organizational strategies and resources,"Westhead, P; Wright, M; Ucbasaran, D",2004,ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,10.1080/0898562042000231929,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,private_firms_environmental_turbulence_process,N,private_firms_environmental_turbulence_process
S0770,"The changing Japanese multinational: Application, adaptation and learning in car manufacturing and financial services","Whitley, R; Morgan, G; Kelly, W; Sharpe, D",2003,JOURNAL OF MANAGEMENT STUDIES,10.1111/1467-6486.00355,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,Japanese_MNC_adaptation_learning_qualitative,N,Japanese_MNC_adaptation_learning_qualitative
S0778,"Technological convergence, globalisation and ownership in the UK computer industry","Athreye, S; Keeble, D",2000,TECHNOVATION,10.1016/s0166-4972(99)00135-2,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,UK_computer_industry_macro_level,N,UK_computer_industry_macro_level
S0779,Foreign direct investment strategies and firms' capabilities,"Siotis, G",1999,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,10.1111/j.1430-9134.1999.00251.x,UNSURE,title_ambiguous_needs_abstract,UNSURE,still_ambiguous_needs_abstract,UNSURE,still_ambiguous,UNSURE,insufficient_title_signal,,,,UNSURE,NO_ABSTRACT:unresolved:TITLE_ONLY,N,FDI_strategies_capabilities_antecedent,N,FDI_strategies_capabilities_antecedent
