id,title,authors,year,journal,doi,screen_decision,screen_reason
S0058,"Relationship Among R&D, Productivity, and Firm Exports: The Moderating Role of Credit Constraints","Zhang, Dengjun; Affuso, Ermanno; Buleca, Jan; Toth, Peter; Pandey, Rudresh",2025,STUDIES IN BUSINESS AND ECONOMICS,,Y,title_inclusion_pattern
S0059,The impact of enhanced intelligent manufacturing capabilities on a firm's export performance,"Zhu, Qin; Li, Xin",2025,FINANCE RESEARCH LETTERS,,Y,title_inclusion_pattern
S0061,"International relations, organisational resources and capabilities and export experience as determinants of the export performance of SMEs in developing countries, Peru","Malca, Oscar; Pena-Vinces, Jesus; Marcilla-Vigo, Miguel; Rubio Donet, Jorge",2025,EUROPEAN BUSINESS REVIEW,10.1108/ebr-03-2025-0085,Y,title_inclusion_pattern
S0064,"Linking Dynamic Capabilities to Export Performance in Africa: The Moderating Roles of Institutional Support, Sociopolitical Context, and Perceived Corruption","Mansouri, Samy; Kaswengi, Joseph",2025,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.70001,Y,title_inclusion_pattern
S0066,Climbing the Global Value Chain: The Role of Cross-Border E-Commerce in SME Internationalization,"Pan, Lipeng; Liu, Shuchun; Li, Yongqing; Teo, Kelvin; Fu, Xiao",2025,MANAGERIAL AND DECISION ECONOMICS,10.1002/mde.70005,Y,title_inclusion_pattern
S0069,Determinants of Exports of Services Firm-Level Analysis Combined With the Gravity Model Framework,"Matuszczak, Lukasz; Michalek, Jakub; Wozniak, Rafal",2025,WORLD ECONOMY,10.1111/twec.13724,Y,title_inclusion_pattern
S0071,SME Internationalization: Can SMEs Overcome Liabilities of Foreignness and Smallness Through International and Product Diversification?,"Han, Mary; Celly, Nikhil",2025,JOURNAL OF ENTERPRISING CULTURE,10.1142/s0218495825500037,Y,title_inclusion_pattern
S0089,"Digital Capabilities, Their Role in Business Model Innovativeness, and the Internationalization of SMEs","Anwar, Muhammad; Scheffler, Marc Andre; Clauss, Thomas",2024,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,10.1109/tem.2022.3229049,Y,title_inclusion_pattern
S0092,On the Direct and Indirect Effects of ICT on SMEs Export Performance: Evidence from Colombian Manufacturing,"Gomez-Sanchez, Andres Mauricio; Castillejo, Juan Manez A.; Sanchis-Llopis, Juan Alberto",2024,JOURNAL OF THE KNOWLEDGE ECONOMY,10.1007/s13132-023-01378-7,Y,title_inclusion_pattern
S0094,Digital resilience and firm internationalization: a study of Chinese listed companies,"Li, Zhaochen; Xu, Zimu; Sukumar, Arun",2024,JOURNAL OF ENTERPRISE INFORMATION MANAGEMENT,,Y,title_inclusion_pattern
S0097,"Foreign market involvement, entry-mode learning potential and SME internationalization outcomes","Elbanna, Said; Hsieh, Linda; Child, John; Narooz, Rose; Marinova, Svetla; Puthusserry, Pushyarag; Karmowska, Joanna; Tsai, Terence; Zhang, Yunlu",2024,MANAGEMENT DECISION,10.1108/md-01-2023-0045,Y,title_inclusion_pattern
S0105,Financial and marketing approach to export performance: the mediation role of promotion and research and development,"Hassen, Nesredin Temam; Lema, Mesfin; Nemera, Gemechu",2024,COGENT BUSINESS & MANAGEMENT,10.1080/23311975.2024.2315658,Y,title_inclusion_pattern
S0118,The Influence of Perceived Macro Environment on the Competitiveness of Internationalized Medium-Sized and Large Enterprises,"Stocker, Miklos; Erdelyi, Adam",2024,ADMINISTRATIVE SCIENCES,10.3390/admsci14060116,Y,title_inclusion_pattern
S0122,The mediating roles of cost leadership and cost focus strategies on innovation capabilities and export performance. Results from an emerging country,"Navaia, Eurico; Moreira, Antonio; Ribau, Claudia",2024,COGENT BUSINESS & MANAGEMENT,10.1080/23311975.2024.2375410,Y,title_inclusion_pattern
S0131,"The effect of standardized advertising, managerial ties and born global orientation on export performance","Chung, Henry F. L.; Ho, Mia Hsiao-Wen",2024,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,10.1108/jbim-12-2023-0761,Y,title_inclusion_pattern
S0137,Intellectual capital and new ventures early internationalization: Firm-level analysis of Austrian SMEs,"Bigos, Krystian; Michalik, Adam",2024,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,10.15678/eber.2024.120410,Y,title_inclusion_pattern
S0143,Configuring foreign market knowledge and opportunity recognition capabilities to predict the performance of export-manufacturing firms,"Mostafiz, Md Imtiaz; Sambasivan, Murali; Goh, See-Kwong; Ahmad, Paiman",2023,KNOWLEDGE MANAGEMENT RESEARCH & PRACTICE,10.1080/14778238.2021.1919573,Y,title_inclusion_pattern
S0152,When does export customer responsiveness strategy contribute to export market competitive advantage?,"Miocevic, Dario; Gnizy, Itzhak; Cadogan, John W.",2023,INTERNATIONAL MARKETING REVIEW,10.1108/imr-02-2022-0043,Y,title_inclusion_pattern
S0156,The inefficiency of exporting SMEs: Evidence from manufacturing industry,"Forgione, Antonio Fabio; Migliardo, Carlo",2023,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,10.1080/09638199.2022.2098527,Y,title_inclusion_pattern
S0159,The More the Merrier? Evidence from Firm-Level Exports and Environmental Performance in China,"Lin, Xi; He, Ling-Yun",2023,ENVIRONMENTAL & RESOURCE ECONOMICS,10.1007/s10640-022-00717-7,Y,title_inclusion_pattern
S0165,Joining and exiting the value chain of foreign multinationals and performance of their local suppliers: evidence from interfirm transaction data,"Masso, Jaan; Vahter, Priit",2023,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtad004,Y,title_inclusion_pattern
S0174,"ICT Investment, Adoption of ISO 14000 Certification, and Export Performance in Indian Manufacturing Plants","Goldar, Bishwanath",2023,JOURNAL OF QUANTITATIVE ECONOMICS,10.1007/s40953-023-00350-1,Y,title_inclusion_pattern
S0180,Do National Export Promotion Programs in Indonesia support export competitiveness?,"Heriqbaldi, Unggul; Esquivias, Miguel Angel; Samudro, Bhimo Rizky; Widodo, Wahyu",2023,HELIYON,10.1016/j.heliyon.2023.e16918,Y,title_inclusion_pattern
S0185,"Firm certification and export performance: the case of the ""SME Leader"" label","Pacheco, Luis",2023,ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,10.1108/arla-05-2023-0073,Y,title_inclusion_pattern
S0189,Exports and firm growth: the moderating effect of innovation,"Fernandez-Lopez, Sara; Nogueira-Moreiras, Manuel angel; Rodeiro-Pazos, David; Rodriguez-Gulias, Maria Jesus",2023,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,,Y,title_inclusion_pattern
S0221,How does offshore outsourcing of knowledge-intensive activities affect the exports and financial performance of emerging market firms?,"Buckley, Peter J.; Munjal, Surender; Requejo, Ignacio",2022,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,10.1057/s41267-022-00511-z,Y,title_inclusion_pattern
S0224,Information and communication technologies and firms' export performance,"Anon Higon, Dolores; Bonvin, Daniel",2022,INDUSTRIAL AND CORPORATE CHANGE,,Y,title_inclusion_pattern
S0227,Does environmental information disclosure increase firm exports?,"Xie, Dongchun; Li, Xiaofeng; Zhou, Di",2022,ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2021.12.012,Y,title_inclusion_pattern
S0228,Impact of sourcing from the informal economy on the export likelihood and performance of emerging economy firms,"Escobar, Octavio; Lamotte, Olivier; Colovic, Ana; Meschi, Pierre-Xavier",2022,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtab068,Y,title_inclusion_pattern
S0235,The Impact of Breakthrough Innovations on the Export Performance of SMEs in Developing Countries: The Moderating Role of Institutional Factors,"Hashmi, Hammad Bin Azam; Voinea, Cosmina L.; Ooms, Ward; Caniels, Marjolein C. J.",2022,FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.888697,Y,title_inclusion_pattern
S0243,Influence of blockchain technology in SME internationalization: Evidence from high-tech SMEs in India,"Rakshit, Sandip; Islam, Nazrul; Mondal, Sandeep; Paul, Tripti",2022,TECHNOVATION,10.1016/j.technovation.2022.102518,Y,title_inclusion_pattern
S0246,"CEO gender, institutional context and firm exports","Audretsch, David B.; Belitski, Maksim; Chowdhury, Farzana; Desai, Sameeksha",2022,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2022.102008,Y,title_inclusion_pattern
S0250,Firm R&D investment and export market exposure,"Peters, Bettina; Roberts, Mark J.; Van Anh Vuong",2022,RESEARCH POLICY,,Y,title_inclusion_pattern
S0251,Innovation capabilities and export performance in manufacturing SMEs,"Alegre, Joaquin; Luis Ferreras-Mendez, Jose; Fernandez-Mesa, Anabel; Strange, Roger",2022,TEC EMPRESARIAL,,Y,title_inclusion_pattern
S0270,"Perceived corruption, business process digitization, and SMEs' degree of internationalization in sub-Saharan Africa","Adomako, Samuel; Amankwah-Amoah, Joseph; Tarba, Shlomo Y.; Khan, Zaheer",2021,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2020.09.065,Y,title_inclusion_pattern
S0271,The Export Quality and Firm Heterogeneity of the Food Industry in China,"Mi, Jie; Nanseki, Teruaki; Chomei, Yosuke; Chen, Tinggui",2021,JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY,,Y,title_inclusion_pattern
S0289,Adoption and optimal configuration of smart products: The role of firm internationalization and offer hybridization,"Vendrell-Herrero, Ferran; Bustinza, Oscar F.; Vaillant, Yancy",2021,INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2021.04.001,Y,title_inclusion_pattern
S0299,"International competitive strategies, organizational learning and export performance: a match and mis-match conceptualization","Chung, Henry F. L.; Ho, Mia Hsiao-Wen",2021,EUROPEAN JOURNAL OF MARKETING,10.1108/ejm-04-2019-0309,Y,title_inclusion_pattern
S0307,Environmental commitment and innovation as catalysts for export performance in family firms,"Haddoud, Mohamed Yacine; Onjewu, Adah-Kole Emmanuel; Nowinski, Witold",2021,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,10.1016/j.techfore.2021.121085,Y,title_inclusion_pattern
S0310,"Effects of Export Orientation, Exchange Rates and Leverage on Firm Productivity: Evidence from Pakistan","Rashid, Abdul; Khan, Afaq; Fraz, Ahmad",2021,GLOBAL BUSINESS REVIEW,10.1177/09721509211056480,Y,title_inclusion_pattern
S0313,International Experts' Influence on Company Internationalization,"Kravchenko, Grygorii",2021,CENTRAL EUROPEAN MANAGEMENT JOURNAL,,Y,title_inclusion_pattern
S0316,"Bank credit, public financial incentives, tax financial incentives and export performance during the global financial crisis","Okafor, Luke Emeka; Bhattacharya, Mita; Apergis, Nicholas",2020,WORLD ECONOMY,10.1111/twec.12848,Y,title_inclusion_pattern
S0320,Human capital and export performance in the Spanish manufacturing firms,"Lopez Rodriguez, Jose; Serrano Orellana, Bill",2020,BALTIC JOURNAL OF MANAGEMENT,,Y,title_inclusion_pattern
S0334,Social media resources and export performance: the role of trust and commitment,"Mahmoud, Mahmoud Abdulai; Adams, Matilda; Abubakari, Aidatu; Commey, Nicholas Oblitei; Kastner, Adelaide Naa Amerley",2020,INTERNATIONAL MARKETING REVIEW,,Y,title_inclusion_pattern
S0335,FIRMS' EXPORT PERFORMANCE: A FRACTIONAL ECONOMETRIC APPROACH,"Faria, Samuel; Rebelo, Joao; Gouveia, Sofia",2020,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,,Y,title_inclusion_pattern
S0341,Human capital and export performance of small and medium enterprises in Pakistan,"Mubarik, Muhammad Shujaat; Devadason, Evelyn S.; Govindaraju, Chandran",2020,INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS,10.1108/ijse-03-2019-0198,Y,title_inclusion_pattern
S0344,Enjoying or refraining from risk? The impact of implicit need for achievement and risk perception on SME internationalization,"Handrito, Radityo Putro; Slabbinck, Hendrik; Vanderstraeten, Johanna",2020,CROSS CULTURAL & STRATEGIC MANAGEMENT,10.1108/ccsm-03-2019-0068,Y,title_inclusion_pattern
S0347,SME Internationalization: the Impact of Information Technology and Innovation,"Lecerf, Marjorie; Omrani, Nessrine",2020,JOURNAL OF THE KNOWLEDGE ECONOMY,,Y,title_inclusion_pattern
S0352,When strategic consensus matters: dynamic managerial capabilities and firm internationalization as seen by TMT,"Haapanen, Lauri; Hurmelinna-Laukkanen, Pia; Puumalainen, Kaisu",2020,CROSS CULTURAL & STRATEGIC MANAGEMENT,10.1108/ccsm-09-2018-0134,Y,title_inclusion_pattern
S0356,Antecedents to differentiation strategy in the exporting SME,"Knight, Gary; Moen, Oystein; Madsen, Tage Koed",2020,INTERNATIONAL BUSINESS REVIEW,,Y,title_inclusion_pattern
S0357,"Strategic decision-making processes, international environmental munificence and the accelerated internationalization of SMEs","Petrou, Andreas P.; Hadjielias, Elias; Thanos, Ioannis C.; Dimitratos, Pavlos",2020,INTERNATIONAL BUSINESS REVIEW,10.1016/j.ibusrev.2020.101735,Y,title_inclusion_pattern
S0361,Internationalization and firm default risk: The roles of environmental dynamism and marketing capability,"Sun, Wenbin; Ding, Zhihua; Xu, Xiaobo; Cui, Kacie",2020,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2020.08.027,Y,title_inclusion_pattern
S0369,Complementarity of R&D and productivity in SME export behavior,"Falk, Martin; de Lemos, Francisco Figueira",2019,JOURNAL OF BUSINESS RESEARCH,,Y,title_inclusion_pattern
S0370,Geographic export diversification: Determinants and their link with export performance,"Cos, Pilar; Colonn, Antonio; Cabases, Angels",2019,THUNDERBIRD INTERNATIONAL BUSINESS REVIEW,10.1002/tie.21991,Y,title_inclusion_pattern
S0371,Microfoundations of firm internationalization: The owner CEO effect,"Chittoor, Raveendra; Aulakh, Preet S.; Ray, Sougata",2019,GLOBAL STRATEGY JOURNAL,10.1002/gsj.1193,Y,title_inclusion_pattern
S0384,Effect of Marketing Strategies on Export Performance of Agricultural Products: The Case of Saffron in Iran,"Kashefi, M.; Mohammadi, H.; Abolhasani, L.",2019,JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY,,Y,title_inclusion_pattern
S0396,The impact of SME internationalization on innovation: The mediating role of market and entrepreneurial orientation,"Genc, Ebru; Dayan, Mumin; Genc, Omer Faruk",2019,INDUSTRIAL MARKETING MANAGEMENT,10.1016/j.indmarman.2019.01.008,Y,title_inclusion_pattern
S0400,Export Performance and Stock Return: A Case of Fishery Firms Listing in Vietnam Stock Markets,Quy Thi Vo,2019,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,10.13106/jafeb.2019.vol6.no4.37,Y,title_inclusion_pattern
S0401,"Product Newness, Low Competition, Recent Technology, and Export Orientation as Predictors for Entrepreneurial Growth Aspirations","Pedro Carreon-Gutierrez, Jose; Manuel Saiz-Alvarez, Jose",2019,SUSTAINABILITY,10.3390/su11205818,Y,title_inclusion_pattern
S0406,The Effects of International Entrepreneurial Orientation and Entrepreneurial Activities on SMEs' Export Performance,"Yoo, Sung-Joon; Kim, Hag-Min; Lee, Yea-Rim",2019,JOURNAL OF KOREA TRADE,10.35611/jkt.2019.23.7.156,Y,title_inclusion_pattern
S0410,The great trade collapse and the Spanish export miracle: Firm-level evidence from the crisis,"Eppinger, Peter S.; Meythaler, Nicole; Sindlinger, Marc-Manuel; Smolka, Marcel",2018,WORLD ECONOMY,10.1111/twec.12530,Y,title_inclusion_pattern
S0413,Effects of the use of competitiveness as a strategy on exporting companies: Status of the issue,"Valero Cordoba, Gladys Mireya; Rodenes, Manuel; Elena Rueda, Gladys",2018,EQUIDAD & DESARROLLO,,Y,title_inclusion_pattern
S0417,"Process and product innovations, multi-product status and export performance: firm-level evidence from V-4 countries","Cieslik, Andrzej; Michalek, Jan Jakub",2018,EQUILIBRIUM-QUARTERLY JOURNAL OF ECONOMICS AND ECONOMIC POLICY,,Y,title_inclusion_pattern
S0426,From intangible resources to export performance: Exploring the mediating effect of absorptive capabilities and innovation,"Rua, Orlando Lima",2018,REVIEW OF INTERNATIONAL BUSINESS AND STRATEGY,,Y,title_inclusion_pattern
S0431,The Impact of Managers' Global Orientation on SME Export and Economic Performance,"Freixanet, Joan; Renart, Gemma; Rialp-Criado, Alex",2018,MANAGEMENT INTERNATIONAL REVIEW,10.1007/s11575-018-0358-y,Y,title_inclusion_pattern
S0432,BUSINESS PERFORMANCE MANAGEMENT AND FDI: KEY DIFFERENCES BETWEEN FOREIGN AND DOMESTIC-OWNED FIRMS - A CASE OF SLOVAKIA,"Rajnoha, Rastislav; Merkova, Martina; Dobrovic, Jan; Rozsa, Zoltan",2018,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/jbem.2018.1538,Y,title_inclusion_pattern
S0434,How firm internationalization is recognized by outsiders: The response of financial analysts,"Luo, Xueming; Zheng, Qinqin",2018,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2018.04.030,Y,title_inclusion_pattern
S0437,Key drivers of SMEs export performance: the mediating effect of competitive advantage,"Rua, Orlando; Franca, Alexandra; Fernandez Ortiz, Ruben",2018,JOURNAL OF KNOWLEDGE MANAGEMENT,10.1108/jkm-07-2017-0267,Y,title_inclusion_pattern
S0444,Exports-performance relationship in Russian manufacturing companies Does foreign ownership play an enhancing role?,"Bykova, Anna; Lopez-Iturriaga, Felix",2018,BALTIC JOURNAL OF MANAGEMENT,,Y,title_inclusion_pattern
S0451,The role of absorptive capacity in the relationship between firm internationalization and innovation: evidence from Russia,"Ermolaeva, Liubov; Freixanet, Joan; Panibratov, Andrei",2018,JOURNAL OF EAST EUROPEAN MANAGEMENT STUDIES,10.5771/0949-6181-2018-4-621,Y,title_inclusion_pattern
S0462,"Market Efficiency, Heterogeneous Trade Costs and Export-Only Firms","Qiu, Bin; Yan, Zhijun",2017,PACIFIC ECONOMIC REVIEW,10.1111/1468-0106.12206,Y,title_inclusion_pattern
S0473,Bank Internationalization and Firm Exports: Evidence from Matched Firm-Bank Data,"Bronzini, Raffaello; D'Ignazio, Alessio",2017,REVIEW OF INTERNATIONAL ECONOMICS,10.2139/ssrn.2777973,Y,title_inclusion_pattern
S0478,Local Externalities and Firm Internationalisation,"Burlina, Chiara",2017,TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,10.1111/tesg.12224,Y,title_inclusion_pattern
S0482,Board political experience and firm internationalization strategy A resource dependence perspective,"Yarbrough, Earl, Jr.; Abebe, Michael; Dadanlar, Hazel",2017,JOURNAL OF STRATEGY AND MANAGEMENT,,Y,title_inclusion_pattern
S0484,Financial Factors and Manufacturing Exports: Firm-Level Evidence From Egypt,"Kiendrebeogo, Youssouf; Minea, Alexandru",2017,JOURNAL OF DEVELOPMENT STUDIES,10.1596/28933,Y,title_inclusion_pattern
S0486,Examining drivers of e-commerce marketing capabilities and their impact on export venture e-commerce performance and export market growth: mediating role of efficiencies,"Abdolvand, Mohammad Ali; Keisami, Mina Khalili",2017,HELIX,10.29042/2017-2141-2149,Y,title_inclusion_pattern
S0490,Export Performance of SMEs in the Rwandan Mining Sector: Challenges and Prospects,"Nyamulinda, Bideri Ishuheri; Gaju, Alice Karema",2017,"MANAGEMENT CHALLENGES IN DIFFERENT TYPES OF AFRICAN FIRMS: PROCESSES, PRACTICES AND PERFORMANCE",10.1007/978-981-10-4536-3_12,Y,title_inclusion_pattern
S0495,Effects of human capital on the relationship between export and firm innovation,"Liu, Guangqiang; Pang, Lirang; Kong, Dongmin",2017,CHINESE MANAGEMENT STUDIES,,Y,title_inclusion_pattern
S0507,Antecedents and consequences of firm's export marketing strategy An empirical study of Austrian SMEs (a contingency perspective),"Fuchs, Manfred; Koestner, Mariella",2016,MANAGEMENT RESEARCH REVIEW,,Y,title_inclusion_pattern
S0512,Cultural intelligence and export performance of small and medium enterprises in Thailand: Mediating roles of organizational capabilities,"Charoensukmongkol, Peerayuth",2016,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,10.1177/0266242614539364,Y,title_inclusion_pattern
S0513,Understanding Export Market Success: Evidence from Manufacturing Firms,"Altuzarra, A.; Bustillo, R.; Rodriguez, C.",2016,OPEN ECONOMIES REVIEW,10.1007/s11079-015-9368-6,Y,title_inclusion_pattern
S0519,SME Internationalization Through Global Value Chains and Free Trade Agreements: Evidence from Malaysia,"Arudchelvan, Menaka; Wignaraja, Ganeshan",2016,PRODUCTION NETWORKS AND ENTERPRISES IN EAST ASIA: INDUSTRY AND FIRM-LEVEL ANALYSIS,10.1007/978-4-431-55498-1_10,Y,title_inclusion_pattern
S0532,Innovation and experiential knowledge in firm exports: Applying the initial U-model,"Geldres-Weiss, Valeska V.; Uribe-Borquez, Claudina T.; Coudounaris, Dafnis N.; Monreal-Perez, Joaquin",2016,JOURNAL OF BUSINESS RESEARCH,10.1016/j.jbusres.2016.04.083,Y,title_inclusion_pattern
S0536,"Financial constraints and firm exports: accounting for heterogeneity, self-selection, and endogeneity","Secchi, Angelo; Tamagni, Federico; Tomasi, Chiara",2016,INDUSTRIAL AND CORPORATE CHANGE,10.1093/icc/dtw033,Y,title_inclusion_pattern
S0540,INTERNATIONALISATION OF SMES AND SIMULTANEOUS STRATEGIES OF COOPERATION AND COMPETITION: AN EXPLORATORY ANALYSIS,"Galdeano-Gomez, Emilio; Perez-Mesa, Juan C.; Aznar-Sanchez, Jose A.",2016,JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,10.3846/16111699.2014.959040,Y,title_inclusion_pattern
S0544,The effects of top management team composition on SME export performance: an upper echelons perspective,"Acar, F. Pinar",2016,CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH,10.1007/s10100-015-0408-5,Y,title_inclusion_pattern
S0546,"The effects of the board composition, board size and CEO duality on export performance Evidence from Turkey","Nas, Tulay Ilhan; Kalaycioglu, Ozan",2016,MANAGEMENT RESEARCH REVIEW,10.1108/mrr-01-2015-0014,Y,title_inclusion_pattern
S0559,Standardisation and adaptation of firms' export marketing strategies in familiar European and non-familiar non-European markets,"Fuchs, Manfred; Koestner, Mariella",2015,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,10.1504/ejim.2015.069163,Y,title_inclusion_pattern
S0564,DO EXPORT MARKETS SELECT THE MOST INNOVATIVE PRODUCERS? THE MODERATING ROLE OF PRODUCTIVITY,"Monreal-Perez, Joaquin; Aragon-Sanchez, Antonio; Sanchez-Marin, Gregorio",2015,INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,10.1142/s1363919615500309,Y,title_inclusion_pattern
S0572,What Determines Small Champions' Export Performance? Evidence from Korea Firm-Level Data,"Kim, Young Gui; Suh, Jeongmeen",2015,ASIAN ECONOMIC PAPERS,10.1162/asep_a_00356,Y,title_inclusion_pattern
S0574,Export Experience of Managers and the Internationalisation of Firms,"Sala, Davide; Yalcin, Erdal",2015,WORLD ECONOMY,,Y,title_inclusion_pattern
S0584,Effect of export experience and market scope strategy on export performance: Evidence from Poland,"Cieslik, Jerzy; Kaciak, Eugene; Thongpapanl, Narongsak (Tek)",2015,INTERNATIONAL BUSINESS REVIEW,,Y,title_inclusion_pattern
S0586,DOES THE GENDER OF TOP MANAGERS AND OWNERS MATTER FOR FIRM EXPORTS?,"Marques, Helena",2015,FEMINIST ECONOMICS,10.1080/13545701.2015.1029958,Y,title_inclusion_pattern
S0587,"Foreign market experience, learning by hiring and firm export performance","Masso, Jaan; Roigas, Kaert; Vahter, Priit",2015,REVIEW OF WORLD ECONOMICS,10.1007/s10290-015-0224-y,Y,title_inclusion_pattern
S0589,Innovation and export performance: do young and mature innovative firms differ?,"Gkypali, Areti; Rafailidis, Apostolos; Tsekouras, Kostas",2015,EURASIAN BUSINESS REVIEW,10.1007/s40821-015-0030-4,Y,title_inclusion_pattern
S0593,Export Performance Clusters of the Hungarian Enterprises: What Factors are Behind the Successful Export Activities?,"Onodi, Annamaria Kazai",2014,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,,Y,title_inclusion_pattern
S0594,ORGANIZING EXPORT STRATEGIES,"Lojacono, Gabriella; Venzin, Markus",2014,ORCHESTRATION OF THE GLOBAL NETWORK ORGANIZATION,,Y,title_inclusion_pattern
S0595,"The Influence of Firm Characteristics and Export Performance in Central and Eastern Europe: Comparisons of Visegrad, Baltic and Caucasus States","Cieslik, Andrzej; Michalek, Jan; Michalek, Anna",2014,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,,Y,title_inclusion_pattern
S0598,Export performance: multiple predictors and multiple measures approach,"Kahiya, Eldrede Tinashe; Dean, David L.",2014,ASIA PACIFIC JOURNAL OF MARKETING AND LOGISTICS,10.1108/apjml-11-2012-0119,Y,title_inclusion_pattern
S0604,Explaining Export Performance in the Spanish Defense Industry,"Fonfria, Antonio; Duch-Brown, Nestor",2014,DEFENCE AND PEACE ECONOMICS,,Y,title_inclusion_pattern
