study_id,author,year,title,journal,country,n_effects,r,n,icrv,doi,doi_confidence,is_oa,oa_url,cited_by_count,verify_status,notes
S20,Elango,2006,International Channels of Distribution: A Classification System for Analyzing Research Studies,Multinational Business Review,USA,2,0.125; 0.226,326; 393,I,10.1108/1525383x200600015,medium,False,,9,doi_mismatch_check,MBR 2 subsamples
S206,Espinosa-Méndez & Jara,2021,,,Chile,1,0.04,150,III,10.1080/02102412.2021.1886453,review,,,,not_found,SJFC; Chile family firm
S211,Olmos & Díez-Vial,2015,Monolayer protected gold nanoparticles: the effect of the headgroup–Au interaction,Physical Chemistry Chemical Physics,Spain,1,0.07,200,II,10.1108/ejm-06-2012-0365,medium,True,https://pubs.rsc.org/en/content/articlepdf/2014/cp/c4cp01963f,34,author_year_guess,EJM; SME intl paths Spain
S212,"Phan, Tran & Lu",2020,The role of Indigenous peoples and local communities in effective and equitable conservation,Ecology and Society,Cameroon,1,0.03,90,FR,10.5267/j.dsl.2020.7.001,medium,True,http://www.ecologyandsociety.org/vol26/iss3/art19/ES-2021-12625.pdf,817,author_year_guess,DSL; W-shaped Cameroon
S221,Vithessonthi & Racela,2016,,,Thailand,1,0.05,400,III,10.1016/j.mulfin.2015.12.001,medium,,,,not_found,JMFM; short/long-run Thailand
S229,Azman et al.,2022,The Effectiveness of a Design Thinking Tool for the Development of Creativity in Teaching STEM Subjects among Special Ne,The International Journal of Science Mathematics and Technology Learning,Malaysia,1,0.09,200,III,10.1061/(asce)me.1943-5479.0000985,medium,False,,4,author_year_guess,JMgmtEng; Malaysia construction
S23,Chari et al.,2007,International diversification and firm performance: Role of information technology investments,Journal of World Business,USA,1,0.37,131,I,10.1016/j.jwb.2007.02.007,review,False,,67,title_corrected,JWB 2 effects
S230,Bhandari et al.,2023,Book Review on Medani P. Bhandari (2023). Live and Let Others Live – In Reference to Sustainability and Environment Cons,Health Economics and Management Review,Multi,1,0.1,300,MX,10.1016/j.ibusrev.2023.102135,medium,True,https://armgpublishing.com/wp-content/uploads/2024/07/HEM_5_2_2024_10.pdf,3,author_year_guess,IBR; digitalization OLI
S234,Yip et al.,2000,Total Global Strategy,,Multi,1,0.06,150,MX,10.1509/jimk.8.3.10.19635,medium,False,,219,author_year_guess,JIM; newly internationalizing firms
S27,Richter,2007,,,Germany,1,-0.058,85,I,10.1016/s1064-4857(07)13015-1,medium,,,,not_found,
S34,Garbe & Richter,2009,Embracing risk as a core competence: The case of CEMEX,Journal of International Management,Germany,1,-0.085,85,I,10.1016/j.intman.2009.01.003,medium,False,,33,doi_mismatch_check,3 effects
S61,Graves & Shan,2014,An Empirical Analysis of the Effect of Internationalization on the Performance of Unlisted Family and Nonfamily Firms in,Family Business Review,Australia,1,-0.07,4217,I,10.1177/0894486513510534,review,False,,91,title_match,Large sample
S68,Benito-Osorio et al.,2015,"Context, law and reinvestment decisions: Why the transitional periphery differs from other post-state socialist economie",International Business Review,Spain,1,-0.09,2748,II,10.1016/j.ibusrev.2015.03.003,review,True,https://strathprints.strath.ac.uk/52151/1/Demirbag_etal_IBR_2015_The_law_corruption_and_reinvestment_decisions_the_transitional_periphery_in_comparative.pdf,24,doi_mismatch_check,Spanish mfg large
S69,Altaf & Shah,2016,Tumor suppressor role of microRNA-1296 in triple-negative breast cancer,Oncotarget,Pakistan,1,0.08,180,FR,10.1016/j.psrb.2016.05.002,suggested,True,https://www.oncotarget.com/article/6961/pdf/,64,author_year_guess,Pakistan firms
S72,Brida et al.,2016,Dynamic relationship between tourism and economic growth in MERCOSUR countries: a nonlinear approach based on asymmetric,Economics bulletin,Italy,1,-0.032,82,II,10.1108/ijchm-10-2014-0517,review,False,,42,author_year_guess,Italy hotels
S75,Mohr & Batsakis,2016,Internationalization Speed and Firm Performance: A Study of the Market-Seeking Expansion of Retail MNEs,Management International Review,Multi,1,0.05,110,MX,10.1007/s11575-016-0284-7,review,True,http://bura.brunel.ac.uk/handle/2438/12228,92,title_match,Internation speed
S82,Purkayastha et al.,2017,Business group effects on the R&amp;D intensity-internationalization relationship: Empirical evidence from India,Journal of World Business,India,1,0.029,185,III,10.1016/j.jwb.2018.03.006,review,False,,91,title_corrected,India conglomerates
S86,Pouresmaeili et al.,2018,A comprehensive overview on osteoporosis and its risk factors,Therapeutics and Clinical Risk Management,Iran,1,0.69,226,FR,10.1504/ijbg.2018.095267,medium,True,https://www.dovepress.com/getfile.php?fileID=45951,570,author_year_guess,Iran SMEs high r
S87,Hojnik et al.,2018,Eco-Innovation and Firm Efficiency: Empirical Evidence from Slovenia,Foresight-Russia,Slovenia,1,0.035,267,I,10.1080/1331677x.2018.1504673,review,True,https://foresight-journal.hse.ru/data/2017/09/28/1159178022/Manolova 103-111.pdf,43,author_year_guess,Slovenia; 7 eff
S89,Velez-Calle et al.,2018,"The influence of political risk, inertia and imitative behavior on the location choice of Chinese multinational enterpri",International Journal of Emerging Markets,Latin America,1,0.05,147,III,10.1108/ijoem-11-2016-0298,review,False,,33,doi_mismatch_check,Latin Am. MNEs
